scenario,episode,tick,physics_begin,physics_end,source_time_ns,receipt_time_ns,core_status,probe_status,dt_s,command_attempted,command_accepted,probe_command_attempted,probe_command_accepted,fault_event,injected_torque_nm,zoh_ctrl_max_difference,contact_left,contact_right,base_position_0,base_position_1,base_position_2,base_quaternion_0,base_quaternion_1,base_quaternion_2,base_quaternion_3,base_linear_velocity_0,base_linear_velocity_1,base_linear_velocity_2,base_angular_velocity_0,base_angular_velocity_1,base_angular_velocity_2,q_0,q_1,q_2,q_3,q_4,q_5,dq_0,dq_1,dq_2,dq_3,dq_4,dq_5,tau_0,tau_1,tau_2,tau_3,tau_4,tau_5,ctrl_0,ctrl_1,ctrl_2,ctrl_3,ctrl_4,ctrl_5,reference_0,reference_1,reference_2,reference_3,reference_4,reference_5,tau_pd_0,tau_pd_1,tau_pd_2,tau_pd_3,tau_pd_4,tau_pd_5,tau_gravity_0,tau_gravity_1,tau_gravity_2,tau_gravity_3,tau_gravity_4,tau_gravity_5,tau_raw_0,tau_raw_1,tau_raw_2,tau_raw_3,tau_raw_4,tau_raw_5,saturated_0,saturated_1,saturated_2,saturated_3,saturated_4,saturated_5,disturbance_0,disturbance_1,disturbance_2,disturbance_3,disturbance_4,disturbance_5
control,0,194,970,975,1940000000,1940000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.088973850227358375,1.3172936483779126e-05,0.56575444264407859,0.9999477001325785,-1.0903039323865221e-05,-0.010227261641824789,-5.7436723489027455e-09,-0.00054951734421756571,5.1679789633192486e-07,-8.6488800255553287e-05,-9.1907116406316232e-07,-0.00096731618759965724,5.6877260186623928e-08,-1.3294997384246239,2.2068207421784916,1.6096583808423571e-05,-1.3294983404204055,2.2068220458053829,-2.3113733900968189e-05,-0.00056958831370559437,-0.00060520867813288392,9.5155759497752565e-05,-0.00056941491659229628,-0.00060442293119584978,9.0159240137165498e-05,-0.28519637649948681,1.4894264749113511,0.0003487597689823173,-0.28493466802343281,1.4900706894661349,-0.00012048045313223895,0.28519637649948681,-1.4894264749113511,-0.0003487597689823173,0.28493466802343281,-1.4900706894661349,0.00012048045313223895,-1.3267204090965414,2.208800254273827,0,-1.3267204090965414,2.208800254273827,0,0.034206334407547757,0.0246619581612244,-9.5867631174147008e-06,0.034189298261257141,0.024645136018122953,2.4261581634321813e-06,-0.31940271090703459,1.4647645167501266,0.00035834653209973201,-0.31912396628468997,1.4654255534480118,-0.00012290661129567114,-0.28519637649948681,1.4894264749113511,0.0003487597689823173,-0.28493466802343281,1.4900706894661349,-0.00012048045313223895,0,0,0,0,0,0,0,0,0,0,0,0
control,0,195,975,980,1950000000,1950000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.088979134538523602,1.3177752808491769e-05,0.56575361087044573,0.99994765255441931,-1.0907327602905806e-05,-0.010231912428091216,-5.42813454428946e-09,-0.00051361093974287755,4.5773865691718677e-07,-8.0846727221514051e-05,-8.1664059307037162e-07,-0.00090413198158060778,6.6641832646752571e-08,-1.3295055823842041,2.2068145433663533,1.6934726149496267e-05,-1.3295041823103226,2.2068158549358214,-2.2327384824176107e-05,-0.00059598033649257444,-0.00063072070322695603,8.0365134586768278e-05,-0.00059575256352029148,-0.00062991528879253827,7.5046919860451874e-05,-0.28510395283264245,1.4895244493091127,0.0003492500369230826,-0.28484232727513009,1.4901685612809601,-0.00011996505892648158,0.28510395283264245,-1.4895244493091127,-0.0003492500369230826,0.28484232727513009,-1.4901685612809601,0.00011996505892648158,-1.3267204090965414,2.208800254273827,0,-1.3267204090965414,2.208800254273827,0,0.034316049956691276,0.02477461194452461,-9.0986745741872943e-06,0.034298907410654889,0.024757664989255263,2.9458694542302384e-06,-0.31942000278933375,1.464749837364588,0.00035834871149726988,-0.31914123468578498,1.4654108962917047,-0.00012291092838071183,-0.28510395283264245,1.4895244493091127,0.0003492500369230826,-0.28484232727513009,1.4901685612809601,-0.00011996505892648158,0,0,0,0,0,0,0,0,0,0,0,0
control,0,196,980,985,1960000000,1960000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.088984035355492264,1.3181964214608781e-05,0.56575283937241105,0.99994760840865582,-1.0911089930289009e-05,-0.010236225806273192,-5.0702445491290089e-09,-0.00047375367618742381,3.9642469532214662e-07,-7.4581366504918817e-05,-7.1003271882372458e-07,-0.00083399117682345179,7.5112965356987327e-08,-1.3295116370114837,2.2068081430514086,1.7630990714012454e-05,-1.3295102343654575,2.2068094627002912,-2.1685641991998991e-05,-0.0006131660540345036,-0.00064710304866844796,6.5841465707821314e-05,-0.00061289014867295843,-0.00064628905995515779,6.0286823360645084e-05,-0.28502340732471304,1.4896106446207256,0.00034976962811402617,-0.28476186009055648,1.4902546700308268,-0.00011942410750025756,0.28502340732471304,-1.4896106446207256,-0.00034976962811402617,0.28476186009055648,-1.4902546700308268,0.00011942410750025756,-1.3267204090965414,2.208800254273827,0,-1.3267204090965414,2.208800254273827,0,0.034414484060358637,0.024875989242023232,-8.5813704995948013e-06,0.034397238450001727,0.024858932472361931,3.4913514295674427e-06,-0.31943789138507167,1.4647346553787024,0.00035835099861362095,-0.31915909854055824,1.4653957375584648,-0.00012291545892982499,-0.28502340732471304,1.4896106446207256,0.00034976962811402617,-0.28476186009055648,1.4902546700308268,-0.00011942410750025756,0,0,0,0,0,0,0,0,0,0,0,0
control,0,197,985,990,1970000000,1970000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.088988517612548085,1.3185553518564352e-05,0.56575213368408306,0.99994756801579943,-1.0914310193976033e-05,-0.010240170905088905,-4.6763965396471016e-09,-0.00043068607372166511,3.3374614430043615e-07,-6.7809216004891004e-05,-6.0081162933793721e-07,-0.00075819717700124759,8.2270429432015578e-08,-1.3295178126375935,2.2068016303165869,1.8188858797838378e-05,-1.3295164069802465,2.2068029580741255,-2.1184186708363196e-05,-0.00062154908252640422,-0.00065472654825296701,5.1726481471335652e-05,-0.00062123145987719739,-0.00065391450680088534,4.6018041616012745e-05,-0.28495495261787446,1.4896847659715227,0.00035031037628487798,-0.28469347847593141,1.4903287209268716,-0.00011886577880109412,0.28495495261787446,-1.4896847659715227,-0.00035031037628487798,0.28469347847593141,-1.4903287209268716,0.00011886577880109412,-1.3267204090965414,2.208800254273827,0,-1.3267204090965414,2.208800254273827,0,0.034501166116414426,0.024965577309259957,-8.042981712918296e-06,0.034483821794277038,0.024948426156618839,4.0543539317083215e-06,-0.31945611873428886,1.4647191886622628,0.00035835335799779629,-0.31917730027020846,1.4653802947702528,-0.00012292013273280245,-0.28495495261787446,1.4896847659715227,0.00035031037628487798,-0.28469347847593141,1.4903287209268716,-0.00011886577880109412,0,0,0,0,0,0,0,0,0,0,0,0
control,0,198,990,995,1980000000,1980000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.088992553606764752,1.3188512239214609e-05,0.56575149818087,0.99994753163008609,-1.0916979936968535e-05,-0.010243723332692958,-4.2530178796784637e-09,-0.00038514010718453584,2.7055860514803423e-07,-6.0645489683248987e-05,-4.9048311653538894e-07,-0.00067803838760057029,8.8109525139877218e-08,-1.3295240240855466,2.2067950900436841,1.8613100050345907e-05,-1.3295226150421688,2.2067964258377395,-2.081744306284835e-05,-0.00062161266759385824,-0.00065404638622729573,3.814891879162701e-05,-0.00062125982774276158,-0.00065324614618515341,3.2365840271430648e-05,-0.28489864060333764,1.4897466848420606,0.00035086437968724176,-0.28463723378904088,1.4903905853310833,-0.00011829794152752845,0.28489864060333764,-1.4897466848420606,-0.00035086437968724176,0.28463723378904088,-1.4903905853310833,0.00011829794152752845,-1.3267204090965414,2.208800254273827,0,-1.3267204090965414,2.208800254273827,0,0.034575798869452772,0.02504304034105518,-7.4913759546851224e-06,0.034558361089143085,0.025025810452327546,4.6269409052829718e-06,-0.31947443947279042,1.4647036445010055,0.00035835575564192689,-0.31919559487818394,1.4653647748787557,-0.00012292488243281142,-0.28489864060333764,1.4897466848420606,0.00035086437968724176,-0.28463723378904088,1.4903905853310833,-0.00011829794152752845,0,0,0,0,0,0,0,0,0,0,0,0
control,0,199,995,1000,1990000000,1990000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.088996122861620425,1.3190840200056826e-05,0.56575093610038274,0.99994749944048511,-1.0919098018392941e-05,-0.010246865056856014,-3.8064967054525428e-09,-0.00033783082998548237,2.0767454798127021e-07,-5.3202791298840231e-05,-3.804793995208671e-07,-0.00059477346864085891,9.2640254663013778e-08,-1.3295301914032118,2.2067886021352718,1.8909642158666233e-05,-1.3295287786638847,2.2067899457994185,-2.0578716031691342e-05,-0.00061390879244863821,-0.00064559100439489237,2.522372776650086e-05,-0.00061352723821826163,-0.00064481167097431692,1.944096053592463e-05,-0.28485437213333792,1.4897964299234683,0.00035142408026458835,-0.28459302645101614,1.4904402916255617,-0.00011772807737607577,0.28485437213333792,-1.4897964299234683,-0.00035142408026458835,0.28459302645101614,-1.4904402916255617,0.00011772807737607577,-1.3267204090965414,2.208800254273827,0,-1.3267204090965414,2.208800254273827,0,0.03463825086871769,0.025108212169254046,-6.9340790359249131e-06,0.034620725665447188,0.02509091919936382,5.2015667827111709e-06,-0.31949262300205561,1.4646882177542142,0.00035835815930051329,-0.31921375211646336,1.4653493724261979,-0.00012292964415878694,-0.28485437213333792,1.4897964299234683,0.00035142408026458835,-0.28459302645101614,1.4904402916255617,-0.00011772807737607577,0,0,0,0,0,0,0,0,0,0,0,0
control,0,200,1000,1005,2000000000,2000000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.088999211911269041,1.3192545051586832e-05,0.56575044957591203,0.99994747157245778,-1.0920670203580123e-05,-0.010249584215299298,-3.343114059020152e-09,-0.00028944874377029479,1.4585574151165231e-07,-4.5589904195606748e-05,-2.7214564251323111e-07,-0.00050961789952268959,9.5886386174664798e-08,-1.3295362404866267,2.2067822408484661,1.9085434194367819e-05,-1.3295348238057614,2.2067835921298213,-2.046033494060255e-05,-0.00059904714362210316,-0.00062995084096108083,1.3051497646589004e-05,-0.00059864330343517406,-0.00062920070321698758,7.339143935115307e-06,-0.28482190794404061,1.4898341766475496,0.00035198233362703087,-0.28456061686784079,1.4904780147580905,-0.00011716321478944489,0.28482190794404061,-1.4898341766475496,-0.00035198233362703087,0.28456061686784079,-1.4904780147580905,0.00011716321478944489,-1.3267204090965414,2.208800254273827,0,-1.3267204090965414,2.208800254273827,0,0.034688547396455945,0.025161087365772401,-6.3782051406397959e-06,0.034670941465792138,0.0251437467828932,5.7711432854249995e-06,-0.31951045534049655,1.4646730892817772,0.00035836053876767067,-0.31923155833363293,1.4653342679751973,-0.00012293435807486988,-0.28482190794404061,1.4898341766475496,0.00035198233362703087,-0.28456061686784079,1.4904780147580905,-0.00011716321478944489,0,0,0,0,0,0,0,0,0,0,0,0
control,0,201,1005,1010,2010000000,2010000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.089001814013209918,1.3193641724307649e-05,0.56575003968127557,0.99994744809040281,-1.0921708692320136e-05,-0.01025187486299374,-2.8689810350558722e-09,-0.00024065295893183433,8.5806746380939198e-08,-3.7910704811205392e-05,-1.6672832983031433e-07,-0.0004237319355426671,9.7884423144179451e-08,-1.3295421035930524,2.2067760742413829,1.9148305715161425e-05,-1.3295406827881961,2.2067774328090346,-2.0453800177129376e-05,-0.0005776840778225807,-0.00060776704750069408,1.7180967388675438e-06,-0.00057726423427579643,-0.00060705352539725129,-3.8591276312620296e-06,-0.28480088057911324,1.489860235603143,0.00035253246956021695,-0.28453963735139504,1.4905040646751297,-0.00011660987241084109,0.28480088057911324,-1.489860235603143,-0.00035253246956021695,0.28453963735139504,-1.4905040646751297,0.00011660987241084109,-1.3267204090965414,2.208800254273827,0,-1.3267204090965414,2.208800254273827,0,0.034726860074865022,0.025201810960580114,-5.8303965514918051e-06,0.034709180651270308,0.025184437865604429,6.3290964347019138e-06,-0.31952774065397826,1.4646584246425629,0.00035836286611170876,-0.31924881800266536,1.4653196268095252,-0.000122938968845543,-0.28480088057911324,1.489860235603143,0.00035253246956021695,-0.28453963735139504,1.4905040646751297,-0.00011660987241084109,0,0,0,0,0,0,0,0,0,0,0,0
control,0,202,1010,1015,2020000000,2020000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.089003928797470752,1.3194151823156241e-05,0.56574970648575684,0.99994742900071421,-1.09222315947083e-05,-0.01025373666356473,-2.3899813244485502e-09,-0.00019206517847887464,2.8169491684535122e-08,-3.0263205582341523e-05,-6.5365535456900635e-08,-0.00033821001347881694,9.8682496650085527e-08,-1.3295477197445591,2.2067701637316968,1.9106823632589986e-05,-1.329546294694528,2.2067715291855778,-2.0549931135164208e-05,-0.00055051172438099394,-0.00057972032132571488,-8.7054830105200781e-06,-0.00055008194901510967,-0.00057904992689063216,-1.4088687059679142e-05,-0.28479080710476379,1.4898750400501082,0.00035306834292770051,-0.28452960483100748,1.4905188738535238,-0.00011607401232269927,0.28479080710476379,-1.4898750400501082,-0.00035306834292770051,0.28452960483100748,-1.4905188738535238,0.00011607401232269927,-1.3267204090965414,2.208800254273827,0,-1.3267204090965414,2.208800254273827,0,0.034753495362783493,0.02523066698755114,-5.296772939250992e-06,0.034735750099361591,0.025213275949325618,6.8694136935332194e-06,-0.31954430246754728,1.4646443730625571,0.00035836511586695148,-0.31926535493036906,1.4653055979041982,-0.0001229434260162325,-0.28479080710476379,1.4898750400501082,0.00035306834292770051,-0.28452960483100748,1.4905188738535238,-0.00011607401232269927,0,0,0,0,0,0,0,0,0,0,0,0
control,0,203,1015,1020,2030000000,2030000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.089005561860672461,1.3194102974217801e-05,0.56574944911782155,0.99994741425537903,-1.0922262364101886e-05,-0.010255174532166031,-1.9117194616304786e-09,-0.0001442645256290624,-2.6481061079700867e-08,-2.2738730950202982e-05,3.0920902515330634e-08,-0.00025407164229600021,9.8339197037407587e-08,-1.3295530350242075,2.2067645637653959,1.8970148755304559e-05,-1.3295516056666121,2.2067659356454778,-2.073901348843946e-05,-0.00051824734728306526,-0.00054651998069809042,-1.8163087935453646e-05,-0.00051781344197785882,-0.00054589829284103718,-2.3299544902660721e-05,-0.28479110241111788,1.489879132740271,0.00035358437495340924,-0.284529934150346,1.4905229841396617,-0.00011556100301851034,0.28479110241111788,-1.489879132740271,-0.00035358437495340924,0.284529934150346,-1.4905229841396617,0.00011556100301851034,-1.3267204090965414,2.208800254273827,0,-1.3267204090965414,2.208800254273827,0,0.034768882152917659,0.025248066072220448,-4.7828902298186849e-06,0.034751079003815105,0.025230670979451114,7.3866812916648742e-06,-0.31955998456403556,1.4646310666680504,0.00035836726518322792,-0.31928101315416108,1.4652923131602105,-0.00012294768431017522,-0.28479110241111788,1.489879132740271,0.00035358437495340924,-0.284529934150346,1.4905229841396617,-0.00011556100301851034,0,0,0,0,0,0,0,0,0,0,0,0
control,0,204,1020,1025,2040000000,2040000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.089006724313476449,1.3193528134564695e-05,0.56574926583626628,0.99994740375603275,-1.0921829196690705e-05,-0.01025619823730445,-1.4394750077245829e-09,-9.7783223878208e-05,-7.7640174899588531e-08,-1.5421228258612427e-05,1.2123131491315367e-07,-0.00017225379448061585,9.6922356920998955e-08,-1.3295580027680716,2.2067593215926307,1.8747893800060228e-05,-1.329556569096302,2.2067606993882944,-2.1010944018968499e-05,-0.00048162307958465655,-0.00050889339943757401,-2.6613183837747377e-05,-0.00048119052481011588,-0.00050832505195129365,-3.1456573777468339e-05,-0.28480109290091843,1.489873152249765,0.00035407558498581806,-0.28453995175094343,1.4905170331005904,-0.00011507559194875784,0.28480109290091843,-1.489873152249765,-0.00035407558498581806,0.28453995175094343,-1.4905170331005904,0.00011507559194875784,-1.3267204090965414,2.208800254273827,0,-1.3267204090965414,2.208800254273827,0,0.034773558677738625,0.025254532273512164,-4.2937089481306988e-06,0.034755705784342519,0.025237146204317364,7.8761118945639664e-06,-0.31957465157865705,1.4646186199762528,0.00035836929393394878,-0.31929565753528594,1.4652798868962731,-0.00012295170384332181,-0.28480109290091843,1.489873152249765,0.00035407558498581806,-0.28453995175094343,1.4905170331005904,-0.00011507559194875784,0,0,0,0,0,0,0,0,0,0,0,0
control,0,205,1025,1030,2050000000,2050000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.089007432289936808,1.3192464875887981e-05,0.56574915410744753,0.99994739735839389,-1.0920964407047986e-05,-0.010256821969116144,-9.781628279455233e-10,-5.3103127333528212e-05,-1.2487553742640824e-07,-8.3867134808039235e-06,2.0479227860604495e-07,-9.3604794260931161e-05,9.4507803845426974e-08,-1.3295625836574065,2.2067544771464416,1.8449984530739421e-05,-1.3295611457171466,2.2067558603059032,-2.1355371368851355e-05,-0.00044137613102572054,-0.00046757590615025826,-3.4028470578587348e-05,-0.00044095004116783597,-0.00046706458819788775,-3.8539029494415589e-05,-0.28482003037489584,1.4898578190209166,0.00035453761295383925,-0.28455890955166674,1.4905017400846987,-0.00011462188737454708,0.28482003037489584,-1.4898578190209166,-0.00035453761295383925,0.28455890955166674,-1.4905017400846987,0.00011462188737454708,-1.3267204090965414,2.208800254273827,0,-1.3267204090965414,2.208800254273827,0,0.034768158926919868,0.025250689387850266,-3.833571830292459e-06,0.034750264509013355,0.025233324497382123,8.333562885376186e-06,-0.31958818930181571,1.4646071296330663,0.0003583711847841317,-0.3193091740606801,1.4652684155873166,-0.00012295545025992326,-0.28482003037489584,1.4898578190209166,0.00035453761295383925,-0.28455890955166674,1.4905017400846987,-0.00011462188737454708,0,0,0,0,0,0,0,0,0,0,0,0
control,0,206,1030,1035,2060000000,2060000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.089007706427194938,1.3190954652299966e-05,0.56574911068725553,0.99994739487699524,-1.0919703788784839e-05,-0.01025706388152174,-5.3229954809618796e-10,-1.0653088848074224e-05,-1.6782843755863997e-07,-1.7028501157573794e-06,2.8095889358275078e-07,-1.8879680865159785e-05,9.117809624010728e-08,-1.3295667457162024,2.2067500630191854,1.8086525541532211e-05,-1.329565303601544,2.2067514509588535,-2.1761831237631218e-05,-0.00039823955815871439,-0.00042330124022738199,-4.0395345494809799e-05,-0.00039782464399862566,-0.00042284970855330077,-4.4539925230297042e-05,-0.28484710593194917,1.48983392130144,0.00035496673283241217,-0.28458599884242702,1.4904778921796673,-0.00011420334915943914,0.28484710593194917,-1.48983392130144,-0.00035496673283241217,0.28458599884242702,-1.4904778921796673,0.00011420334915943914,-1.3267204090965414,2.208800254273827,0,-1.3267204090965414,2.208800254273827,0,0.034753398773169332,0.02523724691603985,-3.406190387719173e-06,0.034735471026028926,0.025219914342511706,8.7555456328042178e-06,-0.31960050470511853,1.4645966743854002,0.00035837292322013134,-0.31932146986845594,1.4652579778371555,-0.00012295889479224336,-0.28484710593194917,1.48983392130144,0.00035496673283241217,-0.28458599884242702,1.4904778921796673,-0.00011420334915943914,0,0,0,0,0,0,0,0,0,0,0,0
control,0,207,1035,1040,2070000000,2070000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.089007571323773196,1.3189042062286344e-05,0.56574913170651409,0.99994739609013161,-1.0918085969090473e-05,-0.010256945615527837,-1.0597621068167379e-10,2.9192855895859497e-05,-2.0621396280268261e-07,4.5713420660096542e-06,3.4921533597739785e-07,5.1262991601998644e-05,8.702125530862292e-08,-1.3295704642201833,2.2067461045306209,1.7667672046552552e-05,-1.3295690180694126,2.2067474966442746,-2.2219874710033692e-05,-0.00035293367275228752,-0.00037679264519484761,-4.5713231870175181e-05,-0.00035253421107633046,-0.00037640274718938905,-4.9465275834378946e-05,-0.28488146371515111,1.4898023011596286,0.00035535985752272803,-0.28462036402332036,1.4904463302460733,-0.00011382278804380988,0.28488146371515111,-1.4898023011596286,-0.00035535985752272803,0.28462036402332036,-1.4904463302460733,0.00011382278804380988,-1.3267204090965414,2.208800254273827,0,-1.3267204090965414,2.208800254273827,0,0.034730061992831143,0.02521498588626496,-3.0146400204570063e-06,0.034712108991068927,0.025197695675412534,9.1392262047290559e-06,-0.31961152570798224,1.4645873152733637,0.00035837449754318505,-0.31933247301438927,1.4652486345706608,-0.00012296201424853893,-0.28488146371515111,1.4898023011596286,0.00035535985752272803,-0.28462036402332036,1.4904463302460733,-0.00011382278804380988,0,0,0,0,0,0,0,0,0,0,0,0
control,0,208,1040,1045,2080000000,2080000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.089007054984452841,1.3186774114286303e-05,0.56574921275853918,0.99994740074494604,-1.0916151765511064e-05,-0.010256491810704801,2.9716292256668076e-10,6.6116518706063712e-05,-2.398202714106237e-07,1.0385653152020646e-05,4.0917377993682522e-07,0.00011626297098992949,8.2129508748682016e-08,-1.3295737215239962,2.2067426198808939,1.7203508875400329e-05,-1.3295722715151213,2.2067440155485749,-2.2719188568774525e-05,-0.00030615815209143749,-0.00032875466666366221,-4.999378953827583e-05,-0.00030577796237526707,-0.0003284273733070173,-5.3333229945976416e-05,-0.28492221434668319,1.4897638407411256,0.00035571453564347741,-0.28466111603229544,1.4904079351920554,-0.00011348237286612523,0.28492221434668319,-1.4897638407411256,-0.00035571453564347741,0.28466111603229544,-1.4904079351920554,0.00011348237286612523,-1.3267204090965414,2.208800254273827,0,-1.3267204090965414,2.208800254273827,0,0.034698986357594643,0.025184744715192092,-2.6613631857063067e-06,0.034681015966520741,0.025167505762985348,9.4824180679311785e-06,-0.31962120070427785,1.4645790960259335,0.00035837589882918374,-0.31934213199881617,1.46524042942907,-0.00012296479093405641,-0.28492221434668319,1.4897638407411256,0.00035571453564347741,-0.28466111603229544,1.4904079351920554,-0.00011348237286612523,0,0,0,0,0,0,0,0,0,0,0,0
control,0,209,1045,1050,2090000000,2090000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.08900618825936997,1.318419950477866e-05,0.56574934898763751,0.99994740856258002,-1.0913943552798838e-05,-0.010255729611561279,6.7393552606865952e-10,9.9855841965333295e-05,-2.6850700234048368e-07,1.5698730124875843e-05,4.6057179710017139e-07,0.00017565880814827972,7.6598056079856863e-08,-1.3295765068139023,2.2067396203810477,1.6703937721838437e-05,-1.3295750531599924,2.2067410189775805,-2.3249706605948849e-05,-0.00025858490317673969,-0.00027986570977946444,-5.3260022585782889e-05,-0.00025822733116391821,-0.00027960115744402145,-5.6173105574646612e-05,-0.28496844790705717,1.4897194489202521,0.00035602894067007193,-0.2847073453168934,1.4903636146417216,-0.00011318364524978285,0.28496844790705717,-1.4897194489202521,-0.00035602894067007193,0.2847073453168934,-1.4903636146417216,0.00011318364524978285,-1.3267204090965414,2.208800254273827,0,-1.3267204090965414,2.208800254273827,0,0.034661049963095179,0.025147405278021142,-2.3481801872623863e-06,0.034643069758157022,0.02513022529112427,9.7835672605169858e-06,-0.31962949787015232,1.4645720436422309,0.00035837712085733434,-0.31935041507505041,1.4652333893505973,-0.00012296721251029983,-0.28496844790705717,1.4897194489202521,0.00035602894067007193,-0.2847073453168934,1.4903636146417216,-0.00011318364524978285,0,0,0,0,0,0,0,0,0,0,0,0
control,0,210,1050,1055,2100000000,2100000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.089005004284541347,1.3181367917098507e-05,0.56574953517739712,0.9999474192433162,-1.0911504647101142e-05,-0.010254688175163871,1.0216304891340201e-09,0.00013020447889715761,-2.9220289057561075e-07,2.0478011900562058e-05,5.0326835093952776e-07,0.00022908712052538473,7.0523867739563747e-08,-1.3295788157937214,2.2067371107532363,1.6178573511932548e-05,-1.3295773587381257,2.2067385116562881,-2.3801711132388332e-05,-0.00021085171816068618,-0.00023077139787408159,-5.5545305732178497e-05,-0.00021051962609003159,-0.00023056893794468742,-5.8024351081286661e-05,-0.28501924633205938,1.4896700484833472,0.00035630185324361173,-0.28475813422359397,1.4903142901347854,-0.00011292754090446278,0.28501924633205938,-1.4896700484833472,-0.00035630185324361173,0.28475813422359397,-1.4903142901347854,0.00011292754090446278,-1.3267204090965414,2.208800254273827,0,-1.3267204090965414,2.208800254273827,0,0.034617157943400555,0.025103879343899176,-2.0763067669708392e-06,0.034599175138145782,0.025086764817383669,1.0041730893780832e-05,-0.31963640427545992,1.464566169139448,0.00035837816001058255,-0.31935730936173978,1.4652275253174019,-0.00012296927179824361,-0.28501924633205938,1.4896700484833472,0.00035630185324361173,-0.28475813422359397,1.4903142901347854,-0.00011292754090446278,0,0,0,0,0,0,0,0,0,0,0,0
control,0,211,1055,1060,2110000000,2110000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.089003537930551463,1.3178329348481292e-05,0.56574976583769576,0.9999474324716453,-1.0908878714120933e-05,-0.010253398185928828,1.3380115256629661e-09,0.00015701072140214789,-3.1090266338068068e-07,2.4699560425370202e-05,5.37238516852059e-07,0.00027628070682765284,6.4004529343690363e-08,-1.3295806503120939,2.2067350894924465,1.5636650591342116e-05,-1.3295791901236023,2.2067364920900538,-2.4365924054795946e-05,-0.00016355674823825844,-0.000182078762422319,-5.6892343002952955e-05,-0.00016325251149578105,-0.00018193701756042259,-5.8935445610830052e-05,-0.28507369511324032,1.4896165639678078,0.00035653263712357098,-0.28481256869056648,1.4902608849807504,-0.00011271441703450306,0.28507369511324032,-1.4896165639678078,-0.00035653263712357098,0.28481256869056648,-1.4902608849807504,0.00011271441703450306,-1.3267204090965414,2.208800254273827,0,-1.3267204090965414,2.208800254273827,0,0.034568229708987458,0.025055095520199768,-1.8463780272549868e-06,0.034550251091973634,0.025038051731618223,1.0256549496980286e-05,-0.31964192482222781,1.464561468447608,0.00035837901515082594,-0.31936281978254011,1.4652228332491322,-0.00012297096653148334,-0.28507369511324032,1.4896165639678078,0.00035653263712357098,-0.28481256869056648,1.4902608849807504,-0.00011271441703450306,0,0,0,0,0,0,0,0,0,0,0,0
control,0,212,1060,1065,2120000000,2120000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.089001825265599438,1.317513347204446e-05,0.56575003528944223,0.99994744792120316,-1.0906109207209455e-05,-0.010251891383041991,1.6213154252451831e-09,0.00018017583067090592,-3.2466329877484954e-07,2.8347796685667186e-05,5.6256706893655924e-07,0.00031706561003542712,5.7137149560695936e-08,-1.3295820179393245,2.2067335492813354,1.5086939261104868e-05,-1.3295805549073325,2.2067349529788434,-2.4933587065322662e-05,-0.00011725381151380744,-0.00013435127845671656,-5.7352079960706827e-05,-0.00011697932109841516,-0.00013426820446864386,-5.8962760584539823e-05,-0.28513089420348864,1.489559910258428,0.00035672120969175799,-0.28486974914593383,1.4902043128692795,-0.00011254408491671201,0.28513089420348864,-1.489559910258428,-0.00035672120969175799,0.28486974914593383,-1.4902043128692795,0.00011254408491671201,-1.3267204090965414,2.208800254273827,0,-1.3267204090965414,2.208800254273827,0,0.034515186830667684,0.025001986827584505,-1.6584777802961191e-06,0.034497218711140601,0.024985017846506315,1.042821414882379e-05,-0.31964608103415632,1.4645579234308435,0.00035837968747205409,-0.31936696785707441,1.4652192950227731,-0.00012297229906553579,-0.28513089420348864,1.489559910258428,0.00035672120969175799,-0.28486974914593383,1.4902043128692795,-0.00011254408491671201,0,0,0,0,0,0,0,0,0,0,0,0
