mode,scale,g_qp_projected,g_mj_projected,qp_convergence_relative,mj_convergence_relative,sign_match
common,1.0,0.9982026331370573,-1.875899362926297,0.0,0.0,False
common,0.5,0.9982026331370546,-1.8758993629219898,2.6693330298343587e-15,2.2960833248627663e-12,False
common,0.25,0.998202633137037,-1.875899362899532,2.0242442142910552e-14,1.4267841421570936e-11,False
differential,1.0,0.9950352957740364,0.23702271608350758,0.0,0.0,True
differential,0.5,0.9950352957740355,0.23702271607731962,8.926099641613343e-16,2.6107062259155997e-11,True
differential,0.25,0.9950352957740332,0.23702271607156639,3.2357111200848365e-15,5.037997297346838e-11,True
