scenario,episode,control_tick,physics_substep,time_s,disturbance,force_x,force_y,force_z,moment_x,moment_y,moment_z,left_normal_load_n,right_normal_load_n,penetration_m,rolling_slip_m_s,lateral_slip_m_s,closure_residual_m,base_control_linear_acceleration_n0,base_control_linear_acceleration_n1,base_control_linear_acceleration_n2,base_control_angular_acceleration_n0,base_control_angular_acceleration_n1,base_control_angular_acceleration_n2,qpos0,qpos1,qpos2,qpos3,qpos4,qpos5,qpos6,qpos7,qpos8,qpos9,qpos10,qpos11,qpos12,qpos13,qpos14,qpos15,qpos16,qvel0,qvel1,qvel2,qvel3,qvel4,qvel5,qvel6,qvel7,qvel8,qvel9,qvel10,qvel11,qvel12,qvel13,qvel14,qvel15,ctrl0,ctrl1,ctrl2,ctrl3,ctrl4,ctrl5
hold,0,30,2,0.30600000000000022,0,0,0,0,0,0,0,31.094892463899654,32.427589314553728,0.00047912415493864269,0.0026416093107422649,0.00028720010125988859,0.00018249364022174304,-0.11393614909373535,0.10270651518950706,-0.033501997882131818,-0.24919401767897964,3.5644632197903459,0.63800613038787868,-0.00046005225558300254,-0.00048090318799509787,0.34859690929549719,0.99998603256391838,0.00086700547536892707,-0.005167348251185911,0.00069389525872872099,-0.33715063706129594,0.56763382455845446,0.036053905307365589,-0.57072140143903138,-0.57118209177772405,-0.35407782654447395,0.57243620336900236,0.038714623372283249,0.57563370018959814,-0.57606745707549012,-0.0065939775805003214,0.0011163369385576824,0.009491968706954703,-0.0021449662295443708,-0.10841050704627861,0.007656031865667037,0.16091091585717446,0.025669889985481559,-0.52960874954541759,-0.025178558140730434,-0.025727349008117635,0.052973608600859902,0.018540441137196315,0.14342648423248863,0.014784725518870834,-0.015719273224676037,0.025509275347333906,3.1216040878016642,-0.0013377335866537989,-0.059081133576882314,3.2169030688952316,0.0013769488934859274
hold,0,30,3,0.30800000000000022,0,0,0,0,0,0,0,31.106637838249711,32.326574598365212,0.00048411117602054771,0.0020602874631637305,0.00022599332177619796,0.00018231390524598874,-0.11321784416512762,0.10047998614242837,-0.032799435419558876,-0.25380287744527547,3.5734112073921409,0.62363516831987409,-0.0004732240762324926,-0.00047804287257169039,0.34861465923587337,0.99998550025118715,0.0008644000043370422,-0.0052686171889281671,0.00070268978312512632,-0.33684811783488156,0.56767186379713641,0.03510127985878099,-0.57076083065959216,-0.57122203640479585,-0.35397076660967042,0.57247191041272016,0.03888847155915362,0.57566164991134072,-0.57609734086861075,-0.0065859103247450411,0.0014301577117037522,0.0088749701880821673,-0.002629798792110164,-0.10126084126980282,0.0088960350437462411,0.15125961320720249,0.019019619340958627,-0.47631272429230082,-0.019714610280363011,-0.019972313535904462,0.05352996740177194,0.017853521858918926,0.086924093435186034,0.013974860871279339,-0.014941896560320096,0.025509275347333906,3.1216040878016642,-0.0013377335866537989,-0.059081133576882314,3.2169030688952316,0.0013769488934859274
hold,0,30,4,0.31000000000000022,0,0,0,0,0,0,0,31.115524810943519,32.240662178051124,0.00048693529910395078,0.0021992432811183868,0.00017112209958459757,0.00018212997285969675,-0.11252871297159382,0.098130460941291769,-0.03218213000080361,-0.25586667351853876,3.5818290080926301,0.60870706033869537,-0.00048637521427412415,-0.00047456863973495059,0.34863117534360433,0.99998499561532128,0.0008612942469595088,-0.0053627211114900871,0.00071269820089246553,-0.33656611630621058,0.56769926021416794,0.034248941947837175,-0.57079141730164573,-0.5712526442479221,-0.35386247878926502,0.57250598261151608,0.038950114646828661,0.57568786042525832,-0.57612552293046615,-0.006575569020815763,0.0017371164183699068,0.0082580538654794967,-0.0031186714853002496,-0.094094383292139691,0.01010633374313882,0.14100076433549416,0.013698208515789706,-0.42616895547190664,-0.015293321026766676,-0.015303921563113738,0.054143910202689417,0.017036099397955383,0.030821543837520379,0.013105256958797709,-0.014091030927694618,0.025509275347333906,3.1216040878016642,-0.0013377335866537989,-0.059081133576882314,3.2169030688952316,0.0013769488934859274
hold,0,31,0,0.31200000000000022,0,0,0,0,0,0,0,31.116012763260795,32.15719664709853,0.00048799690813619567,0.0025814736693901118,0.0001214709457819882,0.00018194594657563179,-0.11684705652953591,0.094835568667405779,-0.035154891372169317,-0.25582545759182324,3.948651869619952,0.52331137914634751,-0.00049947372218776451,-0.00047051998394285994,0.34864633297524622,0.99998452475919186,0.00085768808037481445,-0.0054489265401682363,0.00072374916160853568,-0.3363074370124125,0.56771813313284525,0.033493160355953282,-0.57081478353636983,-0.57127561173173025,-0.35375397145387977,0.57253817317702638,0.0388993763640679,0.57571221557563546,-0.57615186572875277,-0.0065492539568201532,0.0020243278960453215,0.007578815820946723,-0.0036078821688500509,-0.086194572160218225,0.011144717601028085,0.12933964689902946,0.0094364593386387537,-0.37789079594194741,-0.011683117362068059,-0.011483741904060775,0.054253667692630896,0.016095282755158209,-0.025369141380382106,0.012177575188550631,-0.013171399143326769,0.027395498825521114,3.1218021283393966,-0.00133682484405496,-0.064768237512643503,3.2120360579575076,0.0013778589495381597
hold,0,31,1,0.31400000000000022,0,0,0,0,0,0,0,31.120286180589481,32.095978240766279,0.00048763361097981656,0.0029597523171703373,7.5831063717690249e-05,0.00018176590436981305,-0.11619441292442433,0.09225341398792325,-0.034672992842819994,-0.25393628767349763,3.9560224696882695,0.51031250738341427,-0.00051251537327816734,-0.00046591148281958152,0.34866013206124608,0.99998408978270925,0.00085358533078613527,-0.0055272187672923837,0.00073581670763175899,-0.33607286674283976,0.56773038217042182,0.032829005058034023,-0.5708324549918008,-0.57129253704371785,-0.35364515067477814,0.57256839730008646,0.038736248813581522,0.57573470845885488,-0.57617634458696276,-0.0065208255452013902,0.0023042505616392202,0.0068995429999213478,-0.0040932217897303794,-0.078280066218115577,0.012157179992768604,0.11728513478637931,0.0061245187883109597,-0.33207764895962949,-0.0088357277155108882,-0.0084626559938065799,0.054410389550824743,0.015112061530022062,-0.081563775243188141,0.011246441609723351,-0.012239429105006031,0.027395498825521114,3.1218021283393966,-0.00133682484405496,-0.064768237512643503,3.2120360579575076,0.0013778589495381597
hold,0,31,2,0.31600000000000023,0,0,0,0,0,0,0,31.122784521758895,32.044786496528516,0.00048613446844522623,0.0033450605265913525,3.625286483826672e-05,0.00018159179806527721,-0.11555202410734229,0.089584573852147728,-0.034245115337594001,-0.25065704274785533,3.96287490779231,0.49711448260086577,-0.0005254961076265705,-0.00046075830621764837,0.34867257245142302,0.99998369259232689,0.00084899259743388656,-0.0055975841230781649,0.00074887446791018083,-0.33586302708794058,0.56773759851970729,0.032252106811628066,-0.57084572091736918,-0.57130477405567692,-0.35353591832362896,0.57259664040822311,0.038460345199840366,0.57575538136324811,-0.57619898799681746,-0.0064903671742015806,0.002576588300966561,0.0062201950884707702,-0.0045719241556539192,-0.070351906353559979,0.013143292674676106,0.10491982744959957,0.0036081746427217469,-0.28844912320297977,-0.0066329627841793005,-0.0061185059795085314,0.054616175574577604,0.014121554068335984,-0.13795180687057859,0.01033645219661289,-0.011321704927331297,0.027395498825521114,3.1218021283393966,-0.00133682484405496,-0.064768237512643503,3.2120360579575076,0.0013778589495381597
hold,0,31,3,0.31800000000000023,0,0,0,0,0,0,0,31.123777459688263,32.002291007037883,0.00048374312158459137,0.0037401630972142465,7.3785419114955129e-05,0.00018142493691700919,-0.11491371338190634,0.086842699389739639,-0.033862802114143165,-0.2462500236714576,3.9692276462113627,0.48382067002977036,-0.0005384120053023594,-0.00045507609532692908,0.3486836539428787,0.99998333490042401,0.00084391872949771314,-0.0056600099381376922,0.00076289586709074044,-0.33567839905828989,0.56774110559673641,0.031758585786995232,-0.57085566299170509,-0.57131346159072416,-0.35342616653077297,0.57262294925220036,0.038070911698350564,0.57577432043109833,-0.57621987173036993,-0.0064579488378944524,0.0028411054453596415,0.0055407457278502216,-0.005041744657824517,-0.062411095555416699,0.014102838861379518,0.092314014825342738,0.0017535385145321029,-0.24676051231641843,-0.0049710371679337765,-0.0043437675236306875,0.05487589642801087,0.013154421988629261,-0.19471675074490036,0.0094695339251302003,-0.01044186677623787,0.027395498825521114,3.1218021283393966,-0.00133682484405496,-0.064768237512643503,3.2120360579575076,0.0013778589495381597
hold,0,31,4,0.32000000000000023,0,0,0,0,0,0,0,31.123497757508765,31.96730894479704,0.00048066374388640309,0.004147579279280611,0.0001082578588909299,0.00018126611389069543,-0.11427343381977313,0.084039229324330889,-0.033518447753884573,-0.24092766164993859,3.9750988696295506,0.47051288334272856,-0.00055125926009381239,-0.00044888086378050207,0.3486933763046185,0.99998301822475244,0.00083837440255507556,-0.0057144845066574457,0.00077785429118649551,-0.33551934480588574,0.56774199509250511,0.031344992532462437,-0.57086318132059899,-0.57131954991881351,-0.35331577284771648,0.57264742436787286,0.037566836020389974,0.57579165116258535,-0.57623911386017812,-0.0064236273957265074,0.003097615773213516,0.0048611808698942691,-0.0055008608944450152,-0.054458599673969849,0.015035769465014243,0.079527126202071155,0.00044474788436968372,-0.2067966272663975,-0.0037591644469695045,-0.00304416404467965,0.055196841528249302,0.012237557836247245,-0.25203783898029419,0.0086653657434832606,-0.0096210649040750409,0.027395498825521114,3.1218021283393966,-0.00133682484405496,-0.064768237512643503,3.2120360579575076,0.0013778589495381597
hold,0,32,0,0.32200000000000023,0,0,0,0,0,0,0,31.105338021245597,31.934465461185873,0.00047706631258002258,0.0044950248061404099,0.000140017466692028,0.0001812409740425679,-0.12037062300107365,0.08247180651368527,-0.037883370316070142,-0.2429530573252765,4.432162651408678,0.38059678572341205,-0.00056400120782140782,-0.0004422063035520766,0.34870158146692737,0.99998274922667107,0.00083235542038058864,-0.0057600938695586091,0.0007935692384752692,-0.33538809552823196,0.56774105481416692,0.031008288453209926,-0.57086886030849748,-0.57132366849959482,-0.35320646804515116,0.57266996881883059,0.036949637723770995,0.57580734459765359,-0.57625666953095922,-0.0063709738637976908,0.0033372801142127406,0.004102581154446088,-0.0059643290585742791,-0.045592268675883514,0.015787522771356716,0.065624638826891069,-0.00047013916911859527,-0.16835203962625539,-0.0028394939492379936,-0.0020592903906456565,0.054652401282649581,0.011272225478845096,-0.30859914830948987,0.0078467175341309873,-0.0087778353905340837,0.029652977679769623,3.121431545280271,0.00027697312181961567,-0.071824268854444193,3.2065774812250938,0.00027425169769451364
hold,0,32,1,0.32400000000000023,0,0,0,0,0,0,0,31.102917864049736,31.911465740938407,0.00047309047154239087,0.0049221505106326717,0.00016923524444479904,0.00018139276253018158,-0.11971107479293257,0.079573688825448699,-0.037595492247238127,-0.23600811077430217,4.4370544093389288,0.37021138359434386,-0.00057663417356407926,-0.00043506812059086188,0.34870826924071308,0.99998252913685159,0.0008258757355641428,-0.0057968282753431523,0.00081001992622877275,-0.33528482221918043,0.56773900494943619,0.030745757855324123,-0.57087331702235811,-0.57132647179033624,-0.35309810117457269,0.57269077776546673,0.036217482112742255,0.57582158683945328,-0.57627272431168308,-0.0063164828713357301,0.0035690914806073572,0.0033438868928640118,-0.0064137836344396156,-0.036716204938160496,0.0165184783020614,0.051636654525765269,-0.0010249323653778158,-0.13126529894290184,-0.0022283569303100052,-0.0014016453707243427,0.054183435289220969,0.010404473318072736,-0.36607780551436869,0.0071211208998177384,-0.0080273903619230754,0.029652977679769623,3.121431545280271,0.00027697312181961567,-0.071824268854444193,3.2065774812250938,0.00027425169769451364
