component,index,fixed,compatible,delta
left_Fx,0,0.0,-0.06319271068216474,-0.06319271068216474
right_Fx,6,0.0,-0.187485780522428,-0.187485780522428
left_Ty,4,0.0,0.0025935527300793705,0.0025935527300793705
right_Ty,10,0.0,0.0027966651369644964,0.0027966651369644964
