scenario,episode,tick,time_s,status,safety_latched,command_accepted,contact_left,contact_right,x_m,vx_m_s,pitch_rad,wy_rad_s,roll_rad,wx_rad_s,yaw_rad,wz_rad_s,y_m,height_m,vy_m_s,vz_m_s,zoh_ctrl_max_difference,left_normal_load_n,right_normal_load_n,maximum_penetration_m,maximum_abs_rolling_slip_m_s,maximum_abs_lateral_slip_m_s,closure_residual_m,q0,q1,q2,q3,q4,q5,dq0,dq1,dq2,dq3,dq4,dq5,support0,support1,support2,support3,support4,support5,pd0,pd1,pd2,pd3,pd4,pd5,raw0,raw1,raw2,raw3,raw4,raw5,tau0,tau1,tau2,tau3,tau4,tau5,ctrl0,ctrl1,ctrl2,ctrl3,ctrl4,ctrl5,u0,u1,u2
hold,0,0,0.01,0,0,1,2,2,0,0,-0.001,0,0,0,0,0,8.1000000000000019e-07,0.31536262203222964,0,0,0,30.960611214803677,32.143952015329965,0.00048400630865291089,0.0014122588705513675,4.3325785934235426e-05,0.00018264283718957703,-0.97199891583533837,1.6393957458903228,0,-0.98339093564557467,1.6394010277077622,0,-0,-0,-0,-0,-0,-0,-0.044217794267602542,-3.1325438643315864,0,0.041124284318536736,-3.2506637741279025,0,0,0,0,0,0,0,-0.044211602146939068,-3.1327057325291046,0.014002078335771155,0.04111818629812479,-3.2505071857306254,0.01340487821656542,-0.044211602146939068,-3.1327057325291046,0.014002078335771155,0.04111818629812479,-3.2505071857306254,0.01340487821656542,0.044211602146939068,3.1327057325291046,-0.014002078335771155,-0.04111818629812479,3.2505071857306254,-0.01340487821656542,0.013703478276168288,0.00022538138286217136,0.0002986000596028681
hold,0,1,0.020000000000000004,0,0,1,2,2,5.4996961151854151e-07,8.7280268032041512e-05,-0.00099640365967023888,0.00058571193866127668,-2.3705671716495653e-05,-0.0045379135764787408,-3.2671707232405426e-06,-0.00067025325754518743,7.3607815739366777e-06,0.3153633928533921,0.0012679455422038703,0.00012933414052151976,0,31.006563633121427,32.061451778777361,0.00047749933200627592,0.00231413696176422,0.00020242400555513544,0.00018267804381875128,-0.97201040215576107,1.6394666129965811,-0.0002629656632473006,-0.98336038051555941,1.639411407342926,-0.00023483570611805137,0.0018418487635280811,0.01000059003928155,-0.061401917918936372,0.0099976710997439489,-0.0019046116400957722,-0.054686166718156237,-0.044217794267602542,-3.1325438643315864,0,0.041124284318536736,-3.2506637741279025,0,-0.0017499582001465341,-0.010567526889348474,0,-0.010242112139866061,0.0018215745587852503,0,-0.045958435785302232,-3.1433549385735269,0.013335440004393913,0.030872997079731217,-3.2486065962190573,0.01230600077454571,-0.045958435785302232,-3.1433549385735269,0.013335440004393913,0.030872997079731217,-3.2486065962190573,0.01230600077454571,0.045958435785302232,3.1433549385735269,-0.013335440004393913,-0.030872997079731217,3.2486065962190573,-0.01230600077454571,0.012820720389469811,0.00033910947277604399,0.00051471961492410151
hold,0,2,0.030000000000000013,0,0,1,2,2,2.7084737059257513e-06,0.0002994182453155305,-0.0010555495891348518,-0.010252907364612795,-9.5300351698866684e-05,-0.0088445079999516386,-9.9511706536295012e-06,-0.00066419274625362094,2.7992104340360508e-05,0.31536551338324065,0.0025821048072381986,0.00026697287005067672,0,31.086875239174574,32.01050814293788,0.00047330989295903819,0.0024582351446624708,0.0003821636115370979,0.000182699562748383,-0.97199870673995425,1.6395961158255052,-0.0014167893065619476,-0.98322710470269925,1.639347157296773,-0.0012424052529949267,0.00095462319608675993,0.014778632887236902,-0.1520214087616219,0.015743529582899041,-0.0095550408800484966,-0.13205220785871785,-0.044217794267602542,-3.1325438643315864,0,0.041124284318536736,-3.2506637741279025,0,-0.00095629595915970621,-0.016381592368696622,0,-0.017054177125902403,0.0099860041679616408,0,-0.045152977859910452,-3.1494773549841453,0.021872496768116,0.024049315665627093,-3.2401438734376149,0.019993905985851455,-0.045152977859910452,-3.1494773549841453,0.021872496768116,0.024049315665627093,-3.2401438734376149,0.019993905985851455,0.045152977859910452,3.1494773549841453,-0.021872496768116,-0.024049315665627093,3.2401438734376149,-0.019993905985851455,0.020933201376983727,0.00076844988900468621,0.00093929539113227103
hold,0,3,0.040000000000000022,0,0,1,2,2,8.193324768646093e-06,0.00071093553425460659,-0.0012547286619031949,-0.026365119927366204,-0.00020365956354493028,-0.012127011536009735,-1.2593747729618222e-05,-1.2712799174820296e-05,6.0232357836172669e-05,0.31536899282828113,0.0036402396206544349,0.00040161711046171405,0,31.226894359504108,32.038805623505347,0.00047177074818954834,0.0019188279771130291,0.00054558926319491722,0.00018273730541706201,-0.97205223710236599,1.6397615806055339,-0.0032437292055380374,-0.9831086238728346,1.6392084781821408,-0.0027859194839923679,-0.0093229279199989398,0.017715963622764726,-0.20479142458686742,0.0094560634452683472,-0.016715846760206429,-0.17073961475961347,-0.044217794267602542,-3.1325438643315864,0,0.041124284318536736,-3.2506637741279025,0,0.0097494980562198783,-0.020642641344453701,0,-0.011714557627188937,0.018256242965177801,0,-0.034430266747502845,-3.1541806337147769,0.035554822762552424,0.029372275152594302,-3.2314458294902457,0.032478463127599819,-0.034430266747502845,-3.1541806337147769,0.035554822762552424,0.029372275152594302,-3.2314458294902457,0.032478463127599819,0.034430266747502845,3.1541806337147769,-0.035554822762552424,-0.029372275152594302,3.2314458294902457,-0.032478463127599819,0.034016642945076121,0.0013841999574229352,0.0015381798174763052
hold,0,4,0.050000000000000031,0,0,1,2,2,1.7759707285236459e-05,0.0011164581188862013,-0.0015197773953958592,-0.026599652220884264,-0.00033984572286186013,-0.014585152290395014,-6.5186901110016273e-06,0.00099658539648625022,0.00010162718765538476,0.31537529744343618,0.0044604621035495935,0.00078280960818832412,0,31.252021828436732,31.9698582616866,0.00047233456222069842,0.0018808125598365096,0.00067910179332916418,0.00018280087441541,-0.97215030977088779,1.6399381622823155,-0.005274198039512277,-0.98300485688292027,1.6389926743914964,-0.0044044666806017409,-0.0099007754830255229,0.017666255588316946,-0.20399139067910788,0.011177403008790629,-0.024722267897839108,-0.15783354435499045,-0.044217794267602542,-3.1325438643315864,0,0.041124284318536736,-3.2506637741279025,0,0.011111926967420846,-0.022005586724258595,0,-0.014266033110025797,0.027989094427965218,0,-0.033056344488142014,-3.1558440266554726,0.038204317348341489,0.026809480983399494,-3.2214223304342484,0.033508342393582198,-0.033056344488142014,-3.1558440266554726,0.038204317348341489,0.026809480983399494,-3.2214223304342484,0.033508342393582198,0.033056344488142014,3.1558440266554726,-0.038204317348341489,-0.026809480983399494,3.2214223304342484,-0.033508342393582198,0.035856329870961844,0.0018025359109300673,0.0023479874773796451
hold,0,5,0.060000000000000039,0,0,1,2,2,3.1477543167610089e-05,0.001538240116710791,-0.0017934357906733386,-0.027876936890651419,-0.00049635144053113709,-0.016336500270366719,1.0668182302665099e-05,0.0021712306483583949,0.00014991962572072956,0.3153846837490662,0.0050633888917547111,0.0010425229620026468,0,31.286833583400625,31.923805883927713,0.00047420665953047669,0.0017898006307073781,0.00078085798727867096,0.00018287257680253466,-0.97226071600475494,1.6401158440958814,-0.0073072248763492859,-0.9828963066589208,1.6387114699124203,-0.0059348152883569993,-0.011552613838242546,0.017858330023416739,-0.2047665302546226,0.010833699714005232,-0.030299280331903208,-0.15149144944609969,-0.044217794267602542,-3.1325438643315864,0,0.041124284318536736,-3.2506637741279025,0,0.013647015193575111,-0.023619115667885764,0,-0.014790731607236166,0.035815742694638053,0,-0.030507889613019316,-3.1578069731077312,0.041766106099264413,0.026271618967149583,-3.2132576619233513,0.035241924860483109,-0.030507889613019316,-3.1578069731077312,0.041766106099264413,0.026271618967149583,-3.2132576619233513,0.035241924860483109,0.030507889613019316,3.1578069731077312,-0.041766106099264413,-0.026271618967149583,3.2132576619233513,-0.035241924860483109,0.038504015479873761,0.0022890564412078413,0.0032620906193906525
hold,0,6,0.070000000000000048,0,0,1,2,2,4.9358712130020965e-05,0.0019511593302560866,-0.0020676523805795146,-0.027117167449040365,-0.00066657989056267573,-0.017458745755200671,4.0096770756779008e-05,0.0034261440200265636,0.00020304963220145572,0.31539639318474072,0.0054680624483203835,0.0012567347993072966,0,31.303637272167428,31.871331148920092,0.00047680013422319451,0.001786826985100097,0.000852184935115199,0.00018294920356996962,-0.97237732886825379,1.6402933406922513,-0.0093274969555987783,-0.98278414095824895,1.6383843100769511,-0.0074188611467720152,-0.011475361045935091,0.01768129470422336,-0.20206983627350061,0.011672219613216286,-0.034256517698253205,-0.14792507861221499,-0.044217794267602542,-3.1325438643315864,0,0.041124284318536736,-3.2506637741279025,0,0.014502665309258407,-0.024862053119651562,0,-0.016526577111822031,0.042390258744742212,0,-0.029638830780143541,-3.1594004277733778,0.043875896794597496,0.024522568514601373,-3.2063440617938461,0.035349897021298357,-0.029638830780143541,-3.1594004277733778,0.043875896794597496,0.024522568514601373,-3.2063440617938461,0.035349897021298357,0.029638830780143541,3.1594004277733778,-0.043875896794597496,-0.024522568514601373,3.2063440617938461,-0.035349897021298357,0.039612896907947927,0.0027771081746106588,0.0042629998866495671
hold,0,7,0.080000000000000057,0,0,1,2,2,7.138602335551858e-05,0.0023670635853586018,-0.0023389396460589996,-0.027134431586570331,-0.00084464471450372699,-0.018019741282435223,8.2307818881001456e-05,0.0047192238376599143,0.00025914923466308787,0.31540978108196038,0.0056937758909389492,0.0013937940819515055,0,31.32283829696869,31.830630917679304,0.00047970820697997713,0.0017547356011349616,0.00089550257981132857,0.0001830273520791818,-0.97249477672748408,1.6404684173326589,-0.011338419848705586,-0.98266627617590052,1.6380277539442205,-0.008929438417427207,-0.011655445342926308,0.017378018109749975,-0.20224632576874774,0.012079352440420037,-0.036537491715051502,-0.15469345913826074,-0.044217794267602542,-3.1325438643315864,0,0.041124284318536736,-3.2506637741279025,0,0.01562233248009195,-0.025959389648439073,0,-0.01787662819781323,0.047523681823384963,0,-0.028504729750171702,-3.160875079746893,0.046545164355311863,0.02315830291755136,-3.2008456305068971,0.035914081604640088,-0.028504729750171702,-3.160875079746893,0.046545164355311863,0.02315830291755136,-3.2008456305068971,0.035914081604640088,0.028504729750171702,3.160875079746893,-0.046545164355311863,-0.02315830291755136,3.2008456305068971,-0.035914081604640088,0.041229622979975976,0.0033024731197443206,0.0053155413753358839
hold,0,8,0.090000000000000066,0,0,1,2,2,9.7599935609440913e-05,0.002787606191803614,-0.0026111887650473622,-0.027282159014340238,-0.0010252893047207113,-0.018079625698818106,0.0001376699071625554,0.0060493204273856889,0.00031653904657645955,0.31542427557179215,0.0057590739240095147,0.0014869266257912315,0,31.339150830722765,31.794568492768249,0.00048268017317332906,0.0017062677986959401,0.00091355688987512654,0.00018310588573034004,-0.97261342721761779,1.640638261683171,-0.013349696156195391,-0.9825430814756857,1.6376556992316276,-0.010556292547570512,-0.011729934149475324,0.016699652385211552,-0.20218309356656483,0.012719299035961359,-0.037612698848228099,-0.16965435964397099,-0.044217794267602542,-3.1325438643315864,0,0.041124284318536736,-3.2506637741279025,0,0.016646025207710642,-0.026639778727996957,0,-0.019502132395073143,0.051575326657305076,0,-0.027466128861970189,-3.1619451829830378,0.049307157507675767,0.021518117115639453,-3.1964169831727212,0.036498446519494424,-0.027466128861970189,-3.1619451829830378,0.049307157507675767,0.021518117115639453,-3.1964169831727212,0.036498446519494424,0.027466128861970189,3.1619451829830378,-0.049307157507675767,-0.021518117115639453,3.1964169831727212,-0.036498446519494424,0.042902802013585095,0.0038451017328956002,0.0064043554940906699
hold,0,9,0.10000000000000007,0,0,1,2,2,0.00012808339670986046,0.0032187918948429588,-0.0028877833025163584,-0.027906717455150835,-0.0012038312680114024,-0.017694091574413404,0.00020669640659733528,0.0074410540911644179,0.00037372112544597087,0.31543948413670064,0.0056818027066824492,0.0015438927029408217,0,31.355702128890691,31.764133597064731,0.00048555471515428217,0.001616323305873614,0.00090914161460733294,0.00018318232738834099,-0.97273465482384081,1.6407990104811438,-0.015355515538631853,-0.98241306292718167,1.6372788730875465,-0.012384282714373694,-0.012107520092223828,0.015632291101135235,-0.2013138188820594,0.013462747857931924,-0.037701084418553549,-0.19337531993243601,-0.044217794267602542,-3.1325438643315864,0,0.041124284318536736,-3.2506637741279025,0,0.017993432000243288,-0.026858407827703826,0,-0.021285729605075944,0.054678321380279143,0,-0.026103369706289913,-3.1625651381365159,0.052427834742536428,0.019719400848865348,-3.1929257528079757,0.037396777182202551,-0.026103369706289913,-3.1625651381365159,0.052427834742536428,0.019719400848865348,-3.1929257528079757,0.037396777182202551,0.026103369706289913,3.1625651381365159,-0.052427834742536428,-0.019719400848865348,3.1929257528079757,-0.037396777182202551,0.044912305962369489,0.0044038984722460199,0.0075155287801669385
