index,singular_value
0,18.076142992532123
1,11.172537127290722
2,4.070067492473444
3,0.8905872744036493
4,0.19692254357935407
5,0.0224064798696153
6,8.024266055493385e-16
7,1.5471417225526134e-16
8,0.0
9,0.0
10,0.0
11,0.0
