case_id,removed_family,rank_a_eq_minus_family,nullity_minus_family,rank_k_w_minus_family,singular_values,projector_change_frobenius,normalized_projection_residual,equality_direction_reachable,direct_equality_feasible_restored,materially_expands_reachable_subspace,solver_status,equality_residual,wrench_equality_residual
P48B-H0-NOMINAL,production_dynamics,10,32,9,"[50.67825195426864, 50.34459467818495, 50.25870749054525, 50.05247702426656, 48.69313357933964, 0.5531444232701777, 0.198117514901917, 0.07590555698397729, 0.052346767365174005, 5.6876017198612615e-15, 4.889104470227216e-16, 1.120024410851082e-16]",1.7320508075688654,0.09153540202069929,NO,NO,YES,2,0.10596752066113951,0.031488284125578025
P48B-H0-DIFFERENTIAL-TZ-POSITIVE,production_dynamics,10,32,9,"[50.67825195426864, 50.34459467818495, 50.25870749054525, 50.05247702426656, 48.69313357933964, 0.5531444232701777, 0.198117514901917, 0.07590555698397729, 0.052346767365174005, 5.6876017198612615e-15, 4.889104470227216e-16, 1.120024410851082e-16]",1.7320508075688654,0.05016707348292772,NO,NO,YES,2,0.060838075652905645,0.018032248849704544
P48B-H0-COMMON-FX-NEGATIVE,production_dynamics,10,32,9,"[50.67825195426864, 50.34459467818495, 50.25870749054525, 50.05247702426656, 48.69313357933964, 0.5531444232701777, 0.198117514901917, 0.07590555698397729, 0.052346767365174005, 5.6876017198612615e-15, 4.889104470227216e-16, 1.120024410851082e-16]",1.7320508075688654,0.0074675929924440665,NO,NO,YES,2,0.009056131546461737,0.0026842124902782018
P48B-H0-NOMINAL,primitive_contact_response,12,30,12,"[50.05718485157247, 35.68607862418071, 28.520660840286748, 12.008227057654379, 8.949959044110422, 6.6960948501917406, 2.4999174016607912, 2.4967981021864945, 1.6170449047989504, 1.52075210366811, 0.08649816351336942, 0.03158570291951746]",2.4494897427831743,1.5807667674838655e-15,YES,YES,YES,0,7.355227538141662e-16,2.989275493803234e-14
P48B-H0-DIFFERENTIAL-TZ-POSITIVE,primitive_contact_response,12,30,12,"[50.05718485157247, 35.68607862418071, 28.520660840286748, 12.008227057654379, 8.949959044110422, 6.6960948501917406, 2.4999174016607912, 2.4967981021864945, 1.6170449047989504, 1.52075210366811, 0.08649816351336942, 0.03158570291951746]",2.4494897427831743,6.040594008329408e-17,YES,YES,YES,0,6.573730742136521e-16,1.4876988529977098e-14
P48B-H0-COMMON-FX-NEGATIVE,primitive_contact_response,12,30,12,"[50.05718485157247, 35.68607862418071, 28.520660840286748, 12.008227057654379, 8.949959044110422, 6.6960948501917406, 2.4999174016607912, 2.4967981021864945, 1.6170449047989504, 1.52075210366811, 0.08649816351336942, 0.03158570291951746]",2.4494897427831743,1.5114902721566355e-15,YES,YES,YES,0,6.57022606283882e-16,1.509903313490213e-14
