case_id,normalized_linf_unreachable,normalized_l2_unreachable,relative_projection_ratio,angle_deg,dominant_unreachable_channel,equality_direction_reachable,requested_delta_left_Fx,requested_delta_left_Fy,requested_delta_left_Fz,requested_delta_left_Tx,requested_delta_left_Ty,requested_delta_left_Tz,requested_delta_right_Fx,requested_delta_right_Fy,requested_delta_right_Fz,requested_delta_right_Tx,requested_delta_right_Ty,requested_delta_right_Tz,reachable_projection_left_Fx,reachable_projection_left_Fy,reachable_projection_left_Fz,reachable_projection_left_Tx,reachable_projection_left_Ty,reachable_projection_left_Tz,reachable_projection_right_Fx,reachable_projection_right_Fy,reachable_projection_right_Fz,reachable_projection_right_Tx,reachable_projection_right_Ty,reachable_projection_right_Tz,unreachable_component_left_Fx,unreachable_component_left_Fy,unreachable_component_left_Fz,unreachable_component_left_Tx,unreachable_component_left_Ty,unreachable_component_left_Tz,unreachable_component_right_Fx,unreachable_component_right_Fy,unreachable_component_right_Fz,unreachable_component_right_Tx,unreachable_component_right_Ty,unreachable_component_right_Tz,selected_for_deep_attribution
P48B-H0-NOMINAL,0.12552971006032715,0.13882222577626513,0.9993604863283678,2.04920635666981,right_Tx,NO,-0.11169740986989656,-0.11251887952263932,-9.221152687836224,-0.17121616102766846,-0.0017015691883952772,0.001153020417843922,-0.3350176578368259,-0.10527989780143471,-8.260089883315594,0.3839166162748975,0.005001813091909206,-0.0003892454477836503,-0.1088695142185736,-0.13101382222307248,-9.156243671946346,-0.07475784347039119,-0.07110591365417239,-0.03828736125282972,-0.33786633581995534,0.1533646994728084,-8.328277770264469,0.0700923411240796,0.07372166213116593,-0.03743601039685519,-0.002827895651322951,0.018494942700433156,-0.06490901588987796,-0.09645831755727727,0.06940434446577712,0.039440381670673645,0.002848677983129433,-0.2586445972742431,0.06818788694887523,0.3138242751508179,-0.06871984903925672,0.03704676494907154,True
P48B-H0-COMMON-FX-POSITIVE,0.0074550259751212464,0.010524115966880236,0.9999723065442888,0.426409830740646,right_Tz,NO,2.5,0.0,-5.254833013168536e-08,0.0,0.00045233009344160593,0.0,2.5,0.0,3.8714141226137144e-08,0.0,0.0006382362647695886,0.0,2.4998662272559637,0.00021911860677914508,5.7018781828864495e-05,1.2888163763823861e-05,0.0004285996422609406,-0.01857060340333114,2.4998568296623542,-5.26499659053159e-05,-5.730962506973747e-05,-5.797905919249433e-07,0.0007034211377008742,0.018637564937803115,0.0001337727440362535,-0.00021911860677914508,-5.707133015899618e-05,-1.2888163763823861e-05,2.373045118066533e-05,0.01857060340333114,0.00014317033764577047,5.26499659053159e-05,5.7348339210963606e-05,5.797905919249433e-07,-6.518487293128566e-05,-0.018637564937803115,False
P48B-H0-COMMON-FX-NEGATIVE,0.0074550259751212464,0.010524115966880236,0.9999723065442888,0.426409830740646,right_Tz,NO,-2.5,0.0,5.254833013168536e-08,0.0,-0.00045233009344160637,0.0,-2.5,0.0,-3.8714141226137144e-08,0.0,-0.0006382362647695886,0.0,-2.4998662272559637,-0.00021911860677914508,-5.7018781828864495e-05,-1.2888163763823861e-05,-0.0004285996422609406,0.01857060340333114,-2.4998568296623542,5.26499659053159e-05,5.730962506973747e-05,5.797905919249433e-07,-0.0007034211377008742,-0.018637564937803115,-0.0001337727440362535,0.00021911860677914508,5.707133015899618e-05,1.2888163763823861e-05,-2.3730451180665763e-05,-0.01857060340333114,-0.00014317033764577047,-5.26499659053159e-05,-5.7348339210963606e-05,-5.797905919249433e-07,6.518487293128566e-05,0.018637564937803115,True
P48B-H0-COMMON-FZ-POSITIVE,0.007487450164081806,0.010582461964586088,0.9999718793012164,0.4296864931504461,left_Tx,NO,-5.25483279251171e-08,0.0,2.5,5.551115123125783e-16,0.00029043130184910546,0.0,3.871414225309344e-08,0.0,2.5,9.992007221626409e-16,-0.00015164502629985309,0.0,-4.1608731997864936e-05,-0.0007626420737845578,2.5001034583012167,0.01871862541020507,-0.0004311065167364947,-0.00031966659765064314,4.1259010221680794e-05,0.0015308681057786384,2.499615465899431,-0.018663247746622334,0.0005641001280403058,-0.0002855982777458205,4.155618366993982e-05,0.0007626420737845578,-0.00010345830121671895,-0.018718625410204515,0.0007215378185856001,0.00031966659765064314,-4.12202960794277e-05,-0.0015308681057786384,0.000384534100569045,0.018663247746623333,-0.0007157451543401589,0.0002855982777458205,False
P48B-H0-COMMON-FZ-NEGATIVE,0.007487450164081806,0.010582461964586088,0.9999718793012164,0.4296864931504461,left_Tx,NO,5.25483279251171e-08,0.0,-2.5,-5.551115123125783e-16,-0.00029043130184910546,0.0,-3.871414225309344e-08,0.0,-2.5,-9.992007221626409e-16,0.00015164502629985309,0.0,4.1608731997864936e-05,0.0007626420737845578,-2.5001034583012167,-0.01871862541020507,0.0004311065167364947,0.00031966659765064314,-4.1259010221680794e-05,-0.0015308681057786384,-2.499615465899431,0.018663247746622334,-0.0005641001280403058,0.0002855982777458205,-4.155618366993982e-05,-0.0007626420737845578,0.00010345830121671895,0.018718625410204515,-0.0007215378185856001,-0.00031966659765064314,4.12202960794277e-05,0.0015308681057786384,-0.000384534100569045,-0.018663247746623333,0.0007157451543401589,-0.0002855982777458205,False
P48B-H0-COMMON-TY-POSITIVE,0.043317486272220124,0.07316330019896189,0.9914312744395819,7.505961764924197,left_Ty,NO,2.5,3.483685562244432e-12,1.6051955841989383,1.9984014443252818e-15,0.0006388097229474837,-3.068808011527646e-12,2.5,-4.959643806756731e-13,-0.594000388242371,-5.551115123125783e-16,0.0006742671512650895,-5.522004294794547e-14,2.492737268907163,0.03603546923609969,1.4857625163084112,0.008957098672025824,0.10893252540349779,0.05100300825637316,2.507043822819843,-0.44771345954319103,-0.4744289335530493,-0.02161889590781159,-0.1064616969770545,0.08077652307937691,0.007262731092836816,-0.036035469232616,0.1194330678905271,-0.008957098672023826,-0.10829371568055031,-0.05100300825944197,-0.007043822819842838,0.44771345954269504,-0.11957145468932168,0.021618895907811034,0.10713596412831959,-0.08077652307943213,False
P48B-H0-COMMON-TY-NEGATIVE,0.043317486272220124,0.07316330019896189,0.9914312744395819,7.505961764924197,left_Ty,NO,-2.5,-3.483685562244432e-12,-1.6051955841989383,-1.9984014443252818e-15,-0.0006388097229474837,3.068808011527646e-12,-2.5,4.959643806756731e-13,0.594000388242371,5.551115123125783e-16,-0.0006742671512650895,5.522004294794547e-14,-2.492737268907163,-0.03603546923609969,-1.4857625163084112,-0.008957098672025824,-0.10893252540349779,-0.05100300825637316,-2.507043822819843,0.44771345954319103,0.4744289335530493,0.02161889590781159,0.1064616969770545,-0.08077652307937691,-0.007262731092836816,0.036035469232616,-0.1194330678905271,0.008957098672023826,0.10829371568055031,0.05100300825944197,0.007043822819842838,-0.44771345954269504,0.11957145468932168,-0.021618895907811034,-0.10713596412831959,0.08077652307943213,False
P48B-H0-DIFFERENTIAL-FY-POSITIVE,0.1341500903050426,0.23700799058227734,0.5994237948442581,53.171358871948385,left_Ty,NO,0.0,2.5,0.0,0.0,6.305719835175694e-16,4.336808689942018e-19,0.0,-2.5,0.0,0.0,1.2663481374630692e-16,-2.168404344971009e-19,0.12826623047738495,1.8748943480292617,0.548948269534279,0.11299931809807662,0.3353752257626071,0.22874926070348997,-0.12796966813111313,0.0783499189017966,-0.5513010402612797,0.02413516339823399,-0.33472643831688337,0.2041865285845991,-0.12826623047738495,0.6251056519707383,-0.548948269534279,-0.11299931809807662,-0.3353752257626065,-0.22874926070348997,0.12796966813111313,-2.5783499189017967,0.5513010402612797,-0.02413516339823399,0.3347264383168835,-0.2041865285845991,False
P48B-H0-DIFFERENTIAL-FY-NEGATIVE,0.1341500903050426,0.23700799058227734,0.5994237948442581,53.171358871948385,left_Ty,NO,0.0,-2.5,0.0,0.0,-6.305719835175694e-16,-4.336808689942018e-19,0.0,2.5,0.0,0.0,-1.2663481374630692e-16,2.168404344971009e-19,-0.12826623047738495,-1.8748943480292617,-0.548948269534279,-0.11299931809807662,-0.3353752257626071,-0.22874926070348997,0.12796966813111313,-0.0783499189017966,0.5513010402612797,-0.02413516339823399,0.33472643831688337,-0.2041865285845991,0.12826623047738495,-0.6251056519707383,0.548948269534279,0.11299931809807662,0.3353752257626065,0.22874926070348997,-0.12796966813111313,2.5783499189017967,-0.5513010402612797,0.02413516339823399,-0.3347264383168835,0.2041865285845991,False
P48B-H0-DIFFERENTIAL-TX-POSITIVE,0.050021735622650665,0.07064686994454797,0.030587644744030022,88.24718365476474,right_Tx,NO,0.0,0.0,0.0,0.125,0.0,-6.938893903907228e-18,0.0,0.0,0.0,-0.125,0.0,-3.469446951953614e-18,0.0003085572515610513,0.0046688251207224925,0.0022418857412575934,0.00028824005937340294,0.0008296660447836922,0.0005652847656300201,-0.0003078225962133966,0.00022561738573037018,-0.00037293866572216637,5.433905662665491e-05,-0.0008277416660618776,0.0005045918493961216,-0.0003085572515610513,-0.0046688251207224925,-0.0022418857412575934,0.1247117599406266,-0.0008296660447836922,-0.000565284765630027,0.0003078225962133966,-0.00022561738573037018,0.00037293866572216637,-0.12505433905662666,0.0008277416660618776,-0.000504591849396125,False
