candidate,source,tick,channel,side,qp_contact_gain,mj_contact_gain,mj_actuator_gain,mj_mass_times_qacc_gain,mj_other_gain,mj_wheel_qacc_gain
B,common,0,native_common,left,0.00035181169189970425,0.0001760263138063366,5.191961926429267e-06,-0.00018121827573258208,-0.00036243655146534794,-0.5092435809812689
B,common,0,native_common,right,0.00034961614315995716,0.00017555017120187365,5.191961640689173e-06,-0.00018074213284283825,-0.0003614842656854011,-0.5083472339977402
B,common,0,native_differential,left,-0.00032013758365064546,-0.0001615739578658339,5.580090772302178e-09,0.0001615683777748986,0.00032313675554996023,0.5544021100789939
B,common,0,native_differential,right,0.000317650959383437,0.0001609577593361486,1.2235363172821532e-08,-0.00016096999469917785,-0.00032193998939849925,-0.5542392547234465
B,common,46,native_common,left,0.00035126521343721573,0.00017490971226558918,5.193937231283785e-06,-0.00018010364949657114,-0.00036020729899344413,-0.5069432374797822
B,common,46,native_common,right,0.00035063627783920876,0.0001772548674725395,5.193955036291491e-06,-0.00018244882250876676,-0.00036489764501759775,-0.5117630241060933
B,common,46,native_differential,left,-0.00032232495658447973,-0.000147818208651487,5.8488793734672815e-08,0.00014775971985759445,0.00029551943971534676,0.5094878416879256
B,common,46,native_differential,right,0.0003232249763664586,0.00015317596210948385,6.531734337896884e-08,-0.00015324127945284395,-0.0003064825589057068,-0.5180659908907237
B,common,74,native_common,left,0.00013697721761178833,-0.00017818503978980034,0.00021986093058082537,-4.167589079248364e-05,-8.33517815835087e-05,-0.1137899537477649
B,common,74,native_common,right,0.00013967416448198988,-0.00017507729628781377,0.0002198610215846433,-4.478372529701138e-05,-8.956745059384092e-05,-0.12170024017974068
B,common,74,native_differential,left,-0.0003390914441174812,-0.00011853356323507196,5.653755656719105e-06,0.00011287980758115175,0.0002257596151595046,0.3840326113565218
B,common,74,native_differential,right,0.00033188206578421003,0.00010924994740977786,5.661155552842958e-06,-0.00011491110296282323,-0.00022982220592544404,-0.37949091055499373
B,common,101,native_common,left,6.17284001691587e-13,-8.164476039684843e-13,1.0418835932890502e-12,-2.2481776367933069e-13,-4.502537529998967e-13,-5.880096409782709e-10
B,common,101,native_common,right,6.764033777528766e-13,-7.889522368742519e-13,1.042351968627564e-12,-2.526233090763378e-13,-5.0602304082965e-13,-6.323830348264892e-10
B,common,101,native_differential,left,-1.6169010574884624e-12,-4.414350829318181e-13,3.2014321749151975e-14,4.095857541756801e-13,8.190065153583462e-13,1.3450929259306577e-09
B,common,101,native_differential,right,1.615513278707681e-12,4.0061703954208383e-13,3.191891195797325e-14,-4.309034156969215e-13,-8.634393671969785e-13,-1.3342571492103161e-09
B,common,110,native_common,left,-2.315370117855764e-12,-2.1240648129250417e-12,2.571692858666097e-12,-4.4841519761618627e-13,-8.960432433572414e-13,-1.2168044349891716e-09
B,common,110,native_common,right,-2.6219304505303853e-12,-2.43458031512489e-12,2.891298311880064e-12,-4.56341221928646e-13,-9.130592186838198e-13,-1.191935439237568e-09
B,common,110,native_differential,left,6.492029136495603e-13,5.749567488777529e-13,-9.11978825790527e-13,3.3662659517723613e-13,6.736486720900102e-13,9.143974466496729e-10
B,common,110,native_differential,right,-1.7123802376062258e-12,-1.5710349687836356e-12,1.9576007481703073e-12,-3.8616614647417057e-13,-7.727319258608422e-13,-1.0672351891116705e-09
B,own,0,native_common,left,0.00035181169189970425,0.0001760263138060049,5.191961926429267e-06,-0.0001812182757325964,-0.00036243655146503054,-0.5092435809813055
B,own,0,native_common,right,0.00034961614315995716,0.00017555017120192895,5.191961640689173e-06,-0.0001807421328428593,-0.00036148426568547744,-0.5083472339977868
B,own,0,native_differential,left,-0.00032013758365064546,-0.0001615739578658891,5.580090772302178e-09,0.00016156837777490243,0.00032313675555001927,0.5544021100789989
B,own,0,native_differential,right,0.000317650959383437,0.00016095775933576087,1.2235363172821532e-08,-0.00016096999469917983,-0.0003219399893981135,-0.5542392547234365
B,own,93,native_common,left,0.00035059208977960415,0.00017427915516781724,5.1391505521816725e-06,-0.0001794183057195066,-0.00035883661143950554,-0.5070115492829741
B,own,93,native_common,right,0.0003484360947342974,0.0001745278653421476,5.139159285482586e-06,-0.0001796670246271544,-0.0003593340492547846,-0.5069965023151246
B,own,93,native_differential,left,-0.00031930393485930797,-0.00016017006975427728,2.2587637635912894e-08,0.00016014748211733138,0.00032029496423397277,0.5513899898257835
B,own,93,native_differential,right,0.00031716957331621304,0.00016293473196972615,2.9217282818117234e-08,-0.00016296394925169325,-0.00032592789850423754,-0.5576199541351023
B,own,97,native_common,left,0.00035008979690304143,0.00017346476404780974,5.109520861297298e-06,-0.0001785742849087669,-0.00035714856981787393,-0.5057851069361252
B,own,97,native_common,right,0.0003477799736249093,0.00017370713393944671,5.1095292541504114e-06,-0.0001788166631933442,-0.00035763332638694134,-0.5058026869165744
B,own,97,native_differential,left,-0.00031913524139413896,-0.0001598681341743449,2.1360093736846978e-08,0.00015984677407986238,0.00031969354816047043,0.5507135868940871
B,own,97,native_differential,right,0.0003168449127417122,0.0001624646444869796,2.7980120782753604e-08,-0.0001624926246080469,-0.00032498524921580925,-0.5566363908746652
B,own,98,native_common,left,1.9377832671807482e-11,1.5337852515839856e-11,-4.713430141591664e-12,-1.0624277770012957e-11,-2.124870014426115e-11,-3.003705728588102e-08
B,own,98,native_common,right,1.9972981601945605e-11,1.5749450354984873e-11,-4.713720131791486e-12,-1.1035569272712418e-11,-2.2071299495905803e-11,-3.1392763943927093e-08
B,own,98,native_differential,left,-1.2117945535905505e-11,-5.878002078130162e-12,-1.8968050939064014e-13,6.067539696335201e-12,1.2135222283856004e-11,2.1169466180026575e-08
B,own,98,native_differential,right,1.357983170358068e-11,7.222928852246291e-12,-1.9220158437352995e-13,-7.031239312833533e-12,-1.4061966580706294e-11,-2.384057395943273e-08
B,own,101,native_common,left,2.0288631885634345e-12,1.613487989049478e-12,-5.012413518913541e-13,-1.113222991078992e-12,-2.225469628237116e-12,-3.16459747295994e-09
B,own,101,native_common,right,2.0317081350640365e-12,1.6235623956362133e-12,-5.011896320595947e-13,-1.12288353483653e-12,-2.2452562984131485e-12,-3.192166531107432e-09
B,own,101,native_differential,left,-1.2417844530432376e-12,-6.169804250832911e-13,-6.201043503554007e-15,6.240043702229832e-13,1.2471858388098283e-12,2.1589663390386704e-09
B,own,101,native_differential,right,1.2716910857690777e-12,6.629809548575061e-13,-6.130045201915152e-15,-6.564785913716163e-13,-1.3133295010272072e-12,-2.2458479520537367e-09
B,own,115,native_common,left,-8.996969835806112e-13,-8.13099587659849e-13,1.0419443086107094e-12,-2.278676471490678e-13,-4.567123680999283e-13,-6.5213612288062e-10
B,own,115,native_common,right,-8.988643163121424e-13,-8.008177454499332e-13,1.0395156957443419e-12,-2.3845826347718115e-13,-4.771562137715899e-13,-6.843592359473405e-10
B,own,115,native_differential,left,1.1129985821867194e-13,9.291178937331779e-14,-2.330774462322438e-13,1.4277387543763488e-13,2.829395322965609e-13,4.700950739788823e-10
B,own,115,native_differential,right,-1.1171619185290638e-13,-7.78543896018391e-14,2.3227947343329447e-13,-1.5479840333143818e-13,-3.0922348716289357e-13,-4.981259849046182e-10
B,own,119,native_common,left,-7.956135750220028e-13,-7.130407375655068e-13,9.35987398698046e-13,-2.2222985546291947e-13,-4.451765165954588e-13,-6.481570835603634e-10
B,own,119,native_common,right,-8.024136910478319e-13,-7.181755190543981e-13,9.416079027602109e-13,-2.2359743234361618e-13,-4.4702981604942904e-13,-6.516387429655879e-10
B,own,119,native_differential,left,1.2836953722228372e-13,1.0630385460785874e-13,-2.5070223674816816e-13,1.4479113601424976e-13,2.891895181545592e-13,4.67963445771602e-10
B,own,119,native_differential,right,-1.2836953722228372e-13,-1.0477729794899915e-13,2.49592013723543e-13,-1.4367148009958307e-13,-2.8848619587412695e-13,-4.6505022055498557e-10
C,common,0,xi_common,left,-0.0009136804260723424,-0.00047322911788340636,4.830660122798518e-07,0.00047274605187052157,0.0009454921037416481,1.3281276758380596
C,common,0,xi_common,right,-0.0009114004386811831,-0.0004737450276360081,4.830322424133021e-07,0.0004732619953934924,0.0009465239907870873,1.3318529048419459
C,common,0,xi_differential,left,0.004696933450102736,0.0024228084694540176,6.879360498053177e-08,-0.0024228772630595172,-0.004845754526118516,-8.315233668339047
C,common,0,xi_differential,right,-0.004666982896077117,-0.0024175182477506716,-2.8561173622565728e-08,0.0024175468089243164,0.004835093617848611,8.323104745640197
C,common,46,xi_common,left,-0.0009293597344034107,-0.00047841168388149634,4.856735380991204e-07,0.00047792601033836053,0.0009558520206817577,1.3501195692639634
C,common,46,xi_common,right,-0.0008961075335569418,-0.0004694718142905785,4.859690426045548e-07,0.00046898584524279025,0.0009379716904907642,1.3112828613038197
C,common,46,xi_differential,left,0.004900948950694976,0.0023694810771284196,1.9606977936615993e-06,-0.002371441774913456,-0.004742883549835537,-8.152791319816988
C,common,46,xi_differential,right,-0.004765698366714435,-0.0023806153335789292,1.859233329139813e-06,0.002378756100240898,0.004757512200490688,8.06565826543304
C,common,74,xi_common,left,-0.0009356751334796756,-0.000478815305293874,4.6847709580702363e-07,0.00047834682819788217,0.0009566936563959491,1.3534302261691167
C,common,74,xi_common,right,-0.0008878914773736285,-0.00046851153912884705,4.6893800594703406e-07,0.00046804260110846314,0.0009360852022313631,1.301693049394137
C,common,74,xi_differential,left,0.00559790471065455,0.0021295947259420377,1.5698084263577796e-05,-0.002145292810203774,-0.004290585620409389,-7.288333266476421
C,common,74,xi_differential,right,-0.0053493256121323746,-0.002157721650520878,1.5579242148981945e-05,0.002142142408371587,0.004284284816743483,7.089893019825233
C,common,101,xi_common,left,0.1995290390705451,0.16145969450991615,-0.19796784799702427,0.036508153487098696,0.0730163069742068,100.78971838581623
C,common,101,xi_common,right,0.04442665386077127,0.03473767800866445,-0.041803582177310505,0.007065904168601041,0.014131808337247094,21.6334771375287
C,common,101,xi_differential,left,0.02168953249080674,0.024907330755291612,-0.02282573065817972,-0.0020816000971266924,-0.004163200194238582,-7.557037354202123
C,common,101,xi_differential,right,-0.0021017678777296434,-0.006355800204294049,0.004767603926453257,0.0015881962778025887,0.003176392555643381,9.203360750107947
C,common,110,xi_common,left,0.07849189230757503,0.06647366421569378,-0.07602575805070177,0.009552093835014597,0.019104187670022588,27.123166196204807
C,common,110,xi_common,right,0.05217480074264924,0.041790166775451665,-0.04955121053776823,0.0077610437623233525,0.015522087524639919,21.57394514984219
