candidate,source,tick,task,enabled,side,desired,realized_qp,raw_residual,normalized_residual,weighted_squared_cost,gradient_norm,reported_task_cost,wrench_task_cost,contact_task_cost,slack_task_cost,base_task_information,active_torque,active_contact,active_acceleration
B,common,0,xi,False,0,0.0,0.0005456255537383964,0.0005456255537383964,0.0005456255537383964,2.977072448923317e-07,0.00025492389749395757,0.0,1.8221538636492512e-12,4.95961298872294e-15,1.8221654308611032e-12,unavailable_in_minimal_profile,0,0,0
B,common,0,xi,False,1,0.0,0.0005471994734892334,0.0005471994734892334,0.0005471994734892334,2.994272637868943e-07,0.00025492389749395757,0.0,1.8221538636492512e-12,4.95961298872294e-15,1.8221654308611032e-12,unavailable_in_minimal_profile,0,0,0
B,common,0,native,True,0,0.0,-7.14059265089085e-08,-7.14059265089085e-08,-3.5702963254454252e-09,1.2747015851489106e-17,2.571936513231055e-10,2.6459429712364465e-17,1.8221538636492512e-12,4.95961298872294e-15,1.8221654308611032e-12,unavailable_in_minimal_profile,0,0,0
B,common,0,native,True,1,0.0,-7.406055322741077e-08,-7.406055322741077e-08,-3.7030276613705383e-09,1.3712413860875359e-17,2.571936513231055e-10,2.6459429712364465e-17,1.8221538636492512e-12,4.95961298872294e-15,1.8221654308611032e-12,unavailable_in_minimal_profile,0,0,0
B,common,46,xi,False,0,0.0,0.9358478193127225,0.9358478193127225,0.9358478193127225,0.8758111409123782,0.4781910521745736,0.0,1.4046481009538515e-06,2.6627642941353885e-06,1.4046481010150835e-06,unavailable_in_minimal_profile,0,0,0
B,common,46,xi,False,1,0.0,-1.10692644479129,-1.10692644479129,-1.10692644479129,1.225286154178285,0.4781910521745736,0.0,1.4046481009538515e-06,2.6627642941353885e-06,1.4046481010150835e-06,unavailable_in_minimal_profile,0,0,0
B,common,46,native,True,0,-15.612139401091328,-15.612071847353645,6.755373768285722e-05,3.3776868841428607e-06,1.1408768687310708e-11,2.43040686963141e-07,2.3627510207806195e-11,1.4046481009538515e-06,2.6627642941353885e-06,1.4046481010150835e-06,unavailable_in_minimal_profile,0,0,0
B,common,46,native,True,1,16.073323796852556,16.073253886219543,-6.991063301242662e-05,-3.495531650621331e-06,1.2218741520495487e-11,2.43040686963141e-07,2.3627510207806195e-11,1.4046481009538515e-06,2.6627642941353885e-06,1.4046481010150835e-06,unavailable_in_minimal_profile,0,0,0
B,common,74,xi,False,0,0.0,-4.9859295829759285,-4.9859295829759285,-4.9859295829759285,24.859493806394514,2.827377458010213,0.0,4.862729745096415e-06,9.435845050984097e-06,4.862729779980142e-06,unavailable_in_minimal_profile,0,0,1
B,common,74,xi,False,1,0.0,-7.009517757046944,-7.009517757046944,-7.009517757046944,49.13333918635642,2.827377458010213,0.0,4.862729745096415e-06,9.435845050984097e-06,4.862729779980142e-06,unavailable_in_minimal_profile,0,0,1
B,common,74,native,True,0,-5.853146943615868,-5.852966475802389,0.00018046781347891283,9.023390673945642e-06,8.14215792546492e-11,7.852884029673512e-07,2.466711503340052e-10,4.862729745096415e-06,9.435845050984097e-06,4.862729779980142e-06,unavailable_in_minimal_profile,0,0,1
B,common,74,native,True,1,28.942556661028583,28.9422995621596,-0.0002570988689818421,-1.2854943449092104e-05,1.65249571079356e-10,7.852884029673512e-07,2.466711503340052e-10,4.862729745096415e-06,9.435845050984097e-06,4.862729779980142e-06,unavailable_in_minimal_profile,0,0,1
B,common,101,xi,False,0,0.0,-6.192789780853729,-6.192789780853729,-6.192789780853729,38.350645269846375,2.8904691604215444,0.0,0.0007507095319944425,8.573243107217104e-06,0.0007507095319946843,unavailable_in_minimal_profile,0,0,3
