record_kind,control_tick,physics_substep,time_s,contact_index,side,geom1,geom2,dim,efc_address,distance_m,mu,tangential_norm_n,friction_margin_diagnostic_n,position_world_0,world_force_0,world_torque_0,contact_velocity_0,position_world_1,world_force_1,world_torque_1,contact_velocity_1,position_world_2,world_force_2,world_torque_2,contact_velocity_2,frame_00,frame_01,frame_02,frame_10,frame_11,frame_12,frame_20,frame_21,frame_22,generalized_0,generalized_1,generalized_2,generalized_3,generalized_4,generalized_5,generalized_6,generalized_7,generalized_8,generalized_9,generalized_10,generalized_11,generalized_12,generalized_13,generalized_14,generalized_15
pre_command,0,-1,0.0,0,1,0,31,3,6,-0.00030408489622926055,1.0,0.1402232209349739,15.502711069706447,-0.09011884784391144,0.007819466864139812,0.0,0.0,-0.23979999999999993,0.14000502715023888,0.0,0.0,-0.00015204244811462778,15.64293429064142,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.007819466864139812,0.14000502715023888,15.64293429064142,-3.702472135195248,1.4070030595277558,-0.01074198358511434,0.1948320413403285,-2.1482149406623474,-0.00038978445232201557,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pre_command,0,-1,0.0,1,1,0,31,3,10,-0.00030408489622924667,1.0,0.14001921360167638,15.727175372410676,-0.09011884784391144,0.0019931257595153795,0.0,0.0,-0.19979999999999995,0.1400050271502371,0.0,0.0,-0.00015204244811462583,15.867194586012351,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0019931257595153795,0.1400050271502371,15.867194586012351,-3.1215619705847044,1.429239946533641,-0.012218865212383736,0.19957222863287405,-2.1776575682965524,-9.935324825589193e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pre_command,0,-1,0.0,2,0,0,63,3,14,-0.00043053099359281755,1.0,0.15844832890101995,15.201968558180909,-0.08695180149565013,0.0036458765867464216,0.0,0.0,0.1998000000000001,0.15840637776125055,0.0,0.0,-0.00021526549679641208,15.360416887081929,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0036458765867464216,0.15840637776125055,15.360416887081929,3.124126089109566,1.3343473995344508,-0.01450216605677316,0.0,0.0,0.0,0.0,0.0,0.14398800831733644,-2.1395332276715506,-0.0001815089979026166,0.0,0.0
pre_command,0,-1,0.0,3,0,0,63,3,18,-0.00043053099359281755,1.0,0.15843322060385337,15.454567289059895,-0.08695180149565013,-0.0029163119636854695,0.0,0.0,0.23980000000000007,0.15840637776124966,0.0,0.0,-0.00021526549679640547,15.613000509663749,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,-0.0029163119636854695,0.15840637776124966,15.613000509663749,3.7991123172879635,1.3585932020327132,-0.013074388305849371,0.0,0.0,0.0,0.0,0.0,0.14852733629449874,-2.1732155473301003,0.0001451878168405974,0.0,0.0
pre_command,0,-1,0.0,0,1,0,31,3,6,-0.00030408489622926055,1.0,0.14020533104996732,15.502926434696436,-0.09011884784391144,0.007460303314255512,0.0,0.0,-0.23979999999999993,0.1400067095866846,0.0,0.0,-0.00015204244811462778,15.643131765746404,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.007460303314255512,0.1400067095866846,15.643131765746404,-3.702518904456751,1.4071457978753714,-0.010828262623610654,0.19495229209631035,-2.148160108137499,-0.0003718808829331985,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pre_command,0,-1,0.0,1,1,0,31,3,10,-0.00030408489622924667,1.0,0.1400164078171887,15.727377420082743,-0.09011884784391144,0.001647946825463098,0.0,0.0,-0.19979999999999995,0.14000670958668282,0.0,0.0,-0.00015204244811462583,15.867393827899932,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.001647946825463098,0.14000670958668282,15.867393827899932,-3.12160119384517,1.429377979277464,-0.01228798358264144,0.19968791655172854,-2.177606168233709,-8.214678340344876e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pre_command,0,-1,0.0,2,0,0,63,3,14,-0.00043053099359281755,1.0,0.15844107331064178,15.202167649672763,-0.08695180149565013,0.0032844262966134075,0.0,0.0,0.1998000000000001,0.15840702716650634,0.0,0.0,-0.00021526549679641208,15.360608722983404,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0032844262966134075,0.15840702716650634,15.360608722983404,3.124164643872154,1.334489840470001,-0.014430004755761476,0.0,0.0,0.0,0.0,0.0,0.14410835296471947,-2.1394780791725947,-0.0001635142911722386,0.0,0.0
pre_command,0,-1,0.0,3,0,0,63,3,18,-0.00043053099359281755,1.0,0.15844061024334732,15.45475372524322,-0.08695180149565013,-0.003262011427656919,0.0,0.0,0.23980000000000007,0.1584070271665059,0.0,0.0,-0.00021526549679640547,15.613194335486568,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,-0.003262011427656919,0.1584070271665059,15.613194335486568,3.7991590226697487,1.3587303357644198,-0.012991546041345947,0.0,0.0,0.0,0.0,0.0,0.14864253453565762,-2.1731642430363274,0.0001623983728723158,0.0,0.0
pre_command,0,-1,0.0,0,1,0,31,3,6,-0.00030408489622926055,1.0,0.14024202838842334,15.502494787148027,-0.09011884784391144,0.008178630414005905,0.0,0.0,-0.23979999999999993,0.1400033447137976,0.0,0.0,-0.00015204244811462778,15.64273681553645,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.008178630414005905,0.1400033447137976,15.64273681553645,-3.7024253659337476,1.4068603211801476,-0.010655704546622794,0.19471179058435278,-2.1482697731871934,-0.000407688021709925,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pre_command,0,-1,0.0,1,1,0,31,3,10,-0.00030408489622924667,1.0,0.14002287027443033,15.726972473850363,-0.09011884784391144,0.0023383046935503415,0.0,0.0,-0.19979999999999995,0.14000334471379627,0.0,0.0,-0.00015204244811462583,15.866995344124794,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0023383046935503415,0.14000334471379627,15.866995344124794,-3.1215227473242413,1.4291019137898258,-0.012149746842129933,0.19945654071402547,-2.1777089683593958,-0.00011655971310747175,0.0,0.0,0.0,0.0,0.0,0.0,0.0
