step,time_s,left_x_m,left_y_m,left_z_m,left_vx_m_s,left_vy_m_s,left_vz_m_s,left_omega_rad_s,left_slip_x_m_s,left_contact_count,left_fx_n,left_fy_n,left_fz_n,left_min_dist_m,right_x_m,right_y_m,right_z_m,right_vx_m_s,right_vy_m_s,right_vz_m_s,right_omega_rad_s,right_slip_x_m_s,right_contact_count,right_fx_n,right_fy_n,right_fz_n,right_min_dist_m
10,0.022000000000000006,0.0,0.144,0.0578418,1.1789607418196205e-22,-0.3,-0.1962,1.2212453270876725e-18,-6.094437028020167e-20,0,0.0,0.0,0.0,0.0,2.7748834527223207e-25,-0.156,0.0578418,2.522621320656655e-23,-0.3,-0.1962,0.0,2.522621320656655e-23,0,0.0,0.0,0.0,0.0
11,0.024000000000000007,0.0,0.1434,0.057410159999999995,1.2968568160015827e-22,-0.3,-0.21582,1.3322676295501883e-18,-6.648369579590927e-20,0,0.0,0.0,0.0,0.0,3.329860143266785e-25,-0.1566,0.057410159999999995,2.7748834527223203e-23,-0.3,-0.21582,0.0,2.7748834527223203e-23,0,0.0,0.0,0.0,0.0
12,0.02600000000000001,0.0,0.14279999999999998,0.056939279999999995,1.414752890183545e-22,-0.3,-0.23544,1.443289932012704e-18,-7.202302131161685e-20,0,0.0,0.0,0.0,0.0,3.935289260224382e-25,-0.1572,0.056939279999999995,3.027145584787986e-23,-0.3,-0.23544,0.0,3.027145584787986e-23,0,0.0,0.0,0.0,0.0
13,0.02800000000000001,0.0,0.1422,0.05642916,1.5326489643655071e-22,-0.3,-0.25506,1.5543122344752198e-18,-7.756234682732444e-20,0,0.0,0.0,0.0,0.0,4.591170803595112e-25,-0.1578,0.05642916,3.279407716853651e-23,-0.3,-0.25506,0.0,3.279407716853651e-23,0,0.0,0.0,0.0,0.0
14,0.030000000000000013,0.0,0.1416,0.05587979999999999,1.650545038547469e-22,-0.3,-0.27468000000000004,1.6653345369377355e-18,-8.310167234303204e-20,0,0.0,0.0,0.0,0.0,5.2975047733789755e-25,-0.15839999999999999,0.05587979999999999,3.5316698489193166e-23,-0.3,-0.27468000000000004,0.0,3.5316698489193166e-23,0,0.0,0.0,0.0,0.0
15,0.032000000000000015,0.0,0.141,0.0552912,1.7684411127294313e-22,-0.3,-0.29430000000000006,1.7763568394002513e-18,-8.864099785873962e-20,0,0.0,0.0,0.0,0.0,6.054291169575972e-25,-0.159,0.0552912,3.783931980984982e-23,-0.3,-0.29430000000000006,0.0,3.783931980984982e-23,0,0.0,0.0,0.0,0.0
16,0.034000000000000016,0.0,0.1404,0.054663359999999994,1.8863371869113933e-22,-0.3,-0.3139200000000001,1.887379141862767e-18,-9.418032337444722e-20,0,0.0,0.0,0.0,0.0,6.861529992186101e-25,-0.1596,0.054663359999999994,4.0361941130506475e-23,-0.3,-0.3139200000000001,0.0,4.0361941130506475e-23,0,0.0,0.0,0.0,0.0
17,0.03600000000000002,0.0,0.1398,0.053996279999999994,2.004233261093356e-22,-0.3,-0.3335400000000001,1.9984014443252828e-18,-9.971964889015481e-20,0,0.0,0.0,0.0,0.0,7.719221241209364e-25,-0.16019999999999998,0.053996279999999994,4.288456245116313e-23,-0.3,-0.3335400000000001,0.0,4.288456245116313e-23,0,0.0,0.0,0.0,0.0
18,0.03800000000000002,0.0,0.1392,0.05328996,2.122129335275318e-22,-0.3,-0.35316000000000014,2.1094237467877985e-18,-1.052589744058624e-19,0,0.0,0.0,0.0,0.0,8.62736491664576e-25,-0.1608,0.05328996,4.5407183771819783e-23,-0.3,-0.35316000000000014,0.0,4.5407183771819783e-23,0,0.0,0.0,0.0,0.0
19,0.04000000000000002,0.0,0.1386,0.0525444,2.24002540945728e-22,-0.3,-0.37278000000000017,2.2204460492503143e-18,-1.1079829992157e-19,0,0.0,0.0,0.0,0.0,9.585961018495289e-25,-0.1614,0.0525444,4.792980509247644e-23,-0.3,-0.37278000000000017,0.0,4.792980509247644e-23,0,0.0,0.0,0.0,0.0
20,0.04200000000000002,0.0,0.13799999999999998,0.051759599999999996,2.357921483639242e-22,-0.3,-0.3924000000000002,2.33146835171283e-18,-1.163376254372776e-19,0,0.0,0.0,0.0,0.0,1.0595009546757951e-24,-0.162,0.051759599999999996,5.045242641313309e-23,-0.3,-0.3924000000000002,0.0,5.045242641313309e-23,0,0.0,0.0,0.0,0.0
21,0.044000000000000025,0.0,0.1374,0.05093556,2.4758175578212042e-22,-0.3,-0.4120200000000002,2.4424906541753458e-18,-1.2187695095298519e-19,0,0.0,0.0,0.0,0.0,1.1654510501433747e-24,-0.1626,0.05093556,5.297504773378975e-23,-0.3,-0.4120200000000002,0.0,5.297504773378975e-23,0,0.0,0.0,0.0,0.0
22,0.04600000000000003,0.0,0.1368,0.05007228,2.5937136320031664e-22,-0.3,-0.43164000000000025,2.5535129566378615e-18,-1.2741627646869276e-19,0,0.0,0.0,0.0,0.0,1.2764463882522675e-24,-0.16319999999999998,0.05007228,5.549766905444641e-23,-0.3,-0.43164000000000025,0.0,5.549766905444641e-23,0,0.0,0.0,0.0,0.0
23,0.04800000000000003,0.0,0.1362,0.04916975999999999,2.7116097061851286e-22,-0.3,-0.45126000000000027,-0.018758911931844213,0.0009379455965922107,2,-0.5882537429062324,39.82354639752135,77.20783546836408,-0.000721668063031429,1.3924869690024736e-24,-0.1638,0.04916975999999999,5.802029037510307e-23,-0.3,-0.45126000000000027,-0.0808490257970684,0.004042451289853421,3,-2.5816454374058266,40.51689594537055,77.94967289840659,-0.0008494662810645884
24,0.05000000000000003,-1.7509106081877836e-06,0.13571860188041848,0.048457939760450174,-0.0008774472971193383,-0.24069905979075074,-0.3559112133896925,-0.0627564367593866,0.002260374540849992,3,-1.4092576177652791,32.70003610784515,67.03714676468374,-0.0014334727286788793,-7.69010301141862e-06,-0.1642793331964995,0.04846014381264193,-0.0038421448016387684,-0.23966659824976463,-0.35479885853353066,-0.15098913971656275,0.003707312184189369,3,-2.221922122795199,32.49528963148084,67.16060549109332,-0.0015588549978038865
25,0.05200000000000003,-7.696463857746398e-06,0.13533459051121402,0.04790652984269568,-0.002979440218578138,-0.19200568460223885,-0.2757086183142669,-0.0768862077408398,0.0008648701684638525,2,-0.4539257806409047,25.788272416490518,57.64513166214688,-0.0019848300347406755,-2.199878829767438e-05,-0.16466188941546506,0.047911300225892434,-0.007148919452901824,-0.19127810948276167,-0.27440454469265885,-0.208438809694595,0.0032730210318279267,3,-1.8263701665737972,25.892082560093996,57.91891611910275,-0.002107270271259065
26,0.054000000000000034,-1.499312567307712e-05,0.1350273813828449,0.04748755820102213,-0.003656494137002003,-0.15360456418456256,-0.20949030546065717,-0.08940403950427839,0.000813707838211916,2,-0.40183990202460507,20.63062014967872,49.96533555432056,-0.0024037361477390606,-4.1747793024263124e-05,-0.16496733422780382,0.04749570652066356,-0.009867025637342543,-0.15272240616939112,-0.20777303788380552,-0.25535871546159494,0.002900910135737204,3,-1.4979184966193309,20.62814379877772,50.12349628930687,-0.0025222652001533133
27,0.056000000000000036,-2.3485862303663488e-05,0.13478161405374514,0.0471781529357177,-0.004255859666160082,-0.12288366454986861,-0.15470784911424285,-0.1005481953234124,0.0007715501000105382,2,-0.35772565699837067,16.50449789293218,43.48350211842883,-0.002713063732185092,-6.59587306406391e-05,-0.1652113446159038,0.04719014710959228,-0.012096323961009896,-0.12200519404999909,-0.152750525397232,-0.2935075637758933,0.002579054227784771,3,-1.2237779775487283,16.432261046576706,43.555626881974746,-0.0028270792016698437
28,0.05800000000000004,-3.304336807367682e-05,0.1345850001693418,0.04695900990838897,-0.004789426146646865,-0.0983069422016709,-0.10957738250148857,-0.11526772709435745,0.0009739602080710077,3,-0.4671256780402011,13.282407784770454,38.059348776920736,-0.0029321174900066305,-9.381499560050542e-05,-0.16540641669398498,0.046975062174704596,-0.01391764114500978,-0.09753603904057803,-0.10750892182766954,-0.3250633032413287,0.0023355240170566567,3,-1.017181573852823,13.100059902134412,38.03497170955936,-0.0030412912527273614
29,0.06000000000000004,-4.399126275166784e-05,0.13442794374986222,0.04681397509499295,-0.005486181537918172,-0.07852820973979843,-0.07252413751122802,-0.12420368026120976,0.0007240024751423157,2,-0.2891751706307293,10.547119317558021,33.414301280231825,-0.003077047483238303,-0.00012470118147626808,-0.1655624743728341,0.04683401056852006,-0.015431497809124476,-0.07802883942456372,-0.07048864335602185,-0.35338105932209907,0.0022375551569804777,3,-0.914700800524054,10.480049021988194,33.41268020010426,-0.0031813560151044834
30,0.06200000000000004,-5.5799890755188155e-05,0.13430229860077963,0.04672921451368141,-0.005917494836119883,-0.06282257454129048,-0.042387546539363656,-0.13230463918652588,0.0006977371232064116,2,-0.2627054009570209,8.43769636056489,29.553716786395583,-0.0031616921505234277,-0.00015831201909685775,-0.16568732052902077,0.04675322644077479,-0.016792842130799627,-0.062423078093332696,-0.04035165808242828,-0.37894776653696194,0.002154546196048473,3,-0.8283195406412958,8.38404009781518,29.53048614904527,-0.0032610433482573795
31,0.06400000000000004,-6.839046568544637e-05,0.13420178247071446,0.04669323060584,-0.0063093259497210424,-0.05025806503259434,-0.017999686771079677,-0.13969509903297803,0.0006754290019278589,2,-0.24044078592161,6.7501578136667675,26.317011024812636,-0.003197549197737827,-0.00019439019566874305,-0.165787197464456,0.0467211480598244,-0.018025634541167145,-0.04993846771761208,-0.015995851164242725,-0.40218406970294696,0.002083568943980204,3,-0.7557557855505959,6.707232782431916,26.27637813145757,-0.00329191782346535
32,0.06600000000000004,-8.169671810985995e-05,0.134121369558023,0.04669638384270419,-0.006667946596601709,-0.040206456345725505,0.0015684494882287692,-0.14648424942420266,0.0006562658746084244,2,-0.2218133667302351,5.400126831105361,23.609403939546727,-0.0031942582224833843,-0.00023271955732567838,-0.1658670990211929,0.04672808422579347,-0.019150439130504245,-0.03995077836844684,0.0035140912439831067,-0.42345544867648716,0.0020223333033201132,3,-0.6950959141407402,5.365786789289402,23.554876715819567,-0.003283672506641973
33,0.06800000000000005,-9.566320490669305e-05,0.13405703922095838,0.04673061045238275,-0.006998781539938299,-0.0321651685323008,0.017104734334024277,-0.15276823473243906,0.0006396301966836541,3,-0.20634246031818293,4.320101929021895,21.350130615589727,-0.003159882997452075,-0.000273119408993984,-0.16593102027329337,0.04676592991840241,-0.020184971928725898,-0.03196062605024358,0.018971300607142517,-0.4430808660603656,0.0019690713742923846,3,-0.6447254254853938,4.29262988210668,21.284622753598523,-0.0032444134522765095
34,0.07000000000000005,-0.00011024387841077139,0.13400557494577756,0.046789181886628985,-0.007306538728092203,-0.025732137590417255,0.029276774003531663,-0.15863194287458465,0.0006250584156370304,2,-0.1936188769408429,3.456081914527641,19.470394743010964,-0.0031011520108314705,-0.0003154397052419763,-0.16598215728034255,0.04682792399709855,-0.021144546101095365,-0.025568503524584014,0.03104775315409834,-0.4613396048044471,0.0019224341391269918,3,-0.6032745342253039,3.4341042662254955,19.396315486082905,-0.003180902105833619
35,0.07200000000000005,-0.00012540086838275558,0.13396440352120956,0.04686649993238347,-0.007595315895940199,-0.020585712283995333,0.03864973115646977,-0.16415045274867188,0.000612206741493395,2,-0.18329246236129837,2.7648658286702443,17.911619125121923,-0.003023663359631945,-0.00035955697005692706,-0.1660230668902769,0.046908442812899645,-0.022042436174913214,-0.020454804967178764,0.040312226517534404,-0.4784767750840019,0.0018814025792868797,3,-0.5695752050599379,2.7472837014125515,17.830949879802578,-0.003098761765974768
36,0.07400000000000005,-0.0001411034397187045,0.1339314663780165,0.04695792225776786,-0.007868688588515419,-0.01646857159652568,0.04570154201585191,-0.1693902319642455,0.0006008230096968565,3,-0.17506220593791522,2.2118929005747283,16.623950242914717,-0.0029320592069087825,-0.00040537081756846475,-0.16605579458166042,0.047002824482487104,-0.022890178319416057,-0.016363845691752435,0.04724563148929903,-0.49470783313399486,0.0018452133372836889,3,-0.5426270099238271,2.197827191875791,16.538309902233486,-0.0030026533638316394
37,0.07600000000000005,-0.00015732709645344665,0.13390511666063115,0.047059613938838805,-0.008129783435028041,-0.013174858692684227,0.05083590667807038,-0.17441014894485068,0.0005907240122144941,2,-0.16866833198901698,1.7695145105706271,15.56498009997525,-0.0028301742570418648,-0.0004528009720184432,-0.166081976737516,0.047107219337304065,-0.023697819808366643,-0.013091077927809629,0.052254100039395734,-0.5102223560683492,0.001813297995050818,3,-0.5215698073822996,1.7582619380972515,15.475680699216204,-0.002896425052171185
38,0.07800000000000006,-0.00017405280851439257,0.1338840368844581,0.04716842116051415,-0.00838133963158457,-0.01053988808651845,0.0543933761401314,-0.17926234396816074,0.0005817775668234687,2,-0.16388592765063592,1.415611760545194,14.698653887093826,-0.002721162055996894,-0.0005017847055990524,-0.16610292246439956,0.04721846271232841,-0.024474127818356877,-0.010472863441773964,0.05568015558446051,-0.5251872462120203,0.001785234492244138,3,-0.505661714562069,1.4066096981551097,14.606747984979027,-0.0027832394438003574
39,0.08000000000000006,-0.00019126634225598356,0.1338671730617079,0.04728176383849064,-0.008625760924086418,-0.008431911375111713,0.05666081274476293,-0.18399299007787862,0.0005738885798075126,2,-0.16051976509041266,1.1324895301071245,13.994336553324345,-0.0026076023699868472,-0.0005522746285458629,-0.16611967904766567,0.04733396679673431,-0.025226765439726025,-0.008378291633040272,0.057812244297503396,-0.5397494885517137,0.0017607089878596618,3,-0.4942612018372121,1.1252878766659493,13.900657533948667,-0.0026656817798661678
40,0.08200000000000006,-0.00020895767936032224,0.13385368200205827,0.04739754438222585,-0.008865159872242798,-0.0067455298248070075,0.05787946066840541,-0.18864296540180378,0.0005669883978473914,2,-0.1584000563598722,0.9059917214224846,13.426015261030306,-0.0024915924226271424,-0.0006042367781527869,-0.1661330843156859,0.04745162874546156,-0.025962441036298956,-0.0067026340101291725,0.05889286587589475,-0.5540385498644936,0.0017394864569257283,3,-0.48681241542703546,0.900230395846257,13.331211581465531,-0.0025458518310682784
41,0.08400000000000006,-0.00022712051146594258,0.13384288915317905,0.04751407022374536,-0.00910139578517231,-0.005396424439619777,0.05825182879493878,-0.1932484520131797,0.0005610268154866739,2,-0.15737894077920567,0.7247934550074222,12.971618031287415,-0.0023748243659359805,-0.000657648962990655,-0.16614380853122804,0.047569752658446304,-0.026687035758488107,-0.005362107771060961,0.059125507645218504,-0.568168483669067,0.0017213884249652443,3,-0.4828330428045322,0.7201843922878122,12.876182293080285,-0.0024254419264593124
42,0.08600000000000006,-0.00024575180006748107,0.133834254873148,0.047629988083073296,-0.009336107420589174,-0.0043171400155152095,0.057947558992648536,-0.19784147217466885,0.000555966188144269,3,-0.1573275517982009,0.5798348263014912,12.61243173401361,-0.002258651014457068,-0.0007124993261850847,-0.16615238790456247,0.0476869833829152,-0.02740571299470438,-0.004289686667214916,0.05868055633044073,-0.5822397882443888,0.0017062764175150638,3,-0.48190419556359343,0.5761475743189026,12.516725330731905,-0.002305803155423544
43,0.08800000000000006,-0.00026485139295421634,0.13382734744838107,0.04774422823695107,-0.009570741311317976,-0.0034537123834677205,0.057108427727426435,-0.20245036995203672,0.0005517771862838614,2,-0.15813354609199504,0.46386791087764356,12.33260501377787,-0.0021441415758876453,-0.0007687850976184309,-0.1661592514039506,0.04780225039224918,-0.028123012764121852,-0.0034317496940648863,0.05770033655195631,-0.596341053310975,0.0016940399014268998,3,-0.48366190587188096,0.4609181078460489,12.236878998521306,-0.0021880014900061903
44,0.09000000000000007,-0.000284421689831635,0.13382182150797384,0.04785595731046423,-0.00980657640807427,-0.0027629702036186497,0.055852607488924705,-0.20710024431097288,0.0005484358074743755,2,-0.159699004836803,0.37109436857127887,12.118723826792783,-0.002032128858620162,-0.0008265115097267412,-0.16616474220403757,0.04791472024979255,-0.028842933452706256,-0.002745400043486301,0.05630340348549252,-0.6105504229483311,0.0016845876947102975,3,-0.4877899248939537,0.36873452498958215,12.023136550736936,-0.0020728653196712826
45,0.09200000000000007,-0.0003044673508782747,0.1338174007551731,0.04796453832744657,-0.010044745593201903,-0.002210376400370524,0.05427829615415497,-0.2118133385869954,0.000545921336147866,2,-0.16193863770110872,0.2968755267523582,11.959449047964256,-0.0019232492203436619,-0.0008856908554405966,-0.16616913484456833,0.04802375638387246,-0.029569002830576244,-0.0021963202653765817,0.054588198633583385,-0.6249368967765382,0.0016778420082506663,3,-0.4940135815800022,0.2949876509618663,11.864081041393638,-0.001961025672520003
46,0.09400000000000007,-0.0003249950428913731,0.13381386415255253,0.04806949694038702,-0.010286254516523298,-0.0017683013102769225,0.0524668067163672,-0.21660939041773222,0.0005442150043633142,2,-0.16477823566035088,0.23750044691815608,11.84520713253033,-0.0018179763369855287,-0.0009463416699770584,-0.16617264895736186,0.04812888508655266,-0.030304339929119885,-0.0017570563967713158,0.05263616184058832,-0.6395614875558524,0.001673734448672734,3,-0.5020945133421679,0.2359901455456539,11.750073631585218,-0.0018529502106318652
47,0.09600000000000007,-0.00034601321841567416,0.1338110348701521,0.04817049291857138,-0.01053199812414651,-0.0014146412002059583,0.05048519638221497,-0.2215059456944079,0.0005432991605738863,2,-0.16815333051475845,0.19000037794754476,11.767926121991913,-0.0017166497132612007,-0.0010084880207868968,-0.16617546024789184,0.048229766807851376,-0.031051709075714546,-0.0014056452649931102,0.05051437915642575,-0.6544782505987994,0.0016722034542254217,3,-0.5118261204897543,0.1887921362574576,11.672987585889267,-0.0017489719279088212
48,0.09800000000000007,-0.0003675319238651495,0.13380877144398862,0.048267296108234756,-0.010782775188310152,-0.001131713081752314,0.04838850255889322,-0.2265186397220029,0.0005431567977899933,2,-0.17200802789608738,0.15200031868845265,11.720810400565126,-0.001619498721052763,-0.0010721588921170403,-0.16617770928055198,0.048326171953223106,-0.03181356716338338,-0.001124516330055343,0.048277834585550156,-0.6697351983656591,0.0016731927548995773,3,-0.5230296270008865,0.1510337248627116,11.625981313967355,-0.0016493133426810774
49,0.10000000000000007,-0.0003895626331639032,0.13380696070286327,0.04835976619390677,-0.011039301096859798,-0.000905370562671899,0.04622164343421783,-0.23166144850821294,0.0005437713285508499,2,-0.1762939873012357,0.1216002680150956,11.698148563503004,-0.0015266628364275364,-0.0011373876524542136,-0.16617950850686894,0.048417960508386745,-0.0325921050579148,-0.0008996131584929699,0.045971323864209636,-0.6853751120722376,0.0016766505456970796,3,-0.5355506536520926,0.1208269925755685,11.603304775812349,-0.001554106861015904
50,0.10200000000000008,-0.00041211810387024086,0.13380551210980737,0.04844783568874509,-0.011302219121523831,-0.0007242965279535674,0.044021032456154366,-0.23694691288763653,0.0005451265228579964,3,-0.18096952783011044,0.09728022486354626,11.695149575670099,-0.0014382086474942352,-0.0012042115946418477,-0.16618094788807367,0.048505064914945134,-0.03338928390506552,-0.00071969060235334,0.043631079948538216,-0.7014362609108137,0.0016825291404751613,3,-0.5492562275093282,0.09666160420877534,11.600134392282218,-0.001463411887284466
51,0.10400000000000008,-0.00043521225312210984,0.13380435323523815,0.04853149566590637,-0.011572110352388745,-0.0005794372846156979,0.041815948838480665,-0.24238633800383064,0.0005472065478027872,3,-0.18599884223837715,0.07782418825201254,11.70780309763768,-0.0013541441210387292,-0.0012726715397621137,-0.1661820993931583,0.048587475705134456,-0.034206866987331656,-0.0005757525423298491,0.041286152661383614,-0.6832823286987318,-4.275055239506137e-05,3,0.52557394094552,0.07732929148567669,12.121755425709699,-0.0013806940986940755
52,0.10600000000000008,-0.0004588600510645589,0.13380342613548316,0.048610783814979255,-0.011849502460065013,-0.0004635498774948394,0.039629700080146386,-0.24798997050320096,0.0005499960650950358,3,-0.19135130494914798,0.06225935729055232,11.732760454381754,-0.0012744305439069264,-0.001339565865158678,-0.16618302059732276,0.04866674837432193,-0.03342476264796976,-0.0004606020822216268,0.0397150327515185,-0.6660131039472056,-0.0001241074506094786,3,0.5094467422801578,0.061863439683467636,12.06584631077536,-0.0013046874763081653
53,0.10800000000000008,-0.0004830774296995665,0.13380268445559948,0.048685774468981535,-0.01213487742564394,-0.00037083994183769944,0.03748060723697197,-0.2537671556333799,0.000553480356025057,2,-0.19700086202849665,0.04980749118359551,11.767233232998151,-0.001198992493623298,-0.0014049426198229258,-0.16618375756073167,0.048742716364108915,-0.032666645616884746,-0.00036848170446350363,0.03806073305540373,-0.6495158222955655,-0.0001908545021064717,3,0.4945231946253741,0.04949075694271521,12.032706166450538,-0.0012318131740650592
54,0.11000000000000008,-0.0005078812053425708,0.13380209111162877,0.04875657029992617,-0.012428678360671346,-0.00029667198534362525,0.03538283919682867,-0.2597264762813159,0.0005576454533944494,3,-0.20292549298842832,0.039845997227799135,11.808906933208512,-0.0011277261402325364,-0.0014688462657828421,-0.16618434713152072,0.04881528093281404,-0.03193072679770755,-0.0002947853945197687,0.03635714916217652,-0.633700375220746,-0.00024570803667025437,3,0.4805850380266572,0.039592609710926485,12.018013100028794,-0.0011621802595236375
55,0.11200000000000009,-0.0005332890130838374,0.13380161643640123,0.048823295425790884,-0.012731315524257365,-0.00023733761377367642,0.03334711837320906,-0.26587587583182654,0.0005624782673339622,2,-0.20910673576204553,0.03187680120697811,11.85586746848947,-0.0010605061365199786,-0.0015313183285576848,-0.16618481878820146,0.048884398282762635,-0.03121554147850186,-0.00023582834037498947,0.03463174288374131,-0.6184945932173146,-0.0002908118176361274,3,0.46745424475875197,0.03167409109414421,12.01814123449796,-0.0010958418983944979
56,0.11400000000000009,-0.0005593192518408395,0.1338012366961784,0.04888608970999757,-0.013043171631540916,-0.00018987011141796483,0.03138131695287311,-0.27222276706376386,0.000567966721647278,2,-0.21552910378597034,0.025501422529047746,11.90653071321843,-0.0009971913154966094,-0.0015923979277017147,-0.16618519611358568,0.04895006876071317,-0.030519889553737245,-0.00018866269210733374,0.03290657828695796,-0.6038405056842517,-0.0003278642695246567,3,0.45498611013295687,0.025339275535638528,12.030055370815802,-0.0010328063098754628
57,0.11600000000000009,-0.0005859910382663766,0.13380093290390443,0.048945104043579636,-0.013364606293022028,-0.0001518961369870993,0.029490948233274143,-0.27877442594268376,0.0005741150041121603,3,-0.2220990545025172,0.020392807388804446,11.95579654028559,-0.0009376294049602621,-0.00165212220803344,-0.16618549797392476,0.0490123278176489,-0.029842786006710805,-0.00015093016953174215,0.031199200950720166,-0.5896912805715561,-0.0003582219781330005,3,0.4430325939994848,0.02026987226724475,12.050492103792406,-0.0009730459293053398
58,0.11800000000000009,-0.0006133239281703182,0.13380068984517937,0.04900048515605914,-0.013695839812844154,-0.0001215293625268142,0.02767393095392898,-0.28553816586147557,0.000581068480229624,3,-0.22877148712968465,0.016298544592262765,12.001353372880665,-0.0008816722124783197,-0.0017105267807400037,-0.1661857394668384,0.04907123628910731,-0.02918346596010253,-0.00012074645682644138,0.029522297886251513,-0.5760082039552377,-0.00038305576234064567,3,0.43131524169318136,0.016205549442502853,12.072821550898006,-0.0009165072241807334
59,0.12000000000000009,-0.0006413377822005787,0.13380049532653202,0.04905236873114744,-0.014037025336651581,-9.725932367302406e-05,0.025924741697578996,-0.2925211649025003,0.0005890329084734334,2,-0.2355846133363677,0.013022772013761452,12.044865802777146,-0.0008291825049976526,-0.0017676465528243986,-0.1661859326966311,0.04912686064969413,-0.02854157895511978,-9.661489634322665e-05,0.02787868428418834,-0.5627594098676871,-0.0004036084617354205,3,0.419832151951119,0.012950752745469973,12.096712524599935,-0.00086313051359585
60,0.1220000000000001,-0.000670052879653351,0.1338003395921063,0.049100884364205524,-0.014388372897860196,-7.786721286405756e-05,0.02424033578011251,-0.299730482187446,0.0005981512115121063,3,-0.24256766917612582,0.010405072007044547,12.087436787274202,-0.0007800290468345031,-0.0018235157329001914,-0.16618608735668886,0.04917927202634844,-0.02791677717420638,-7.733002887919571e-05,0.026270682746124586,-0.5499187110712835,-0.000420841620642199,3,0.4086149551978142,0.010347899545287031,12.122774297135141,-0.000812851016269156
