channel,scale,sign,delta_ddxi_common_m_s2,delta_a_t_common_m_s2,qp_ddxi_common_m_s2,qp_a_t_common_m_s2,mj_ddxi_common_m_s2,mj_a_t_common_m_s2,native_wheel_qacc_qp_common_rad_s2,native_wheel_qacc_mj_common_rad_s2,xi_qp_base_common,xi_qp_leg_nonwheel_common,xi_qp_wheel_common,xi_qp_jdot_v_common,xi_mj_base_common,xi_mj_leg_nonwheel_common,xi_mj_wheel_common,xi_mj_jdot_v_common,hard,maximum_normalized_slack,minimum_torque_margin_nm,dynamics_closure,contact_closure,reduction_delta_max_abs,qp_contact_0,qp_contact_1,qp_contact_2,qp_contact_3,qp_contact_4,qp_contact_5,qp_contact_6,qp_contact_7,qp_contact_8,qp_contact_9,qp_contact_10,qp_contact_11,mj_contact_0,mj_contact_1,mj_contact_2,mj_contact_3,mj_contact_4,mj_contact_5,mj_contact_6,mj_contact_7,mj_contact_8,mj_contact_9,mj_contact_10,mj_contact_11,mj_contact_12,mj_contact_13,mj_contact_14,mj_contact_15,mj_actuator_0,mj_actuator_1,mj_actuator_2,mj_actuator_3,mj_actuator_4,mj_actuator_5,mj_actuator_6,mj_actuator_7,mj_actuator_8,mj_actuator_9,mj_actuator_10,mj_actuator_11,mj_actuator_12,mj_actuator_13,mj_actuator_14,mj_actuator_15,mj_remaining_0,mj_remaining_1,mj_remaining_2,mj_remaining_3,mj_remaining_4,mj_remaining_5,mj_remaining_6,mj_remaining_7,mj_remaining_8,mj_remaining_9,mj_remaining_10,mj_remaining_11,mj_remaining_12,mj_remaining_13,mj_remaining_14,mj_remaining_15,mj_lhs_0,mj_lhs_1,mj_lhs_2,mj_lhs_3,mj_lhs_4,mj_lhs_5,mj_lhs_6,mj_lhs_7,mj_lhs_8,mj_lhs_9,mj_lhs_10,mj_lhs_11,mj_lhs_12,mj_lhs_13,mj_lhs_14,mj_lhs_15
xi_common_only,1.0,-1,-0.01,-0.0,-0.010006385786399813,-6.420097081404844e-05,-0.028711396464033048,0.0028904413434091593,-1.7488043916897147,-2.9803260427450793,8.165807011738418e-19,-0.01000638578639983,0.0,-2.2551405187698492e-17,-2.4688061999518666e-19,-0.028711396464033027,0.0,-2.2551405187698492e-17,4.484457249986917e-11,0.0016596703231121065,1.9957290085202155,1.4210854715202004e-14,0.0,0.0,-0.1124600894666454,-0.0025243073978201054,63.11431381642709,0.00550958952983116,0.7396799204572215,0.00796329788108037,-0.31346146574710215,4.3088480248156085,-3.2285014661642512e-06,-0.4199088507914595,4.3901526828882895,-0.003961324636839803,-0.07799243846119053,0.5976775455252743,62.47387769861352,0.09810432315600348,5.5591374711458545,-0.0617627843061632,0.4171661752271759,-4.309799111271195,0.002974604946747497,0.0,0.0,0.29868592550690787,-4.307314786357137,0.0009120006395127866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04141100997733489,3.235539701115892,-0.004270991479784395,0.0,0.0,0.0422673015329307,3.1411723275998398,-0.001142734459046204,0.0,0.0,0.0,-4.440892098500626e-16,-7.105427357601002e-15,4.669728004280671e-08,-1.95616517739694e-06,-2.3245817180883588e-08,-2.115780448064264e-06,0.03758975577292922,-1.9081958235744878e-17,-0.03500467572899611,0.07253872012117056,1.5961527166652445e-07,0.03817353192998052,1.3335686721571705e-17,0.03628980331092149,0.07440524253531652,-0.07799243846118953,0.5976775455252743,62.4738776986135,0.0981043698532855,5.559135514980676,-0.06176280755198016,0.37575304946939314,-1.0366696543823726,-0.001296386533036944,-0.03500467572899604,0.07253872012117042,0.34095338665510977,-1.1279689268273154,-0.00023073381953350278,0.036289803310921506,0.07440524253531652
xi_common_only,1.0,1,0.01,0.0,0.009992420217044726,-7.536439505227525e-05,-0.008941897798966321,0.0025913134716346042,-1.5817987156174569,-2.7872475330077027,9.199611802746986e-19,0.00999242021704471,0.0,-2.7755575615628914e-17,-1.7094501948127029e-19,-0.008941897798966293,0.0,-2.7755575615628914e-17,4.484346227684455e-11,0.0016993135804717035,1.996164801188697,2.1316282072803006e-14,0.0,0.0,-0.10208772393351305,-0.0027743604408489338,63.11365545349203,0.005470343874128147,0.7363963329599787,0.008952877521605201,-0.31243950450262375,4.309515181242887,0.00015198811415452138,-0.41751995617404314,4.39175801823297,-0.0035972866112093695,-0.06803570363252609,0.597531667425506,62.47325800168942,0.0980818456639172,5.555618555581864,-0.060897559526743826,0.4148508295492258,-4.311354594175814,0.002623317136343674,0.0,0.0,0.29772951682905724,-4.30794025664964,0.0007671495053922664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04130954644871834,3.235834286455432,-0.0038351988113029473,0.0,0.0,0.04171226403079495,3.1409530481618324,-0.0009445161594358657,0.0,0.0,0.0,4.440892098500626e-16,0.0,4.6967745137571626e-08,-2.048351364969392e-06,-2.338045444055803e-08,-2.178295869348368e-06,0.03760206710038183,-1.734723475976807e-18,-0.03494784211984103,0.07249423936324206,1.2994450404590907e-07,0.038175380842593754,1.1926223897340549e-17,0.03625923169529385,0.07437654573848237,-0.06803570363252442,0.5975316674255031,62.4732580016894,0.09808189263166435,5.5556165072304955,-0.060897582907197545,0.37353910480463814,-1.0379182406199987,-0.0012118816749593607,-0.034947842119841074,0.07249423936324202,0.3394419108043558,-1.1288118276452128,-0.0001773666540436987,0.03625923169529385,0.07437654573848239
xi_common_only,0.5,-1,-0.005,-0.0,-0.005006684285538701,-6.699182687361534e-05,-0.023769021797763173,0.0028156593754688746,-1.707052972672639,-2.9320564153117363,8.42425820950453e-19,-0.005006684285538715,0.0,1.0408340855860843e-17,-2.2789671986568546e-19,-0.023769021797763183,0.0,1.0408340855860843e-17,4.484412841065932e-11,0.00166958113745206,1.9958379566873359,2.1316282072803006e-14,0.0,0.0,-0.10986699808341227,-0.002586820658649365,63.11414922569349,0.005499778115904519,0.7388590235829282,0.008210692791224865,-0.31320597543600043,4.309014813922433,3.5575652436458955e-05,-0.41931162713710546,4.390554016724466,-0.0038703151304321304,-0.07550325475407327,0.5976410760002748,62.47372277438268,0.09809870378298058,5.55825774225489,-0.061546478111293025,0.4165873388076887,-4.310187981997355,0.0028867829941465082,0.0,0.0,0.29844682333746275,-4.307471153930271,0.0008757878559851218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04138564409517692,3.235613347450785,-0.0041620433126640915,0.0,0.0,0.04212854215739148,3.1411175077403524,-0.0010931798841466841,0.0,0.0,4.440892098500626e-16,-4.440892098500626e-16,-7.105427357601002e-15,4.6764895400563944e-08,-1.9792117225136963e-06,-2.3279476200899207e-08,-2.13140930338529e-06,0.037592833604792375,-1.6479873021779667e-17,-0.03499046732670726,0.07252759993168847,1.52197579539326e-07,0.03817399415813405,1.1058862159352145e-17,0.03628216040701484,0.07439806833610829,-0.07550325475407438,0.597641076000275,62.47372277438265,0.09809875054787905,5.558255763043165,-0.06154650139076878,0.3751995633032084,-1.0369818009417768,-0.00127526031851767,-0.03499046732670728,0.07252759993168842,0.3405755176924341,-1.1281796520317817,-0.00021739202816156695,0.03628216040701485,0.07439806833610829
xi_common_only,0.5,1,0.005,0.0,0.004992718716183585,-7.257353899262249e-05,-0.013884272465229157,0.002666095439569997,-1.623550134632599,-2.8355171604392053,8.941160604984726e-19,0.004992718716183569,0.0,-1.0408340855860843e-17,-1.8992891961050937e-19,-0.013884272465229146,0.0,-1.0408340855860843e-17,4.484368432144947e-11,0.0016894027661321506,1.9960558530215808,2.1316282072803006e-14,0.0,0.0,-0.10468081531662002,-0.0027118471801008638,63.11382004422579,0.005480155288054789,0.7372172298342337,0.008705482611464064,-0.3126949948137075,4.309348392136092,0.00011318396025480773,-0.41811717982837515,4.391356684396814,-0.0036882961176136248,-0.07052488733951234,0.5975681369504313,62.47341292592044,0.09808746503693655,5.556498284472799,-0.061113865721606174,0.4154296659686908,-4.310965723449673,0.0027111390889412315,0.0,0.0,0.29796861899848337,-4.307783889076539,0.000803362288916836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04133491233087368,3.2357606401205468,-0.003944146978419054,0.0,0.0,0.04185102340633427,3.141007868021342,-0.000994070734331799,0.0,0.0,0.0,-4.440892098500626e-16,-7.105427357601002e-15,4.6900130001859e-08,-2.025304818076279e-06,-2.3346794809919746e-08,-2.162667014027342e-06,0.03759898926851868,1.3010426069826053e-17,-0.03496205052212934,0.07250535955272375,1.37362195617996e-07,0.03817491861444022,7.589415207398531e-19,0.036266874599199986,0.0743837199376903,-0.07052488733951334,0.5975681369504313,62.473412925920414,0.09808751193706959,5.556496259167978,-0.06111388906840065,0.37409259097080316,-1.0376060940606058,-0.0012330078894778889,-0.03496205052212932,0.07250535955272368,0.33981977976701366,-1.1286011024407554,-0.0001907084454149866,0.036266874599199986,0.0743837199376903
xi_common_only,0.25,-1,-0.0025,-0.0,-0.0025068335351081383,-6.838725490336019e-05,-0.021297834464630433,0.0027782683914934405,-1.6861772631619745,-2.907921601592976,8.553483808378215e-19,-0.0025068335351081526,0.0,-5.551115123125783e-17,-2.1840476980162193e-19,-0.021297834464630377,0.0,-5.551115123125783e-17,4.484412841065932e-11,0.001674536544622211,1.9958924307708985,7.105427357601002e-15,0.0,0.0,-0.108570452391688,-0.002618077288963778,63.11406693032641,0.005494872408942086,0.7384485751457447,0.008334390246288292,-0.3130782302804248,4.3090982084758345,5.4977729391249546e-05,-0.4190130153099151,4.390754683642552,-0.0038248103772264043,-0.07425866290040695,0.5976228412378513,62.473645312266946,0.09809589409647401,5.557817877809343,-0.061438325013871246,0.41629792059793147,-4.31038241736043,0.002842872017844132,0.0,0.0,0.2983272722527152,-4.307549337716823,0.0008576814642178071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04137296115409958,3.23565017061822,-0.004107569229101481,0.0,0.0,0.042059162469626474,3.141090097810583,-0.0010684025966926109,0.0,0.0,0.0,-4.440892098500626e-16,-7.105427357601002e-15,4.6798703690065224e-08,-1.9907349972925203e-06,-2.3296306113362863e-08,-2.1392237309347806e-06,0.03759437252072306,-2.0816681711721685e-17,-0.034983363125562765,0.07252203983694722,1.484887340308383e-07,0.03817422527221126,-4.9873299934333204e-18,0.036278338955061176,0.07439448123650372,-0.07425866290040739,0.5976228412378507,62.47364531226693,0.09809594089517713,5.557815887074344,-0.06143834831017625,0.3749228202201007,-1.0371378742214878,-0.0012646972112574733,-0.034983363125562675,0.07252203983694708,0.34038658321107573,-1.1282850146340277,-0.00021072113247479893,0.03627833895506117,0.0743944812365037
xi_common_only,0.25,1,0.0025,0.0,0.002492867965752988,-7.117811096290973e-05,-0.016355459798364003,0.002703486423549362,-1.6444258441439923,-2.8596519741586897,8.81193500612661e-19,0.002492867965752973,0.0,-6.245004513516506e-17,-1.9942086967343236e-19,-0.01635545979836394,0.0,-6.245004513516506e-17,4.48439063660544e-11,0.0016844473589620523,1.9960013789380184,7.105427357601002e-15,0.0,0.0,-0.10597736100840721,-0.002680590549710491,63.113902339592656,0.005485060995017221,0.7376276782714348,0.00858178515641587,-0.3128227399693032,4.309264997582655,9.378188329673331e-05,-0.418415791655564,4.391156017478721,-0.0037338008708192255,-0.07176947919324084,0.5975863717129206,62.47349038803593,0.098090274723452,5.556938148918345,-0.06122201881901926,0.4157190841784456,-4.3107712880865865,0.002755050065243409,0.0,0.0,0.29808817008325095,-4.3077057052899494,0.0008214686806874449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04134759527194677,3.2357238169531066,-0.0039986210619816255,0.0,0.0,0.0419204030940938,3.1410352779510813,-0.0010188480217896852,0.0,0.0,4.440892098500626e-16,4.440892098500626e-16,0.0,4.686631915884476e-08,-2.013781543297455e-06,-2.3329965598284375e-08,-2.1548525862558066e-06,0.0375974503525871,-6.071532165918825e-18,-0.034969154723273894,0.07251091964746499,1.41071041959151e-07,0.03817468750036479,-2.168404344971009e-18,0.03627069605115421,0.07438730703729515,-0.07176947919324339,0.5975863717129193,62.47349038803592,0.0980903215897721,5.556936135136801,-0.06122204214898477,0.3743693340539137,-1.0374500207808934,-0.001243570996738151,-0.034969154723273985,0.07251091964746502,0.3400087142483864,-1.1284957398385025,-0.00019737934110230964,0.036270696051154225,0.07438730703729515
slip_common_only,1.0,-1,-0.0,-0.01,-1.4010725607002282e-06,-0.010017444439562442,-0.01775033486402144,0.004146495924141173,-2.28768074362916,-3.6279087802018255,3.835744215994128e-19,-1.4010725607212617e-06,0.0,-4.85722573273506e-17,-5.650186005577561e-19,-0.017750334864021392,0.0,-4.85722573273506e-17,4.4849457481177524e-11,0.0014701840014507048,1.9939588664904127,2.842170943040401e-14,0.0,0.0,-0.15597283404377274,-0.0014638058892397286,63.117159855731956,0.005676062031453988,0.7534557295305202,0.003818673115520463,-0.31775377054613674,4.306051406833682,-0.0006550907171210562,-0.42992624383536615,4.383427704589485,-0.005487765469685741,-0.1197769180988919,0.5983012526004745,62.47656453338742,0.09819837180582969,5.573912634509006,-0.06538851851576567,0.42687844680952247,-4.30328214719243,0.004448062173552389,0.0,0.0,0.3027048979999809,-4.304691073071723,0.0015206414497598215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04348514321997454,3.2333756941795038,-0.006041133509587437,0.0,0.0,0.04294705689239338,3.141170399656756,-0.0019178102758951796,0.0,0.0,4.440892098500626e-16,0.0,1.4210854715202004e-14,4.556514376918841e-08,-1.6519574197459974e-06,-2.2682241737626008e-08,-1.8946483201220943e-06,0.03754481738955828,8.673617379884035e-18,-0.03520432882914189,0.07269329009447076,2.4269090048711917e-07,0.038172359829934166,-1.951563910473908e-17,0.036379190077721536,0.07449337858879557,-0.11977691809889301,0.5983012526004727,62.4765645333874,0.09819841737097632,5.573910982551586,-0.06538854119800694,0.38339140894122825,-1.0323616356233662,-0.0015930713360350914,-0.03520432882914185,0.07269329009447066,0.34565219758327476,-1.1253483135850322,-0.0003971688261353979,0.03637919007772153,0.07449337858879555
slip_common_only,1.0,1,0.0,0.01,-1.2564496794442888e-05,0.009877879073696118,-0.019902959398975687,0.001335258890906615,-1.0429223636781708,-2.139664795551195,1.3529674598523212e-18,-1.2564496794451995e-05,0.0,2.42861286636753e-17,1.4719296108365341e-19,-0.01990295939897571,0.0,2.42861286636753e-17,4.4838466273233735e-11,0.001888799902133499,1.9979349432185032,2.1316282072803006e-14,0.0,0.0,-0.058574979356410296,-0.0038348619493978335,63.11080941418707,0.005303871372504432,0.7226205238866866,0.013097502287195877,-0.30814719970361404,4.312311799224784,0.000803850329805515,-0.4075025631301187,4.398482996531784,-0.0020708457783607595,-0.026251223994844697,0.5969079603503329,62.47057116691541,0.09798779701409188,5.54084339221871,-0.05727182531711715,0.40513855796686093,-4.317871558254586,0.001149859909536059,0.0,0.0,0.29371054433600796,-4.3105639699350276,0.00015850869514894586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.039235413206068846,3.2379982933918243,-0.0020650567814968638,0.0,0.0,0.04103250867132188,3.1409549761048963,-0.00016944034259132017,0.0,0.0,0.0,-4.440892098500626e-16,7.105427357601002e-15,4.80998801899446e-08,-2.352559121732156e-06,-2.3944029661771005e-08,-2.399427997845649e-06,0.03764700548375188,-2.6020852139652106e-17,-0.034748189019695015,0.07233966938994169,4.686887500326975e-08,0.038176552942641884,-3.355605723842636e-17,0.036169844928494385,0.07428840968500366,-0.02625122399484614,0.596907960350332,62.4705711669154,0.09798784511397339,5.540841039659586,-0.057271849261146146,0.365900745332795,-1.0422262593790097,-0.0009151968719608417,-0.03474818901969495,0.07233966938994157,0.33474309987620515,-1.1314324408874885,-1.0931647442392319e-05,0.036169844928494385,0.07428840968500366
slip_common_only,0.5,-1,-0.0,-0.005,-4.191928619116784e-06,-0.005043613561247824,-0.018288490997760507,0.0034436866658339796,-1.9764911486423684,-3.2558477840400633,6.2592268116221e-19,-4.191928619134673e-06,0.0,-7.28583859910259e-17,-3.869657101477077e-19,-0.018288490997760434,0.0,-7.28583859910259e-17,4.4846903968220886e-11,0.001574837976621208,1.9949528856724332,2.842170943040401e-14,0.0,0.0,-0.1316233703719774,-0.002056569904339591,63.11557224534586,0.005583014366719041,0.7457469281195774,0.006138380408435121,-0.3153521278355111,4.307616504931469,-0.0002903554553900212,-0.42432032365906536,4.387191527575055,-0.004633535546856146,-0.0963954945729264,0.5979529295378891,62.47506619176956,0.0981457281078928,5.565645323936462,-0.06335934521610351,0.42144347459886855,-4.306929499957967,0.0036235116075499837,0.0,0.0,0.30045630958399283,-4.306159297287561,0.0011801082611077327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04242271071649996,3.234531343982585,-0.005047114327566814,0.0,0.0,0.04246841983712614,3.141116543768807,-0.001480717792570074,0.0,0.0,0.0,0.0,7.105427357601002e-15,4.619882787437746e-08,-1.8271078454645817e-06,-2.2997688448045395e-08,-2.0208432393031828e-06,0.03757036441310735,2.2551405187698492e-17,-0.035090293876780344,0.07260488491833868,1.9373539383860106e-07,0.03817340810811132,-8.673617379884035e-19,0.036326853790414775,0.07444213636284772,-0.09639549457292762,0.597952929537889,62.475066191769535,0.09814577430672486,5.5656434968286135,-0.06335936821379165,0.3790187430391294,-1.034827791562272,-0.0014236027200168928,-0.03509029387678034,0.07260488491833861,0.3429249231565132,-1.1268693454106422,-0.0003006095314623644,0.036326853790414775,0.07444213636284772
slip_common_only,0.5,1,0.0,0.005,-9.773640736024164e-06,0.0049040481953815,-0.019364803265235497,0.002038068149213211,-1.3541119586655397,-2.511725791713465,1.1106192002882854e-18,-9.773640736036307e-06,0.0,-3.122502256758253e-17,-3.085992932729963e-20,-0.019364803265235465,0.0,-3.122502256758253e-17,4.48412418307953e-11,0.0017841459269627622,1.9969409240364804,2.1316282072803006e-14,0.0,0.0,-0.08292444302822201,-0.003242097934388951,63.11239702457334,0.005396919037242043,0.7303293252976364,0.010777794994269209,-0.31054884241423475,4.310746701127023,0.00043911506807545794,-0.41310848330643146,4.394719173546209,-0.002925075701192142,-0.0496326475208253,0.5972562834128481,62.47206950853348,0.098040440712027,5.549110702791278,-0.059300998616784895,0.41057353017752724,-4.314224205489047,0.0019744104755402576,0.0,0.0,0.29595913275199065,-4.309095745719215,0.0004990418837999955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04029784570954751,3.2368426435887447,-0.0030590759635196097,0.0,0.0,0.04151114572659264,3.1410088319928704,-0.0006065328259154352,0.0,0.0,0.0,4.440892098500626e-16,0.0,4.7466195307599435e-08,-2.177408696013572e-06,-2.3628582590529135e-08,-2.27323307816496e-06,0.03762145846020282,2.6020852139652106e-17,-0.03486222397205672,0.07242807456607395,9.58243814852544e-08,0.03817550466446473,1.5504091066542713e-17,0.03622218121580092,0.07433965191095149,-0.04963264752082874,0.5972562834128452,62.47206950853346,0.09804048817822393,5.549108525382581,-0.05930102224536646,0.370273411234902,-1.0397601034400996,-0.001084665487979375,-0.03486222397205667,0.07242807456607384,0.3374703743029655,-1.129911409061878,-0.00010749094211536829,0.036222181215800925,0.0743396519109515
