mode,scale,g_qp_xi,g_qp_slip,g_mj_xi,g_mj_slip,g_qp_projected,g_mj_projected,qp_convergence_relative,mj_convergence_relative,sign_match
common,1.0,0.9996660003505211,0.9967392659236047,-3.7865716452957305,0.03477291942973085,0.9982026331370629,-1.8758993629329999,0.0,0.0,False
common,0.5,0.9996660003505211,0.9967392659235982,-3.78657164528912,0.03477291942994595,0.9982026331370597,-1.875899362929587,3.2254440777164984e-15,1.8193009951033415e-12,False
common,0.25,0.9996660003505209,0.996739265923596,-3.7865716452847487,0.03477291943007113,0.9982026331370584,-1.8758993629273388,4.56011059263367e-15,3.017767005215335e-12,False
differential,1.0,1.0000221044613042,0.9900484870867677,0.47152409698135817,0.0025213351777203996,0.995035295774036,0.2370227160795393,0.0,0.0,True
differential,0.5,1.0000221044613045,0.9900484870867677,0.4715240969807309,0.002521335177740674,0.995035295774036,0.23702271607923578,0.0,1.2804984449467376e-12,True
differential,0.25,1.0000221044613042,0.990048487086768,0.4715240969807835,0.0025213351777210284,0.995035295774036,0.23702271607925227,0.0,1.2109405047274087e-12,True
