direction,actuator,tau_total_nm_per_n,tau_acc_nm_per_n,tau_contact_nm_per_n,tau_other_nm_per_n
Fr_L,left_hip,0.18655546269755854,0.4648922966863135,-0.27833683398872805,-2.6922908347160046e-14
Fr_L,left_knee,0.09248024816238763,0.26935725707109726,-0.17687700890882657,1.1696199564426024e-13
Fr_L,left_wheel,-0.00017689394665104652,1.1744963193185178e-05,-0.0001886389098446429,4.1122433149659576e-16
Fr_L,right_hip,0.28322373347166874,0.2584748057304813,0.024748927741061244,1.2620460232426467e-13
Fr_L,right_knee,0.16344831976601681,0.13869939200320391,0.024748927763365125,-5.522266671720288e-13
Fr_L,right_wheel,-0.00017686484525175248,-0.02492579263441607,0.024748927789164734,-4.145989107584569e-16
Fn_L,left_hip,6.352154076760906,5.846440953977234,0.5057131227818301,1.8420265313068285e-12
Fn_L,left_knee,3.608569700320134,3.2515433721078963,0.357026328215282,-3.0443703114002574e-12
Fn_L,left_wheel,0.12787861596417188,-0.3683827046326199,0.4962613205967813,1.04638520070921e-14
Fn_L,right_hip,9.952224937334941,9.632650847269737,0.31957409006739934,-2.19493867525955e-12
Fn_L,right_knee,5.815732936831777,5.496158846213472,0.3195740905888306,2.947495025829028e-11
Fn_L,right_wheel,0.1278782436620765,-0.19169584710336665,0.3195740907654242,1.8957058145474548e-14
Fr_R,left_hip,0.274554209133115,0.24931209913354502,0.025242109999532573,3.739543397163203e-14
Fr_R,left_knee,0.15773782758502392,0.13249571759368411,0.025242109992059357,-7.195580936647517e-13
Fr_R,left_wheel,0.000225816521511889,-0.025016293484011604,0.025242110005522886,6.054184931159057e-16
Fr_R,right_hip,0.17518346324620276,0.45332226900087735,-0.2781388057547103,3.5665914666083154e-14
Fr_R,right_knee,0.0872975821972388,0.26567695271145475,-0.17837937051360725,-6.087075288263577e-13
Fr_R,right_wheel,0.00022578825966380783,0.00034284505692467465,-0.00011705679726008132,-7.85511250229326e-16
Fn_R,left_hip,9.593611011886166,8.833677497145189,0.7599335147417046,-7.264744361634712e-13
Fn_R,left_knee,5.571442461020279,4.811508945404048,0.7599335156127148,3.515077118265708e-12
Fn_R,left_wheel,0.129899187452784,-0.630034329009902,0.7599335164626533,3.269606807521086e-14
Fn_R,right_hip,6.588393450876217,6.516902261845793,0.07149118902639351,4.030664690901631e-12
Fn_R,right_knee,3.772205895614788,3.8505476593148096,-0.07834176368568235,-1.433908547454621e-11
Fn_R,right_wheel,0.12990119024158395,0.07102884793342479,0.058872342308144684,1.4471063236598525e-14
