direction,side,point,component,actuator_free,qp_contact,net,closure
Fr_L,left,0,rolling,0.7153213738058677,1.1484637666119901,1.8637851404102546,7.603251361842922e-12
Fr_L,left,0,lateral,0.0005612330090787529,-0.0037863489377715346,-0.003225115913500538,-1.5192243730394184e-11
Fr_L,left,0,normal,-0.11594631056029217,0.11681633583152273,0.0008700252728318317,-1.6012694642464353e-12
Fr_L,left,1,rolling,0.7576450613805231,1.1697390056958235,1.9273840670436284,3.2718272535703363e-11
Fr_L,left,1,lateral,0.0005612330090787529,-0.0037863489377715346,-0.003225115913500538,-1.5192243730394184e-11
Fr_L,left,1,normal,-0.11557343722997543,0.11567314215567237,9.970492962852774e-05,-3.9315859595712155e-12
Fr_L,right,0,rolling,1.0474592640845994,-2.935428444369368,-1.8879691802546414,-3.012701199622825e-11
Fr_L,right,0,lateral,0.00391167065881767,-0.002100050326814762,0.0018116203452029846,-1.3200076882241563e-11
Fr_L,right,0,normal,-0.007002828772139313,0.003320504314796337,-0.003682324460060671,2.717694558979078e-12
Fr_L,right,1,rolling,1.0897829516592523,-2.9141532052855346,-1.8243702536212663,-5.015987625256457e-12
Fr_L,right,1,lateral,0.00391167065881767,-0.002100050326814762,0.0018116203452029846,-1.3200076882241563e-11
Fr_L,right,1,normal,-0.006629955441822544,0.0021773106389459903,-0.0044526448032639054,3.873516091212892e-13
Fn_L,left,0,rolling,40.03828529658469,-58.209567464271345,-18.1712821679513,2.646451946475281e-10
Fn_L,left,0,lateral,-1.0013352114271479,0.9256925014207528,-0.07564270957403471,-4.3236039748428823e-10
Fn_L,left,0,normal,-1.045912321355146,1.1381604496952638,0.09224812845421781,-1.1410006273138151e-10
Fn_L,left,1,rolling,41.61999854889219,-58.20681029447913,-16.58681174672273,1.135788352257805e-09
Fn_L,left,1,lateral,-1.0013352114271479,0.9256925014207528,-0.07564270957403471,-4.3236039748428823e-10
Fn_L,left,1,normal,-1.2005565598420067,1.2471005453931059,0.046543985730609805,-1.79510628584012e-10
Fn_L,right,0,rolling,51.93077445499989,-37.559344592720954,14.371429863281719,-1.0027818575508718e-09
Fn_L,right,0,lateral,-0.8758568049287588,0.9257386154094501,0.04988181084397514,-3.6328384744876985e-10
Fn_L,right,0,normal,0.11906970199875389,-0.1511801285897434,-0.03211042705138212,4.603926129220781e-10
Fn_L,right,1,rolling,53.5124877073074,-37.556587422928715,15.955900284510221,-1.3153567124390975e-10
Fn_L,right,1,lateral,-0.8758568049287588,0.9257386154094501,0.04988181084397514,-3.6328384744876985e-10
Fn_L,right,1,normal,-0.03557453648810949,-0.04224003289190115,-0.0778145697749899,3.9497927151188605e-10
Fr_R,left,0,rolling,1.1051976331021645,-2.971070519577271,-1.8658728864807153,5.608624675801366e-12
Fr_R,left,0,lateral,-0.0008399522701717554,0.004148427026241651,0.003308474763351944,-7.28204866198845e-12
Fr_R,left,0,normal,0.0002035606115149899,0.005770659930747249,0.005974220549618166,-7.35592663170248e-12
Fr_R,left,1,rolling,1.0611353850586833,-2.9927023792451326,-1.9315669942128906,2.6441293599077653e-11
Fr_R,left,1,lateral,-0.0008399522701717554,0.004148427026241651,0.003308474763351944,-7.28204866198845e-12
Fr_R,left,1,normal,-0.00022678876626034197,0.006971170963761779,0.006744382205917017,-8.4155798649177e-12
Fr_R,right,0,rolling,0.7568111708261025,1.1601905643758992,1.9170017352273554,-2.535371912415485e-11
Fr_R,right,0,lateral,-0.004327951614237199,0.0024338019728740155,-0.0018941496357322341,-5.630949699575449e-12
Fr_R,right,0,normal,-0.11449262926556497,0.11464276931135725,0.0001501400454508861,3.4139358007223564e-13
Fr_R,right,1,rolling,0.7127489227826214,1.1385587047080388,1.8513076274951814,-4.5212722454834875e-12
Fr_R,right,1,lateral,-0.004327951614237199,0.0024338019728740155,-0.0018941496357322341,-5.630949699575449e-12
Fr_R,right,1,normal,-0.11492297864334028,0.11584328034437177,0.0009203017017497261,-7.182310302056294e-13
Fn_R,left,0,rolling,52.522535213405526,-89.29205714568768,-36.76952193253147,2.4931523512350395e-10
Fn_R,left,0,lateral,0.735815172276684,-0.6735093431772873,0.06230582951020784,-4.108110934764042e-10
Fn_R,left,0,normal,0.07488860245348339,0.054466738268940246,0.12935534077282063,-5.039699213504889e-11
Fn_R,left,1,rolling,51.189351442973035,-89.29718429005955,-38.10783284815311,1.0665957006494864e-09
Fn_R,left,1,lateral,0.735815172276684,-0.6735093431772873,0.06230582951020784,-4.108110934764042e-10
Fn_R,left,1,normal,0.18739459908149103,-0.025014902200677678,0.162379696992991,-1.1217765605309182e-10
Fn_R,right,0,rolling,42.385487053194595,-6.800134970283793,35.585352083881844,-9.710419135444681e-10
Fn_R,right,0,lateral,0.6300809781814122,-0.6737896639831792,-0.0437086854557635,-3.4600351056512935e-10
Fn_R,right,0,normal,-1.1959822479053912,1.1574568398378942,-0.038525408165916986,9.841993886539058e-11
Fn_R,right,1,rolling,41.05230328276201,-6.8052621146556,34.24704116826024,-1.538253968647041e-10
Fn_R,right,1,lateral,0.6300809781814122,-0.6737896639831792,-0.0437086854557635,-3.4600351056512935e-10
Fn_R,right,1,normal,-1.0834762512773821,1.0779751993682762,-0.005501051945746127,3.664024639249419e-11
