scenario,episode,tick,time_s,status,safety_latched,command_accepted,contact_left,contact_right,x,dx,pitch,dtheta,height,zoh_ctrl_max_difference,q0,q1,q2,q3,q4,q5,dq0,dq1,dq2,dq3,dq4,dq5,tau0,tau1,tau2,tau3,tau4,tau5,ctrl0,ctrl1,ctrl2,ctrl3,ctrl4,ctrl5
hold,0,830,8.3099999999994445,0,0,1,2,2,0.0017717402631668849,-0.00042716444043966153,-0.00046890961283231858,-0.011576595636013242,0.31545493814195996,0,-0.96500471628234719,1.6405237994798685,-0.029606657959892885,-0.98282999602189358,1.6391229100784313,-0.031148995911875844,-0.010809161324193274,-0.0071974310447623516,0.039319959767403781,0.015340485846823435,-0.0023919083471002594,-0.15669772280013486,-0.14068516309478724,-1.9491895881662367,0.022978513959817225,0.13168598163517375,-4.4261395886701225,0.022978513959817225,0.14068516309478724,1.9491895881662367,-0.022978513959817225,-0.13168598163517375,4.4261395886701225,-0.022978513959817225
hold,0,831,8.3199999999994478,0,0,1,2,2,0.0017696402710765946,-4.6957469234143868e-05,-0.00061185745526021065,-0.016043731745011062,0.31546602620830744,0,-0.96517731242872062,1.6404471879435647,-0.028980393543704356,-0.98271463237019629,1.6390709963773822,-0.032539383679655823,-0.021484121465413807,-0.0080408383032154439,0.077936179087725654,0.00070201839233219321,-0.013010647538260575,-0.04151445060539477,-0.12862943378257918,-1.9477332886173535,0.029328639062942894,0.1454015398760867,-4.4151055398705692,0.029328639062942894,0.12862943378257918,1.9477332886173535,-0.029328639062942894,-0.1454015398760867,4.4151055398705692,-0.029328639062942894
hold,0,832,8.3299999999994512,0,0,1,2,2,0.0017704017585694759,0.00012768605767673704,-0.00064974629986367023,0.0042870973373171474,0.31547883925265979,0,-0.9653229917123598,1.6403539983650623,-0.027841291799227192,-0.98285416163088257,1.6388469361193794,-0.030759763631305656,-0.0099779524320388648,-0.010022663546326978,0.13724474932795594,-0.011461545644529073,-0.017528968857379694,0.1858912104664085,-0.13897016854684072,-1.9450059467462231,0.017050319302313158,0.1586813379984382,-4.4087947364874278,0.017050319302313158,0.13897016854684072,1.9450059467462231,-0.017050319302313158,-0.1586813379984382,4.4087947364874278,-0.017050319302313158
hold,0,833,8.3399999999994545,0,0,1,2,2,0.0017709486623922605,9.9119149830217837e-06,-0.00047318211290639549,0.026575002423823081,0.31549197831390624,0,-0.9652979977388696,1.6402565867882957,-0.026448270165316888,-0.98280005221232969,1.6387400360553581,-0.029503179659708313,0.010783446302253356,-0.0095849330787686499,0.14116805225144455,0.017159933340129919,-0.0074583925725943473,0.089196197897144683,-0.15993151906905459,-1.9446643845996479,-0.0033036449695491524,0.12962698366535613,-4.4180101122600428,-0.0033036449695491524,0.15993151906905459,1.9446643845996479,0.0033036449695491524,-0.12962698366535613,4.4180101122600428,0.0033036449695491524
hold,0,834,8.3499999999994579,0,0,1,2,2,0.0017722070531583922,0.0002049276216877994,-0.00036405078380354072,0.00047190593515538011,0.31550096031916092,0,-0.96529586280741575,1.6401915849679187,-0.025512190868731532,-0.98267925737219985,1.6387182141085117,-0.029557271378575365,-0.006966873935743266,-0.0044924697048949825,0.063357176088675554,0.0087558476240474498,0.00074169400351715466,-0.065636361666413651,-0.14219827828268872,-1.9492368334105061,0.0077327888863029182,0.13706471066039994,-4.4260356232613836,0.0077327888863029182,0.14219827828268872,1.9492368334105061,-0.0077327888863029182,-0.13706471066039994,4.4260356232613836,-0.0077327888863029182
hold,0,835,8.3599999999994612,0,0,1,2,2,0.0017746616353771227,0.00027163381383828823,-0.00036946885597082045,-0.0012201024579923934,0.31550691147098209,0,-0.96535336468526833,1.6401494366205052,-0.025039739954801153,-0.98252336678786401,1.6387315799805355,-0.030762273367903811,-0.0050147183267747067,-0.0040158817306844832,0.036867777742606835,0.020188376716683509,0.0015482360537387627,-0.15651156714170866,-0.1436904188688366,-1.949376234605408,0.0086338592731339814,0.12438505689307706,-4.4269490922877957,0.0086338592731339814,0.1436904188688366,1.949376234605408,-0.0086338592731339814,-0.12438505689307706,4.4269490922877957,-0.0086338592731339814
hold,0,836,8.3699999999994645,0,0,1,2,2,0.0017789779017302332,0.00055600002982921155,-0.00047185025036165215,-0.016190835945913903,0.31551149405603413,0,-0.96548270717138784,1.6401168277733933,-0.024785288794411921,-0.98237179303320432,1.6387349609081019,-0.032532389111313273,-0.018219949816237372,-0.0028310985545908348,0.018185155485550809,0.0034920188576034253,-0.0061454294836885606,-0.10626222758481342,-0.12945044749041787,-1.9503001470046069,0.020509435284251809,0.13986882471487969,-4.4192824741708989,0.020509435284251809,0.12945044749041787,1.9503001470046069,-0.020509435284251809,-0.13986882471487969,4.4192824741708989,-0.020509435284251809
hold,0,837,8.3799999999994679,0,0,1,2,2,0.0017854561820617454,0.00068978681913156538,-0.00055001806695036278,-0.0022910353662820219,0.31551657235697106,0,-0.96560774889632217,1.6400783240383563,-0.024412090159198815,-0.98250721544272479,1.6385941598133988,-0.031545287063501661,-0.0087138185693693762,-0.0044235875260176891,0.049540230691639819,-0.016164090599619194,-0.013337807297853856,0.14541845986586593,-0.13795624493781125,-1.9483996281528839,0.014081820151765505,0.16060831344826604,-4.410963687599109,0.014081820151765505,0.13795624493781125,1.9483996281528839,-0.014081820151765505,-0.16060831344826604,4.410963687599109,-0.014081820151765505
hold,0,838,8.3899999999994712,0,0,1,2,2,0.0017911469450972994,0.00049144564122986995,-0.00042347592466325903,0.022622335832291531,0.31552242040785011,0,-0.96554971737514816,1.6400330630926714,-0.023898354980468078,-0.98247101769317613,1.6385324472579972,-0.030795557113277257,0.015470579720626668,-0.0046105282808042262,0.052756454931155723,0.017385925048480425,-0.0028178721521801677,0.031763389204356229,-0.16260489539719936,-1.9478505998326181,-0.0055163497553732069,0.12676871580377713,-4.4209899223015698,-0.0055163497553732069,0.16260489539719936,1.9478505998326181,0.0055163497553732069,-0.12676871580377713,4.4209899223015698,0.0055163497553732069
hold,0,839,8.3999999999994746,0,0,1,2,2,0.0017974350444328185,0.00072093554674181721,-0.00038596966527186684,-0.0088317436298609182,0.31552463021382132,0,-0.96553477882192618,1.6400173822487569,-0.023826208730495971,-0.98237175005696464,1.6385590688172742,-0.031485768956098309,-0.0079156638345709556,0.00041155886410954696,-0.021996662670085158,0.0050915054008331892,0.0056690512168447752,-0.13357244937981949,-0.13933816026777762,-1.9527472402262163,0.011511851753605307,0.13826899436173248,-4.4296898181448112,0.011511851753605307,0.13933816026777762,1.9527472402262163,-0.011511851753605307,-0.13826899436173248,4.4296898181448112,-0.011511851753605307
hold,0,840,8.4099999999994779,0,0,1,2,2,0.0018054615650716227,0.00088596308027398302,-0.000458974548831796,-0.0061857520156737992,0.31552532377667952,0,-0.96559541558838347,1.6400133775125001,-0.024042317900946915,-0.98239380761691431,1.6385184063668219,-0.031752555122331376,-0.0047864359127794904,-0.001032340771864086,-0.021395050205321859,-0.020860235736105997,-0.017451508910755184,0.17069749870369824,-0.14198229405791077,-1.951271302700188,0.011787826905420431,0.16439719597826896,-4.4062439584135928,0.011787826905420431,0.14198229405791077,1.951271302700188,-0.011787826905420431,-0.16439719597826896,4.4062439584135928,-0.011787826905420431
hold,0,841,8.4199999999994812,0,0,1,2,2,0.0018129008732019614,0.00065222590872106778,-0.00037360878466150259,0.018358247795817774,0.31552662243105872,0,-0.96549890715990028,1.6400039518885963,-0.024246682536440314,-0.98241548811334267,1.6384551942103271,-0.030890732003607424,0.01928434069283395,-0.00088935692857163972,-0.019900963693414455,0.011216356785522075,-0.00096794567982434829,0.034746914629271569,-0.16682513809138971,-1.9513388815522497,-0.0057595735893653625,0.13249404742806783,-4.4222218243925653,-0.0057595735893653625,0.16682513809138971,1.9513388815522497,0.0057595735893653625,-0.13249404742806783,4.4222218243925653,0.0057595735893653625
hold,0,842,8.4299999999994846,0,0,1,2,2,0.0018206743294129912,0.00086106062016171265,-0.00037028339900500612,-0.011685138709341836,0.3155245777774679,0,-0.96544071110635143,1.6400212499601825,-0.024856976998821147,-0.9823703332114323,1.6385105021100719,-0.031596743640461465,-0.0032134452466890725,0.0034332678101487006,-0.087612295166270823,0.00034732131374659971,0.0089264715967322262,-0.13780470256829136,-0.14479292058025744,-1.95579989086366,0.01184105034566766,0.14300184368456034,-4.4325587048670796,0.01184105034566766,0.14479292058025744,1.95579989086366,-0.01184105034566766,-0.14300184368456034,4.4325587048670796,-0.01184105034566766
hold,0,843,8.4399999999994879,0,0,1,2,2,0.0018302020142126341,0.0010422965992612034,-0.00047577448561795626,-0.0096979649638447313,0.31552190679026254,0,-0.96546349067029547,1.640043327971112,-0.025676317287471693,-0.98244261805651689,1.6385033713510906,-0.031920576392752233,-0.0015744064753425598,0.0013042289257803204,-0.078472973527304785,-0.0260117953581014,-0.014080316336494546,0.1638654138804789,-0.14624972284005169,-1.9538474760667273,0.013720443206512892,0.16993923911708508,-4.4094948708620025,0.013720443206512892,0.14624972284005169,1.9538474760667273,-0.013720443206512892,-0.16993923911708508,4.4094948708620025,-0.013720443206512892
hold,0,844,8.4499999999994913,0,0,1,2,2,0.0018393047890656739,0.000824896496548921,-0.00041760886827806927,0.016166430197822265,0.31552095732112634,0,-0.96533605164749592,1.6400514187166784,-0.026367794315903789,-0.98250879235903166,1.6384667159351043,-0.031091508272104478,0.022337765395963983,0.00047793185869039289,-0.063348372174877959,0.0072554754562379224,0.0011971993635873017,0.03375408406082854,-0.17118140689375463,-1.9530859049641687,-0.0036797215065308003,0.13720136272286387,-4.4244791432341941,-0.0036797215065308003,0.17118140689375463,1.9530859049641687,0.0036797215065308003,-0.13720136272286387,4.4244791432341941,0.0036797215065308003
hold,0,845,8.4599999999994946,0,0,1,2,2,0.0018489794638966717,0.001062640264764104,-0.00043347164938875669,-0.013421707664310631,0.31551770472485474,0,-0.96525364677588121,1.6400779988187819,-0.027337007880239548,-0.98250295192784853,1.6385377418990923,-0.031768183532381582,-0.0011797294783704258,0.0040703587928623388,-0.11870854228416561,-0.0035584543702851593,0.010107231179910423,-0.13231715394647175,-0.14832315099233787,-1.9568909727151689,0.014225767786985789,0.14796856909992195,-4.4339573827624212,0.014225767786985789,0.14832315099233787,1.9568909727151689,-0.014225767786985789,-0.14796856909992195,4.4339573827624212,-0.014225767786985789
hold,0,846,8.4699999999994979,0,0,1,2,2,0.0018608258107882941,0.0012634690244084704,-0.00054674403643053691,-0.0099340862959687807,0.31551475274982588,0,-0.96525557175162868,1.6401020823003689,-0.02839622850411682,-0.98269444113742987,1.6384995856808673,-0.031236832481218283,0.00051076273864368972,0.0013481354691537754,-0.098103648251494563,-0.031189331263458266,-0.0094969508421378756,0.1683626744960797,-0.14999824340337223,-1.9543614172441564,0.015351962344610798,0.1771313596697458,-4.4140479509945729,0.015351962344610798,0.14999824340337223,1.9543614172441564,-0.015351962344610798,-0.1771313596697458,4.4140479509945729,-0.015351962344610798
hold,0,847,8.4799999999995013,0,0,1,2,2,0.0018720847397878937,0.0010368512463236326,-0.00047059759127305293,0.019320137422963894,0.31551451664568553,0,-0.96509011328413286,1.640104971643362,-0.029242145876860824,-0.9827832384826225,1.6384852516529533,-0.030303015506652861,0.027300410277495506,-0.00041689341339630953,-0.076107153460748866,0.0067817411277865478,0.0021133631625997172,0.047764816581883807,-0.17811155868219064,-1.9526195031055509,-0.0048478675709490385,0.139870666040042,-4.4255435927759992,-0.0048478675709490385,0.17811155868219064,1.9526195031055509,0.0048478675709490385,-0.139870666040042,4.4255435927759992,0.0048478675709490385
