scenario,episode,tick,time_s,status,safety_latched,command_accepted,contact_left,contact_right,x,dx,pitch,dtheta,height,zoh_ctrl_max_difference,q0,q1,q2,q3,q4,q5,dq0,dq1,dq2,dq3,dq4,dq5,tau0,tau1,tau2,tau3,tau4,tau5,ctrl0,ctrl1,ctrl2,ctrl3,ctrl4,ctrl5
hold,0,804,8.0499999999993577,0,0,1,2,2,-0.00023923951917538544,0.00058652114191883454,0.0012258952490500667,0.028682821192649116,0.31526332318825057,0,-0.95536524397667155,1.6419053716974492,-0.049027227234793032,-0.99268567903310068,1.6389577589174129,0.075232364641980645,0.049022252904165377,0.0078112917913843605,-0.18900237564239231,-0.017722476117330396,0.020279615680802682,0.19045981000359574,-0.27763235576855094,-1.9752508887430293,-0.069041214557762534,0.24359440768898433,-4.4474899034098785,-0.069041214557762534,0.27763235576855094,1.9752508887430293,0.069041214557762534,-0.24359440768898433,4.4474899034098785,0.069041214557762534
hold,0,805,8.059999999999361,0,0,1,2,2,-0.00023481822892905402,0.00034690514422705825,0.0013227901510661077,-0.0029749352957694625,0.3152439834492462,0,-0.95501778937357984,1.6420160451301247,-0.051312218181020088,-0.99286417414768613,1.6392174490978149,0.07569625891828892,0.025339886611096658,0.013386591976234548,-0.25602308524041439,-0.017894381545124235,0.028874424548054743,-0.045488504936061533,-0.2567296263002159,-1.9817115763892832,-0.051615482485995068,0.24519427403346181,-4.4581622337203459,-0.051615482485995068,0.2567296263002159,1.9817115763892832,0.051615482485995068,-0.24519427403346181,4.4581622337203459,0.051615482485995068
hold,0,806,8.0699999999993643,0,0,1,2,2,-0.00023273966367787224,0.00011254400086433184,0.0012363892216942542,-0.012421964362290613,0.3152238539048815,0,-0.95480597353824992,1.6421611622540784,-0.053970370637278629,-0.99296752064173488,1.6394962890324054,0.074466709983738222,0.018867087592605646,0.014892259307842659,-0.2739073429830266,-0.0053098126690742323,0.027046194042176945,-0.17379482876963104,-0.2519513539643643,-1.9843781807125209,-0.040956854067465964,0.23343647710980181,-4.4585647226911931,-0.040956854067465964,0.2519513539643643,1.9843781807125209,0.040956854067465964,-0.23343647710980181,4.4585647226911931,0.040956854067465964
hold,0,807,8.0799999999993677,0,0,1,2,2,-0.00023145779615940665,0.00013392169612730701,0.0010193212298551309,-0.027903378871669052,0.31520623007643706,0,-0.95473799143969895,1.6422902512116533,-0.056400842079004747,-0.99303192687484509,1.6397420590592502,0.07233478116692145,-0.0011533232995237499,0.011803411675907758,-0.22444045401205678,-0.0071404479267679491,0.02300299102489434,-0.24028270971178811,-0.23247479986064262,-1.9823220447411853,-0.022757800545260221,0.23578236223237725,-4.4564876798886681,-0.022757800545260221,0.23247479986064262,1.9823220447411853,0.022757800545260221,-0.23578236223237725,4.4564876798886681,0.022757800545260221
hold,0,808,8.089999999999371,0,0,1,2,2,-0.00022995610221755725,0.00015622886673945886,0.00077700722766641569,-0.02178839852388325,0.31519360111245326,0,-0.95479994540176083,1.6423703427493317,-0.05788957746913298,-0.99304867242283001,1.6399263877383929,0.070025104591445717,-0.0094910849282395741,0.0056106257637861942,-0.10002328766417175,0.0021386784211195001,0.015551380056333958,-0.22688949026493055,-0.22364140653543177,-1.976769991130491,-0.017165350039903195,0.22663720026836914,-4.4505106983532503,-0.017165350039903195,0.22364140653543177,1.976769991130491,0.017165350039903195,-0.22663720026836914,4.4505106983532503,0.017165350039903195
hold,0,809,8.0999999999993744,0,0,1,2,2,-0.00022785832594483801,0.00024632340468105549,0.00059556357751932285,-0.01570471518385725,0.31518659121787496,0,-0.95492800153168744,1.6424314718783535,-0.058477046841484547,-0.99302297528664862,1.640014578989629,0.068275365466539742,-0.015820659674350181,0.0037295190465836451,-0.01275980390475942,0.0025121368178376005,0.0055191579128055068,-0.14416288405884264,-0.21628738274990827,-1.9753779174454626,-0.014336370593882005,0.22605816478219992,-4.4411840062196095,-0.014336370593882005,0.21628738274990827,1.9753779174454626,0.014336370593882005,-0.22605816478219992,4.4411840062196095,0.014336370593882005
hold,0,810,8.1099999999993777,0,0,1,2,2,-0.0002253078333738362,0.00025883026096570297,0.0005138974246785454,-0.0031437805558304816,0.31518424018091629,0,-0.95508749045128982,1.6424526510509385,-0.058046912040848456,-0.99294534746256047,1.6400610443724144,0.066998382972440457,-0.016061628168018351,0.0013217544671857888,0.078879187340287218,0.011624384753498139,0.0037846504803453066,-0.11769254028730573,-0.21477050289942107,-1.9731395862467451,-0.019096581128185949,0.21632489425383414,-4.4398212218494333,-0.019096581128185949,0.21477050289942107,1.9731395862467451,0.019096581128185949,-0.21632489425383414,4.4398212218494333,0.019096581128185949
hold,0,811,8.119999999999381,0,0,1,2,2,-0.00022252882035615762,0.00028985933350908971,0.00050964552400738824,0.0013851951550563806,0.31518507045293465,0,-0.95528928632824539,1.6424365143432267,-0.056684201753705706,-0.99280148217301045,1.6400909801611334,0.065838761048794867,-0.022985439843905955,-0.0036599953492601808,0.17542231200817676,0.016430821842713023,0.0023487742640289251,-0.11549402039286115,-0.2062323242078889,-1.9680287427686045,-0.021961046790427804,0.21036753484821913,-4.4386248319428692,-0.021961046790427804,0.2062323242078889,1.9680287427686045,0.021961046790427804,-0.21036753484821913,4.4386248319428692,0.021961046790427804
hold,0,812,8.1299999999993844,0,0,1,2,2,-0.00022002404968911315,0.00022930231795007335,0.00056407626899013989,0.0081623729554964781,0.31518765452121372,0,-0.95552536673359634,1.6423905712264042,-0.054585682233758849,-0.99258191773334792,1.6401090678385182,0.06460586529050355,-0.025805990325120938,-0.0075102181690483378,0.25580897879977144,0.025782892460660956,0.0013849795001233912,-0.12906600689986392,-0.20152313048386636,-1.9638109750142365,-0.028048696506461007,0.19925894871297092,-4.4378057385980414,-0.028048696506461007,0.20152313048386636,1.9638109750142365,0.028048696506461007,-0.19925894871297092,4.4378057385980414,0.028048696506461007
hold,0,813,8.1399999999993877,0,0,1,2,2,-0.00021824812564454066,0.00013652334423593592,0.00064789065684896024,0.0085032565060310025,0.31519032591401819,0,-0.95583806960648743,1.6423066614634394,-0.051606631925614981,-0.99228757499448006,1.6401282182119874,0.06306937289044004,-0.033645637770308712,-0.0058612998444188148,0.30259705387515701,0.031945397519140849,0.0022880948735776573,-0.17053786778390928,-0.19118186005554985,-1.9647886152351477,-0.031063027977110191,0.19074170174354815,-4.4388620569592492,-0.031063027977110191,0.19118186005554985,1.9647886152351477,0.031063027977110191,-0.19074170174354815,4.4388620569592492,0.031063027977110191
