scenario,episode,control_tick,physics_substep,time_s,disturbance,force_x,force_y,force_z,moment_x,moment_y,moment_z,left_normal_load_n,right_normal_load_n,penetration_m,rolling_slip_m_s,lateral_slip_m_s,closure_residual_m,qpos0,qpos1,qpos2,qpos3,qpos4,qpos5,qpos6,qpos7,qpos8,qpos9,qpos10,qpos11,qpos12,qpos13,qpos14,qpos15,qpos16,qvel0,qvel1,qvel2,qvel3,qvel4,qvel5,qvel6,qvel7,qvel8,qvel9,qvel10,qvel11,qvel12,qvel13,qvel14,qvel15,ctrl0,ctrl1,ctrl2,ctrl3,ctrl4,ctrl5
hold,0,707,2,7.0759999999994427,0,0,0,0,0,0,0,31.738888841418976,31.656657958808136,0.00049184708528351995,0.0020769908486250942,4.6197673252874232e-05,0.00018238914958109006,-0.00010805397297701206,8.3334466071351271e-05,0.34766836202201334,0.99997161502419618,0.0016987232416909635,6.0616050900725358e-06,0.0073405346198033364,-0.3367846866384111,0.56482609192337996,0.029163510166248244,-0.5679535908397344,-0.56839590791622518,-0.35706519631862077,0.57485165241451142,-0.079334727408669634,0.57804288938058423,-0.57848266981754981,-3.5973731705959448e-06,0.00037074631807234703,-2.3329208234623917e-05,-0.0008292794941265662,-1.2683810583642631e-05,0.0010714123252586103,0.0022731121836311249,0.00049035948298166692,-0.013967347020172959,-0.00073913098505924788,-0.00070876200355998991,0.0013581735220587181,-0.002315166571459179,-0.0025015220710764147,-0.0025159319091903574,0.0024001273947945627,0.036727462323706106,3.2061963248372343,0.00085382288468293407,-0.033527166960692086,3.1803350929083072,0.023556009429978174
hold,0,707,3,7.0779999999994425,0,0,0,0,0,0,0,31.707483698570609,31.609828687009504,0.0004916321282458988,0.002598146688622004,2.6094888179551171e-05,0.0001823916856003761,-0.00010806271436858358,8.3813227967493859e-05,0.34766828673548478,0.99997159904488697,0.001698645412527758,6.0175902675606335e-06,0.0073427291358030338,-0.33678914118973319,0.56481854664724795,0.029248393128596947,-0.56794789953524882,-0.56838982504135593,-0.3570538729432739,0.57484673871970116,-0.079408157762681522,0.57803676560946415,-0.5784770343844472,-4.3706957857650594e-06,0.00023938094807129267,-3.7643264276177485e-05,-7.8136204220316681e-05,-3.9714293292113062e-05,0.0021946453023202919,-0.0022272756610352048,-0.0037726380659950055,0.042441481174351273,0.0028456522427817302,0.0030414374346510041,0.0056616876734475186,-0.0024568474051512653,-0.03671517700594569,-0.0030618855600634842,0.0028177165513280362,0.036727462323706106,3.2061963248372343,0.00085382288468293407,-0.033527166960692086,3.1803350929083072,0.023556009429978174
hold,0,707,4,7.0799999999994423,0,0,0,0,0,0,0,31.680704883795876,31.570097248618829,0.00049051567979065819,0.0030823824261913112,4.0513070062212322e-05,0.0001823803707007369,-0.00010807121407093176,8.4005054751914096e-05,0.34766818383275155,0.99997157398347813,0.0016993228056659793,5.9523712543618763e-06,0.007345984724688173,-0.3368031906643148,0.56480367984261248,0.029442897472516511,-0.56793590643271474,-0.56837716739543365,-0.35703443759459619,0.57484232524318912,-0.079549112301479971,0.5780305127855323,-0.57847145737762118,-4.2498511740865505e-06,9.5913392210121221e-05,-5.1451366602425736e-05,0.00067691799370916668,-6.4660833314914286e-05,0.0032557953026998081,-0.0070247372908010895,-0.0074334023177242102,0.097252171959782474,0.005996551267021007,0.0063288229611232379,0.0097176743388428521,-0.0022067382559952772,-0.070477269399222942,-0.0031264119659430941,0.0027885034129823054,0.036727462323706106,3.2061963248372343,0.00085382288468293407,-0.033527166960692086,3.1803350929083072,0.023556009429978174
hold,0,708,0,7.0819999999994421,0,0,0,0,0,0,0,31.678664247936126,31.556576519019764,0.00048867675196974381,0.0034810183649610915,5.6557293238480082e-05,0.00018235723092410719,-0.0001080849415072141,8.394890821834297e-05,0.34766809328843667,0.99997153726976762,0.0017007764662907933,5.8698445855224859e-06,0.0073506445494938245,-0.33682668938457627,0.5647828143550031,0.029742058534044054,-0.56791876117987683,-0.56835913994310516,-0.35700883891959168,0.57483929273266476,-0.079751452060732225,0.57802514083183976,-0.57846687779503114,-6.8637181411682517e-06,-2.8073266785565306e-05,-4.527215743532443e-05,0.0014530477148282893,-8.5284126583755066e-05,0.0046601109359471517,-0.011749360130749807,-0.01043274380470343,0.14958053076377076,0.0085726264189326558,0.009013726164222571,0.012799337502267708,-0.0015162552621860895,-0.10116987962612434,-0.002685976846285406,0.0022897912949914677,0.025635713107408462,3.2034777294759409,0.0019803260032717732,-0.022495878547547275,3.1901087680851252,0.024226113214110428
hold,0,708,1,7.0839999999994419,0,0,0,0,0,0,0,31.16376896476045,31.416741983746242,0.00048718345566095556,0.0028899716195813999,6.6515526432590848e-05,0.00018232187557503217,-0.00010809856817840314,8.423194693468091e-05,0.34766802769860106,0.99997151607405121,0.0017010770301249503,5.7828081634453233e-06,0.0073534579660667083,-0.3368447808153594,0.56477341860472341,0.029929879453714222,-0.56791081245218444,-0.56835078538032069,-0.35700394815213093,0.5748400792510644,-0.079808275722018027,0.57802575139821477,-0.57846746052752562,-6.8133355945158462e-06,0.00014151935816897121,-3.2794917819465054e-05,0.00029993504034609244,-8.4458165579802267e-05,0.0028136420913079706,-0.0090457153915752455,-0.0046978751398200147,0.093910459835083407,0.0039743638461679168,0.004177281392218078,0.0024453837303744091,0.00039325919982900488,-0.028411830642898026,0.00030528318751996911,-0.00029136624724106436,0.025635713107408462,3.2034777294759409,0.0019803260032717732,-0.022495878547547275,3.1901087680851252,0.024226113214110428
hold,0,708,2,7.0859999999994416,0,0,0,0,0,0,0,31.20656752211346,31.451931154898119,0.00048676901467657047,0.0035485267187455173,3.3963962649006326e-05,0.00018231145591366982,-0.00010811435479990773,8.4856849649793368e-05,0.34766798563889639,0.99997150988748362,0.0017002753838794595,5.6883204724058236e-06,0.0073544846594802158,-0.33685669579285954,0.56477432478378642,0.030008652430061036,-0.56791134804313159,-0.56835131376368464,-0.35701922648441325,0.57484351362981767,-0.079720341626011215,0.57803078192835533,-0.57847182405513697,-7.8933107522997475e-06,0.00031245135755623185,-2.1029852345149929e-05,-0.00080231363606626718,-8.6843607330825749e-05,0.0010268657569874255,-0.0059574887500562518,0.00045308953151272559,0.039386488173407064,-0.00026779547357398507,-0.00026419168196891493,-0.0076391661411720421,0.0017171893766101962,0.04396704800340584,0.0025152650702712801,-0.0021817638056907227,0.025635713107408462,3.2034777294759409,0.0019803260032717732,-0.022495878547547275,3.1901087680851252,0.024226113214110428
hold,0,708,3,7.0879999999994414,0,0,0,0,0,0,0,31.242499488894154,31.482367779968527,0.00048689896031760965,0.0041877459425580434,8.8461842809636607e-06,0.00018232435387185842,-0.00010813446126166315,8.5826852153742943e-05,0.34766796602114081,0.99997151822727337,0.0016984129534488891,5.5835432800895427e-06,0.0073537811025387017,-0.3368617453964432,0.56478454339061157,0.029980036706643842,-0.56791975739284029,-0.56836004774244919,-0.35705427265786466,0.57484859618622974,-0.079487818183980458,0.57803889970141531,-0.57847878187440349,-1.0053230877710705e-05,0.00048500125197478976,-9.8088777842331442e-06,-0.0018631581298541977,-9.2273279159574772e-05,-0.00070343067597270826,-0.0025248017918210897,0.0051093034125902024,-0.014307861708595847,-0.0042046748543384032,-0.0043669893823005861,-0.017523086725695962,0.0025412782060331438,0.11626172101537668,0.0040588865299673264,-0.0034789096332506495,0.025635713107408462,3.2034777294759409,0.0019803260032717732,-0.022495878547547275,3.1901087680851252,0.024226113214110428
hold,0,708,4,7.0899999999994412,0,0,0,0,0,0,0,31.863993305372219,31.528085405088106,0.00048745434609501204,0.0030242120001982356,6.0736528086576349e-05,0.00018235878256702808,-0.00010811666720606906,8.6902841032345386e-05,0.34766796958617319,0.99997152525722333,0.0016964916942145197,5.5269669550255146e-06,0.0073532686694389926,-0.3368549983729619,0.56480061894310374,0.029845440159435244,-0.56793322722690787,-0.56837410375948938,-0.35707654345661294,0.57484801670332153,-0.079321748486237992,0.57804013547603073,-0.57847942300999922,8.8970277970424012e-06,0.00053799443930122384,1.7825161942609695e-06,-0.0019216296419776624,-4.3316556085593585e-05,-0.0005123848388907204,0.0033735117406601288,0.0080377762460873258,-0.067298273604299852,-0.0067349170337913039,-0.0070280085200871284,-0.011135399374127532,-0.00028974145410917912,0.083034848871235439,0.00061788730769602807,-0.00032056779787893079,0.025635713107408462,3.2034777294759409,0.0019803260032717732,-0.022495878547547275,3.1901087680851252,0.024226113214110428
hold,0,709,0,7.091999999999441,0,0,0,0,0,0,0,31.804358974195896,31.532756524017827,0.00048837113204477228,0.0034884827401236778,5.8390129508140609e-05,0.00018238846293547629,-0.00010805494943188343,8.8021746428433267e-05,0.34766796403420053,0.99997153393456839,0.0016944924175032123,5.5212673924066447e-06,0.0073525495923282757,-0.33683673466870734,0.56482165238085436,0.029607997891375377,-0.56795095157529885,-0.56839262468031948,-0.35708555679980197,0.57484284699167898,-0.079225212566032807,0.57803579723583787,-0.57847493956617879,3.0858887092813901e-05,0.00055945269804394361,-2.7759863435450355e-06,-0.0019992724395621014,7.7818621722814771e-06,-0.00071912182270551025,0.009131852127272428,0.010516718875287332,-0.11872113402993341,-0.0088621741954863463,-0.0092604604150298211,-0.0045066715945302222,-0.0025848558212611082,0.048267960102592801,-0.0021691200964105099,0.0022417219102397207,0.035539839977510812,3.2063500557163267,0.001052955283038504,-0.032373205023919313,3.1814391229970158,0.023801633822341427
hold,0,709,1,7.0939999999994408,0,0,0,0,0,0,0,31.766551468617994,31.551197776328184,0.00048955578324998139,0.0039839135477682981,5.2597571186729572e-05,0.00018241356098566138,-0.00010794816967521048,8.9181410884124141e-05,0.34766794986465038,0.99997154434602209,0.0016924088109296982,5.5680033982920567e-06,0.0073516134041767909,-0.33680656748905274,0.56484717169247189,0.02926780038772903,-0.56797262383186986,-0.56841526630522632,-0.35708208498118738,0.57483414263773291,-0.079196753547826862,0.5780271141361385,-0.57846645316260048,5.3389878336480221e-05,0.00057983222784543757,-7.084775062456654e-06,-0.002083216105817911,6.0468074949458848e-05,-0.00093632875057812965,0.01508358982730534,0.012759655808777963,-0.17009875182317313,-0.010836128285499642,-0.011320812453394113,0.0017359093073093801,-0.0043521769730581455,0.014229509102969877,-0.0043415498497099796,0.0042432017891413671,0.035539839977510812,3.2063500557163267,0.001052955283038504,-0.032373205023919313,3.1814391229970158,0.023801633822341427
