time_s,q_left_hip_joint_rad,q_left_knee_joint_rad,q_left_wheel_joint_rad,dq_left_hip_joint_rad_s,dq_left_knee_joint_rad_s,dq_left_wheel_joint_rad_s,qdd_left_hip_joint_rad_s2,qdd_left_knee_joint_rad_s2,qdd_left_wheel_joint_rad_s2,ctrl_native_left_hip_joint_nm,ctrl_native_left_knee_joint_nm,ctrl_native_left_wheel_joint_nm,constraint_position_max_m,constraint_velocity_max_m_s,mechanical_energy_j
0.002,-2.7134633302846845e-07,6.752095949350138e-08,1.8156223039106976e-05,-0.00013567316651423423,3.376047974675069e-05,0.009078111519553489,-0.06783658325711711,0.016880239873375346,4.539055759776744,0.0,0.0011755705045849462,0.0019021130325903072,0.0,0.0,0.0
0.004,-8.126374829346253e-07,2.0269264785519548e-07,5.4517772938250005e-05,-0.00027064557495307844,6.758584418084705e-05,0.018180774949571515,-0.06748620421942209,0.01691268221704818,4.551331715009013,1.759269197771873e-05,0.0011897578101949576,0.0019074758832983685,0.0,0.0,1.7307281980384793e-08
0.006,-1.6224511344139585e-06,4.05639547347354e-07,0.00010913234503459731,-0.00040490682573966655,0.00010147344974607925,0.02730728604817365,-0.06713062539329406,0.016943802782616098,4.563255549301067,3.518402268219945e-05,0.001203853055677457,0.0019126911388643456,0.0,0.0,6.941637936853435e-08
0.008,-2.699344283616205e-06,6.764808402532992e-07,0.00018204622249355336,-0.0005384465746011231,0.0001354206464529726,0.03645693872947802,-0.0667698744307283,0.016973598353446667,4.574826340652186,5.2772630945535634e-05,0.0012178551503818223,0.0019177583957463672,0.0,0.0,1.5660074315880384e-07
0.01,-4.041853350369364e-06,1.0153303964753998e-06,0.0002733042727299602,-0.0006712545333765795,0.00016942477811105025,0.04562902511820342,-0.06640397938772818,0.017002065829038838,4.586043194362699,7.035715581047565e-05,0.001231763010865177,0.0019226772618542865,0.0,0.0,2.791238375414489e-07
0.012,-5.648494292011282e-06,1.4222967615999561e-06,0.0003829499439387792,-0.000803320470820959,0.00020348318256227814,0.05482283560440949,-0.06603296872218978,0.017029202225613937,4.596905243103032,8.79362366357298e-05,0.0012455755609762252,0.0019274473565800195,0.0,0.0,4.3723903588125446e-07
0.014,-7.517762718820187e-06,1.8974831454312713e-06,0.0005110252617355205,-0.0009346342134044527,0.00023759319191565757,0.06403765889837068,-0.06565687129174685,0.017055004676689713,4.607411646980594,0.00010550851320125294,0.00125929173193852,0.001932068310826994,0.0,0.0,6.311895197533797e-07
0.016,-9.648134011035404e-06,2.440987410997147e-06,0.0006575708259066798,-0.0010651856461076086,0.00027175213278293785,0.0732727820855796,-0.06527571635157796,0.01707947043364015,4.617561593604459,0.00012307262581349445,0.0012729104624331644,0.0019365397670387118,0.0,0.0,8.612081810694331e-07
0.018000000000000002,-1.2038063437459359e-05,3.0529020640279736e-06,0.0008226258072704318,-0.0011949647132119775,0.0003059573265154133,0.08252749068187604,-0.0648895335521845,0.017102596866237735,4.62735429814822,0.0001406272154106076,0.0012864306986809305,0.0019408613792264123,0.0,0.0,1.1275175273257506e-06
0.020000000000000004,-1.4685986275631812e-05,3.733314242911524e-06,0.001006227944647825,-0.001323961419086227,0.0003402060894417753,0.09180106868869653,-0.06449835293712472,0.017124381463180995,4.636789003410247,0.00015817092366760986,0.0012998513945238002,0.0019450328129958477,0.0,0.0,1.4303295900050982e-06
