candidate,source,tick,channel,output_family,classification,plus_regime_valid,minus_regime_valid,plus_trusted,minus_trusted,family_trusted,branch_relative,plus_scale,minus_scale
B,own,0,native_differential,slip,R44-S,True,True,True,True,True,1.9106363500445664e-10,1.0,1.0
B,own,0,native_differential,base,R44-S,True,True,True,True,True,8.598982717855775e-09,1.0,1.0
B,own,0,native_differential,normal_load,R44-S,True,True,True,True,True,1.62152056923455e-10,1.0,1.0
B,own,93,native_common,native_wheel,R44-S,True,True,True,True,True,7.533259426782101e-11,1.0,1.0
B,own,93,native_common,xi,R44-S,True,True,True,True,True,7.63224007419472e-10,1.0,1.0
B,own,93,native_common,slip,R44-S,True,True,True,True,True,1.9982554879665337e-07,1.0,1.0
B,own,93,native_common,base,R44-S,True,True,True,True,True,9.802725462828131e-11,1.0,1.0
B,own,93,native_common,normal_load,R44-S,True,True,True,True,True,4.960033527125687e-09,1.0,1.0
B,own,93,native_differential,native_wheel,R44-S,True,True,True,True,True,5.545399249064005e-11,1.0,1.0
B,own,93,native_differential,xi,R44-S,True,True,True,True,True,4.291802324617629e-09,1.0,1.0
B,own,93,native_differential,slip,R44-S,True,True,True,True,True,1.883332276131093e-08,1.0,1.0
B,own,93,native_differential,base,R44-S,True,True,True,True,True,3.548453565121429e-08,1.0,1.0
B,own,93,native_differential,normal_load,R44-S,True,True,True,True,True,3.7419154222621384e-10,1.0,1.0
B,own,97,native_common,native_wheel,R44-S,True,True,True,True,True,3.5561675537113553e-09,1.0,1.0
B,own,97,native_common,xi,R44-S,True,True,True,True,True,4.628522000676214e-09,1.0,1.0
B,own,97,native_common,slip,R44-S,True,True,True,True,True,1.8620780183036075e-06,1.0,1.0
B,own,97,native_common,base,R44-S,True,True,True,True,True,4.6126453126558435e-09,1.0,1.0
B,own,97,native_common,normal_load,R44-S,True,True,True,True,True,1.9778614829871882e-07,1.0,1.0
B,own,97,native_differential,native_wheel,R44-S,True,True,True,True,True,7.605611919569502e-11,1.0,1.0
B,own,97,native_differential,xi,R44-S,True,True,True,True,True,5.2517517981775895e-09,1.0,1.0
B,own,97,native_differential,slip,R44-S,True,True,True,True,True,1.7013067716893233e-07,1.0,1.0
B,own,97,native_differential,base,R44-S,True,True,True,True,True,4.937418988083496e-08,1.0,1.0
B,own,97,native_differential,normal_load,R44-S,True,True,True,True,True,8.783890281711653e-10,1.0,1.0
B,own,98,native_common,native_wheel,R44-S,True,True,True,True,True,0.013498431013565904,1.0,1.0
B,own,98,native_common,xi,R44-S,True,True,True,True,True,0.010574759029647737,1.0,1.0
B,own,98,native_common,slip,R44-P,True,True,True,True,True,1.7391820520511496,1.0,1.0
B,own,98,native_common,base,R44-S,True,True,True,True,True,0.010340141321716184,1.0,1.0
B,own,98,native_common,normal_load,R44-S,True,True,True,True,True,0.012058869195143249,1.0,1.0
B,own,98,native_differential,native_wheel,R44-S,True,True,True,True,True,0.014355620969593563,1.0,1.0
B,own,98,native_differential,xi,R44-P,True,True,True,True,True,0.08986662061737745,1.0,1.0
B,own,98,native_differential,slip,R44-P,True,True,True,True,True,1.0324540691842774,1.0,1.0
B,own,98,native_differential,base,R44-P,True,True,True,True,True,0.1294668688535441,1.0,1.0
B,own,98,native_differential,normal_load,R44-S,True,True,True,True,True,0.04646721413128621,1.0,1.0
B,own,101,native_common,native_wheel,R44-S,True,True,True,False,False,0.03374935757769878,1.0,1.0
B,own,101,native_common,xi,R44-P,True,True,True,False,False,0.0809854429839625,1.0,1.0
B,own,101,native_common,slip,R44-P,True,True,True,False,False,0.9338637249490693,1.0,1.0
B,own,101,native_common,base,R44-S,True,True,True,False,False,0.04011211302879386,1.0,1.0
B,own,101,native_common,normal_load,R44-P,True,True,True,False,False,0.07758696355439992,1.0,1.0
B,own,101,native_differential,native_wheel,R44-S,True,True,False,False,False,0.03427932945708303,1.0,1.0
B,own,101,native_differential,xi,R44-P,True,True,False,False,False,0.8574929257125442,1.0,1.0
B,own,101,native_differential,slip,R44-P,True,True,False,False,False,1.109003841296805,1.0,1.0
B,own,101,native_differential,base,R44-P,True,True,False,False,False,1.0891167232577663,1.0,1.0
B,own,101,native_differential,normal_load,R44-P,True,True,False,False,False,0.2862476484846221,1.0,1.0
B,own,115,native_common,native_wheel,R44-S,True,True,False,True,False,0.0024039048826098915,1.0,1.0
B,own,115,native_common,xi,R44-S,True,True,False,True,False,0.02105694031239077,1.0,1.0
B,own,115,native_common,slip,R44-P,True,True,False,True,False,1.0000001175008408,1.0,1.0
B,own,115,native_common,base,R44-P,True,True,False,True,False,0.6602857645676847,1.0,1.0
B,own,115,native_common,normal_load,R44-S,True,True,False,True,False,0.03554128686263268,1.0,1.0
B,own,115,native_differential,native_wheel,R44-S,True,True,False,False,False,0.0017624595791081766,1.0,1.0
B,own,115,native_differential,xi,R44-P,True,True,False,False,False,1.0,1.0,1.0
B,own,115,native_differential,slip,R44-P,True,True,False,False,False,0.9957473010296155,1.0,1.0
B,own,115,native_differential,base,R44-P,True,True,False,False,False,0.7670444022461274,1.0,1.0
B,own,115,native_differential,normal_load,R44-P,True,True,False,False,False,0.1191616393558691,1.0,1.0
B,own,119,native_common,native_wheel,R44-S,True,True,True,True,True,0.003839961293664055,1.0,1.0
B,own,119,native_common,xi,R44-P,True,True,True,True,True,0.10787807584680811,1.0,1.0
B,own,119,native_common,slip,R44-P,True,True,True,True,True,0.053290705182007514,1.0,1.0
B,own,119,native_common,base,R44-P,True,True,True,True,True,0.17003252529373716,1.0,1.0
B,own,119,native_common,normal_load,R44-P,True,True,True,True,True,0.07326002535344253,1.0,1.0
B,own,119,native_differential,native_wheel,R44-S,True,True,False,True,False,0.002593566543708201,1.0,1.0
B,own,119,native_differential,xi,R44-P,True,True,False,True,False,1.0,1.0,1.0
B,own,119,native_differential,slip,R44-P,True,True,False,True,False,0.9752669789697348,1.0,1.0
B,own,119,native_differential,base,R44-P,True,True,False,True,False,0.9064415440687646,1.0,1.0
B,own,119,native_differential,normal_load,R44-P,True,True,False,True,False,0.366205343881779,1.0,1.0
C,common,0,xi_common,native_wheel,R44-S,True,True,True,True,True,2.102272504143691e-12,1.0,1.0
C,common,0,xi_common,xi,R44-S,True,True,True,True,True,6.452553681293177e-13,1.0,1.0
C,common,0,xi_common,slip,R44-S,True,True,True,True,True,1.8545584210904961e-10,1.0,1.0
C,common,0,xi_common,base,R44-S,True,True,True,True,True,7.756391554570253e-13,1.0,1.0
C,common,0,xi_common,normal_load,R44-S,True,True,True,True,True,3.093217167659401e-08,1.0,1.0
C,common,0,xi_differential,native_wheel,R44-S,True,True,True,True,True,2.7287639536917165e-13,1.0,1.0
C,common,0,xi_differential,xi,R44-S,True,True,True,True,True,4.0241715288539973e-13,1.0,1.0
C,common,0,xi_differential,slip,R44-S,True,True,True,True,True,4.4584801424274974e-11,1.0,1.0
C,common,0,xi_differential,base,R44-S,True,True,True,True,True,8.269400920506606e-10,1.0,1.0
C,common,0,xi_differential,normal_load,R44-S,True,True,True,True,True,1.8318805476023137e-10,1.0,1.0
C,common,46,xi_common,native_wheel,R44-S,True,True,True,True,True,7.825899250759771e-11,1.0,1.0
C,common,46,xi_common,xi,R44-S,True,True,True,True,True,7.316154900482015e-10,1.0,1.0
C,common,46,xi_common,slip,R44-S,True,True,True,True,True,4.797053039885515e-07,1.0,1.0
C,common,46,xi_common,base,R44-S,True,True,True,True,True,8.851678283244856e-12,1.0,1.0
C,common,46,xi_common,normal_load,R44-S,True,True,True,True,True,3.0902599374529904e-06,1.0,1.0
C,common,46,xi_differential,native_wheel,R44-S,True,True,True,True,True,3.0841513329042865e-11,1.0,1.0
C,common,46,xi_differential,xi,R44-S,True,True,True,True,True,3.9892164596476514e-10,1.0,1.0
C,common,46,xi_differential,slip,R44-S,True,True,True,True,True,3.152869126193442e-08,1.0,1.0
C,common,46,xi_differential,base,R44-S,True,True,True,True,True,5.082645869495848e-09,1.0,1.0
C,common,46,xi_differential,normal_load,R44-S,True,True,True,True,True,6.446362938385624e-09,1.0,1.0
C,common,74,xi_common,native_wheel,R44-S,True,True,True,True,True,1.416264857998576e-10,1.0,1.0
C,common,74,xi_common,xi,R44-S,True,True,True,True,True,8.178094449935764e-10,1.0,1.0
C,common,74,xi_common,slip,R44-S,True,True,True,True,True,1.8292254696269521e-06,1.0,1.0
C,common,74,xi_common,base,R44-S,True,True,True,True,True,2.83526122608828e-11,1.0,1.0
C,common,74,xi_common,normal_load,R44-S,True,True,True,True,True,3.137952334264402e-06,1.0,1.0
