candidate,source,tick,channel,direction,scale,side,qp_contact_gain,mj_contact_gain,mj_actuator_gain,mj_mass_times_qacc_gain,mj_other_gain,balance_residual,mj_wheel_qacc_gain,cancellation_ratio
B,common,0,native_common,plus,1.0,left,0.00035181169189735153,0.0001760263138021913,5.191961928798872e-06,-0.00018121827573097118,-0.0003624365514619613,0.0,-0.5092435809766376,-33.90362183239542
B,common,0,native_common,plus,1.0,right,0.0003496161431575822,0.0001755501711974463,5.191961643057749e-06,-0.0001807421328413039,-0.00036148426568180796,0.0,-0.5083472339934092,-33.81191604760353
B,common,0,native_common,minus,1.0,left,0.00035181169190205697,0.0001760263138104819,5.19196192405966e-06,-0.00018121827573419294,-0.0003624365514687345,0.0,-0.5092435809859003,-33.903621864939396
B,common,0,native_common,minus,1.0,right,0.0003496161431623321,0.000175550171206301,5.191961638320596e-06,-0.00018074213284437288,-0.0003614842656889945,0.0,-0.5083472340020712,-33.81191608015904
B,common,0,native_differential,plus,1.0,left,-0.0003201375836499559,-0.00016157395786467316,5.580090070228332e-09,0.0001615683777744388,0.00032313675554904175,0.0,0.5544021100776808,28955.43903972534
B,common,0,native_differential,plus,1.0,right,0.0003176509593841325,0.00016095775933720041,1.2235362469451725e-08,-0.00016096999469962723,-0.0003219399893992971,0.0,-0.5542392547247199,-13155.127993883865
B,common,0,native_differential,minus,1.0,left,-0.000320137583651335,-0.00016157395786699463,5.5800914743760245e-09,0.00016156837777535842,0.0003231367555508787,0.0,0.5544021100803069,28955.431753932335
B,common,0,native_differential,minus,1.0,right,0.0003176509593827415,0.0001609577593350968,1.2235363876191338e-08,-0.00016096999469872848,-0.0003219399893977015,0.0,-0.5542392547221731,-13155.126481224048
B,common,46,native_common,plus,1.0,left,0.0003512652117079046,0.0001749097094013428,5.193938965406811e-06,-0.0001801036483659437,-0.0003602072967326933,0.0,-0.5069432342759406,-33.67573446016479
B,common,46,native_common,plus,1.0,right,0.000350636276117023,0.00017725486459175144,5.193956770438938e-06,-0.00018244882136248178,-0.0003648976427246722,0.0,-0.5117630208678703,-34.127135135314525
B,common,46,native_common,minus,1.0,left,0.00035126521516652687,0.00017490971512983556,5.193935497160761e-06,-0.00018010365062719858,-0.0003602073012541949,0.0,-0.5069432406836238,-33.675758050027596
B,common,46,native_common,minus,1.0,right,0.0003506362795613945,0.00017725487035332756,5.193953302144044e-06,-0.00018244882365505186,-0.0003648976473105235,0.0,-0.5117630273443163,-34.12715903320837
B,common,46,native_differential,plus,1.0,left,-0.0003223249566262215,-0.00014781820872075777,5.848883558778517e-08,0.0001477597198849478,0.0002955194397701178,0.0,0.5094878417655391,2527.2893063309366
B,common,46,native_differential,plus,1.0,right,0.00032322497632478187,0.00015317596203994095,6.531738532353005e-08,-0.00015324127942542944,-0.0003064825588506939,0.0,-0.5180659908133256,-2345.102475875754
B,common,46,native_differential,minus,1.0,left,-0.00032232495654273795,-0.00014781820858221625,5.848875188156046e-08,0.0001477597198302411,0.0002955194396605758,0.0,0.5094878416103121,2527.292920894391
B,common,46,native_differential,minus,1.0,right,0.00032322497640813533,0.00015317596217902674,6.531730143440763e-08,-0.00015324127948025847,-0.0003064825589607196,0.0,-0.5180659909681218,-2345.1054898960847
B,common,74,native_common,plus,1.0,left,0.00013697721761084507,-0.00017818503978488023,0.00021986093058210419,-4.167589079190522e-05,-8.33517815891292e-05,0.0,-0.1137899537453757,0.8104443081957181
B,common,74,native_common,plus,1.0,right,0.0001396741644805674,-0.0001750772962829522,0.0002198610215859753,-4.478372529816861e-05,-8.95674506011917e-05,0.0,-0.12170024018297809,0.796308936527384
B,common,74,native_common,minus,1.0,left,0.00013697721761273159,-0.00017818503979472045,0.00021986093057954655,-4.1675890793062045e-05,-8.335178157788814e-05,0.0,-0.1137899537501541,0.8104443082499025
B,common,74,native_common,minus,1.0,right,0.00013967416448341236,-0.00017507729629267534,0.00021986102158331132,-4.478372529585415e-05,-8.956745058649013e-05,0.0,-0.12170024017650327,0.7963089365812566
B,common,74,native_differential,plus,1.0,left,-0.00033909144411752457,-0.00011853356323227471,5.653755657368271e-06,0.00011287980758273154,0.00022575961515763798,0.0,0.3840326113622261,20.965455604328348
B,common,74,native_differential,plus,1.0,right,0.0003318820657832386,0.00010924994741551113,5.6611555534921915e-06,-0.00011491110296452421,-0.00022982220593352752,0.0,-0.3794909105601363,-19.298170909315186
B,common,74,native_differential,minus,1.0,left,-0.00033909144411743784,-0.0001185335632378692,5.653755656069939e-06,0.00011287980757957193,0.0002257596151613712,0.0,0.38403261135081745,20.965455610132384
B,common,74,native_differential,minus,1.0,right,0.0003318820657851815,0.0001092499474040446,5.661155552193724e-06,-0.00011491110296112229,-0.0002298222059173606,0.0,-0.3794909105498512,-19.298170911716028
