channel,branch,scale,model,dof,joint,g_ddxi_common_contribution
xi_common_only,+,0.25,qp,15,left_connect2_joint,0.0
xi_common_only,+,0.25,mj,15,left_connect2_joint,0.0
slip_common_only,-,1.0,qp,6,right_hip_joint,-0.06896966064638557
slip_common_only,-,1.0,mj,6,right_hip_joint,-2.734463232549944
slip_common_only,-,1.0,qp,7,right_knee_joint,0.06875869973470697
slip_common_only,-,1.0,mj,7,right_knee_joint,-0.1347586239265064
slip_common_only,-,1.0,qp,9,right_connect1_joint,-0.0
slip_common_only,-,1.0,mj,9,right_connect1_joint,-0.0
slip_common_only,-,1.0,qp,10,right_connect2_joint,-0.0
slip_common_only,-,1.0,mj,10,right_connect2_joint,-0.0
slip_common_only,-,1.0,qp,11,left_hip_joint,-0.015040376404420455
slip_common_only,-,1.0,mj,11,left_hip_joint,-1.3735673649890114
slip_common_only,-,1.0,qp,12,left_knee_joint,0.014948387717726393
slip_common_only,-,1.0,mj,12,left_knee_joint,-0.0523039711531597
slip_common_only,-,1.0,qp,14,left_connect1_joint,-0.0
slip_common_only,-,1.0,mj,14,left_connect1_joint,-0.0
slip_common_only,-,1.0,qp,15,left_connect2_joint,-0.0
slip_common_only,-,1.0,mj,15,left_connect2_joint,-0.0
slip_common_only,-,0.5,qp,6,right_hip_joint,-0.06896966064759229
slip_common_only,-,0.5,mj,6,right_hip_joint,-2.734463232549944
slip_common_only,-,0.5,qp,7,right_knee_joint,0.06875869973591332
slip_common_only,-,0.5,mj,7,right_knee_joint,-0.13475862392552385
slip_common_only,-,0.5,qp,9,right_connect1_joint,-0.0
slip_common_only,-,0.5,mj,9,right_connect1_joint,-0.0
slip_common_only,-,0.5,qp,10,right_connect2_joint,-0.0
slip_common_only,-,0.5,mj,10,right_connect2_joint,-0.0
slip_common_only,-,0.5,qp,11,left_hip_joint,-0.015040376405635715
slip_common_only,-,0.5,mj,11,left_hip_joint,-1.373567364970751
slip_common_only,-,0.5,qp,12,left_knee_joint,0.014948387718936255
slip_common_only,-,0.5,mj,12,left_knee_joint,-0.05230397115102911
slip_common_only,-,0.5,qp,14,left_connect1_joint,-0.0
slip_common_only,-,0.5,mj,14,left_connect1_joint,-0.0
slip_common_only,-,0.5,qp,15,left_connect2_joint,-0.0
slip_common_only,-,0.5,mj,15,left_connect2_joint,-0.0
slip_common_only,-,0.25,qp,6,right_hip_joint,-0.06896966065679747
slip_common_only,-,0.25,mj,6,right_hip_joint,-2.734463232604778
slip_common_only,-,0.25,qp,7,right_knee_joint,0.06875869974512089
slip_common_only,-,0.25,mj,7,right_knee_joint,-0.1347586239178522
slip_common_only,-,0.25,qp,9,right_connect1_joint,-0.0
slip_common_only,-,0.25,mj,9,right_connect1_joint,-0.0
slip_common_only,-,0.25,qp,10,right_connect2_joint,-0.0
slip_common_only,-,0.25,mj,10,right_connect2_joint,-0.0
slip_common_only,-,0.25,qp,11,left_hip_joint,-0.015040376414157154
slip_common_only,-,0.25,mj,11,left_hip_joint,-1.3735673650917657
slip_common_only,-,0.25,qp,12,left_knee_joint,0.014948387727456523
slip_common_only,-,0.25,mj,12,left_knee_joint,-0.0523039711491001
slip_common_only,-,0.25,qp,14,left_connect1_joint,-0.0
slip_common_only,-,0.25,mj,14,left_connect1_joint,-0.0
slip_common_only,-,0.25,qp,15,left_connect2_joint,-0.0
slip_common_only,-,0.25,mj,15,left_connect2_joint,-0.0
slip_common_only,+,1.0,qp,6,right_hip_joint,-0.06896966065389998
slip_common_only,+,1.0,mj,6,right_hip_joint,-2.7344632325614016
slip_common_only,+,1.0,qp,7,right_knee_joint,0.06875869974221904
slip_common_only,+,1.0,mj,7,right_knee_joint,-0.1347586239205778
slip_common_only,+,1.0,qp,9,right_connect1_joint,0.0
slip_common_only,+,1.0,mj,9,right_connect1_joint,0.0
slip_common_only,+,1.0,qp,10,right_connect2_joint,0.0
slip_common_only,+,1.0,mj,10,right_connect2_joint,0.0
slip_common_only,+,1.0,qp,11,left_hip_joint,-0.015040376409058889
slip_common_only,+,1.0,mj,11,left_hip_joint,-1.3735673649943805
slip_common_only,+,1.0,qp,12,left_knee_joint,0.014948387722364002
slip_common_only,+,1.0,mj,12,left_knee_joint,-0.05230397114836423
slip_common_only,+,1.0,qp,14,left_connect1_joint,0.0
slip_common_only,+,1.0,mj,14,left_connect1_joint,0.0
slip_common_only,+,1.0,qp,15,left_connect2_joint,0.0
slip_common_only,+,1.0,mj,15,left_connect2_joint,0.0
slip_common_only,+,0.5,qp,6,right_hip_joint,-0.06896966065606876
slip_common_only,+,0.5,mj,6,right_hip_joint,-2.734463232564077
slip_common_only,+,0.5,qp,7,right_knee_joint,0.0687586997443874
slip_common_only,+,0.5,mj,7,right_knee_joint,-0.134758623918263
slip_common_only,+,0.5,qp,9,right_connect1_joint,0.0
slip_common_only,+,0.5,mj,9,right_connect1_joint,0.0
slip_common_only,+,0.5,qp,10,right_connect2_joint,0.0
slip_common_only,+,0.5,mj,10,right_connect2_joint,0.0
slip_common_only,+,0.5,qp,11,left_hip_joint,-0.015040376411322833
slip_common_only,+,0.5,mj,11,left_hip_joint,-1.373567365010841
slip_common_only,+,0.5,qp,12,left_knee_joint,0.014948387724626712
slip_common_only,+,0.5,mj,12,left_knee_joint,-0.052303971147142636
slip_common_only,+,0.5,qp,14,left_connect1_joint,0.0
slip_common_only,+,0.5,mj,14,left_connect1_joint,0.0
slip_common_only,+,0.5,qp,15,left_connect2_joint,0.0
slip_common_only,+,0.5,mj,15,left_connect2_joint,0.0
slip_common_only,+,0.25,qp,6,right_hip_joint,-0.06896966066725795
slip_common_only,+,0.25,mj,6,right_hip_joint,-2.7344632325793095
slip_common_only,+,0.25,qp,7,right_knee_joint,0.06875869975557623
slip_common_only,+,0.25,mj,7,right_knee_joint,-0.1347586239093701
slip_common_only,+,0.25,qp,9,right_connect1_joint,0.0
slip_common_only,+,0.25,mj,9,right_connect1_joint,0.0
slip_common_only,+,0.25,qp,10,right_connect2_joint,0.0
slip_common_only,+,0.25,mj,10,right_connect2_joint,0.0
slip_common_only,+,0.25,qp,11,left_hip_joint,-0.015040376423405138
slip_common_only,+,0.25,mj,11,left_hip_joint,-1.373567365002465
slip_common_only,+,0.25,qp,12,left_knee_joint,0.014948387736709364
slip_common_only,+,0.25,mj,12,left_knee_joint,-0.05230397113550611
slip_common_only,+,0.25,qp,14,left_connect1_joint,0.0
slip_common_only,+,0.25,mj,14,left_connect1_joint,0.0
slip_common_only,+,0.25,qp,15,left_connect2_joint,0.0
slip_common_only,+,0.25,mj,15,left_connect2_joint,0.0
