candidate,source,tick,qp_norm,mj_norm,error_norm,relative_error,base_error_norm,leg_error_norm,wheel_left_error,wheel_right_error,wheel_common_error,wheel_differential_error,qp_actuator_wheel_left,qp_actuator_wheel_right,mj_actuator_wheel_left,mj_actuator_wheel_right,reconstruction_residual
B,common,0,63.42793908005244,63.02926483426828,4.903659904034376,0.07731072418805006,4.903053118517893,0.0771360136521745,-0.0003541982131409755,0.0006938067924326268,0.00016980428964582568,0.0005240025027868011,-5.31135254092285e-07,-5.425564648764606e-07,5.31135254092285e-07,5.425564648764606e-07,0.0
B,common,46,63.428231456276336,63.66405816899726,4.874746667797115,0.07685452606632233,4.873071782178491,0.1277267830195101,0.0022575535517894534,-0.002693192579261024,-0.00021781951373578542,-0.0024753730655252388,-1.340799314352527e-06,-1.5342443952268128e-06,1.340799314352527e-06,1.5342443952268128e-06,0.0
B,common,74,63.4366606462388,63.583914232593905,4.752041542677454,0.07491002039306124,4.7461608661579415,0.2362383563266016,0.00018105261749363447,-0.00687474386905953,-0.003346845625782948,-0.0035278982432765823,-0.0001487052709748781,-0.00014900749672721092,0.0001487052709748781,0.00014900749672721092,0.0
B,common,101,63.71656508745197,61.93191053695549,10.231747090601429,0.16058221400601552,10.026681471101838,2.0372689619204154,-0.04469895573208003,-0.042946283262588376,-0.0438226194973342,0.0008763362347458253,-0.018083347210352377,-0.018083596054606414,0.018083347210352377,0.018083596054606414,0.0
B,common,110,61.39670196820352,66.91383456118851,13.020954329358828,0.21207905167450516,12.603028124036818,3.2716281152114193,-0.044399358902069586,-0.05841168267282665,-0.05140552078744812,-0.007006161885378531,-0.18668441333506072,-0.17574975327617176,0.18668441333506072,0.17574975327617176,0.0
B,own,0,63.42793908005244,63.02926483426867,4.90365990403436,0.07731072418804981,4.903053118517878,0.0771360136521454,-0.00035419821314110813,0.0006938067924324937,0.00016980428964569278,0.0005240025027868009,-5.31135254092285e-07,-5.425564648764606e-07,5.31135254092285e-07,5.425564648764606e-07,0.0
B,own,93,63.479893733238505,64.02053274865742,6.867414548945812,0.10818251488896218,6.825002038779542,0.7617141940612362,0.01567007342823968,0.016604008314111362,0.01613704087117552,0.0004669674429358412,2.4581737584740755e-05,2.4577918037926073e-05,-2.4581737584740755e-05,-2.4577918037926073e-05,0.0
B,own,97,63.53761273390012,64.14598310671168,8.285080813970026,0.13039647631503742,8.205388719589992,1.1458533715136217,0.02370070260764087,0.024867290288657612,0.024283996448149242,0.0005832938405083716,3.6508301137056585e-05,3.650990044219904e-05,-3.6508301137056585e-05,-3.650990044219904e-05,0.0
B,own,98,63.55483332503869,64.17162249748621,8.707256751292968,0.13700384842111718,8.616438613250386,1.2537517142289578,0.026074912777402884,0.02706464513647734,0.026569778956940113,0.0004948661795372289,3.0267419404493485e-05,3.026538361448873e-05,-3.0267419404493485e-05,-3.026538361448873e-05,0.0
B,own,101,63.579680604804324,64.19522089785028,9.807155882358519,0.1542498450616226,9.686969198557902,1.5299837570061003,0.03168350649267639,0.03286496285654848,0.032274234674612434,0.0005907281819360448,-3.0926943127193626e-05,-3.092508300564759e-05,3.0926943127193626e-05,3.092508300564759e-05,0.0
