candidate,source,tick,native_full_norm,base_6d_norm,leg_active_norm,wheel_left,wheel_right,wheel_common,wheel_differential,reduced_full_norm,reduced_xi_error_left,reduced_xi_error_right,affine_bias_norm,full_dynamics_residual
B,common,0,9.319501770896007,0.5029039295206034,8.77431873202851,-0.09433976743736026,-3.0861990694238695,-1.5902694184306148,-1.4959296509932547,6.43567799309168,-0.010306380978324127,-0.0533654497831207,0.0,7.105427357601002e-15
B,common,46,10.916721861458129,0.251887986343054,1.0859513075567908,-7.175507791406233,8.105447145401843,0.46496967699780534,7.640477468404038,10.917860530920269,-0.260898566546934,0.30850910146842425,1.6065893960317473e-13,7.105427357601002e-15
B,common,74,20.38125223869913,1.728245502605749,2.903225742682345,-1.444337546854002,20.045524165647127,9.300593309396563,10.744930856250564,20.38243325829277,-0.03706472144968398,0.828048950278296,2.9555161772458757e-13,5.684341886080802e-14
B,common,101,172.917354306463,1.7192504423470694,25.752285342711108,123.15617726800588,116.93160498947452,120.0438911287402,-3.1122861392656773,172.58937479424577,5.2726152976049585,5.128914375088518,5.592460345218235e-14,7.105427357601002e-14
B,common,110,227.54994783337926,1.909979740788649,58.15723409134377,125.46547702657865,179.69258618077404,152.57903160367636,27.113554577097695,222.80500933359684,5.820454111947868,7.41952159702133,1.3060783066243837e-13,4.263256414560601e-14
B,own,0,9.31950177089347,0.5029039295206019,8.7743187320261,-0.09433976743634347,-3.0861990694228516,-1.5902694184295976,-1.495929650993254,6.435677993089895,-0.010306380978275975,-0.05336544978306334,0.0,2.1316282072803006e-14
B,own,93,65.23133005206326,0.469459004518943,6.655981942092305,-44.99543963274008,-46.329307661554274,-45.66237364714718,-0.6669340144070972,65.2005333306049,-1.8633695708573002,-1.9698751054831751,1.627334045524274e-16,7.105427357601002e-15
B,own,97,98.07447272578553,0.668656117010771,9.902735798100865,-67.51233783133051,-69.81058960574202,-68.66146371853627,-1.1491258872057557,98.00946549360874,-2.792219008077681,-2.9547078778297173,2.5137189723794606e-16,4.973799150320701e-14
B,own,98,107.2911353061133,0.550389212933522,10.763266926098934,-74.18244384163293,-76.06224757462773,-75.12234570813033,-0.9399018664974008,107.21316445345897,-3.066626689145596,-3.2145189694580516,3.278508961154147e-16,1.9484414082171497e-14
B,own,101,130.46889085617417,0.7528763724992182,13.05393249445175,-90.06422978928,-92.63720899824406,-91.35071939376203,-1.2864896044820284,130.33723879744096,-3.7284280643835084,-3.900670754600768,7.496586671894989e-16,1.7053025658242404e-13
B,own,115,210.56037504015217,2.6541490454388152,34.907795556270834,-143.49648586833194,-147.53973992400412,-145.51811289616802,-2.0216270278360895,207.66777493877308,-5.504952332418638,-6.165866342398124,2.485822921736407e-14,1.1546319456101628e-14
B,own,119,348.53802080551094,2.5846980333448304,64.2748699398115,-241.33480864554951,-226.549437630582,-233.94212313806577,7.392685507483762,341.27587098288916,-7.015419178690483,-6.374688457536949,2.9476296555712246e-14,5.684341886080802e-14
C,common,0,9.319692125772141,0.5029044895446764,8.774299326075383,-0.09493639588316398,-3.086808029230008,-1.5908722125565862,-1.495935816673422,6.435947063672863,-0.010333090521059974,-0.053392434442687174,0.0,2.1316282072803006e-14
C,common,46,14.391320204152645,0.25517304193947,1.472612482722303,-9.91001383841366,10.24705814039547,0.1685221509909054,10.078535989404564,14.392444574820615,-0.38859343489177367,0.41470080162578815,1.6065893960317473e-13,1.4210854715202004e-14
C,common,74,20.467211563210242,0.3278467625141403,2.3741275702392306,-12.491199919530562,15.946749368238356,1.727774724353897,14.218974643884458,20.463383675485847,-0.5211133299636803,0.6817474954353757,2.9555161772458757e-13,7.105427357601002e-15
C,common,101,193.81161327207,3.2064695679528756,27.758465089691605,-124.53354778468952,-145.224180825336,-134.87886430501277,-10.345316520323237,192.72083928894557,-3.0184035289736073,-3.2097096450911557,5.592460345218235e-14,3.552713678800501e-14
C,common,110,487.19669917221194,5.11330314308421,194.67831980848572,-376.5847161164867,-225.74142596532272,-301.1630710409047,75.42164507558198,457.55549235434154,0.16052575732967966,3.983476392401812,1.3060783066243837e-13,1.4210854715202004e-14
C,own,0,9.319692125769599,0.5029044895446758,8.774299326072967,-0.09493639588214339,-3.086808029228991,-1.590872212555567,-1.4959358166734238,6.435947063671083,-0.010333090521011385,-0.053392434442629956,0.0,3.552713678800501e-14
C,own,84,37.97133560465532,0.30269001705125387,3.9258947279200473,-26.140649141079965,-27.016999829724245,-26.578824485402105,-0.4381753443221399,37.94752625360709,-1.0703596887110762,-1.1569312733854205,6.269943667320067e-16,2.1316282072803006e-14
C,own,94,107.68312255669379,0.6208377979493069,11.004824168757041,-73.79310329462905,-76.9492682265938,-75.37118576061143,-1.5780824659823764,107.47270509830881,-3.0197237068187652,-3.2373066321169386,3.53568280662317e-15,4.263256414560601e-14
C,own,98,163.0944529344279,0.8869993148030666,17.62827816289893,-111.62752974540436,-116.43016128357976,-114.02884551449206,-2.4013157690877023,162.49996380647275,-4.542989777403549,-4.846867756624204,1.817935296720743e-14,4.263256414560601e-14
C,own,102,212.08581845259067,1.363799413922662,26.093572991125125,-145.47934941408946,-150.14698475679333,-147.8131670854414,-2.3338176713519374,210.58847571537478,-5.816359711856711,-6.140467256217761,6.932492683135556e-12,3.552713678800501e-14
C,own,103,220.6249073088929,5.073948306645543,31.35951247030784,-150.1146788659919,-153.9246144326537,-152.0196466493228,-1.9049677833309033,217.2132857522842,-4.865626477299122,-6.719966007084139,3.2068592425911614e-11,1.6431300764452317e-14
C,own,106,220.81509811154237,5.809283334167088,29.647922052412635,-150.01696127318215,-155.6448508220565,-152.83090604761932,-2.813944774437175,218.0963693833596,-4.668565228930989,-6.89096550926117,2.9826023228956686e-14,5.773159728050814e-15
D,common,0,9.319706239530989,0.5029045625479882,8.774299019163031,-0.0949607679281936,-3.086850697846629,-1.5909057328874112,-1.4959449649592178,6.435966050176401,-0.010334157185878518,-0.05339407857528979,0.0,7.105427357601002e-15
D,common,46,1.5282900718049737,0.531318480771874,0.6927983988733959,0.34125353834293115,1.086416804073135,0.7138351712080331,0.37258163286510193,1.380254305048356,-0.06435400851030204,0.136369594050052,1.6065893960317473e-13,1.0031905861573875e-14
D,common,74,22.95728062388109,0.8289990975028915,3.2751586591829946,13.7650454037531,17.987013278262324,15.876029341007712,2.1109839372546126,22.948507587171335,0.43623513411018755,0.9187438808800954,2.9555161772458757e-13,7.105427357601002e-15
D,common,101,193.8116125858473,3.2064694413109662,27.75846279426278,-124.53355892951797,-145.2241707102789,-134.87886481989844,-10.345305890380473,192.7208386791786,-3.0184037545374416,-3.209709052841422,5.592460345218235e-14,4.263256414560601e-14
D,common,110,487.1965394169417,5.113302892924392,194.6782527431965,-376.584670488436,-225.74121856254,-301.162944525488,75.421725962948,457.55533959542396,0.16052744818244946,3.9834833121056015,1.3060783066243837e-13,1.4210854715202004e-14
D,own,0,9.319706239528445,0.5029045625479863,8.774299019160617,-0.09496076792717996,-3.0868506978456094,-1.5909057328863947,-1.4959449649592147,6.435966050174618,-0.01033415718583051,-0.05339407857523281,0.0,7.105427357601002e-15
D,own,103,97.2831678329257,0.17100451047303972,9.702194566323412,-67.26180663080733,-68.97154297435533,-68.11667480258133,-0.854868171774001,97.21224596848499,-2.798686893720965,-2.900986001852226,6.717876326538643e-16,1.4210854715202004e-14
D,own,110,139.6016436088765,0.23074635784151648,13.95349370771972,-96.87100584525695,-98.62761694074932,-97.74931139300313,-0.8783055477461872,139.38219377706997,-3.9947522352087095,-4.1371927806355595,6.362041771018259e-16,1.4210854715202004e-14
D,own,113,166.76967320244674,0.32762168766218847,17.022493289817536,-115.55977956651299,-117.90071720921662,-116.7302483878648,-1.1704688213518182,166.3779746293356,-4.742533386540741,-4.928730033116853,5.201934323298311e-15,7.815970093361102e-14
D,own,120,208.3404725914829,0.6918948452189104,25.821923257163917,-142.89882649615674,-147.45494469924338,-145.17688559770005,-2.2780591015433203,206.84678245162,-5.751196176074799,-6.1197913712231085,5.532869138460853e-12,2.1316282072803006e-14
D,own,121,208.29772403988088,0.7285313047280658,27.06091457548315,-142.84654801801113,-147.04087606568163,-144.94371204184637,-2.097164023835248,206.5388945046717,-5.708592605637919,-6.083822180927683,2.2848431504667696e-11,1.7763568394002505e-14
D,own,124,205.02544181421584,4.163655605479671,27.57369888619393,-140.09281686218688,-143.43083051803464,-141.76182369011076,-1.66900682792388,202.3346322025897,-4.948331739824827,-6.47880061936475,1.5264918603861008e-14,1.7763568394002505e-15
