candidate,source,tick,native_qdot_left,native_qdot_right,rim_rate_left,rim_rate_right,dxi_left,dxi_right,slip_left,slip_right,lateral_left,lateral_right,normal_velocity_left,normal_velocity_right,material_tangent_acc_left,material_tangent_acc_right,penetration_left,penetration_right,normal_load_left,normal_load_right,rigid_body_formula_residual
B,common,0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000556460526965675,-0.0013441952007334224,0.00043053099359281755,0.00030408489622926055,30.973417396745678,31.510128876653773,1.1102230246251565e-16
B,common,46,-0.709928330835265,0.7308996954816216,0.03549641654176325,-0.03654498477408108,-0.03488190561061115,0.03106956460382119,0.00027149725717448905,0.0003126818173568857,5.482777100841821e-05,-0.0001351581443116782,0.00021505678603724412,0.00022086729520707577,-0.03489162659079971,-0.04249366061079015,0.0005054383274184643,0.0005151615108972066,31.022540771439413,32.09261178817743,0.017860816617952684
B,common,74,-0.2661592196341956,1.316100273805703,0.01330796098170978,-0.06580501369028516,-0.023253330490960476,0.045223439762004755,8.082827534191574e-05,0.00013796772153332887,7.559115463162398e-05,-3.964775136093313e-05,-0.00011734893605458592,-7.503538024794732e-05,-0.028241867821105212,-0.03395356858459772,0.0005131484545931042,0.0005202503655788171,30.995424247656217,32.04651057326341,0.059311473161555876
B,common,101,8.032624163343272,9.191429923675287,-0.4016312081671636,-0.45957149618376436,0.18776832435348978,0.24859588067978317,0.001890552837855386,0.0035874598012506365,4.6139191645243674e-05,-0.00017855372833959406,0.0038168315525010277,0.004814171001112014,0.06282139621102921,0.09221711967958295,0.000385840011635559,0.00034422146050504254,30.273672818749656,31.154186529077442,2.9059177097782154
B,common,110,19.35898079528944,18.437904989462332,-0.9679490397644721,-0.9218952494731166,0.4622002225580122,0.47173015961884945,0.019098653380938746,0.04171730613115365,0.0012207725819779313,-0.000967744408700821,0.03392939798430833,-0.024938146871241202,0.3194858022288749,-1.3208813522740321,0.00013589726594277068,4.293881541506117e-05,30.247677799320094,35.44533148041348,13.96549125701337
B,own,0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005564605269658103,-0.0013441952007333738,0.00043053099359287306,0.00030408489622931606,30.973417396745877,31.510128876653965,1.3877787807814457e-17
B,own,93,-1.4032306860337105,-1.4372938555251173,0.07016153430168552,0.07186469277625587,0.04966769068566215,0.04792612373309384,-2.7532172658550902e-05,-3.196453849474423e-05,1.5193273049675333e-05,1.4832074014966163e-05,0.00015776353609533764,0.0001614310629704862,0.0005943444104973247,0.0005371527603626853,0.0005127871947927312,0.0005225545755768932,31.18348426014896,32.256282274845006,0.06126714840841527
B,own,97,-2.099528077624855,-2.1637291844896867,0.10497640388124274,0.10818645922448433,0.07554582494225295,0.07268556174041348,5.745947328410217e-05,4.818951970474161e-05,2.786180019485765e-06,6.298435576629683e-07,0.00028666710479977227,0.00029585398375592845,0.0022351533117431015,0.0020994786703998,0.0005058296184704478,0.0005154083200627144,31.237972747255384,32.30939292272083,0.13875583863730628
B,own,98,-2.323360897440428,-2.3972545190459447,0.1161680448720214,0.11986272595229724,0.08373232505662043,0.08053938490751358,9.67980414488534e-05,8.555737124590901e-05,-1.790278110163474e-08,-2.9772689702538204e-06,0.0003355007179915668,0.00034696962903450415,0.0007217441956141879,0.00015063432358664093,0.000503388740386336,0.0005128887861859596,31.247998430651755,32.319374303575394,0.17027515206418112
B,own,101,-3.2456861500434475,-3.3862421699964584,0.16228430750217238,0.16931210849982292,0.03752977777495148,0.030402755145802957,-2.0030437322959838e-05,-4.5615790109782006e-05,-3.3654488310525302e-06,-1.792115936993319e-05,0.0005611815328931279,0.0005987708218463463,-0.011619074605405321,-0.012046164686050435,0.0004932645281932949,0.0005022523830602241,31.25104745956718,32.31948618267933,0.3406429616325598
B,own,115,-13.59372916433556,-14.322695261398133,0.6796864582167781,0.7161347630699066,-0.14778146372247702,-0.17600547612673956,-0.002592790935940781,-0.0033057414376576055,0.00010413429507432563,-1.1731743207462546e-05,0.009784230588152691,0.008302805836099707,-0.11093439277425558,-0.2683789973230818,0.00013882033279980638,0.00012126716985967623,30.183689995313117,30.3223656893325,5.955062689951208
B,own,119,-16.69120005413048,-17.758464663569985,0.8345600027065241,0.8879232331784993,-0.08700179864596358,-0.15914199667807127,-0.07847183226838772,-0.0652639941387434,0.0016365196716400616,0.0010377217014468018,-0.04580592167789484,-0.028771356026623524,7.496368754490617,6.14683718745156,9.574384460948188e-05,0.00015444208220032063,36.61994758660241,36.23815166713792,8.37498757367618
