tick,time_s,profile,status,solver_status,hard,wbc_time_s,contact_left,contact_right,planner_xi,planner_dxi,planner_ddxi,xi_common,dxi_common,xi_differential,dxi_differential,common_error,differential_error,max_normalized_slack,max_wrench_residual,max_torque,tau0,tau1,tau2,tau3,tau4,tau5
0,0.01,step,0,0,8.0973083793622891e-10,0.00087986800000000001,1,1,-0.011157172669780779,0,0,-0.011157172669780779,0,-0.0015835231741306577,0,0,0,8.8130268355149471e-07,4.4064968735622824e-05,3.239377422853265,-0.043318239381357912,-3.1437734981156691,2.0013469629107204e-07,0.040224951165823877,-3.239377422853265,2.1155571215053248e-07
1,0.020000000000000004,step,0,0,1.7027268484071101e-11,0.00047141799999999998,1,1,-0.011157172669780779,0,0,-0.01115706936824664,1.8493855180852776e-05,-0.0015835442032597321,-3.2660469091944588e-06,-1.0330153413923293e-07,2.1029129074374986e-08,1.0714926636978385e-06,5.3574636549316098e-05,3.2393841920300428,-0.043362177029283022,-3.1437909431545696,2.0091649048165208e-07,0.040225687920706119,-3.2393841920300428,2.1231734034386541e-07
2,0.030000000000000013,step,0,0,1.8195667195186616e-11,0.00044497800000000001,1,1,-0.011157172669780779,0,0,-0.011156791169658479,3.5625541986195831e-05,-0.0015835782617442153,-3.2523958747481864e-06,-3.8150012230016295e-07,5.5087613557575077e-08,1.3978132430035341e-06,6.9890665994118303e-05,3.239415445552507,-0.043387413444382308,-3.1437870752607315,2.0095456915153985e-07,0.040203886746309717,-3.239415445552507,2.1235614942719412e-07
3,0.040000000000000022,step,0,0,2.0361157204717983e-11,0.00043436800000000003,1,1,-0.011157172669780779,0,0,-0.011156344080712784,5.26732367360742e-05,-0.0015835998627012522,-1.1253227738994223e-06,-8.2858906799536391e-07,7.6688570594535266e-08,1.8424896299404966e-06,9.2124485992228517e-05,3.2394677731833048,-0.043399648253526761,-3.143766912127103,2.0124952319676265e-07,0.040162771279396436,-3.2394677731833048,2.1266818928961185e-07
4,0.050000000000000031,step,0,0,2.3170687590834405e-11,0.00048309699999999999,1,1,-0.011157172669780779,0,0,-0.011155724833115058,7.0345284092653026e-05,-0.0015835918640721659,2.4577881652024897e-06,-1.4478366657209862e-06,6.8689941508208452e-08,2.3986247634380316e-06,0.00011993124341701341,3.2395394466003284,-0.043401886661120249,-3.143733266358455,2.0172233679832457e-07,0.040103713834974415,-3.2395394466003284,2.1317208533877346e-07
5,0.060000000000000039,step,0,0,2.6505686534505912e-11,0.00043871200000000001,1,1,-0.011157172669780779,0,0,-0.011154924528703244,8.9121447392626258e-05,-0.0015835425845609962,7.0172382028651448e-06,-2.2481410775349042e-06,1.941043033856088e-08,3.0576970943344135e-06,0.00015288486077906434,3.2396291829648707,-0.043396516271555365,-3.1436884154146689,2.0230208254004665e-07,0.040027738392296168,-3.2396291829648707,2.1379513458656407e-07
6,0.070000000000000048,step,0,0,3.0382363291892034e-11,0.00042766800000000003,1,1,-0.011157172669780779,0,0,-0.011153929847128249,0.00010943339120972371,-0.0015834444067945068,1.2196114078951936e-05,-3.2428226525299531e-06,-7.8767336150926959e-08,3.9399639927700565e-06,0.00019699819901401874,3.2397359630071758,-0.043385667645317663,-3.1436344564176784,2.0291621713192295e-07,0.039935544408770243,-3.2397359630071758,2.1446337107624252e-07
7,0.080000000000000057,step,0,0,3.4899416689881946e-11,0.00041277300000000001,1,1,-0.011157172669780779,0,0,-0.011152722964677892,0.00013175988851730114,-0.0015832926130029314,1.7750933576497546e-05,-4.449705102887655e-06,-2.3056112772625037e-07,5.027340950284525e-06,0.0002513670467983181,3.2398590881484219,-0.043371237703793336,-3.143573363947473,2.0348600314076985e-07,0.039827324986381134,-3.2398590881484219,2.1509704501598014e-07
8,0.090000000000000066,step,0,0,4.0208281149034519e-11,0.00041869599999999998,1,1,-0.011157172669780779,0,0,-0.011151280788295772,0.00015667802172211623,-0.0015830843192621361,2.354011038097222e-05,-5.8918814850074386e-06,-4.3885486852163202e-07,6.2047265729908434e-06,0.00031023632785154726,3.2399982568517895,-0.043354900854884436,-3.143506998371735,2.0392442711599355e-07,0.039702639812965949,-3.2399982568517895,2.1560858080881407e-07
9,0.10000000000000007,step,0,0,4.6500581163400057e-11,0.000423628,1,1,-0.011157172669780779,0,0,-0.011149573808337084,0.00018489315273407565,-0.0015828175539258542,2.950768242289116e-05,-7.5988614436951762e-06,-7.0562020480346294e-07,7.4544361215789853e-06,0.00037272180520514075,3.2401536264401658,-0.043338150568184332,-3.1434371152863951,2.0413508748156403e-07,0.039560348950260844,-3.2401536264401658,2.159014712896915e-07
10,0.11000000000000008,step,0,0,5.400413449763164e-11,0.00042267299999999998,1,1,-0.011157172669780779,0,0,-0.011147564705322084,0.00021726056889579434,-0.0015824905014465802,3.5666863021433242e-05,-9.6079644586952173e-06,-1.0326726840774805e-06,8.7582430480293833e-06,0.00043791215145506777,3.2403258684330982,-0.043322357230917465,-3.1433653788966853,2.0401121308872129e-07,0.039398571128120778,-3.2403258684330982,2.1586928466990098e-07
11,0.12000000000000009,step,0,0,6.2985283655336843e-11,0.00042634699999999999,1,1,-0.011157172669780779,0,0,-0.011145206750769035,0.00025480607666472405,-0.0015821008938386597,4.2086604308371996e-05,-1.1965919011744375e-05,-1.4222802919980002e-06,1.0098013982945707e-05,0.00050490069812844044,3.2405162289877936,-0.043308827221891291,-3.1432933750219716,2.0343435665466614e-07,0.039214637605870441,-3.2405162289877936,2.15394350307833e-07
12,0.13000000000000009,step,0,0,7.3752559615058999e-11,0.00044993000000000002,1,1,-0.011157172669780779,0,0,-0.011142441988959103,0.00029874957778199657,-0.0015816455123433097,4.888231779508396e-05,-1.473068082167607e-05,-1.8776617873479673e-06,1.1456290002877212e-05,0.00057281449904951097,3.2407266021968741,-0.043298855978785682,-3.1432226209868173,2.0227251316584493e-07,0.039005025321281354,-3.2407266021968741,2.1434588785342407e-07
13,0.1400000000000001,step,0,0,8.666667383749882e-11,0.00053611100000000003,1,1,-0.011157172669780779,0,0,-0.011139199157018572,0.00035053386362253307,-0.0015811197579540179,5.6210674344697275e-05,-1.7973512762206947e-05,-2.4034161766398054e-06,1.2816800798505917e-05,0.00064084003874895473,3.2409596205842082,-0.043293773608433742,-3.1431545716957636,2.0037751758311005e-07,0.038765261510407253,-3.2409596205842082,2.1257743033797158e-07
14,0.15000000000000011,step,0,0,1.0214684653675477e-10,0.00027255500000000001,1,1,-0.011157172669780779,0,0,-0.011135391284069953,0.00041185992449844979,-0.0015805172533245159,6.4267922046887748e-05,-2.1781385710826356e-05,-3.0059208061417736e-06,1.4164918195496302e-05,0.0007082459085061641,3.2412187653138993,-0.043294984350382627,-3.143090622191131,1.975816063658293e-07,0.038489796104197352,-3.2412187653138993,2.0992343541779049e-07
15,0.16000000000000011,step,0,0,1.2068346322280377e-10,0.000268127,1,1,-0.011157172669780779,0,0,-0.011130912900027299,0.00048472961849017199,-0.0015798294446650813,7.3291101789640153e-05,-2.6259769753480405e-05,-3.6937294655764105e-06,1.5488063376455435e-05,0.00077440316744717289,3.2415084979999143,-0.043304001943880663,-3.1430321070894998,1.9369301629319184e-07,0.03817183953137214,-3.2415084979999143,2.0619495004525435e-07
16,0.17000000000000012,step,0,0,1.4284873284253763e-10,0.00030214899999999998,1,1,-0.011157172669780779,0,0,-0.011125636777450602,0.00057149633846845498,-0.0015790451777239973,8.3561669934304871e-05,-3.1535892330177701e-05,-4.4779964066604325e-06,1.6776084509777899e-05,0.00083880422398676844,3.2418344160358203,-0.043322482610380506,-3.142980296811388,1.8849046745123212e-07,0.03780316340431282,-3.2418344160358203,2.0117418197464457e-07
17,0.18000000000000013,step,0,0,1.6930978841145361e-10,0.00028128499999999999,1,1,-0.011157172669780779,0,0,-0.01111941012422404,0.00067492419205606802,-0.0015781502257883337,9.5411221915345582e-05,-3.7762545556738886e-05,-5.3729483423239563e-06,1.8021622100716219e-05,0.00090108110338185362,3.242203433648629,-0.043352256499986259,-3.1429363896644498,1.8171632895326426e-07,0.03737386078268104,-3.242203433648629,1.9460777962622176e-07
18,0.19000000000000014,step,0,0,2.0084356400218439e-10,0.000300115,1,1,-0.011157172669780779,0,0,-0.011112050140549071,0.00079825604657119071,-0.0015771267496519957,0.00010922918943185147,-4.5122529231708675e-05,-6.3964244786619481e-06,1.9220480247623698e-05,0.00096102401054347646,3.2426239911539945,-0.043395357278111509,-3.1429014976639813,1.7306820615264334e-07,0.036872061773298367,-3.2426239911539945,1.8619854895993671e-07
19,0.20000000000000015,step,0,0,2.3834811901934927e-10,0.00026673700000000002,1,1,-0.011157172669780779,0,0,-0.011103338851827998,0.00094529048197307744,-0.0015759526698797431,0.00012547253616079952,-5.3833817952781554e-05,-7.5705042509146073e-06,2.0372024103127928e-05,0.0010186012030952848,3.2431062949568012,-0.043454048048207947,-3.1428766224058915,1.6218860592591696e-07,0.036283599410880364,-3.2431062949568012,1.7559528385909284e-07
20,0.21000000000000016,step,0,0,2.8285807029959642e-10,0.00026722999999999997,1,1,-0.011157172669780779,0,0,-0.011093017131539549,0.0011204671204684312,-0.001574600930726042,0.00014467760085599794,-6.4155538241230867e-05,-8.9222434046156568e-06,2.147962779227778e-05,0.0010739813872807271,3.2436625905256578,-0.04353083986424499,-3.1428626151773047,1.4865225343736003e-07,0.035591620268992971,-3.2436625905256578,1.6238027867382207e-07
21,0.22000000000000017,step,0,0,3.3555547229724425e-10,0.00027379900000000003,1,1,-0.011157172669780779,0,0,-0.011080777838630375,0.0013289588089869463,-0.0015730386329870297,0.00016747433835732342,-7.6394831150404172e-05,-1.0484541143628012e-05,2.2551203274626127e-05,0.0011275601610668783,3.2443074696567811,-0.043628496399771829,-3.1428601125177713,1.3195051157528822e-07,0.034776134274145928,-3.2443074696567811,1.4605398062310335e-07
22,0.23000000000000018,step,0,0,3.9777536819940451e-10,0.00026965799999999999,1,1,-0.011157172669780779,0,0,-0.011066258017514895,0.0015767675103195468,-0.0015712260100573128,0.00019460329741177729,-9.0914652265884632e-05,-1.2297164073344843e-05,2.3599849610606561e-05,0.001179992477463033,3.2450582115534559,-0.043750014485208696,-3.1428694342357915,1.1147221466656158e-07,0.033813499003575748,-3.2450582115534559,1.2601610553083393e-07
23,0.24000000000000019,step,0,0,4.7100634503749461e-10,0.00026524099999999999,1,1,-0.011157172669780779,0,0,-0.011049030153265856,0.0018708182213987732,-0.0015691152175658016,0.00022693576365942578,-0.00010814251651492315,-1.4407956564856106e-05,2.4644674285948376e-05,0.0012322337107410969,3.2459351542027215,-0.043898564565464433,-3.1428904248489467,8.6480060309835795e-08,0.032675835679762899,-3.2459351542027215,1.0154236465137213e-07
24,0.25000000000000017,step,0,0,5.5687410238647317e-10,0.00025576499999999997,1,1,-0.011157172669780779,0,0,-0.011028592551130284,0.0022190413978851586,-0.0015666489020391963,0.00026549761300200155,-0.00012858011865049535,-1.6874272091461397e-05,2.5711853867091228e-05,0.0012855926892057928,3.2469620877730891,-0.044077366726061044,-3.1429222107191093,5.6081492792681261e-08,0.031330377538105636,-3.2469620877730891,7.1755754986996954e-08
25,0.26000000000000018,step,0,0,6.5710648033956431e-10,0.00025945699999999999,1,1,-0.011157172669780779,0,0,-0.011004359033633882,0.0026304287431742901,-0.0015637585075083662,0.00031149762042318244,-0.00015281363614689722,-1.9764666622291462e-05,2.6836019611630122e-05,0.0013418009757165457,3.2481666547839438,-0.044289465367814113,-3.1429628325738497,1.9192784647953013e-08,0.029738756587551419,-3.2481666547839438,3.5591127757621574e-08
26,0.27000000000000018,step,0,0,7.7346340443540385e-10,0.00027856799999999998,1,1,-0.011157172669780779,0,0,-0.010975648340759928,0.0031150392990394963,-0.0015603622693894812,0.00036636137202716683,-0.00018152432902085111,-2.3160904741176443e-05,2.8062071762349813e-05,0.0014031035823883322,3.2495807322429711,-0.044537346734888406,-3.1430086948749398,-2.5505237603206144e-08,0.027856241987067789,-3.2495807322429711,-8.2484928142792603e-09
27,0.28000000000000019,step,0,0,9.0762231064189791e-10,0.00026957000000000001,1,1,-0.011157172669780779,0,0,-0.010941673904070713,0.0036839221754254997,-0.0015563628289776317,0.00043177278642024183,-0.00021549876571006626,-2.7160345153025983e-05,2.9447535700786571e-05,0.0014723767782689019,3.2512407590442978,-0.044822315041696759,-3.1430537470504252,-7.9621601231933309e-08,0.025630951158002645,-3.2512407590442978,-6.1345590613459159e-08
28,0.2900000000000002,step,0,0,7.3699666369719807e-09,0.00027809699999999999,1,1,-0.011157172669780779,0,0,-0.010942713227795015,-0.0050033654288541441,-0.0015227125212028498,0.0053137802799065308,-0.00021445944198576414,-6.0810652927807858e-05,0.00012843223138137637,0.0064216117780990165,3.2671048134610525,-0.00045288680531491886,-3.1173336776761302,2.4731924961300572e-08,-0.00024983727396394413,-3.2671048134610525,7.6569893017041323e-08
29,0.30000000000000021,step,0,0,1.1597780957828263e-08,0.00027057399999999999,1,1,-0.011157172669780779,0,0,-0.011064540393230141,-0.016849345666895294,-0.0014831649008501284,0.0031248805098545093,-9.263227655063877e-05,-0.00010035827328052933,7.773175438631682e-05,0.003886587657823772,3.2533028232821177,0.005210598285441877,-3.1139362321678288,2.8970380748170884e-08,0.023895209535532105,-3.2533028232821177,7.152156438935319e-08
30,0.31000000000000022,step,0,0,5.0218261771206585e-09,0.00026619700000000003,1,1,-0.011157172669780779,0,0,-0.011251104516684488,-0.019857887685016125,-0.0014585124440233089,0.0020844123500059365,9.3931846903708843e-05,-0.00012501073010734876,5.7539086674450636e-05,0.0028769543074467336,3.2467395453732326,0.0082169453778843573,-3.1116544825258603,-3.4759100746601604e-07,0.034432717990741976,-3.2467395453732326,-3.0882733659840031e-07
31,0.32000000000000023,step,0,0,1.735863495598649e-09,0.000309263,1,1,-0.011157172669780779,0,0,-0.011433275835374443,-0.015009457926302134,-0.0014516176127439004,-0.0020962557628050032,0.00027610316559366355,-0.00013190556138675726,6.3870842122616252e-05,0.0031935422654659784,3.2316973456406313,-0.019284336249283933,-3.1268916030343341,-8.7457685385656806e-07,0.058627329487457192,-3.2316973456406313,-8.6066969018895519e-07
32,0.33000000000000024,step,0,0,6.809214303515887e-09,0.000272823,1,1,-0.011157172669780779,0,0,-0.011525557972153995,-0.0055565855093224793,-0.0015206862732247608,-0.010164769921671864,0.0003683853023732156,-6.28369009058969e-05,0.00033797641555233064,0.016898821134240533,3.2004476708964362,-0.087292798846200434,-3.1660830186690641,-1.2785777013847671e-06,0.11010690962111458,-3.2004476708964362,-1.3213199049614154e-06
33,0.34000000000000025,step,0,0,1.3425936473687727e-08,0.00026592100000000002,1,1,-0.011157172669780779,0,0,-0.011488607966785703,0.0096788676556673579,-0.0015890447839430819,-0.0047658489458459264,0.00033143529700492384,5.5216098124241664e-06,0.00020286306789791435,0.010143153222696424,3.2246872146714227,-0.078057789399785499,-3.1605456951081119,-1.6557278986935775e-06,0.067141022464801428,-3.2246872146714227,-1.6725848130644877e-06
