scenario,episode,control_tick,physics_substep,time_s,disturbance,force_x,force_y,force_z,moment_x,moment_y,moment_z,left_normal_load_n,right_normal_load_n,penetration_m,rolling_slip_m_s,lateral_slip_m_s,closure_residual_m,qpos0,qpos1,qpos2,qpos3,qpos4,qpos5,qpos6,qpos7,qpos8,qpos9,qpos10,qpos11,qpos12,qpos13,qpos14,qpos15,qpos16,qvel0,qvel1,qvel2,qvel3,qvel4,qvel5,qvel6,qvel7,qvel8,qvel9,qvel10,qvel11,qvel12,qvel13,qvel14,qvel15,ctrl0,ctrl1,ctrl2,ctrl3,ctrl4,ctrl5
hold,0,294,2,2.9459999999998971,0,0,0,0,0,0,0,31.068990987041929,31.653671133979447,0.00048846412549959084,0.0035718636780362285,4.9444829532320923e-05,0.00018211194054557189,-0.00060204172633335966,-0.00040264591751211081,0.34768369305638763,0.9999814018919374,0.0020225751963561505,8.8697882366739117e-05,0.0057530159478460519,-0.33911699771133974,0.56367493166415317,0.0323191418571947,-0.56681495074559129,-0.56725525513194508,-0.35690625700685014,0.57600731265333027,-0.081249136240720332,0.57918622574384426,-0.57963004755996117,0.00057072920951589635,0.0011145876651547455,-2.7072617082245678e-05,-0.0023628149983769306,-6.9457581182437079e-05,0.0033967686930302795,0.0092030639988108891,0.0064625517283887716,-0.066455853985327662,-0.0059922728107607362,-0.0061225924244956145,0.0056040077760418257,-0.0026304116623547106,-0.02549523990047578,-0.00234142519953685,0.0024856121502696113,0.033474782124292439,3.2124956038905776,0.019945366238022389,-0.030894905551928694,3.1791951845738513,0.0077005707329968389
hold,0,294,3,2.9479999999998969,0,0,0,0,0,0,0,31.117823849524527,31.614439544719421,0.00048921414934931934,0.0044204936233542876,9.0631204009141645e-05,0.00018211279677221676,-0.00060099649973424532,-0.00040031678376358475,0.3476836296800786,0.99998139252111262,0.0020198251818167629,8.8555569477811975e-05,0.0057556125375312966,-0.33910949265940205,0.56368312911531304,0.032275949132931678,-0.56682324047121224,-0.56726350987605245,-0.35692319231692643,0.5760071217750854,-0.081121987394211309,0.57918840572091146,-0.57963121943853435,0.0005226132995571509,0.0011645668742630228,-3.1688154508614967e-05,-0.0027509934814549564,-0.00012123673561025773,0.0025966392221528274,0.0037525259688521474,0.0040987255799159288,-0.021596362131511497,-0.0041448628104493266,-0.0041273720536692624,-0.0084676550381535213,-9.5439122411758361e-05,0.063574423254510265,0.0010899885335760762,-0.00058593928660676149,0.033474782124292439,3.2124956038905776,0.019945366238022389,-0.030894905551928694,3.1791951845738513,0.0077005707329968389
hold,0,294,4,2.9499999999998967,0,0,0,0,0,0,0,31.158620035315955,31.581086710459338,0.00048909300947715117,0.0052439057188499155,0.00013912241098110525,0.00018213041470606733,-0.00060004808236546758,-0.00039789803610998598,0.34768355679368129,0.99998138828816419,0.0020167199365415008,8.8359989825203462e-05,0.0057574395772142205,-0.33911320968452324,0.56368754528881315,0.032319489932689037,-0.56682854585628772,-0.56726853382756071,-0.35696776392386564,0.57601083828074939,-0.080816924407338717,0.57919595629256593,-0.57963720816924058,0.0004742086843888866,0.0012093738267993774,-3.6443198642937531e-05,-0.0031064664199078121,-0.00017401274911532682,0.0018271500994804907,-0.0018585125605926787,0.0022080867500399838,0.021770399878678334,-0.0026526925377242704,-0.002511975754131316,-0.022285803469616887,0.0018582528319831203,0.15253149343629901,0.0037752858272166265,-0.002994365353122419,0.033474782124292439,3.2124956038905776,0.019945366238022389,-0.030894905551928694,3.1791951845738513,0.0077005707329968389
hold,0,295,0,2.9519999999998965,0,0,0,0,0,0,0,31.812914789761205,31.590041197335228,0.00048825761377122023,0.001593974421707309,0.00018950175097263533,0.00018216514896590141,-0.00059906383358688056,-0.00039563249547769976,0.34768346275138989,0.9999813778550275,0.0020141398694279345,8.8127968678122881e-05,0.005760157741590154,-0.33912122995957039,0.56368684579667716,0.032425636896202321,-0.56682945211354707,-0.56726901736873947,-0.35700141342027591,0.5760105660375453,-0.080579835526317978,0.57919805190703244,-0.57963838463776884,0.00049212438929352887,0.0011327703161431069,-4.7021145700319135e-05,-0.0025815740781032206,-0.00021167955009922465,0.0027184138013713103,-0.0040101375235774908,-0.00034974606801374411,0.053073481756641033,-0.00045312862966911819,-0.00024177058937301099,-0.016824748205138212,-0.00013612160205381902,0.1185444405103686,0.0010478072332529226,-0.00058823426413607497,0.03880798682687342,3.2078774942946238,0.006945947663268108,-0.035285530614156062,3.1720133053173125,-0.00388632742748339
hold,0,295,1,2.9539999999998963,0,0,0,0,0,0,0,31.773270820455473,31.565474596651402,0.00048691396995596825,0.0018438393730169601,0.00017460289437054252,0.00018219105716252073,-0.0005980431160673256,-0.00039353394238983831,0.3476833488675577,0.99998136152502715,0.0020120773532999203,8.7860311471252506e-05,0.005763716495668484,-0.33913397001079426,0.56368179918412298,0.032592705317006775,-0.56682653930850169,-0.56726556517079085,-0.35702488822112904,0.57600742539532357,-0.080408897338140189,0.57919607721227395,-0.57963599260555732,0.00051035875977749302,0.0010492765439307208,-5.6941916088079949e-05,-0.0020643002021413677,-0.00024860253667343356,0.0035591392037776022,-0.0063700256119280834,-0.0025233062771149069,0.083534210402227471,0.00145640252272032,0.0017260989742975998,-0.011737400426565413,-0.0015703211108709595,0.08546909408889504,-0.00098734737926020784,0.0011960161057392804,0.03880798682687342,3.2078774942946238,0.006945947663268108,-0.035285530614156062,3.1720133053173125,-0.00388632742748339
hold,0,295,2,2.955999999999896,0,0,0,0,0,0,0,31.739064064644914,31.544826459055272,0.00048517060237321386,0.0020802184147051721,0.00015547306939906955,0.00018220718780752676,-0.00059698548922580675,-0.000391617707633592,0.34768321620881143,0.9999813395730347,0.0020105308219496671,8.7557547794254228e-05,0.0057680677187828275,-0.33915177487778619,0.56367303718687745,0.03281928851345807,-0.56682028550119401,-0.5672586771794097,-0.35703884670012942,0.57600239120928964,-0.080302560583740204,0.5791912339041666,-0.5796311192920911,0.00052881342075944784,0.00095811737812315494,-6.6329373127128053e-05,-0.0015485856999830215,-0.00028508733949512798,0.0043517418444683417,-0.0089024334959537862,-0.0043809986227665619,0.11329159822564717,0.0031269036538466109,0.0034439956905687671,-0.0069792395001755788,-0.0025170930169628619,0.053168377199993906,-0.0024216540536508378,0.002436656733089659,0.03880798682687342,3.2078774942946238,0.006945947663268108,-0.035285530614156062,3.1720133053173125,-0.00388632742748339
hold,0,295,3,2.9579999999998958,0,0,0,0,0,0,0,31.709640536718695,31.527543777419776,0.00048311852853120257,0.0023065466765751488,0.00015085472506764499,0.00018221350125673618,-0.00059589068094825749,-0.00038990040037794113,0.34768306563107471,0.99998131224904374,0.0020095036527726547,8.7219970512776785e-05,0.0057731655464117954,-0.33917493043581826,0.56366107408131483,0.033104227564020559,-0.56681108069393671,-0.56724876268169921,-0.35704386629908985,0.57599631042845223,-0.080259506349644266,0.57918456280243125,-0.57962471292416251,0.00054740413877462897,0.00085865362782543316,-7.5288868367994117e-05,-0.0010294885957822582,-0.00032139446877637977,0.0050984788810958925,-0.011577779016032495,-0.0059815527813178067,0.14246952528124562,0.0046024036286703672,0.0049572488552633428,-0.0025097994802275808,-0.0030403904186952742,0.021527117047970772,-0.003335550867655683,0.0032031839642948606,0.03880798682687342,3.2078774942946238,0.006945947663268108,-0.035285530614156062,3.1720133053173125,-0.00388632742748339
hold,0,295,4,2.9599999999998956,0,0,0,0,0,0,0,31.70450593196604,31.398663576369252,0.00048203828405826016,0.0029986755419352459,0.00015190645744987561,0.00018221053958470573,-0.00059470643542269244,-0.00038813139994695425,0.34768291275914859,0.99998129038105066,0.0020081291152605598,8.6925247147983e-05,0.0057774344917620596,-0.33918375286787567,0.56366081716778804,0.033225612223145587,-0.5668110301334589,-0.56724859749269396,-0.35703686636585508,0.57598753405984993,-0.080277578210464176,0.57917485840565863,-0.57961548140434915,0.00059212276278250171,0.00088450021549344219,-7.6435963065163664e-05,-0.0013765417053353158,-0.00027820205587025169,0.0042694641813927044,-0.0044112160287066186,-0.00012845676341138087,0.060692329562513914,2.5280238875350844e-05,8.2594502629917792e-05,0.0034999666173855613,-0.0043881843011771733,-0.009035930409957621,-0.0048521983863069563,0.004615759906695379,0.03880798682687342,3.2078774942946238,0.006945947663268108,-0.035285530614156062,3.1720133053173125,-0.00388632742748339
hold,0,296,0,2.9619999999998954,0,0,0,0,0,0,0,31.693943234371009,31.448369648604334,0.00048194475761598188,0.003681755542249779,0.00011490636006247594,0.00018221083569159584,-0.00059346432088359501,-0.00038627106755968592,0.3476827781347272,0.99998127231038869,0.0020064343574179603,8.6694139257274935e-05,0.0057811533271121098,-0.33917808027104612,0.56367086439056058,0.03319281648777863,-0.56681938328573434,-0.56725731092560838,-0.35702053253390498,0.57597669760860326,-0.080344501160748344,0.57916287185473248,-0.57960408267115648,0.00062105726954872812,0.00093016619363416747,-6.7312210683903885e-05,-0.0016963483174890636,-0.00021384274201503338,0.0037191869513730777,0.0028362984147706069,0.0050236113862796774,-0.016397867683478978,-0.004176576137701872,-0.0043567164572015102,0.0081669159750411661,-0.0054182256233493839,-0.033461475142085501,-0.0059932754630596203,0.0056993665963562196,0.031557937954261275,3.2080641295940042,0.01146976939767776,-0.028399379394864092,3.1787390320170728,0.00014492815466747417
hold,0,296,1,2.9639999999998952,0,0,0,0,0,0,0,31.675622727134979,31.488001841485556,0.00048257703984441735,0.0044615546055698186,8.2007526890123317e-05,0.00018221142589365719,-0.00059216396601843965,-0.00038432113403192339,0.34768266139839421,0.99998125797419202,0.0020044343440665992,8.6527233907554669e-05,0.0057843285133644161,-0.33915713202425285,0.56369004893975372,0.033007624693657589,-0.56683537309529108,-0.56727405691921062,-0.35699529804580188,0.57596434557332199,-0.080459550609233821,0.57914919706099066,-0.5795910735006381,0.00065017743257767306,0.00097496676388127666,-5.8368166494380356e-05,-0.0020011873065559397,-0.00014896779447647363,0.0031753711633551035,0.010474123396650388,0.0095922745965785657,-0.092595897060522028,-0.0079949047784018557,-0.0083729968010939314,0.012617244051546975,-0.006176017640648214,-0.057524724242741035,-0.0068373968708959031,0.0065045852591746551,0.031557937954261275,3.2080641295940042,0.01146976939767776,-0.028399379394864092,3.1787390320170728,0.00014492815466747417
hold,0,296,2,2.9659999999998949,0,0,0,0,0,0,0,31.660120840962037,31.52190952388462,0.00048377508741433844,0.0052131510696380792,6.1389403698200104e-05,0.00018221127425272903,-0.00059080426138144828,-0.00038228399804762916,0.34768256216635252,0.99998124730804527,0.0020021430977560212,8.6426145654171194e-05,0.005786966889792391,-0.33912019144072419,0.56371739400350263,0.032671043190926854,-0.5668583507060434,-0.5672981187693048,-0.3569615384842395,0.57595094076295339,-0.080622100551000081,0.57913433927437563,-0.57957693019766243,0.00067985231849570149,0.0010185679921471162,-4.9616020838496931e-05,-0.0022919950074748291,-8.2543662182589698e-05,0.0026383930455195978,0.018470291764326786,0.013672531874442504,-0.16829075136536842,-0.011488805376173901,-0.012030925047096443,0.016879780781180666,-0.0067024051843165566,-0.081274970883131056,-0.0074288933075327543,0.0070716514878115385,0.031557937954261275,3.2080641295940042,0.01146976939767776,-0.028399379394864092,3.1787390320170728,0.00014492815466747417
hold,0,296,3,2.9679999999998947,0,0,0,0,0,0,0,31.628392256849597,31.738216369980627,0.00048586229670001535,0.0018681377026691943,5.3116373749720596e-05,0.00018220974345801918,-0.00058944040884378391,-0.00038036793003566469,0.34768246338233844,0.99998122958870306,0.0020003571905033365,8.6309346403177806e-05,0.0057906469476893636,-0.33908657361172018,0.56373525280622672,0.0324161821146716,-0.56687383050761808,-0.56731429402038869,-0.3569230400783131,0.57593895251214922,-0.080832417244874444,0.57912049125505682,-0.57956383573552195,0.00068192626883221226,0.00095803400598223508,-4.9392007026535086e-05,-0.0017868322520811302,-9.9092540621547711e-05,0.0036801709269711404,0.016808914502014664,0.0089294013620370809,-0.12743053812762795,-0.0077399007873570494,-0.008087625541936979,0.01924920296320988,-0.0059941254020754184,-0.10515834693718323,-0.0069240096594236633,0.0065472310702637971,0.031557937954261275,3.2080641295940042,0.01146976939767776,-0.028399379394864092,3.1787390320170728,0.00014492815466747417
hold,0,296,4,2.9699999999998945,0,0,0,0,0,0,0,31.617741563056867,31.691450540471443,0.00048768859228374983,0.0020432496149290144,4.0694066932241894e-05,0.00018219339568397409,-0.00058806939627995187,-0.00037859038233638574,0.34768236566170591,0.9999812050729584,0.0019990783708471352,8.6180986762255339e-05,0.0057953221945849526,-0.33905700174346459,0.56374504060183284,0.032239339846156956,-0.56688280686213266,-0.56732363409377895,-0.35687998294748324,0.57592869691266302,-0.081090144255594757,0.57910807759180338,-0.57955219481396569,0.00068550628191603252,0.00088877384963947535,-4.8860316261613757e-05,-0.0012798934148556891,-0.0001115977587379371,0.0046754474923645676,0.01478593412780042,0.0048938978030863712,-0.08842113425732237,-0.0044881772573067621,-0.0046700366951419464,0.021528565414931873,-0.0051277997430933557,-0.12886350536015978,-0.0062068316267017785,0.0058204607781188441,0.031557937954261275,3.2080641295940042,0.01146976939767776,-0.028399379394864092,3.1787390320170728,0.00014492815466747417
hold,0,297,0,2.9719999999998943,0,0,0,0,0,0,0,31.07016267275484,31.612902975736226,0.00048852644539325307,0.0035691655766795826,4.1484515479007106e-05,0.00018216536420016308,-0.00058681212590916279,-0.00037670961930709392,0.34768227089319464,0.99998118599058794,0.0019973875344510813,8.6000973610656143e-05,0.0057991992315460459,-0.3390394773832045,0.56375019464110621,0.032159449385395958,-0.56688824811757255,-0.56732909439495871,-0.35686661444228257,0.57592492063927003,-0.081163477135034079,0.57910446580900654,-0.57954838570896672,0.00062863518539456255,0.00094038151464592571,-4.7384255633297583e-05,-0.0016921438308420873,-0.00016245868130275619,0.0038772888234114896,0.0087621801300436838,0.0025770196366660162,-0.03994523038049759,-0.0027206277199404013,-0.0027301505898853309,0.0066842526003259815,-0.0018881366964909338,-0.036666439719664129,-0.0018058913984138952,0.0019045524994857829,0.032036014240710932,3.2132387520997359,0.021970799784249817,-0.02959744149643221,3.1822084212087738,0.011216670377419056
hold,0,297,1,2.9739999999998941,0,0,0,0,0,0,0,31.118333953084125,31.579691734376908,0.00048848061248657482,0.0044458093254691449,6.8714835870425169e-05,0.00018215558700759182,-0.00058566850614520563,-0.00037473713223851375,0.34768217843996452,0.99998117208707182,0.0019953234301214357,8.5769398754291276e-05,0.0058023098319294241,-0.33903428872364338,0.56375164480631623,0.032173289014116757,-0.56689083122357931,-0.56733141085256245,-0.3568822578488936,0.57592626961819016,-0.081053515105610943,0.57910789031962906,-0.5795508566469586,0.00057180988197859687,0.00098624353429007956,-4.6226615070735135e-05,-0.0020656481882530336,-0.00021338607712518732,0.0031109075195292699,0.0025943297805642576,0.00072508260500419946,0.0069198143604002199,-0.0012915530033566543,-0.0011582288018526948,-0.0078217033055038541,0.00067448946005462841,0.054981014711569465,0.0017122553112803459,-0.0012354689959547011,0.032036014240710932,3.2132387520997359,0.021970799784249817,-0.02959744149643221,3.1822084212087738,0.011216670377419056
