scenario,episode,tick,time_s,status,safety_latched,command_accepted,contact_left,contact_right,x_m,vx_m_s,pitch_rad,wy_rad_s,roll_rad,wx_rad_s,yaw_rad,wz_rad_s,y_m,height_m,vy_m_s,vz_m_s,zoh_ctrl_max_difference,q0,q1,q2,q3,q4,q5,dq0,dq1,dq2,dq3,dq4,dq5,support0,support1,support2,support3,support4,support5,pd0,pd1,pd2,pd3,pd4,pd5,raw0,raw1,raw2,raw3,raw4,raw5,tau0,tau1,tau2,tau3,tau4,tau5,ctrl0,ctrl1,ctrl2,ctrl3,ctrl4,ctrl5,u0,u1,u2
hold,0,0,0.01,0,0,1,2,2,0,0.001,0,0,0,0,0,0,8.0999999999999997e-07,0.31543998403249462,0,0,0,-0.97199891583533837,1.6393957458903228,0,-0.98339093564557467,1.6394010277077622,0,-0,-0,-0,-0,-0,-0,-0.044217794267602542,-3.1325438643315864,0,0.041124284318536736,-3.2506637741279025,0,0,0,0,0,0,0,-0.044220337292369051,-3.1324773871329707,-0.00499058584525009,0.041126788697533369,-3.250728082980082,-0.0046092728828890399,-0.044220337292369051,-3.1324773871329707,-0.00499058584525009,0.041126788697533369,-3.250728082980082,-0.0046092728828890399,0.044220337292369051,3.1324773871329707,0.00499058584525009,-0.041126788697533369,3.250728082980082,0.0046092728828890399,-0.0047999293640695649,-9.2561251577149084e-05,-0.00019065648118052534
hold,0,1,0.020000000000000004,0,0,1,2,2,9.495234021397736e-06,0.00091553131835517114,-1.5908787390235854e-06,-0.00026616421893976437,7.2374530314291432e-07,0.00012868577185462507,-2.9044512489305919e-07,-4.7397231916546663e-05,5.9968462341274388e-07,0.3154396509480078,-3.7705583225461997e-05,-5.5588456009605311e-05,0,-0.97198313387972035,1.639398973945835,-0.0002193367396264436,-0.98337788235157519,1.6394067678570825,-0.0002095585158552565,0.0026875160660974873,0.00051748460279157525,-0.034637552655061063,0.0022177297740135892,0.00096184018937120334,-0.033047138707076179,-0.044217794267602542,-3.1325438643315864,0,0.041124284318536736,-3.2506637741279025,0,-0.0028137717110416605,-0.00054330904688939695,0,-0.0023221561260094014,-0.001007761383933685,0,-0.047033841819381424,-3.1330276806363293,-0.0044347734359766909,0.038804369447829695,-3.2517290877258298,-0.0040658425693950945,-0.047033841819381424,-3.1330276806363293,-0.0044347734359766909,0.038804369447829695,-3.2517290877258298,-0.0040658425693950945,0.047033841819381424,3.1330276806363293,0.0044347734359766909,-0.038804369447829695,3.2517290877258298,0.0040658425693950945,-0.0042503080026858927,-8.2836262470401158e-05,-0.00018446543329079791
hold,0,2,0.030000000000000013,0,0,1,2,2,1.8585772636636744e-05,0.00090405906779333694,-3.4828038549467999e-05,-0.005363064688549705,2.9169287232801253e-06,0.00028969109423627039,-1.2065170348304717e-06,-0.00011868958543620459,-5.6081350613233732e-08,0.31543863835623737,-8.7152402605066779e-05,-0.00013180460699690921,0,-0.97197255439087549,1.6394073334047548,-0.00069791049448404165,-0.98337439470567811,1.6394225908339761,-0.00066608654458282077,1.5709457368269595e-05,0.0010293876746516151,-0.056187742008418112,-0.00087402530334706411,0.0020089912491187299,-0.053605965804218197,-0.044217794267602542,-3.1325438643315864,0,0.041124284318536736,-3.2506637741279025,0,-0.00022660101307135508,-0.0011220877901074277,0,0.00074169778417459368,-0.0021814962588301732,0,-0.044444225832312036,-3.1336703816705347,-0.00012807286888313763,0.041865815229417735,-3.2528409853204612,0.00028957847537863823,-0.044444225832312036,-3.1336703816705347,-0.00012807286888313763,0.041865815229417735,-3.2528409853204612,0.00028957847537863823,0.044444225832312036,3.1336703816705347,0.00012807286888313763,-0.041865815229417735,3.2528409853204612,-0.00028957847537863823,8.0752803247750312e-05,6.1675972088196052e-06,-0.00020882567213088794
hold,0,3,0.040000000000000022,0,0,1,2,2,2.7552510003775454e-05,0.00089084535432300304,-8.5543627605120425e-05,-0.0048779725449902347,6.6998371595131821e-06,0.00044235005868112663,-2.3849574397482599e-06,-0.00011831362647138143,-1.2048671271618644e-06,0.31543766091455172,-0.00013481818394528618,-7.5185624413768323e-05,0,-0.97196752476195647,1.6394134312973843,-0.0012590328016664294,-0.98338089760749015,1.639440994826773,-0.001195449054634998,0.00087782899597858431,0.00033302344891320598,-0.056268880494836797,-0.00045910811543631958,0.0017492016228165901,-0.052718966848487932,-0.044217794267602542,-3.1325438643315864,0,0.041124284318536736,-3.2506637741279025,0,-0.0011289575830338114,-0.00047450670540508707,0,0.00037880381076011539,-0.0020689385749027927,0,-0.045346752611142571,-3.1330183511566019,0.00017734027341090715,0.041503088878245831,-3.2527327319347381,0.00060093343611275062,-0.045346752611142571,-3.1330183511566019,0.00017734027341090715,0.041503088878245831,-3.2527327319347381,0.00060093343611275062,0.045346752611142571,3.1330183511566019,-0.00017734027341090715,-0.041503088878245831,3.2527327319347381,-0.00060093343611275062,0.00038913685476182891,-2.7680976026627103e-08,-0.00021179658135092176
hold,0,4,0.050000000000000031,0,0,1,2,2,3.6478022394426102e-05,0.00089280695643402074,-0.0001385164727373856,-0.0055774608046612675,1.2024632031321661e-05,0.00059744581356863265,-3.844667871846046e-06,-0.00016419002075847164,-2.8399460847570107e-06,0.31543711944863539,-0.00018401111526378572,-4.0238212654206612e-05,0,-0.97196162142062525,1.6394137080757059,-0.0018191340188117404,-0.98339032590751763,1.6394580680658128,-0.0017166421932074919,0.00044955790384010043,-0.00017723865789705172,-0.056117140299815994,-0.0012250860687475509,0.001695951743294168,-0.052012455927597845,-0.044217794267602542,-3.1325438643315864,0,0.041124284318536736,-3.2506637741279025,0,-0.0007479132215450462,3.3541174832409695e-05,0,0.0012202081642911935,-0.0021522746076993908,0,-0.044965474302911562,-3.1325164188770676,0.0013295259681566174,0.042344262840270173,-3.2528101518448675,0.0017944748481358013,-0.044965474302911562,-3.1325164188770676,0.0013295259681566174,0.042344262840270173,-3.2528101518448675,0.0017944748481358013,0.044965474302911562,3.1325164188770676,-0.0013295259681566174,-0.042344262840270173,3.2528101518448675,-0.0017944748481358013,0.0015620004081462093,8.4875342709493745e-06,-0.00023247443998959192
hold,0,5,0.060000000000000039,0,0,1,2,2,4.5414280748515279e-05,0.00089332536785096414,-0.00019118045331897559,-0.0050595092108296222,1.8853589290466417e-05,0.00074334266501747102,-5.8231618033257511e-06,-0.00022013277192762403,-4.9553129639768377e-06,0.31543703754461816,-0.00023082338093840567,1.3074186903790818e-05,0,-0.97195513917134602,1.6394079794781611,-0.0023574390412873145,-0.98340227313150441,1.6394735226648587,-0.0022109597873974356,0.00083208241392873975,-0.00083538279230773978,-0.052645425342888776,-0.0011316479558420923,0.0014600264393451678,-0.048057881222781207,-0.044217794267602542,-3.1325438643315864,0,0.041124284318536736,-3.2506637741279025,0,-0.0011822957258675916,0.00073751408960129024,0,0.0012223478432800206,-0.002039986096117101,0,-0.045400318037641808,-3.1318003889403521,0.0015475228338302795,0.042346856740452951,-3.2527095270805284,0.0020636829493804036,-0.045400318037641808,-3.1318003889403521,0.0015475228338302795,0.042346856740452951,-3.2527095270805284,0.0020636829493804036,0.045400318037641808,3.1318003889403521,-0.0015475228338302795,-0.042346856740452951,3.2527095270805284,-0.0020636829493804036,0.0018056028916053415,-8.3003729352838712e-06,-0.00025808005777506207
hold,0,6,0.070000000000000048,0,0,1,2,2,5.4378271993088534e-05,0.00089767567301764293,-0.00024105790256679651,-0.004940285927273514,2.7093673921968709e-05,0.0008811198372164512,-8.5369841432476855e-06,-0.00030457537165183747,-7.5263309848315034e-06,0.31543740004015175,-0.00027549051839786926,5.1627893363437567e-05,0,-0.97194691910477826,1.6393965384641884,-0.0028677903852931349,-0.98341505977410093,1.6394873961328891,-0.0026725781403044544,0.00086496289724629868,-0.0013509623754222122,-0.050272727792235891,-0.0013368209793922169,0.0013508058742250676,-0.045212158016884045,-0.044217794267602542,-3.1325438643315864,0,0.041124284318536736,-3.2506637741279025,0,-0.0012809367417271867,0.001344621784497021,0,0.0015298140076022925,-0.0020417532752401192,0,-0.045499385108606696,-3.1311821437409266,0.0019998779426554062,0.042654742485217827,-3.252722068482202,0.0025942204831543056,-0.045499385108606696,-3.1311821437409266,0.0019998779426554062,0.042654742485217827,-3.252722068482202,0.0025942204831543056,0.045499385108606696,3.1311821437409266,-0.0019998779426554062,-0.042654742485217827,3.252722068482202,-0.0025942204831543056,0.0022970492129048559,-2.3807966217699821e-05,-0.00029717127024944982
hold,0,7,0.080000000000000057,0,0,1,2,2,6.3388179025528069e-05,0.00090248811959972239,-0.00028841007157190732,-0.0045987918400282636,3.6640176979792083e-05,0.0010065735868620177,-1.2181118805713376e-05,-0.00040299252162825645,-1.0523402125671672e-05,0.31543813549921074,-0.00031657364778921415,8.8105961763229967e-05,0,-0.97193729824060238,1.6393801450034191,-0.0033542220310525087,-0.98342872849317065,1.6395001656482355,-0.0031044272227662042,0.0010747741279813353,-0.0018324982781339481,-0.047859750191368788,-0.0013486488757781072,0.0012382724868158779,-0.042136889656936391,-0.044217794267602542,-3.1325438643315864,0,0.041124284318536736,-3.2506637741279025,0,-0.0015677148858693072,0.0019573053733632773,0,0.0016509916565459019,-0.0020313760106025758,0,-0.045786829715943944,-3.1305520381407703,0.0022349079864364971,0.04277657646926674,-3.2527285449594801,0.0029265502669702254,-0.045786829715943944,-3.1305520381407703,0.0022349079864364971,0.04277657646926674,-3.2527285449594801,0.0029265502669702254,0.045786829715943944,3.1305520381407703,-0.0022349079864364971,-0.04277657646926674,3.2527285449594801,-0.0029265502669702254,0.0025807291267033613,-4.8065955476573032e-05,-0.00034582114026686405
hold,0,8,0.090000000000000066,0,0,1,2,2,7.24582522006606e-05,0.0009093655383023417,-0.00033320461725048415,-0.0044001096208839841,4.7362636959996213e-05,0.001118834936644549,-1.6907998435209702e-05,-0.00051735167299456414,-1.3908114714261305e-05,0.31543918563992762,-0.00035374306660884236,0.00011625336222963539,0,-0.97192610827246462,1.6393594793696453,-0.0038217454581350495,-0.9834430168695083,1.6395121246750257,-0.0035089921624800731,0.0011944881263410265,-0.0022242170810255744,-0.046296810688026525,-0.0014466564509259599,0.001176977844744777,-0.039617108485475346,-0.044217794267602542,-3.1325438643315864,0,0.041124284318536736,-3.2506637741279025,0,-0.0017769486293310718,0.0025143492464451953,0,0.001863306242395008,-0.0020657535828529708,0,-0.045996798161577396,-3.1299757884216293,0.0025222098054583451,0.04298961459218547,-3.2527815019234754,0.0033332011374139301,-0.045996798161577396,-3.1299757884216293,0.0025222098054583451,0.04298961459218547,-3.2527815019234754,0.0033332011374139301,0.045996798161577396,3.1299757884216293,-0.0025222098054583451,-0.04298961459218547,3.2527815019234754,-0.0033332011374139301,0.0029277054714361376,-7.4807713340406279e-05,-0.00040549566597779257
hold,0,9,0.10000000000000007,0,0,1,2,2,8.1605296134920624e-05,0.00091765575531609197,-0.00037588773838919748,-0.0041805954486715388,5.9118399546059437e-05,0.0012160883018144618,-2.2851682373613606e-05,-0.00064354796700737333,-1.763768395619941e-05,0.31544049173193589,-0.00038638233043370617,0.00014016153540843349,0,-0.97191343679884712,1.6393352363450147,-0.004276743563068201,-0.98345808288010828,1.6395235281327212,-0.0038889645848626687,0.0013600769708071634,-0.0025593494098053206,-0.045240233499967544,-0.0015129911443656024,0.0011246152010506696,-0.037184381091191931,-0.044217794267602542,-3.1325438643315864,0,0.041124284318536736,-3.2506637741279025,0,-0.0020439092627371944,0.0030434257722702675,0,0.0020501690206344374,-0.0021046186007225281,0,-0.046264628250630706,-3.1294239834597675,0.0027470627021875509,0.043177333613152062,-3.2528423540235893,0.0036967025914987411,-0.046264628250630706,-3.1294239834597675,0.0027470627021875509,0.043177333613152062,-3.2528423540235893,0.0036967025914987411,0.046264628250630706,3.1294239834597675,-0.0027470627021875509,-0.043177333613152062,3.2528423540235893,-0.0036967025914987411,0.003221882646843146,-0.00010645424071783914,-0.00047481994465559525
