profile,index,wheel,component,W_ref,W_WBC,physical_slack,normalized_slack,wrench_task_residual
baseline,0,left,Fx,-0.06319271068216474,-0.01001147982374886,0.026590615430026016,0.0005318123086005204,0.026590615428389867
baseline,1,left,Fy,0.0,-0.00026631189085982024,-0.00013315594543249903,-2.663118908649981e-06,-0.0001331559454273212
baseline,2,left,Fz,27.675229491866027,27.67243774963541,-0.0013958711199337742,-2.7917422398675482e-05,-0.0013958711106829597
baseline,3,left,Tx,0.11327183296816838,0.11328029135601443,4.2291939230802184e-06,1.6916775692320873e-06,4.229193922969579e-06
baseline,4,left,Ty,0.0025935527300793705,0.0019707423761350473,-0.00031140517706285093,-0.00012456207082514037,-0.00031140517688147226
baseline,5,left,Tz,0.0,0.00046726684698929205,0.00023363342348577194,9.345336939430878e-05,0.0002336334235035201
baseline,6,right,Fx,-0.187485780522428,-0.035263740983981176,0.07611101976945091,0.001522220395389018,0.07611101976899591
baseline,7,right,Fy,0.0,-0.000841709500562934,-0.0004208547502725002,-8.417095005450004e-06,-0.00042085475029043386
baseline,8,right,Fz,28.714612508133982,28.709199241040814,-0.002706633551234301,-5.413267102468602e-05,-0.002706633541933616
baseline,9,right,Tx,0.11327183296816838,0.11327944443799376,3.8057349127324504e-06,1.5222939650929801e-06,3.8057349126451865e-06
baseline,10,right,Ty,0.0027966651369644964,0.003162848921195259,0.00018309189207082213,7.323675682832885e-05,0.00018309189215994062
baseline,11,right,Tz,0.0,0.0004672661621520065,0.0002336330810671283,9.345323242685131e-05,0.0002336330810848782
primitive_r2,0,left,Fx,-0.06319271068216474,-0.02463651148829962,0.019278099692043596,0.00038556199384087193,0.019278099501821522
primitive_r2,1,left,Fy,0.0,0.47181832718810074,0.23590916357914435,0.004718183271582887,0.2359091636089564
primitive_r2,2,left,Fz,27.675229491866027,26.363103879479674,-0.6560628062305683,-0.013121256124611368,-0.6560628061557848
primitive_r2,3,left,Tx,0.11327183296816838,0.22917226144089237,0.05795021423648086,0.023180085694592345,0.05795021423624312
primitive_r2,4,left,Ty,0.0025935527300793705,0.0009198390897477662,-0.0008368568299316397,-0.00033474273197265584,-0.0008368568103999648
primitive_r2,5,left,Tz,0.0,0.0006738253102564649,0.0003369126475255752,0.00013476505901023007,0.00033691266273088973
primitive_r2,6,right,Fx,-0.187485780522428,0.0049989111116814314,0.09624234587131224,0.0019248469174262448,0.09624234576279721
primitive_r2,7,right,Fy,0.0,0.4150087240927752,0.20750436205107242,0.004150087241021449,0.2075043620417028
primitive_r2,8,right,Fz,28.714612508133982,27.533745421102907,-0.5904335435664678,-0.011808670871329356,-0.5904335434646071
primitive_r2,9,right,Tx,0.11327183296816838,-0.17924671042456292,-0.1462592716946003,-0.05850370867784012,-0.14625927169813102
primitive_r2,10,right,Ty,0.0027966651369644964,-0.00014266597503026268,-0.0014696655608194091,-0.0005878662243277637,-0.0014696655511753501
primitive_r2,11,right,Tz,0.0,0.0004745202594214991,0.00023726012397935233,9.490404959174094e-05,0.0002372601354421468
