channel,branch,scale,trusted,convergence_relative,g_qp_ddxi_common,g_qp_a_t_common,g_mj_ddxi_common,g_mj_a_t_common,qp_contact_norm,mj_contact_norm,mj_actuator_norm,mj_remaining_norm,contact_to_actuator_norm_ratio,contact_actuator_cosine,contact_force_share,quantitatively_dominant,g_qp_contact_0,g_qp_contact_1,g_qp_contact_2,g_qp_contact_3,g_qp_contact_4,g_qp_contact_5,g_qp_contact_6,g_qp_contact_7,g_qp_contact_8,g_qp_contact_9,g_qp_contact_10,g_qp_contact_11,g_mj_contact_0,g_mj_contact_1,g_mj_contact_2,g_mj_contact_3,g_mj_contact_4,g_mj_contact_5,g_mj_contact_6,g_mj_contact_7,g_mj_contact_8,g_mj_contact_9,g_mj_contact_10,g_mj_contact_11,g_mj_actuator_0,g_mj_actuator_1,g_mj_actuator_2,g_mj_actuator_3,g_mj_actuator_4,g_mj_actuator_5,g_mj_actuator_6,g_mj_actuator_7,g_mj_actuator_8,g_mj_actuator_9,g_mj_actuator_10,g_mj_actuator_11,g_mj_remaining_0,g_mj_remaining_1,g_mj_remaining_2,g_mj_remaining_3,g_mj_remaining_4,g_mj_remaining_5,g_mj_remaining_6,g_mj_remaining_7,g_mj_remaining_8,g_mj_remaining_9,g_mj_remaining_10,g_mj_remaining_11,g_mj_lhs_0,g_mj_lhs_1,g_mj_lhs_2,g_mj_lhs_3,g_mj_lhs_4,g_mj_lhs_5,g_mj_lhs_6,g_mj_lhs_7,g_mj_lhs_8,g_mj_lhs_9,g_mj_lhs_10,g_mj_lhs_11,g_native_wheel_qacc_qp_common,g_native_wheel_qacc_mj_common,g_xi_qp_base,g_xi_qp_leg_nonwheel,g_xi_qp_wheel,g_xi_qp_jdot_v,g_xi_mj_base,g_xi_mj_leg_nonwheel,g_xi_mj_wheel,g_xi_mj_jdot_v
xi_common_only,-,1.0,True,0.0,0.9999689499488962,-0.0003029495987337885,0.5085215473378227,0.00393063076938073,1.0482514745742442,0.12856420335024235,0.03781561398773999,1.7739907352725062e-06,3.399765065084584,-0.02502664420664045,0.7727068981822632,False,0.982774325657923,-0.013885439892755277,-0.02663524859087829,-0.0034243282814649945,-0.25875552211482855,0.08387905962946116,0.0846164630407209,0.051860758168320586,-0.00015535119908924484,0.18620200230498596,0.11642282533150805,-0.002593426862806513,0.09932076626073538,0.0024726701831401243,0.06866405368768369,-0.0065974118107270385,-0.028419959851611054,0.0001969694358998353,0.012837895023182222,0.0113831809088083,0.001973749319426508,0.018917113664024265,0.020664575637141525,0.00297468150082629,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.028436764247170843,0.011543639495625868,-0.0033350238080720853,-0.01290326333008504,-0.017302493774584704,-0.0033350574852829317,-0.0,8.881784197001252e-14,1.4210854715202004e-12,1.9882673285489595e-08,-1.3363813176099073e-06,-9.897554303757884e-09,6.270663273762146e-07,6.481966532967398e-07,-9.97465998686664e-16,7.093150457448439e-07,2.1008547332335148e-07,-1.0408340855860843e-15,0.09932076626059105,0.0024726701834731912,0.0686640536862626,-0.006597391927685992,-0.02842129623310541,0.0001969595382317335,0.04127528633674493,0.02292746860099726,-0.001361274488638996,0.006014559648936935,0.003362291947728302,-0.00036037598446863293,13.318438926006781,2.3644520991301987,8.756738478931024e-18,0.9999689499488963,-0.0,5.021084256381404e-15,5.299234366624021e-18,0.5085215473378177,-0.0,5.021084256381404e-15
xi_common_only,-,0.5,True,5.703034775550182e-12,0.9999689499488945,-0.00030294959874367644,0.5085215473350772,0.003930630768446408,1.0482514745807519,0.12856420336497318,0.03781561398506553,1.7739903046302612e-06,3.3997650657145715,-0.025026644211678103,0.7727068982168077,False,0.9827743256657501,-0.01388543988337335,-0.02663524857240418,-0.0034243282808432696,-0.25875552211682695,0.08387905962108366,0.08461646304683823,0.05186075817302793,-0.00015535119914341158,0.1862020023009614,0.11642282533088633,-0.0025934268626147394,0.09932076626473219,0.0024726701876254253,0.06866405370828943,-0.006597411810105314,-0.02841995985143342,0.00019696943558272784,0.012837895023998236,0.011383180910584656,0.001973749319561383,0.018917113664285168,0.020664575639273153,0.002974681500890475,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.028436764245001744,0.011543639493272195,-0.003335023808165999,-0.012903263328072068,-0.017302493775339656,-0.0033350574853770187,-0.0,2.6645352591003757e-13,1.4210854715202004e-12,1.9883228397001907e-08,-1.336380784702813e-06,-9.897570263213532e-09,6.270662885184087e-07,6.481965963978098e-07,5.681219383824043e-15,7.093150957049224e-07,2.1008529638155693e-07,4.163336342344337e-15,0.0993207662637996,0.0024726701876698343,0.06866405370686834,-0.006597391926937979,-0.028421296232394866,0.00019695953781817543,0.041275286335362704,0.022927468600197898,-0.0013612744886021873,0.006014559651013052,0.0033622919488163205,-0.00036037598452991204,13.318438926067188,2.364452099151415,8.75673847806189e-18,0.9999689499488944,-0.0,7.570187559495858e-15,5.2992343660989545e-18,0.5085215473350696,-0.0,7.570187559495858e-15
xi_common_only,-,0.25,True,1.2303363978104816e-10,0.9999689499488944,-0.00030294959883075956,0.5085215474003855,0.003930630768639309,1.0482514744476243,0.12856420334010882,0.03781561398320899,1.7739901441550656e-06,3.3997650652239657,-0.02502664418512419,0.7727068981922082,False,0.9827743255392929,-0.013885439888705392,-0.02663524858803612,-0.003424328280487998,-0.25875552208400876,0.08387905961752956,0.0846164630317725,0.0518607581629027,-0.00015535119890358606,0.18620200228163242,0.11642282531738601,-0.002593426862272305,0.0993207662508766,0.0024726701825628083,0.06866405368555206,-0.006597411811171128,-0.028419959848591247,0.00019696943593938698,0.01283789502197763,0.011383180908097756,0.0019737493192473546,0.018917113661975904,0.02066457563572044,0.0029746815005141265,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.028436764245393098,0.011543639494959734,-0.003335023807829289,-0.012903263325911296,-0.017302493771254035,-0.003335057485041263,-0.0,1.7763568394002505e-13,8.526512829121202e-12,1.9883605872828956e-08,-1.3363806070672138e-06,-9.897571650991651e-09,6.270663107228692e-07,6.481967629312635e-07,3.2959746043559335e-15,7.093149624781594e-07,2.1008490502794075e-07,-1.3617579286417936e-14,0.09932076625145392,0.002472670183362169,0.06866405367986772,-0.006597391926699281,-0.02842129623061851,0.00019695953819010015,0.04127528633395272,0.022927468599398537,-0.001361274488554244,0.006014559651212892,0.003362291949038365,-0.0003603759845278304,13.318438924351783,2.364452099099923,8.756738477686835e-18,0.9999689499488942,-0.0,1.3882700598908532e-14,5.299234365862335e-18,0.5085215474003715,-0.0,1.3882700598908532e-14
xi_common_only,+,1.0,True,0.0,0.9999689499488934,-0.000302949598733962,0.5085215473247807,0.003930630768619187,1.0482514745914449,0.12856420333024265,0.037815613983608276,1.7739909872005512e-06,3.3997650649271667,-0.0250266441812428,0.7727068981729603,False,0.9827743256750759,-0.013885439894534517,-0.02663524862711597,-0.0034243282808432696,-0.2587555221195581,0.08387905962069751,0.08461646304845916,0.051860758170896304,-0.000155351199340693,0.1862020023021771,0.11642282532662307,-0.00259342686280261,0.09932076625891462,0.0024726701800759088,0.06866405365357764,-0.006597411809661224,-0.028419959853920318,0.00019696943593036642,0.012837895023487533,0.011383180907031942,0.001973749319455261,0.018917113663519114,0.02066457563358881,0.0029746815007067676,0.0,0.0,0.0,0.0,0.0,0.0,0.028436764244831048,0.011543639496247593,-0.0033350238080266355,-0.012903263328197662,-0.017302493770410265,-0.003335057485237677,0.0,-8.881784197001252e-14,-7.105427357601002e-13,1.98825400587273e-08,-1.3363816728813175e-06,-9.897562630430568e-09,6.27066377336248e-07,6.481965603155615e-07,7.806255641895632e-16,7.093150623981469e-07,2.1008543446554562e-07,-8.673617379884035e-16,0.09932076625915887,0.0024726701800537043,0.0686640536528671,-0.006597391927082308,-0.02842129623550349,0.0001969595384870848,0.04127528633462996,0.022927468599842626,-0.0013612744885776302,0.006014559650491247,0.0033622919487275027,-0.000360375984512825,13.318438926249232,2.3644520991277007,8.756738478029573e-18,0.9999689499488934,0.0,1.1155000398865508e-15,5.2992343660757855e-18,0.5085215473247796,0.0,1.1155000398865508e-15
xi_common_only,+,0.5,True,1.0733785580882052e-11,0.9999689499488894,-0.0003029495987256353,0.5085215473193236,0.003930630768744781,1.048251474600713,0.12856420331864962,0.037815613983674064,1.773991051604763e-06,3.3997650646146846,-0.02502664416970999,0.7727068981565185,False,0.9827743256830224,-0.013885439901122542,-0.026635248654827137,-0.003424328280665634,-0.2587555221219784,0.08387905962258385,0.08461646304855908,0.051860758169652854,-0.00015535119930829705,0.18620200230460293,0.11642282532573489,-0.0025934268628274165,0.09932076626073538,0.0024726701757238345,0.06866405362870864,-0.006597411810282949,-0.02841995985676249,0.00019696943630992392,0.0128378950238206,0.011383180905610857,0.0019737493194906496,0.018917113664074225,0.020664575631812454,0.0029746815007621486,0.0,0.0,0.0,0.0,0.0,0.0,0.028436764245230728,0.011543639497713087,-0.0033350238080803903,-0.012903263328850612,-0.017302493768411864,-0.0033350574852909765,0.0,8.881784197001252e-14,0.0,1.9882651081030426e-08,-1.3363816728813175e-06,-9.897609121020055e-09,6.270664217451664e-07,6.481967185223425e-07,-1.3010426069826053e-15,7.093150401936864e-07,2.1008541989386842e-07,-7.37257477290143e-16,0.099320766260802,0.002472670175657221,0.06866405362728756,-0.006597391927323781,-0.028421296238256843,0.0001969595388673362,0.041275286335318295,0.022927468600242307,-0.0013612744886004851,0.006014559650369122,0.0033622919487275027,-0.0003603759845139526,13.31843892640312,2.3644520991770834,8.75673847823245e-18,0.9999689499488895,0.0,-7.461767342247308e-15,5.2992343661994495e-18,0.5085215473193312,0.0,-7.461767342247308e-15
xi_common_only,+,0.25,True,6.57309543193219e-11,0.999968949948893,-0.0003029495987676156,0.5085215473581859,0.003930630769816146,1.0482514745188936,0.12856420329385676,0.03781561398642281,1.773991128277924e-06,3.399765063711937,-0.025026644155286014,0.7727068981095273,False,0.9827743256038857,-0.013885439900942565,-0.02663524867614342,-0.003424328280132727,-0.25875552210141706,0.08387905962928127,0.08461646303370429,0.05186075815863944,-0.0001553511991204265,0.1862020022979083,0.11642282531951764,-0.002593426862835743,0.09932076625016606,0.0024726701774113735,0.06866405360028693,-0.006597411810460585,-0.028419959855696675,0.00019696943598102035,0.012837895022155266,0.011383180901702872,0.0019737493192121397,0.01891711366259763,0.020664575628615012,0.0029746815005142133,0.0,0.0,0.0,0.0,0.0,0.0,0.02843676424769126,0.011543639502242797,-0.0033350238077903445,-0.012903263329724912,-0.017302493766813143,-0.003335057485001451,0.0,-3.552713678800501e-13,-5.6843418860808015e-12,1.9882495649806978e-08,-1.3363816728813175e-06,-9.897524466514428e-09,6.270663995407006e-07,6.481966796645366e-07,5.204170427930421e-15,7.093151401136739e-07,2.100859347597961e-07,-2.6020852139652106e-15,0.09932076625052133,0.0024726701769672843,0.06866405359460259,-0.006597391927848362,-0.028421296237368665,0.00019695953881182504,0.04127528633595112,0.022927468600641987,-0.0013612744886119018,0.006014559648237494,0.0033622919476172797,-0.00036037598444577795,13.318438925373188,2.3644520991183082,8.75673847891889e-18,0.9999689499488932,0.0,9.124069501233872e-15,5.299234366618147e-18,0.5085215473581768,0.0,9.124069501233872e-15
slip_common_only,-,1.0,True,0.0,-0.00030294959837346477,0.9970422155223251,-4.295093192618626,0.030842288660683226,9.484118756131082,1.3875436523346247,0.40904233117072314,8.510301086475625e-06,3.3921761798181755,-0.17635049284201945,0.772318771496869,False,8.874736626999502,-0.13617371062085504,-0.2599531632476726,-0.033692060991619144,-2.3526411219263688,0.8187953181673129,0.7349587577063832,0.4516405588420369,0.007398418202283737,1.7266118658375351,1.0813426431798945,-0.01641721401446413,1.15530593828983,0.02320708430638696,0.5724946740635062,-0.0644481604845204,-0.3507148763424617,0.0020095566144018306,0.1562284000289904,0.1254353782187856,0.023890317084737957,0.2157486947875209,0.21611370407628172,0.03366898529420786,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.11298619849917993,0.023421433637649258,-0.03256593693396288,-0.29101153799525326,-0.25921490494669186,-0.03256626541942673,-0.0,1.3322676295501878e-13,1.4210854715202004e-12,1.940356653120891e-07,-6.155028224102601e-06,-9.659063548891595e-08,2.656803193128751e-06,3.883958488160033e-06,-3.0357660829594124e-16,3.4982252308139233e-06,-3.354937293253979e-07,-2.710505431213761e-15,1.1553059382900632,0.02320708430638696,0.5724946740635062,-0.06444796644883843,-0.35072103137094857,0.002009460023746912,0.2692172553314276,0.1488606958149008,-0.008675619849216483,-0.07525934498246456,-0.04310153636417624,0.0011027198747817941,105.01156375383529,10.099849486323318,8.543907388334167e-17,-0.00030294959837266246,-0.0,-4.584946991840165e-15,5.173523906413651e-17,-4.295093192618621,-0.0,-4.584946991840165e-15
slip_common_only,-,0.5,True,4.991211596652489e-12,-0.0003029495983792978,0.9970422155223132,-4.2950931925972355,0.03084228866210778,9.484118756082788,1.38754365232141,0.40904233117380634,8.51030080958087e-06,3.3921761797603,-0.17635049284121065,0.772318771493988,False,8.874736626951657,-0.1361737106221728,-0.2599531632540675,-0.03369206099232969,-2.352641121913601,0.8187953181784166,0.7349587576929828,0.4516405588331551,0.007398418202386996,1.7266118658376017,1.0813426431793616,-0.016417214014685655,1.1553059382801933,0.02320708430643137,0.5724946740542691,-0.06444816048567503,-0.35071487633988596,0.0020095566144531785,0.15622840002704752,0.12543537821656514,0.02389031708443282,0.21574869478639958,0.2161137040751271,0.03366898529403297,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.11298619850240721,0.02342143364089111,-0.03256593693367646,-0.29101153799750423,-0.2592149049474024,-0.03256626541914059,-0.0,-0.0,-0.0,1.940356764143187e-07,-6.155027957648991e-06,-9.659067573450026e-08,2.6568031598220627e-06,3.883958363259943e-06,-3.2526065174565133e-15,3.498225197507275e-06,-3.3549363287477263e-07,8.673617379884035e-17,1.1553059382800823,0.023207084306653414,0.572494674052848,-0.06444796644969886,-0.3507210313685505,0.0020094600237663407,0.2692172553326766,0.14886069581558914,-0.008675619849242226,-0.0752593449858674,-0.043101536366041415,0.0011027198748885664,105.01156375321091,10.099849486217026,8.543907388448791e-17,-0.0003029495983784304,-0.0,1.2514149466029759e-14,5.173523906482917e-17,-4.295093192597248,-0.0,1.2514149466029759e-14
slip_common_only,-,0.25,True,3.374102673258757e-11,-0.00030294959837782326,0.9970422155224694,-4.295093192763492,0.03084228865654348,9.484118756434754,1.3875436523464864,0.4090423311606576,8.510300807331761e-06,3.392176179930648,-0.17635049284508542,0.7723187715028191,False,8.874736627292378,-0.13617371061969255,-0.2599531633109109,-0.03369206099108624,-2.35264112200384,0.8187953181375184,0.734958757764903,0.45164055887418897,0.007398418201287789,1.7266118658600282,1.0813426431894868,-0.016417214014584694,1.1553059383221154,0.023207084300480574,0.5724946740144787,-0.06444816048194468,-0.35071487635818244,0.002009556615006902,0.1562284000353964,0.12543537822153894,0.023890317085693055,0.21574869479228376,0.21611370407441655,0.03366898529486087,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.1129861984889402,0.023421433632719868,-0.03256593693483954,-0.2910115379908984,-0.2592149049403858,-0.032566265420303636,-0.0,-3.552713678800501e-13,-0.0,1.94036786637342e-07,-6.155027780013307e-06,-9.65907187556418e-08,2.6568030265953052e-06,3.883958615835681e-06,2.168404344971009e-15,3.4982252197117354e-06,-3.3549407973954004e-07,-6.2450045135165055e-15,1.1553059383210051,0.023207084300835845,0.5724946740258474,-0.06444796644663464,-0.35072103138524824,0.0020094600240438965,0.2692172553276029,0.14886069581283579,-0.008675619849134869,-0.07525934497383258,-0.043101536359113624,0.0011027198745044986,105.01156375783286,10.099849486620238,8.543907388027389e-17,-0.0003029495983772161,-0.0,3.69120017754479e-15,5.173523906225882e-17,-4.295093192763495,-0.0,3.69120017754479e-15
slip_common_only,+,1.0,True,0.0,-0.0003029495983766957,0.9970422155223391,-4.295093192624721,0.030842288660920883,9.484118756140736,1.387543652321025,0.40904233117002,8.51030133061399e-06,3.3921761797907592,-0.176350492841673,0.7723187714953429,False,8.874736627007465,-0.13617371062739123,-0.2599531632846208,-0.03369206099144151,-2.352641121928878,0.8187953181701239,0.7349587577059502,0.45164055883963883,0.007398418202308413,1.7266118658405716,1.0813426431783846,-0.016417214014522417,1.1553059382910735,0.02320708430145757,0.5724946740272685,-0.0644481604845204,-0.3507148763461032,0.002009556614800123,0.1562284000292513,0.12543537821674278,0.023890317084757886,0.21574869478808711,0.21611370407335073,0.03366898529424994,0.0,0.0,0.0,0.0,0.0,0.0,0.1129861984998079,0.02342143364009175,-0.03256593693399866,-0.2910115379961504,-0.25921490494407173,-0.03256626541946258,0.0,-8.881784197001252e-14,-1.4210854715202004e-12,1.940356209031688e-07,-6.155028579373927e-06,-9.659064520336741e-08,2.656803220884324e-06,3.883958459016679e-06,-8.023096076392733e-16,3.4982252197116507e-06,-3.3549366063034824e-07,2.3852447794681098e-15,1.155305938291118,0.023207084301435366,0.5724946740286896,-0.06444796644917983,-0.35072103137432364,0.00200946002418545,0.2692172553322436,0.1488606958153671,-0.008675619849242889,-0.07525934498283093,-0.043101536364242854,0.0011027198747876055,105.01156375400342,10.099849486373968,8.543907388363742e-17,-0.00030294959837582833,0.0,2.5032788206679965e-15,5.173523906431876e-17,-4.295093192624725,0.0,2.5032788206679965e-15
