step,added_family,equality_rows,rank_a_eq,rank_k_w,singular_values,P48B-H0-NOMINAL_projection_residual,P48B-H0-DIFFERENTIAL-TZ-POSITIVE_projection_residual,P48B-H0-COMMON-FX-NEGATIVE_projection_residual
1,production_dynamics,12,12,12,"[50.05718485157247, 35.68607862418071, 28.520660840286748, 12.008227057654379, 8.949959044110422, 6.6960948501917406, 2.4999174016607912, 2.4967981021864945, 1.6170449047989504, 1.52075210366811, 0.08649816351336942, 0.03158570291951746]",1.5807667674838655e-15,6.040594008329408e-17,1.5114902721566355e-15
2,primitive_contact_response,22,22,6,"[18.076142992532123, 11.172537127290722, 4.070067492473444, 0.8905872744036493, 0.19692254357935407, 0.0224064798696153, 8.024266055493385e-16, 1.5471417225526134e-16, 0.0, 0.0, 0.0, 0.0]",0.12552971006032715,0.05005313685764943,0.0074550259751212464
