scenario,episode,control_tick,physics_substep,time_s,disturbance,force_x,force_y,force_z,moment_x,moment_y,moment_z,left_normal_load_n,right_normal_load_n,penetration_m,rolling_slip_m_s,lateral_slip_m_s,closure_residual_m,base_control_linear_acceleration_n0,base_control_linear_acceleration_n1,base_control_linear_acceleration_n2,base_control_angular_acceleration_n0,base_control_angular_acceleration_n1,base_control_angular_acceleration_n2,qpos0,qpos1,qpos2,qpos3,qpos4,qpos5,qpos6,qpos7,qpos8,qpos9,qpos10,qpos11,qpos12,qpos13,qpos14,qpos15,qpos16,qvel0,qvel1,qvel2,qvel3,qvel4,qvel5,qvel6,qvel7,qvel8,qvel9,qvel10,qvel11,qvel12,qvel13,qvel14,qvel15,ctrl0,ctrl1,ctrl2,ctrl3,ctrl4,ctrl5
hold,0,27,0,0.27200000000000019,0,0,0,0,0,0,0,31.054043711648035,32.066970123998331,0.00040809271413153742,0.0016783298484674015,0.00014915017814333745,0.00018248003897156052,-0.0011545753774919434,-0.0038365533494862385,0.0033986453963041896,0.015858761861528878,-0.32758246478493858,0.058549505860492491,-9.991173615033966e-05,-0.00022764422711615069,0.34821883139651832,0.99999542086703908,0.00044662404645837492,-0.0029572557665261258,0.00046196346720191054,-0.33820256448468838,0.56823926699839278,0.014969116134827926,-0.57140130642306619,-0.57183913769666217,-0.35009759349910535,0.57107709219365987,-0.0029454217318515986,0.57426920488890398,-0.57470658699700528,-0.00087595946530883947,-0.00021147721242702409,0.0037639195086590642,0.0029572482592981979,-0.043482792278870315,0.0091018145944136188,0.019806909627473307,-0.0034668920620540031,0.21217310460630345,0.0032796980316923707,0.0033402780432452346,0.032290325741366942,0.0067977921165191671,0.0014854518998415037,0.0068231735306586248,-0.0068204825207049827,0.032568336692736323,3.1364023863759209,-0.0013280586860209723,-0.024370066794443236,3.2508407624481306,-0.0018474699368533642
hold,0,27,1,0.27400000000000019,0,0,0,0,0,0,0,31.054062494826063,32.066215613646982,0.00040824175986269723,0.0017393913945539328,0.00014970216999664972,0.00018248092141169876,-0.0015219007530685601,-0.0045051765819822303,0.0033971261778464878,0.01793865361736615,-0.32605617788722174,0.055512570413807021,-0.00010171305130537846,-0.00022807050322073307,0.34822647325414957,0.99999528373518243,0.00044961035600212586,-0.0030013931318847295,0.00047116577428469106,-0.33816346008629056,0.56823222424842046,0.015406458818840138,-0.57139464995637623,-0.57183235540446931,-0.35003223045600357,0.57109085607105647,-0.0029412389732600521,0.57428302149756794,-0.57472039701758926,-0.00090065757751939929,-0.00021313805229119525,0.00382092881561718,0.002993180841797382,-0.044134838391016659,0.0092132098248335643,0.019552199198906224,-0.0035213749861644351,0.21867134200610625,0.003328233344964003,0.0033911460964596873,0.032681521550905472,0.0068819386982727415,0.0020913792957733255,0.0069083043319725819,-0.0069050102920010965,0.032568336692736323,3.1364023863759209,-0.0013280586860209723,-0.024370066794443236,3.2508407624481306,-0.0018474699368533642
hold,0,27,2,0.27600000000000019,0,0,0,0,0,0,0,31.054077888881114,32.065434496957074,0.00040839114803501581,0.0018033700638376768,0.00015038818321179328,0.00018248177520711933,-0.001901642524000671,-0.0051980771500647043,0.0033952777406920376,0.020097260471084077,-0.32452873719663233,0.052532102393717452,-0.00010356510841742391,-0.00022850407911760738,0.34823422864075304,0.99999514251600619,0.00045263686846532268,-0.0030461795170594022,0.00048047331526337165,-0.33812495494808792,0.5682250564428627,0.015857343877235974,-0.57138787954124626,-0.57182545405482854,-0.34996610125869354,0.57110480146051479,-0.0029358117393978689,0.57429702322215748,-0.57473439105882762,-0.00092602855602272305,-0.0002167879484371565,0.0038776933017261378,0.0030333954617491532,-0.044783839042447385,0.0093186162916209601,0.019252569101317021,-0.003583902778859443,0.22544252919791824,0.0033852075649768438,0.0034506748203919557,0.033064598655010755,0.0069726947291479015,0.0027136169310915136,0.0070008622947567416,-0.0069970206191977283,0.032568336692736323,3.1364023863759209,-0.0013280586860209723,-0.024370066794443236,3.2508407624481306,-0.0018474699368533642
hold,0,27,3,0.27800000000000019,0,0,0,0,0,0,0,31.054089749514343,32.064625346088469,0.00040854106754701497,0.0018703341005760678,0.00015121508592192236,0.00018248268294402358,-0.0022943097103168691,-0.0059160178372713243,0.003393075592093453,0.022337008683870514,-0.32300191646276072,0.049601429463672665,-0.00010546930517588516,-0.00022894902845452199,0.34824209706540571,0.99999499712927542,0.00045570804555982217,-0.003091611872916936,0.00048988021389405518,-0.33808714089214986,0.56821774723361274,0.016322331171196199,-0.5713809783074788,-0.57181841638958264,-0.34989922311808896,0.57111894199991353,-0.0029291049363990834,0.57431122499774701,-0.57474858414600427,-0.00095209837923062419,-0.00022247466845729826,0.0039342123263275356,0.0030780540520982998,-0.045429795770545962,0.0094181317971861085,0.018907027969015229,-0.0036546046249571595,0.23249364698011221,0.0034506168837459055,0.0035188326229358409,0.033439070302290007,0.0070702696993637949,0.0033534014993927808,0.0071008877947511427,-0.0070965435883381242,0.032568336692736323,3.1364023863759209,-0.0013280586860209723,-0.024370066794443236,3.2508407624481306,-0.0018474699368533642
hold,0,27,4,0.28000000000000019,0,0,0,0,0,0,0,31.054097940874119,32.063786650505726,0.00040869170885350636,0.0019403561575907519,0.00015218976519291397,0.00018248371012033647,-0.0027004267124842505,-0.0066597898242171964,0.0033904947399250318,0.024660381896373117,-0.32147753762101539,0.046714062215478032,-0.00010742709355518847,-0.00022940952592114707,0.34825007803637054,0.99999484749404777,0.00045882851603807289,-0.0031376871553597642,0.00049938067960581813,-0.33805011183866412,0.56821028001048179,0.016801995226969423,-0.57137392934755316,-0.57181122515766658,-0.34983161422479647,0.57113329176357996,-0.0029210808865087032,0.57432564191531443,-0.57476299144256937,-0.00097889418965165626,-0.00023024873331254489,0.0039904854824101832,0.003127323441450512,-0.046072713783346549,0.0095118410823536257,0.018514526742879074,-0.0037336115654746259,0.23983202788661148,0.0035244799628236468,0.0035956159580204268,0.03380444664625569,0.0071748818332350401,0.0040120249451900689,0.0072084587837351697,-0.0072036482825413471,0.032568336692736323,3.1364023863759209,-0.0013280586860209723,-0.024370066794443236,3.2508407624481306,-0.0018474699368533642
hold,0,28,0,0.28200000000000019,0,0,0,0,0,0,0,31.056757471034416,32.069747857743927,0.00040884326447201275,0.0019716034201519364,0.00015331915826769904,0.0001824849079962409,4.1164678698448049e-05,-0.0067653435095042583,0.005239647950709525,0.026368144260274017,-0.52011409140127729,0.081728959785803121,-0.00010945357310088445,-0.00022987541251296844,0.34825824025758034,0.99999469221594384,0.00046200171489258607,-0.0031848026046971626,0.00050904491304815927,-0.33801286380162499,0.56820272640167746,0.017295249552467563,-0.57136681331866945,-0.57180396596886252,-0.34976263642173033,0.57114790386983461,-0.0029115703713096376,0.57434031575569067,-0.57477765483783116,-0.0010132397728479887,-0.00023294329591067796,0.0040811106048983022,0.0031800485478690101,-0.047112844215432437,0.0096759226003674328,0.018624018519582296,-0.0037768044021549113,0.24662716274907098,0.0035580144418727879,0.0036295944020210643,0.034488901533081505,0.007306053127342161,0.0047552575995328181,0.0073369201880960425,-0.0073316976309167033,0.03164753222104949,3.1362289242412582,-0.0013903299912476201,-0.0213174907691825,3.2534094171486707,-0.0021842555369936184
hold,0,28,1,0.2840000000000002,0,0,0,0,0,0,0,31.056784282381621,32.068866854646089,0.00040899609251911911,0.0020380021389918204,0.00015473923350763509,0.00018248577114967499,-0.0003935445343084245,-0.0075429177954581383,0.0052361524307826812,0.028767735864032026,-0.51857363315433991,0.077560627402345692,-0.00011155032621150104,-0.00023035140562064539,0.34826658322120152,0.99999453115474235,0.00046523241388449237,-0.0032329551457216527,0.00051886456160989006,-0.33797550123314823,0.56819506781735996,0.017802725495405333,-0.57135960923983042,-0.57179661646443181,-0.34969230551395275,0.5711627924443351,-0.0029005302412508285,0.57435526446365104,-0.57479259228238944,-0.0010483765553082934,-0.00023799655383847907,0.0041714818105825831,0.00323751809217151,-0.048149906285212402,0.009831635850482013,0.018681284238364588,-0.0038292921587652598,0.25373797146888499,0.003602039419488088,0.0036747522153284017,0.035165453888790457,0.0074442872502494999,0.0055200650294044921,0.0074743539802075267,-0.0074687222791297962,0.03164753222104949,3.1362289242412582,-0.0013903299912476201,-0.0213174907691825,3.2534094171486707,-0.0021842555369936184
hold,0,28,2,0.2860000000000002,0,0,0,0,0,0,0,31.056804744530432,32.067952096731617,0.00040915031332755536,0.0021078877194452596,0.00015631074203110052,0.00018248647136745241,-0.00084217093110723975,-0.0083467746101482682,0.0052325738826155543,0.031254325119966925,-0.5170130670846822,0.073489654317064557,-0.00011371898907549757,-0.00023084230928714614,0.34827510641255638,0.99999436416771037,0.00046852555868166009,-0.0032821416631340682,0.00052883146633758119,-0.33793813061973127,0.56818728558432396,0.018325067469493,-0.57135229659171505,-0.57178915496037241,-0.34962063865663195,0.571177972135544,-0.002887914469749973,0.57437050577617221,-0.57480782151509313,-0.0010843314319982675,-0.00024545183325037017,0.0042615956774166878,0.0032999058917715716,-0.049183860070268134,0.0099791734409004438,0.018685306708483212,-0.0038911165179720524,0.2611709870438334,0.0036563240576718893,0.0037307520296723544,0.035833428660405189,0.0075898456044728741,0.0063078857504276827,0.0076206562605752896,-0.0076146163518608619,0.03164753222104949,3.1362289242412582,-0.0013903299912476201,-0.0213174907691825,3.2534094171486707,-0.0021842555369936184
hold,0,28,3,0.2880000000000002,0,0,0,0,0,0,0,31.05681904819733,32.067002202865268,0.00040930605995898733,0.0021813169889393878,0.00015804097277491414,0.00018248714710830021,-0.0013053172729935282,-0.0091778818516922277,0.0052288786906018458,0.033830865625375371,-0.51543446125286008,0.069506723569183151,-0.00011596125433702098,-0.00023135302135984402,0.34828380931063496,0.99999419110963683,0.0004718862747157067,-0.0033323590056966615,0.00053893764324802881,-0.33790086061331931,0.5681793609315976,0.018862933900782763,-0.57134485521992695,-0.57178156031464589,-0.34954765435112406,0.57119345812546085,-0.0028736739979929858,0.57438605735209358,-0.57482336019295888,-0.0011211326307617041,-0.00025535603634894451,0.0043514490392865604,0.0033673915706141488,-0.05021466981944591,0.010118709239094789,0.018635003205984813,-0.0039623263631572356,0.26893321564488071,0.0037206858940495445,0.0037973228632695666,0.0364921527539337,0.0077429949584116864,0.0071202358784936866,0.0077757879606679724,-0.0077693389328958662,0.03164753222104949,3.1362289242412582,-0.0013903299912476201,-0.0213174907691825,3.2534094171486707,-0.0021842555369936184
hold,0,28,4,0.2900000000000002,0,0,0,0,0,0,0,31.05682734982355,32.066015660036641,0.00040946347726192323,0.0022583545251756206,0.00015993727307935088,0.00018248790888813961,-0.0017836033919753672,-0.010037236038342804,0.0052250334614889482,0.036500377006430315,-0.51383993954684337,0.065602826905692843,-0.00011827887383759596,-0.00023188854067111828,0.34829269138862501,0.9999940118328613,0.00047531987317019309,-0.0033836039904981937,0.0005491752652557199,-0.33786380216515055,0.56817127497915476,0.019416998147220876,-0.57133726525306316,-0.5717738118147111,-0.34947337244381704,0.57120926614148948,-0.0028577565838409352,0.57440193688554386,-0.57483922600483273,-0.0011588097502874901,-0.00026775965563712517,0.0044410389950161541,0.0034401606894686456,-0.051242304065182556,0.010250398984399913,0.018529224084379018,-0.0040429762214285207,0.27703212321905613,0.0037949834319139448,0.0038742499673963884,0.037140953653511444,0.0079040080143402431,0.0079587070760252163,0.0079397667251295389,-0.0079329059369082234,0.03164753222104949,3.1362289242412582,-0.0013903299912476201,-0.0213174907691825,3.2534094171486707,-0.0021842555369936184
