scenario,episode,control_tick,physics_substep,time_s,disturbance,force_x,force_y,force_z,moment_x,moment_y,moment_z,left_normal_load_n,right_normal_load_n,penetration_m,rolling_slip_m_s,lateral_slip_m_s,closure_residual_m,base_control_linear_acceleration_n0,base_control_linear_acceleration_n1,base_control_linear_acceleration_n2,base_control_angular_acceleration_n0,base_control_angular_acceleration_n1,base_control_angular_acceleration_n2,qpos0,qpos1,qpos2,qpos3,qpos4,qpos5,qpos6,qpos7,qpos8,qpos9,qpos10,qpos11,qpos12,qpos13,qpos14,qpos15,qpos16,qvel0,qvel1,qvel2,qvel3,qvel4,qvel5,qvel6,qvel7,qvel8,qvel9,qvel10,qvel11,qvel12,qvel13,qvel14,qvel15,ctrl0,ctrl1,ctrl2,ctrl3,ctrl4,ctrl5
hold,0,345,2,3.455999999999841,0,0,0,0,0,0,0,29.901716172491582,36.883727898243265,0.00073634237805927233,0.096569425345403498,0.012052974200182615,0.00019895550387213123,-0.64863241521362147,-0.49842103303682517,1.1498214466452286,-1.429972498784907,-8.7408392633586942,0.64880208305363807,0.73195326328637533,0.039835928844384451,-0.35106297472718662,0.99397787294300832,-0.0013589959271265708,0.108006540394582,0.018458831538181612,1.5281931863829767,-4.0982912576933757,16.013806166441107,4.0003833934708997,3.9729181165932483,1.5231946826806058,-4.1111641055448906,15.215199191986517,-4.00112865997054,3.9704052112800694,0.51314038531765804,0.027348739732132771,-0.43609779465724924,0.0080799650654813007,6.2843238900330576,0.031976236268519191,-7.5773967993752693,-1.0786540286326198,-3.5062658043565644,-0.080367884563758027,-0.39618649815671658,-8.1457942392624485,-0.0435856381111909,-4.1837703998310127,0.70438905895139736,-0.90498231203272017,-0,-0,-0,-0,-0,-0
hold,0,345,3,3.4579999999998408,0,0,0,0,0,0,0,29.059874009206453,36.277818863943239,0.00072211331685410884,0.091269928677949752,0.011633150896126182,0.0001996114925762039,-0.65673821778251984,-0.50204077477919884,0.91039690390352668,-1.4588100072807511,-9.0313940587280506,0.65820411740143325,0.73296334449460565,0.039888484786580018,-0.35193092257766911,0.99328095661156401,-0.0014668605169445138,0.11423314891778456,0.018481808390035343,1.5129584162453003,-4.1001349788601207,16.007021782183077,4.0000405688461278,3.9719808366642373,1.506826125977718,-4.1109954639134916,15.206850851405557,-3.999610846857542,3.9685265495936202,0.50504060411517582,0.026277971097783164,-0.43397392524124317,0.0042921735882773407,6.2663834582657643,0.032514810737999202,-7.6173850688382334,-0.92186058337244581,-3.3921921290156152,-0.17141231238611745,-0.46863996450560341,-8.1842783514438118,0.084320815699461121,-4.1741702904798679,0.7589065564989832,-0.93933084322466243,-0,-0,-0,-0,-0,-0
hold,0,345,4,3.4599999999998405,0,0,0,0,0,0,0,28.309089682832578,35.938808113743015,0.00070200681518901159,0.085832423677870195,0.011225324586624966,0.00020098458226423192,-0.66760623863182667,-0.54482319519772227,0.72961699452847739,-1.5640591765190894,-9.3566870207757606,0.78955362764287851,0.73395724659489203,0.039938765447584013,-0.35279505715975035,0.99254725492292029,-0.001578301004271633,0.12043675354929051,0.018505245348864056,1.497640046678931,-4.1016620405691917,16.000438358074376,3.9995265651617342,3.9709133223806936,1.4903876846993696,-4.1105863661325825,15.198504794128707,-3.9980048159239265,3.9666014128916895,0.49695105014319191,0.025140330501996527,-0.43206729104061742,0.00020860398032037861,6.2478012883111642,0.033209459883799572,-7.6591847831846085,-0.76353085453558811,-3.2917120543499543,-0.25700184219689914,-0.533757141771945,-8.219220639174285,0.2045488904543292,-4.1730286384250963,0.80301546680783076,-0.96256835096532634,-0,-0,-0,-0,-0,-0
hold,0,346,0,3.4619999999998403,0,0,0,0,0,0,0,27.75664566996889,38.458826355968128,0.00072845246342369968,0.080900145937393614,0.010853605825098006,0.00020638708942906755,-0.68861948204824974,-1.2629682804851519,1.019054308421449,-3.7691351855089228,-10.190992050533444,2.1084201313738311,0.73493491632803054,0.039984435729856167,-0.35365379088150162,0.99177729709980722,-0.0016980471510684796,0.12661557542142174,0.018531207569246574,1.4822221926112407,-4.1028410591635369,15.994050770812716,3.9988412894490488,3.9697240890980336,1.4738934645012101,-4.1099565669771669,15.190142113073687,-3.9963185243050878,3.964634411765946,0.48883486656923958,0.022835141136076851,-0.42936686087563414,-0.0088551825658246576,6.2277191218351931,0.035347421089078866,-7.7089270338451525,-0.58950929717247869,-3.193793630830323,-0.34263785634261723,-0.59461664132998981,-8.2471100990796966,0.314899577707972,-4.1813405275105326,0.8431458094192833,-0.98350056287185106,-0,-0,-0,-0,-0,-0
hold,0,346,1,3.4639999999998401,0,0,0,0,0,0,0,27.524468193377444,37.116646128712979,0.00074953074327267083,0.075110882423110953,0.010225411215064407,0.00021532336345309505,-0.70310347062085221,-1.130593368872794,0.76858573537307606,-3.2942939543099317,-10.41705462568385,1.8345189736188339,0.73589639014221853,0.040025882751659546,-0.35450786572593856,0.99097155782703372,-0.0018251126617500769,0.13276895644764033,0.018559222651750404,1.466708887177897,-4.1036844233318774,15.98783093941876,3.9980030721885682,3.9684329353184156,1.4573470006339908,-4.1091158603583766,15.181749349290779,-3.9945728985501661,3.9626495089874285,0.48073690709400529,0.020723510901688322,-0.42703742221848046,-0.016906545326245512,6.2071497108428249,0.037076540978981547,-7.7566527166718222,-0.4216820841703095,-3.1099156969780508,-0.41910863024030787,-0.64557688980903172,-8.2732319336095976,0.42035330939518356,-4.1963818914537168,0.87281287746080205,-0.99245138925875209,-0,-0,-0,-0,-0,-0
hold,0,346,2,3.4659999999998399,0,0,0,0,0,0,0,38.211534780122079,32.926025891027933,0.00076243788320898287,0.069045514361813665,0.0097564629674980752,0.00022481424706245745,-0.88309207468550288,0.44541980306680973,1.7011585318489573,1.8504479424836158,-11.721167651878293,-0.83285634133502118,0.73684103141238355,0.04006827676311725,-0.3553528779756937,0.99013093090152571,-0.0019486545890603627,0.13889394578408043,0.018585323292814999,1.4511362607268319,-4.1042501790619026,15.981731348816586,3.9970173417085531,3.9670303050905447,1.4406867710806837,-4.1078741784310271,15.173559643016835,-3.9927260902619093,3.9606463422436571,0.47232063508252553,0.021197005728850318,-0.42250612487756578,-0.013751176687923935,6.1835839977185101,0.036242869014781597,-7.7863132255325578,-0.28287786501253975,-3.0497953010873622,-0.49286524000760495,-0.70131511393536694,-8.3301147766535664,0.62084096367481501,-4.0948531369715564,0.92340414412845884,-1.0015833718857015,-0,-0,-0,-0,-0,-0
hold,0,346,3,3.4679999999998397,0,0,0,0,0,0,0,36.93089796958067,32.10173563526525,0.00076886560061902032,0.064420474486197282,0.0098074874042559587,0.00023507576656256165,-0.88875107327833325,0.40301474808893634,1.3734760508539718,1.6455108032298715,-11.899998019114857,-0.65326997661555608,0.73776893414087552,0.040111530165603135,-0.35618990531813433,0.98925592565051335,-0.0020691246446633642,0.14499002172511005,0.018609833118582209,1.4355069132755118,-4.1045477805653681,15.975735007001235,3.9959055045759322,3.9655408168928172,1.4239258375353596,-4.1062621564780963,15.165547118824572,-3.9908069518794043,3.9586530450167459,0.46395136424598143,0.021626701242942657,-0.4185136712203108,-0.011093005677700225,6.1596764446823711,0.035677002677364296,-7.8146737256599765,-0.14880075173281768,-2.9981709076753944,-0.55591856631034509,-0.74474409886367243,-8.3804667726620004,0.80601097646526931,-4.0062620961321294,0.95956919125249462,-0.99664861345567246,-0,-0,-0,-0,-0,-0
hold,0,346,4,3.4699999999998394,0,0,0,0,0,0,0,35.834520258358339,31.426928117628137,0.00077023579336436138,0.060055166283554229,0.0098016520818415206,0.00024588739128811766,-0.89897835641559876,0.36283588119244997,1.0993274460779858,1.4680988432627393,-12.109911238360255,-0.47700211815022631,0.73868017768583494,0.040155560109766689,-0.35701980376720699,0.98834706839657216,-0.0021869242892288069,0.15105660661098416,0.018633071492041901,1.4198238714030464,-4.1045865922409401,15.969826802959782,3.9946878083867823,3.9639876393035496,1.4070774388492382,-4.104309545197582,15.157689937485779,-3.9888408911949593,3.9566936322688551,0.4556217724796835,0.022014972081778311,-0.41494922453633487,-0.0088857910648075106,6.1353629216455827,0.035375349688065452,-7.8415209362326461,-0.019405837785912872,-2.9541020207269231,-0.60884809457491662,-0.77658879463381603,-8.4241993430607369,0.97630564025720301,-3.9285906693963573,0.98303034222236496,-0.9797063739452937,-0,-0,-0,-0,-0,-0
hold,0,347,0,3.4719999999998392,0,0,0,0,0,0,0,34.923135312331937,30.877145255989213,0.00076775418301860271,0.055924238304659007,0.0097561436922024639,0.00025702810707934433,-0.91394319761877019,0.32776059636580207,0.87449926022681623,1.3224755124380281,-12.35306488563042,-0.30801939784246801,0.7395748266178519,0.040200298948839024,-0.35784322376300248,0.98740490508882095,-0.0023023951375433071,0.15709306278886934,0.01865534794041766,1.4040906252324232,-4.1043760375666034,15.963993118445815,3.9933832496040993,3.9623923329220849,1.3901548699965187,-4.1020450859133657,15.149969571417966,-3.9868498501242362,3.954788007215158,0.44732446600847481,0.022369419536167494,-0.41170999789773471,-0.0070730434352381157,6.1105746472258238,0.035331116723761345,-7.866623085311609,0.10527733716853586,-2.9168422569836223,-0.65227939134144308,-0.79765319073241436,-8.4612844263597715,1.1322296421081608,-3.8601830339068748,0.99552053536161622,-0.95281252684849849,-0,-0,-0,-0,-0,-0
hold,0,347,1,3.473999999999839,0,0,0,0,0,0,0,34.186059520889046,30.432184790033311,0.00076243625319851599,0.052008397090975073,0.0096855897501480423,0.00026828340204518471,-0.93362168738013196,0.29894209425415336,0.69377032788262838,1.2083159435405109,-12.629742179380642,-0.14746388983533476,0.74045293141010715,0.040245698942758555,-0.35866063100290468,0.98643000332354402,-0.0024158190981822297,0.16309869248588241,0.018676960957073545,1.3883111470174494,-4.1039257184481057,15.958221540219945,3.9920095229134667,3.9607747531901674,1.3731714664508292,-4.0994966042674434,15.142370187274491,-3.9848524418381568,3.9529521079593568,0.43905239612765135,0.022699996959764851,-0.40870361995109428,-0.0055981621082217947,6.0852422844556742,0.035537364873690309,-7.889739107486947,0.22515955924888392,-2.8857891129352744,-0.68686334531628146,-0.80878986595868485,-8.4917017728447863,1.2742408229611661,-3.7996920717377698,0.99870414303972788,-0.91794962790049794,-0,-0,-0,-0,-0,-0
