channel,branch,scale,trusted,convergence_relative,g_qp_ddxi_common,g_qp_a_t_common,g_mj_ddxi_common,g_mj_a_t_common,qp_contact_norm,mj_contact_norm,mj_actuator_norm,mj_remaining_norm,contact_to_actuator_norm_ratio,contact_actuator_cosine,contact_force_share,quantitatively_dominant,g_qp_contact_0,g_qp_contact_1,g_qp_contact_2,g_qp_contact_3,g_qp_contact_4,g_qp_contact_5,g_qp_contact_6,g_qp_contact_7,g_qp_contact_8,g_qp_contact_9,g_qp_contact_10,g_qp_contact_11,g_mj_contact_0,g_mj_contact_1,g_mj_contact_2,g_mj_contact_3,g_mj_contact_4,g_mj_contact_5,g_mj_contact_6,g_mj_contact_7,g_mj_contact_8,g_mj_contact_9,g_mj_contact_10,g_mj_contact_11,g_mj_contact_12,g_mj_contact_13,g_mj_contact_14,g_mj_contact_15,g_mj_actuator_0,g_mj_actuator_1,g_mj_actuator_2,g_mj_actuator_3,g_mj_actuator_4,g_mj_actuator_5,g_mj_actuator_6,g_mj_actuator_7,g_mj_actuator_8,g_mj_actuator_9,g_mj_actuator_10,g_mj_actuator_11,g_mj_actuator_12,g_mj_actuator_13,g_mj_actuator_14,g_mj_actuator_15,g_mj_remaining_0,g_mj_remaining_1,g_mj_remaining_2,g_mj_remaining_3,g_mj_remaining_4,g_mj_remaining_5,g_mj_remaining_6,g_mj_remaining_7,g_mj_remaining_8,g_mj_remaining_9,g_mj_remaining_10,g_mj_remaining_11,g_mj_remaining_12,g_mj_remaining_13,g_mj_remaining_14,g_mj_remaining_15,g_mj_lhs_0,g_mj_lhs_1,g_mj_lhs_2,g_mj_lhs_3,g_mj_lhs_4,g_mj_lhs_5,g_mj_lhs_6,g_mj_lhs_7,g_mj_lhs_8,g_mj_lhs_9,g_mj_lhs_10,g_mj_lhs_11,g_mj_lhs_12,g_mj_lhs_13,g_mj_lhs_14,g_mj_lhs_15,g_native_wheel_qacc_qp_common,g_native_wheel_qacc_mj_common,g_hip_common_qp_contact_full,g_hip_common_contact,g_hip_common_actuator,g_hip_common_remaining,g_hip_common_lhs,g_hip_common_contact_realization_difference,g_hip_common_actual_sum,g_hip_common_actual_hip_common,g_hip_common_qp_hip_common,g_hip_common_force_balance_max_abs,g_hip_common_contribution_closure,g_hip_common_lhs_mapping_closure,g_xi_qp_base,g_xi_qp_leg_nonwheel,g_xi_qp_wheel,g_xi_qp_jdot_v,g_xi_mj_base,g_xi_mj_leg_nonwheel,g_xi_mj_wheel,g_xi_mj_jdot_v
xi_common_only,-,1.0,True,0.0,0.9999689499488962,-0.0003029495987337885,0.5085215473378227,0.00393063076938073,1.0482514745742442,0.12856420335024235,0.03781561398773999,0.0011808132860826306,3.399765065084584,-0.025026644206640462,0.7672697510830329,False,0.982774325657923,-0.013885439892755277,-0.02663524859087829,-0.0034243282814649945,-0.25875552211482855,0.08387905962946116,0.0846164630407209,0.051860758168320586,-0.00015535119908924484,0.18620200230498596,0.11642282533150805,-0.002593426862806513,0.09932076626073538,0.0024726701831401243,0.06866405368768369,-0.0065974118107270385,-0.028419959851611054,0.0001969694358998353,-0.018917113664024265,-0.020664575637141525,-0.00297468150082629,-0.0,-0.0,-0.012837895023182222,-0.0113831809088083,-0.001973749319426508,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.01290326333008504,0.017302493774584704,0.0033350574852829317,-0.0,-0.0,-0.028436764247170843,-0.011543639495625868,0.0033350238080720853,-0.0,-0.0,-0.0,8.881784197001252e-14,1.4210854715202004e-12,1.9882673285565033e-08,-1.336381316718871e-06,-9.897554303917033e-09,-7.093150455883546e-07,0.0003095877930903157,1.0408340855860843e-15,0.00047606679550241116,-0.0001662689169387721,-6.270663266416676e-07,-2.7267039737211007e-05,9.97465998686664e-16,-0.0007088713082026299,-0.0007354901512879319,0.09932076626073538,0.002472670183228942,0.06866405368910478,-0.006597391928053753,-0.028421296232927773,0.00019695953834553137,-0.006014559648986895,-0.003052494069466505,0.0003603759844576825,0.00047606679550241116,-0.0001662689169387721,-0.04127528633667832,-0.022954087444171378,0.0013612744886465746,-0.0007088713082026299,-0.0007354901512879319,13.318438926006781,2.3644520991301987,-2.200763865565122,0.003805075318510376,-1.909688548996158,0.0003840517394095855,-1.9054994219382735,2.2045689408836324,-1.905499421938238,-1.909688548996255,-1.7319943176123307,2.0816681711721685e-15,0.004189127058016995,0.004189127057981468,8.756738478931024e-18,0.9999689499488963,-0.0,5.021084256381404e-15,5.299234366624021e-18,0.5085215473378177,-0.0,5.021084256381404e-15
xi_common_only,-,0.5,True,5.703034775550182e-12,0.9999689499488945,-0.00030294959874367644,0.5085215473350772,0.003930630768446408,1.0482514745807519,0.12856420336497318,0.03781561398506553,0.0011808132861294224,3.3997650657145715,-0.025026644211678103,0.7672697511155252,False,0.9827743256657501,-0.01388543988337335,-0.02663524857240418,-0.0034243282808432696,-0.25875552211682695,0.08387905962108366,0.08461646304683823,0.05186075817302793,-0.00015535119914341158,0.1862020023009614,0.11642282533088633,-0.0025934268626147394,0.09932076626473219,0.0024726701876254253,0.06866405370828943,-0.006597411810105314,-0.02841995985143342,0.00019696943558272784,-0.018917113664285168,-0.020664575639273153,-0.002974681500890475,-0.0,-0.0,-0.012837895023998236,-0.011383180910584656,-0.001973749319561383,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.012903263328072068,0.017302493775339656,0.0033350574853770187,-0.0,-0.0,-0.028436764245001744,-0.011543639493272195,0.003335023808165999,-0.0,-0.0,-0.0,2.6645352591003757e-13,1.4210854715202004e-12,1.9883228397077346e-08,-1.3363807838118191e-06,-9.897570263373012e-09,-7.093150955483907e-07,0.0003095877932679514,-4.163336342344337e-15,0.00047606679553502396,-0.00016626891697069102,-6.270662877838618e-07,-2.7267039648393165e-05,-5.681219383824043e-15,-0.0007088713082067932,-0.0007354901512601764,0.09932076626473219,0.002472670187891879,0.06866405370971052,-0.0065973919268769166,-0.02842129623221723,0.00019695953801246446,-0.006014559651312812,-0.0030524940706655457,0.0003603759844823806,0.00047606679553502396,-0.00016626891697069102,-0.04127528633528499,-0.022954087443505244,0.0013612744885989347,-0.0007088713082067932,-0.0007354901512601764,13.318438926067188,2.364452099151415,-2.2007638653951744,0.003805075345979958,-1.909688549007626,0.00038405168668020906,-1.9054994219751222,2.2045689407411544,-1.905499421974966,-1.9096885490086617,-1.7319943176546553,4.163336342344337e-15,0.004189127033695783,0.004189127033539464,8.75673847806189e-18,0.9999689499488944,-0.0,7.570187559495858e-15,5.2992343660989545e-18,0.5085215473350696,-0.0,7.570187559495858e-15
xi_common_only,-,0.25,True,1.2303363978104816e-10,0.9999689499488944,-0.00030294959883075956,0.5085215474003855,0.003930630768639309,1.0482514744476243,0.12856420334010882,0.03781561398320899,0.0011808132861871677,3.3997650652239657,-0.025026644185124167,0.7672697510892272,False,0.9827743255392929,-0.013885439888705392,-0.02663524858803612,-0.003424328280487998,-0.25875552208400876,0.08387905961752956,0.0846164630317725,0.0518607581629027,-0.00015535119890358606,0.18620200228163242,0.11642282531738601,-0.002593426862272305,0.0993207662508766,0.0024726701825628083,0.06866405368555206,-0.006597411811171128,-0.028419959848591247,0.00019696943593938698,-0.018917113661975904,-0.02066457563572044,-0.0029746815005141265,-0.0,-0.0,-0.01283789502197763,-0.011383180908097756,-0.0019737493192473546,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.012903263325911296,0.017302493771254035,0.003335057485041263,-0.0,-0.0,-0.028436764245393098,-0.011543639494959734,0.003335023807829289,-0.0,-0.0,-0.0,1.7763568394002505e-13,8.526512829121202e-12,1.988360587290572e-08,-1.3363806061761352e-06,-9.897571651151793e-09,-7.093149623216277e-07,0.00030958779362322275,1.3617579286417936e-14,0.00047606679550171727,-0.00016626891697346657,-6.270663099883222e-07,-2.726703982602885e-05,-3.2959746043559335e-15,-0.0007088713081804254,-0.000735490151243523,0.0993207662508766,0.002472670182740444,0.06866405369407858,-0.006597391927565255,-0.028421296229197424,0.00019695953836773583,-0.006014559651035256,-0.0030524940708431814,0.00036037598454075406,0.00047606679550171727,-0.00016626891697346657,-0.04127528633368627,-0.02295408744288352,0.0013612744885786385,-0.0007088713081804254,-0.000735490151243523,13.318438924351783,2.364452099099923,-2.2007638652689465,0.0038050753468326093,-1.9096885492122482,0.0003840517242466035,-1.905499422142526,2.204568940615779,-1.905499422141169,-1.9096885492142417,-1.7319943176378498,8.326672684688674e-15,0.004189127073072729,0.004189127071715593,8.756738477686835e-18,0.9999689499488942,-0.0,1.3882700598908532e-14,5.299234365862335e-18,0.5085215474003715,-0.0,1.3882700598908532e-14
xi_common_only,+,1.0,True,0.0,0.9999689499488934,-0.000302949598733962,0.5085215473247807,0.003930630768619187,1.0482514745914449,0.12856420333024268,0.037815613983608276,0.0011808132860455496,3.399765064927167,-0.02502664418124279,0.7672697510743439,False,0.9827743256750759,-0.013885439894534517,-0.02663524862711597,-0.0034243282808432696,-0.2587555221195581,0.08387905962069751,0.08461646304845916,0.051860758170896304,-0.000155351199340693,0.1862020023021771,0.11642282532662307,-0.00259342686280261,0.09932076625891462,0.0024726701800759088,0.06866405365357764,-0.006597411809661224,-0.028419959853920318,0.00019696943593036642,-0.018917113663519114,-0.02066457563358881,-0.0029746815007067676,0.0,0.0,-0.012837895023487533,-0.011383180907031942,-0.001973749319455261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012903263328197662,0.017302493770410265,0.003335057485237677,0.0,0.0,-0.028436764244831048,-0.011543639496247593,0.0033350238080266355,0.0,0.0,0.0,-8.881784197001252e-14,-7.105427357601002e-13,1.988254005880208e-08,-1.3363816719902388e-06,-9.897562630589718e-09,-7.093150622416999e-07,0.0003095877930903157,8.673617379884035e-16,0.0004760667954996356,-0.00016626891697485435,-6.270663766017037e-07,-2.7267039648393165e-05,-7.806255641895632e-16,-0.0007088713081686293,-0.0007354901512574008,0.09932076625891462,0.002472670179987091,0.0686640536528671,-0.006597391927121166,-0.028421296235592308,0.00019695953836773583,-0.0060145596503802246,-0.0030524940700882297,0.00036037598453177687,0.0004760667954996356,-0.00016626891697485435,-0.04127528633469657,-0.02295408744292793,0.0013612744885705937,-0.0007088713081686293,-0.0007354901512574008,13.318438926249232,2.3644520991277007,-2.2007638659572706,0.0038050753050242747,-1.9096885489118307,0.00038405175155986626,-1.9054994218549695,2.204568941262295,-1.9054994218552466,-1.909688548911593,-1.7319943175507273,3.469446951953614e-15,0.004189127056346331,0.004189127056623443,8.756738478029573e-18,0.9999689499488934,0.0,1.1155000398865508e-15,5.2992343660757855e-18,0.5085215473247796,0.0,1.1155000398865508e-15
xi_common_only,+,0.5,True,1.0733785580882052e-11,0.9999689499488894,-0.0003029495987256353,0.5085215473193236,0.003930630768744781,1.048251474600713,0.12856420331864965,0.03781561398367406,0.0011808132860627262,3.399765064614686,-0.025026644169709983,0.7672697510578621,False,0.9827743256830224,-0.013885439901122542,-0.026635248654827137,-0.003424328280665634,-0.2587555221219784,0.08387905962258385,0.08461646304855908,0.051860758169652854,-0.00015535119930829705,0.18620200230460293,0.11642282532573489,-0.0025934268628274165,0.09932076626073538,0.0024726701757238345,0.06866405362870864,-0.006597411810282949,-0.02841995985676249,0.00019696943630992392,-0.018917113664074225,-0.020664575631812454,-0.0029746815007621486,0.0,0.0,-0.0128378950238206,-0.011383180905610857,-0.0019737493194906496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012903263328850612,0.017302493768411864,0.0033350574852909765,0.0,0.0,-0.028436764245230728,-0.011543639497713087,0.0033350238080803903,0.0,0.0,0.0,8.881784197001252e-14,0.0,1.988265108110454e-08,-1.3363816719902388e-06,-9.897609121178874e-09,-7.093150400372394e-07,0.0003095877930903157,7.37257477290143e-16,0.00047606679550310504,-0.00016626891699289548,-6.270664210106247e-07,-2.726703982602885e-05,1.3010426069826053e-15,-0.0007088713081665476,-0.0007354901512740541,0.09932076626073538,0.0024726701758126524,0.06866405362870864,-0.006597391927631868,-0.02842129623843448,0.00019695953870080274,-0.0060145596502581,-0.0030524940703102743,0.0003603759845295651,0.00047606679550310504,-0.00016626891699289548,-0.041275286335473726,-0.022954087443149973,0.0013612744885910417,-0.0007088713081665476,-0.0007354901512740541,13.31843892640312,2.3644520991770834,-2.2007638662325633,0.0038050753006189098,-1.9096885488650202,0.000384051754664938,-1.9054994218091892,2.204568941533182,-1.9054994218097363,-1.9096885488639816,-1.7319943174976569,5.551115123125783e-15,0.004189127054245345,0.004189127054792463,8.75673847823245e-18,0.9999689499488895,0.0,-7.461767342247308e-15,5.2992343661994495e-18,0.5085215473193312,0.0,-7.461767342247308e-15
xi_common_only,+,0.25,True,6.57309543193219e-11,0.999968949948893,-0.0003029495987676156,0.5085215473581859,0.003930630769816146,1.0482514745188936,0.12856420329385682,0.03781561398642281,0.0011808132858867793,3.3997650637119383,-0.025026644155286017,0.7672697510116455,False,0.9827743256038857,-0.013885439900942565,-0.02663524867614342,-0.003424328280132727,-0.25875552210141706,0.08387905962928127,0.08461646303370429,0.05186075815863944,-0.0001553511991204265,0.1862020022979083,0.11642282531951764,-0.002593426862835743,0.09932076625016606,0.0024726701774113735,0.06866405360028693,-0.006597411810460585,-0.028419959855696675,0.00019696943598102035,-0.01891711366259763,-0.020664575628615012,-0.0029746815005142133,0.0,0.0,-0.012837895022155266,-0.011383180901702872,-0.0019737493192121397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012903263329724912,0.017302493766813143,0.003335057485001451,0.0,0.0,-0.02843676424769126,-0.011543639502242797,0.0033350238077903445,0.0,0.0,0.0,-3.552713678800501e-13,-5.6843418860808015e-12,1.9882495649881093e-08,-1.3363816719902388e-06,-9.897524466673246e-09,-7.093151399573117e-07,0.00030958779255740865,2.6020852139652106e-15,0.00047606679544343056,-0.0001662689169512621,-6.270663988061642e-07,-2.726703982602885e-05,-5.204170427930421e-15,-0.0007088713081415676,-0.0007354901512879319,0.09932076625016606,0.002472670177056102,0.06866405359460259,-0.006597391927964935,-0.028421296237368665,0.00019695953845655367,-0.0060145596480154495,-0.00305249406924446,0.00036037598448983993,0.00047606679544343056,-0.0001662689169512621,-0.04127528633623978,-0.022954087443771698,0.0013612744885730006,-0.0007088713081415676,-0.0007354901512879319,13.318438925373188,2.3644520991183082,-2.200763866289755,0.0038050753011162897,-1.909688548969072,0.00038405171392241755,-1.9054994219536852,2.204568941590871,-1.9054994219540333,-1.9096885489691044,-1.7319943174599595,5.551115123125783e-15,0.004189127015071126,0.004189127015419292,8.75673847891889e-18,0.9999689499488932,0.0,9.124069501233872e-15,5.299234366618147e-18,0.5085215473581768,0.0,9.124069501233872e-15
slip_common_only,-,1.0,True,0.0,-0.0002548860562277258,0.9970381424462151,-4.295108976954127,0.030851102066376326,9.486906480453769,1.5169890812814943,0.4212873891685081,0.006754402258913037,3.600841421518847,-0.1746665304522221,0.7799305926536417,False,8.878722534122543,-0.13600559049695776,-0.0010481923574445773,-0.03373386956715407,-2.3509855770841748,0.8203136206304795,0.7334561179271559,0.4694998188536914,0.007507873184005049,1.726539445519626,1.1001574193851837,-0.01635201606182482,1.1586537390751772,0.023553715029756006,0.8356555321313408,-0.06442802167345718,-0.32857977284059814,0.0019878663129087315,-0.2146947972479274,-0.23462557784572624,-0.03376165729112343,-0.0,-0.0,-0.1554752045513308,-0.1440595383605192,-0.02396443199862786,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.2910826355815438,0.2789094389802571,0.0326090715144146,-0.0,-0.0,-0.11322702066811838,-0.004055681861059313,0.032608742282853743,-0.0,-0.0,-0.0,1.3322676295501878e-13,-0.0,1.9442115695156303e-07,-6.649895301080733e-06,-9.678242166022422e-08,-3.747638521733876e-06,0.002593833592179351,3.0791341698588326e-15,0.0015634549718188118,0.0010300164116350263,-2.9022569847381163e-06,-0.0006942044565860783,7.806255641895632e-16,-0.003818263671560851,-0.004508605980220459,1.1586537390751772,0.023553715029889233,0.8356555321313408,-0.06442782725230023,-0.3285864227358992,0.0019877695304870713,0.07638409069509189,0.04687769472671022,-0.0011525857767057546,0.0015634549718188118,0.0010300164116350263,-0.2687051274764318,-0.1488094246781646,0.008644310284226667,-0.003818263671560851,-0.004508605980220459,104.71579622598944,9.81868318193142,-5.012187809906997,0.046345842330467235,14.48149344788348,0.002251163222865671,14.530090453436799,5.058533652237465,14.530090453436813,14.48149344788388,0.24502216589428888,2.7755575615628914e-15,0.048597005552933226,0.048597005552919015,8.559650744641666e-17,-0.0002548860562269018,-0.0,9.639785511169653e-15,5.1831532170641824e-17,-4.295108976954137,-0.0,9.639785511169653e-15
slip_common_only,-,0.5,True,1.2136517880731179e-05,-0.0002548829125319403,0.9970381726771761,-4.295161059947843,0.03084891217690483,9.487007104534953,1.51700375231013,0.42128228084734054,0.006754349200774143,3.600919908757911,-0.17466798835992003,0.7799343222225823,False,8.87882140251522,-0.13600292220210036,-0.0010484702229973664,-0.033733088066512096,-2.351011525463975,0.8202951723299139,0.7334808741201848,0.4695153894299864,0.007507433479869447,1.7265418515470032,1.1001589522699362,-0.01635191677168378,1.1586645144837426,0.023552968823459253,0.8356647384772486,-0.06442656329603835,-0.32858271914228965,0.0019878299532524735,-0.21469582414002097,-0.23462638955074056,-0.03376181469367531,-0.0,-0.0,-0.15547762194445536,-0.14406245266460616,-0.023964811246566988,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.2910790956963505,0.2789076983984451,0.03260936713084025,-0.0,-0.0,-0.11322139998049818,-0.004050976182945476,0.03260903758717246,-0.0,-0.0,-0.0,1.7763568394002505e-13,-1.4210854715202004e-12,1.9441688259291823e-07,-6.649945838432814e-06,-9.678026019477315e-08,-3.7476538317093855e-06,0.002593805194983645,2.8622937353617317e-15,0.001563500086418368,0.0010299429581750452,-2.9022925174260195e-06,-0.0006941584313580051,4.076600168545497e-15,-0.0038182588319363164,-0.00450855515065629,1.1586645144837426,0.02355296882363689,0.8356647384758276,-0.06442636887915576,-0.3285893690881281,0.0019877331729922787,0.07637952390249225,0.04687511404268818,-0.0011524475628322053,0.001563500086418368,0.0010299429581750452,-0.26870192421747374,-0.14880758727890964,0.008644226340609549,-0.0038182588319363164,-0.00450855515065629,104.71708264689241,9.818752722175649,-5.012276088383764,0.04634625157662953,14.481671486131546,0.0022511822267787807,14.530268919934123,5.058622339960394,14.530268919934954,14.48167148613065,0.24502035609887743,5.551115123125783e-15,0.04859743380430359,0.048597433803472256,8.559460961011071e-17,-0.00025488291253107295,-0.0,1.1473315380443674e-14,5.1830365173029304e-17,-4.295161059947854,-0.0,1.1473315380443674e-14
slip_common_only,-,0.25,True,3.640956509352046e-05,-0.0002548766251361627,0.9970382331391546,-4.295265225984407,0.030844532395629676,9.487208353297525,1.5170330944278603,0.42127206451185906,0.00675424308886652,3.6010768864669283,-0.17467090440099056,0.7799417811331013,False,8.879019139412325,-0.13599758559362093,-0.0010490259427342608,-0.03373152506433996,-2.351063422253219,0.8202582757133238,0.7335303865311227,0.4695465305982083,0.007506554071406643,1.726546663607964,1.1001620180454807,-0.0163517181911408,1.1586860653228115,0.02355147642969513,0.8356831511946439,-0.06442364654191124,-0.32858861175064646,0.0019877572323773185,-0.21469787792693928,-0.23462801296716407,-0.03376212949925284,-0.0,-0.0,-0.15548245673482342,-0.1440682812756222,-0.02396556974306437,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.2910720159231023,0.27890421723668624,0.03260995836426774,-0.0,-0.0,-0.1132101586002271,-0.004041564823431543,0.03260962819638877,-0.0,-0.0,-0.0,5.329070518200751e-13,2.8421709430404007e-12,1.9440822285332615e-07,-6.650047268408343e-06,-9.677584011935636e-08,-3.747684429455944e-06,0.002593748400414597,-6.765421556309548e-15,0.001563590315700747,0.0010297960511718163,-2.902363416268372e-06,-0.0006940663801913161,-1.4137996329210978e-14,-0.0038182491527122275,-0.004508453491502973,1.1586860653228115,0.023551476430228035,0.835683151197486,-0.06442345213368839,-0.3285952617979149,0.001987660456537199,0.07637039031171966,0.046869952669936765,-0.0011521711349918654,0.001563590315700747,0.0010297960511718163,-0.26869551769845845,-0.14880391247924507,0.00864405845331026,-0.0038182491527122275,-0.004508453491502973,104.71965549019745,9.818891802867968,-5.012452645162398,0.04634707004456118,14.482027562779983,0.00225122033094749,14.530625853154916,5.058799715206959,14.530625853155492,14.482027562778955,0.24501673647225192,1.3877787807814457e-14,0.04859829037653718,0.04859829037596164,8.559081393589443e-17,-0.0002548766251354688,-0.0,1.7048570942566205e-14,5.1828031176813145e-17,-4.295265225984424,-0.0,1.7048570942566205e-14
slip_common_only,+,1.0,True,0.0,-0.00025489234362875094,0.9970380819842873,-4.295004810970602,0.030855481844501223,9.486705232792206,1.5169597392540004,0.4212976061175134,0.00675450837972481,3.6006844502004407,-0.17466361486076953,0.7799231332849322,False,8.878524797352616,-0.1360109270882162,-0.0010476366313127983,-0.03373543256870448,-2.3509336803291037,0.8203505172262171,0.7334066055467103,0.4694686777042989,0.00750875259237717,1.7265346334639275,1.1001543536147906,-0.016352214641846212,1.1586321882656847,0.023555207436576353,0.8356371194338408,-0.06443093842696257,-0.3285738802405902,0.00198793903264452,-0.21469274346486156,-0.2346239544351647,-0.03376134248617242,0.0,0.0,-0.1554703697665527,-0.1440537097536776,-0.023963673502977293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29108971535081185,0.2789129201422824,0.03260848028182339,0.0,0.0,-0.1132382620418787,-0.004065093215999127,0.032608151674475026,0.0,0.0,0.0,-4.440892098500626e-14,-7.105427357601002e-13,1.944297389755434e-07,-6.649794137558729e-06,-9.67868347967471e-08,-3.747607912885087e-06,0.002593890386481945,-1.929879867024198e-15,0.0015633647426370467,0.0010301633185258452,-2.902185958220116e-06,-0.0006942965074863139,-1.6263032587282567e-16,-0.0038182733508300426,-0.004508707639355736,1.1586321882656847,0.023555207436531944,0.8356371194331302,-0.0644307439972236,-0.32858053003472776,0.0019878422458097234,0.07639322427803741,0.046882856093599656,-0.00115286220435096,0.0015633647426370467,0.0010301633185258452,-0.26871153399438685,-0.14881309947716304,0.00864447817149757,-0.0038182733508300426,-0.004508707639355736,104.71322338440379,9.818544101578592,-5.012011253013206,0.04634502385411565,14.481137371409531,0.002251125182581859,14.529733520446626,5.058356276867322,14.529733520446229,14.481137371409893,0.24502578549018636,2.7755575615628914e-15,0.048596149036335134,0.04859614903673304,8.56003031184727e-17,-0.0002548923436278619,0.0,-6.192234360902563e-16,5.183386616553275e-17,-4.295004810970602,0.0,-6.192234360902563e-16
