model,side,base,leg_nonwheel,wheel,jdot_v,sum,target,closure_error
qp,0,0.0,9.479210171252535e-11,0.0,-3.469446951953614e-18,9.47920982430784e-11,9.479210172607788e-11,-3.482999479109683e-18
qp,1,6.89602598548426e-23,3.746816345276101e-11,0.0,1.3183898417423734e-16,3.7468295291814145e-11,3.7468163459537275e-11,1.3183227687038053e-16
mujoco,0,0.0,-0.010335585652163644,0.0,-3.469446951953614e-18,-0.010335585652163647,-0.010335585652163647,0.0
mujoco,1,-6.626557383646596e-19,-0.053396509358772604,0.0,1.3183898417423734e-16,-0.05339650935877247,-0.05339650935877247,0.0
