quantity,fixed_desired,fixed_qp_realized,fixed_mujoco_actual,compatible_desired,compatible_qp_realized,compatible_mujoco_actual
ddxi_left,0.0,9.479210172607788e-11,-0.010335585652163647,0.0,-5.861535140129059e-06,4.061787679880387e-14
ddxi_right,0.0,3.7468163459537275e-11,-0.05339650935877247,0.0,-1.353000877836073e-05,2.8693241088239424e-14
a_t_left,0.0,-1.8940663521575525e-09,-0.0005572418830146423,0.0,-9.33732381667475e-05,1.0408340855860843e-16
a_t_right,0.0,-1.847474700566315e-09,-0.001345106660638147,0.0,-9.600363253764455e-05,-6.938893903907228e-17
