tick,time_s,case_id,gain_id,activation,model_status,controller_status,solver_status,iterations,wbc_time_s,hard,primal,dual,stationarity,contact_left,contact_right,normal_left,normal_right,planner_xi,planner_dxi,planner_ddxi,desired_ddxi_left,desired_ddxi_right,xi_left,xi_right,dxi_left,dxi_right,xi_common,xi_differential,dxi_common,dxi_differential,zeta_left,zeta_right,dzeta_left,dzeta_right,raw_wheel_p0_0,raw_wheel_v0_0,raw_wheel_p0_1,raw_wheel_v0_1,raw_wheel_p0_2,raw_wheel_v0_2,raw_wheel_p1_0,raw_wheel_v1_0,raw_wheel_p1_1,raw_wheel_v1_1,raw_wheel_p1_2,raw_wheel_v1_2,physical_ddxi_left,physical_ddxi_right,q0,dq0,qeq0,delta0,lower_margin0,upper_margin0,signed_margin0,q1,dq1,qeq1,delta1,lower_margin1,upper_margin1,signed_margin1,q2,dq2,qeq2,delta2,lower_margin2,upper_margin2,signed_margin2,q3,dq3,qeq3,delta3,lower_margin3,upper_margin3,signed_margin3,q4,dq4,qeq4,delta4,lower_margin4,upper_margin4,signed_margin4,q5,dq5,qeq5,delta5,lower_margin5,upper_margin5,signed_margin5,minimum_margin_index,first_failed_index,raw_q0,raw_dq0,raw_q1,raw_dq1,raw_q2,raw_dq2,raw_q3,raw_dq3,raw_q4,raw_dq4,raw_q5,raw_dq5,raw_q6,raw_dq6,raw_q7,raw_dq7,raw_q8,raw_dq8,raw_q9,raw_dq9,wheel_mesh_phase_left,wheel_mesh_phase_right,base_p0,base_p1,base_p2,base_q0,base_q1,base_q2,base_q3,base_rotvec0,base_rotvec1,base_rotvec2,base_v0,base_omega0,base_v1,base_omega1,base_v2,base_omega2,requested_wrench0,realized_wrench0,slack0,wrench_residual0,requested_wrench1,realized_wrench1,slack1,wrench_residual1,requested_wrench2,realized_wrench2,slack2,wrench_residual2,requested_wrench3,realized_wrench3,slack3,wrench_residual3,requested_wrench4,realized_wrench4,slack4,wrench_residual4,requested_wrench5,realized_wrench5,slack5,wrench_residual5,requested_wrench6,realized_wrench6,slack6,wrench_residual6,requested_wrench7,realized_wrench7,slack7,wrench_residual7,requested_wrench8,realized_wrench8,slack8,wrench_residual8,requested_wrench9,realized_wrench9,slack9,wrench_residual9,requested_wrench10,realized_wrench10,slack10,wrench_residual10,requested_wrench11,realized_wrench11,slack11,wrench_residual11,tau0,tau_margin0,tau1,tau_margin1,tau2,tau_margin2,tau3,tau_margin3,tau4,tau_margin4,tau5,tau_margin5,maximum_normalized_slack,desired_qdd_wheel_left,desired_qdd_wheel_right,realized_qdd_wheel_left,realized_qdd_wheel_right
0,0,R43-C__nominal,5Hz,0,0,0,0,5,0.00084623499999999998,8.0973083793622891e-10,8.0973072691392645e-10,1.4120591275867246e-09,1.4120591273434348e-09,1,1,9.9226423841299791,9.6123825976532835,-0.011157172669780779,0,0,0,0,-0.0095736494956501217,-0.012740695843911437,0,0,-0.011157172669780779,-0.0015835231741306577,0,0,-0.26587051502608749,-0.26574406892872393,0,0,-0.0095736494956501217,0,0.21229919000000008,0,-0.26587051502608744,0,-0.012740695843911437,0,-0.21230080999999992,0,-0.26574406892872388,0,1.4157854713082747e-10,2.4564832396808739e-10,-0.97199891583533837,-0,-0.97199891583533837,0,0.65000000000000002,0.65000000000000002,0.65000000000000002,1.6393957458903228,-0,1.6393957458903228,0,0.75,0.75,0.75,0,-0,0,0,1,1,1,-0.98339093564557467,-0,-0.98339093564557467,0,0.65000000000000002,0.65000000000000002,0.65000000000000002,1.6394010277077622,-0,1.6394010277077622,0,0.75,0.75,0.75,0,-0,0,0,1,1,1,0,-1,-0.35472149355205396,0,0.56940450899640016,0,0,0,-0.34332947374181766,0,0.56939922717896074,0,0,0,0.57259793095695366,0,-0.57303458598129986,0,-0.572545089643551,0,-0.57298754806458774,0,0,0,-0.077378152000000006,8.0999999999999997e-07,0.31543998403249462,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.6011238618313038e-06,-3.3005493937525438e-06,-3.30057446807876e-06,0,-7.0747373378260168e-06,-3.5373689789624701e-06,-3.5373683588635467e-06,27.675229491866027,27.675141361763114,-4.4065134177574737e-05,-4.4064968735622824e-05,0.11327183296816838,0.11327199144413029,7.9237985147495458e-08,7.9237976761381681e-08,0,2.0013464271917934e-07,1.0006720746575099e-07,1.0006743525342835e-07,0,-2.2586230031470131e-09,-1.129317710072391e-09,-1.1293052930746221e-09,0,-6.7341128546694024e-06,-3.3670449570150963e-06,-3.3670678976543061e-06,0,9.8939971048928237e-06,4.9469982648988111e-06,4.9469988399940126e-06,28.714612508133982,28.714525477076556,-4.3515612225811367e-05,-4.3515445199879138e-05,0.11327183296816838,0.11327114445496578,-3.442565978479104e-07,-3.4425660475619147e-07,0,2.1155565859922636e-07,1.0577771536501582e-07,1.0577794323421054e-07,0,-2.2595499412699388e-09,-1.1297812338571474e-09,-1.1297687074127914e-09,-0.043318239381357912,9.9566817606186415,-3.1437734981156691,6.8562265018843309,2.0013469629107204e-07,1.9999997998653036,0.040224951165823877,9.9597750488341763,-3.239377422853265,6.7606225771467354,2.1155571215053248e-07,1.9999997884442879,8.8130268355149471e-07,0,0,2.8951752443552392e-05,4.0506492191526625e-05
1,0.01,R43-C__nominal,5Hz,0,0,0,0,2,0.00044978800000000001,1.8773049781373174e-10,1.8773060883603421e-10,3.9843214777380592e-10,3.984322528024955e-10,1,1,31.037494547955227,31.953774034214625,-0.011157172669780779,0,0,0.0060980178563379995,0.021733390698762518,-0.0095742083041102915,-0.012742967031592955,-8.8275225723730876e-05,-0.00031022192330966197,-0.011158587667851622,-0.0015843793637413317,-0.00019924857451669644,-0.00011097334879296555,-0.26586834574065316,-0.26577664186563921,0.00045116070151752683,-0.0047421558528079975,-0.0095742083041103453,-8.8275225723730917e-05,0.21229919,-2.760467140211964e-20,-0.26586834574065316,0.00045116070151752737,-0.012742967031592925,-0.00031022192330966056,-0.21230081000000001,1.0313420226209158e-18,-0.26577664186563915,-0.0047421558528080001,0.0060980229300993151,0.021733385590661711,-0.97201032959979461,-0.0022774844354972439,-0.97199891583533837,-1.1413764456236208e-05,0.64998858623554379,0.65001141376445626,0.64998858623554379,1.6394105510562658,0.0030856556991716061,1.6393957458903228,1.4805165942988197e-05,0.75001480516594299,0.74998519483405701,0.74998519483405701,-3.827942177329491e-07,-0.00051169659979069136,0,-3.827942177329491e-07,0.99999961720578223,1.0000003827942177,0.99999961720578223,-0.98325491242013308,0.019873057671091203,-0.98339093564557467,0.00013602322544159495,0.65013602322544162,0.64986397677455843,0.64986397677455843,1.6391761375098453,-0.032736096721919829,1.6394010277077622,-0.00022489019791693821,0.74977510980208306,0.75022489019791694,0.74977510980208306,0.00014214608559864249,0.020513757152918824,0,0.00014214608559864249,1.0001421460855986,0.99985785391440141,0.99985785391440141,3,-1,-0.35471007978759767,0.0022774844354972439,0.56938970383045728,-0.0030856556991716061,3.827942177329491e-07,0.00051169659979069136,-0.34346549696725931,-0.019873057671091203,0.56962411737687768,0.032736096721919829,-0.00014214608559864249,-0.020513757152918824,0.57258075741273906,-0.0034052363387591365,-0.57301718529860868,0.0034290634461969002,-0.57276954132760272,-0.032754970661645698,-0.57321029329830331,-0.032572490738567994,3.827942177329491e-07,-0.00014214608559864249,-0.077378026785175982,8.5280462821728374e-06,0.3154401512693889,0.99999999990099075,-1.4039496442001864e-05,2.0178753343916862e-07,-9.328557470811649e-07,-2.8078992884930419e-05,4.0357506689165646e-07,-1.865711494223904e-06,1.7539173023567515e-05,-0.0046159333924799704,0.00128933742881918,5.6706999417580191e-05,2.4289117868157584e-05,-0.00033591357067131404,0,-1.8229803945530615e-05,-9.1149000639227811e-06,-9.114903881607834e-06,0,0.0002590475859906245,0.00012952379040158645,0.00012952379558903805,27.675229491866027,27.675345377368124,5.7942735206259589e-05,5.7942766891252882e-05,0.11327183296816838,0.11327439134856203,1.2791902355774963e-06,1.2791901580693678e-06,0,2.0349352846147717e-07,1.0174676202864815e-07,1.0174676643282902e-07,0,1.2585713556448478e-07,6.2928545223899764e-08,6.2928590340585015e-08,0,3.4153516579202859e-06,1.7076739125885422e-06,1.7076777453317437e-06,0,0.00027576538872740565,0.00013788269179703798,0.00013788269693036767,28.714612508133982,28.71432191094808,-0.00014529861537080494,-0.00014529857053138115,0.11327183296816838,0.11327354436380573,8.5569785744406833e-07,8.5569777989972497e-07,0,2.1410542742415057e-07,1.0705271110685566e-07,1.070527163172949e-07,0,1.2585693252740668e-07,6.2928443705391011e-08,6.2928488822015673e-08,-0.043903825937041424,9.9560961740629583,-3.1441272186878253,6.8558727813121747,2.0349352850160814e-07,1.9999997965064715,0.041290453010944514,9.9587095469890556,-3.2384467649778022,6.7615532350221983,2.1410542719879737e-07,1.9999997858945728,2.9059723074160988e-06,0,-0,0.084477781286583786,-0.14292048145055339
2,0.020000000000000004,R43-C__nominal,5Hz,0,0,0,0,2,0.00043240100000000001,7.9792505935927238e-11,7.9792394913624776e-11,1.7285673279200927e-10,1.7285673464333977e-10,1,1,31.061102728412322,32.128440438247409,-0.011157172669780779,0,0,0.0055621421844599611,0.010119760266626567,-0.0095749906346766205,-0.012744921447662967,-6.7457679718219008e-05,-9.4685358419921027e-05,-0.011159956041169794,-0.0015849654064931731,-8.1071519069070017e-05,-1.361383935085101e-05,-0.26585873790069564,-0.26583339819315965,0.0013302098101755865,-0.0060218704990968215,-0.0095749906346766448,-6.7457679718219184e-05,0.21229918999999986,-7.3398051857545294e-19,-0.26585873790069531,0.0013302098101755852,-0.012744921447663019,-9.4685358419920282e-05,-0.21230080999999981,2.7167522991997616e-18,-0.26583339819315943,-0.0060218704990968128,0.005562136943089351,0.010119765802988432,-0.9720550474360391,-0.0060503551772469657,-0.97199891583533837,-5.6131600700726203e-05,0.6499438683992993,0.65005613160070075,0.6499438683992993,1.6394765184529145,0.0091426379929587069,1.6393957458903228,8.0772562591757691e-05,0.75008077256259176,0.74991922743740824,0.74991922743740824,-1.7846942503557443e-05,-0.0027292686564475061,0,-1.7846942503557443e-05,0.99998215305749649,1.0000178469425036,0.99998215305749649,-0.98301107888939876,0.026254658471640969,-0.98339093564557467,0.00037985675617591141,0.65037985675617593,0.64962014324382411,0.64962014324382411,1.6387848513610057,-0.041484100635259133,1.6394010277077622,-0.0006161763467564807,0.74938382365324352,0.75061617634675648,0.74938382365324352,0.00037657092892195054,0.024128885570221411,0,0.00037657092892195054,1.0003765709289218,0.99962342907107804,0.99962342907107804,3,-1,-0.35466536195135323,0.0060503551772469657,0.56932373643380829,-0.0091426379929587069,1.7846942503557443e-05,0.0027292686564475061,-0.34370933049799357,-0.026254658471640969,0.57001540352571722,0.041484100635259133,-0.00037657092892195054,-0.024128885570221411,0.57251158083244613,-0.0094461637796092613,-0.57294790612325308,0.0094468646345032929,-0.57316258546436849,-0.041758091213010919,-0.57360243748146877,-0.041736692039386861,1.7846942503557443e-05,-0.00037657092892195054,-0.077377874749665759,2.9100561413317303e-05,0.31544042943473727,0.99999999874406031,-4.9895636580277602e-05,1.8706669908525624e-06,-4.3364873575423218e-06,-9.9791273202332482e-05,3.7413339832714218e-06,-8.6729747187155554e-06,1.2426284990622639e-05,-0.0088285444880797006,0.0025636176344646772,0.00051451260599493258,2.9447826563144506e-05,-0.00090788057735886939,0,2.1848355532902636e-05,1.092417668684477e-05,1.0924178846057866e-05,0,-0.00027719128454197498,-0.00013859564098105278,-0.0001385956435609222,27.675229491866027,27.674934775575839,-0.00014735813859584917,-0.00014735815159244131,0.11327183296816838,0.11326955173039595,-1.140618905315848e-06,-1.1406188671176496e-06,0,1.9513068556770803e-07,9.7565340052726772e-08,9.7565345514981256e-08,0,-3.3293896241440262e-07,-1.664694639818925e-07,-1.6646949843251012e-07,0,-3.4429534128033685e-05,-1.7214765217168789e-05,-1.7214768910864895e-05,0,-0.0002597797614439981,-0.00012988987945376014,-0.00012988988199023795,28.714612508133982,28.714733250832726,6.0371359106969633e-05,6.037133963721101e-05,0.11327183296816838,0.11326870474400008,-1.5641121032493072e-06,-1.5641120650507462e-06,0,2.0620709916479392e-07,1.0310354708204674e-07,1.0310355208274718e-07,0,-3.3293910782127537e-07,-1.6646953668418223e-07,-1.6646957113709314e-07,-0.043483458244659913,9.9565165417553398,-3.1439279328090333,6.8560720671909667,1.9513068543199292e-07,1.9999998048693146,0.040676505857111828,9.9593234941428879,-3.2382733334694702,6.7617266665305298,2.0620709918671182e-07,1.9999997937929008,2.9471627719169835e-06,0,-0,0.022012813805034993,-0.035822042774184437
3,0.030000000000000013,R43-C__nominal,5Hz,0,0,0,0,2,0.00042208099999999999,1.0416512097322084e-10,1.0416512097322084e-10,2.203990837675062e-10,2.2039909324292485e-10,1,1,31.064884346735504,32.175355940469686,-0.011157172669780779,0,0,0.0043406050372083102,-0.0044352978078021164,-0.009575515413045365,-0.012744541331663131,-3.9773112862633051e-05,0.00013099473737057541,-0.011160028372354247,-0.0015845129593088829,4.5610812253971174e-05,8.5383925116604232e-05,-0.26583954507290791,-0.26589406267099308,0.0023114063010515615,-0.006012707482276467,-0.0095755154130453633,-3.9773112862634447e-05,0.21229919000000003,8.7985547396040448e-20,-0.26583954507290802,0.0023114063010515606,-0.012744541331663294,0.00013099473737057589,-0.21230080999999998,6.926611926172041e-19,-0.26589406267099314,-0.0060127074822764678,0.0043405862429489409,-0.0044352783868140885,-0.97214079747220206,-0.010246059450280422,-0.97199891583533837,-0.00014188163686368327,0.64985811836313634,0.65014188163686371,0.64985811836313634,1.6396085332810519,0.015903647346979716,1.6393957458903228,0.00021278739072916331,0.75021278739072916,0.74978721260927084,0.74978721260927084,-6.4085840887092278e-05,-0.0059024328398260047,0,-6.4085840887092278e-05,0.99993591415911287,1.0000640858408871,0.99993591415911287,-0.98274204807961407,0.026982668586976167,-0.98339093564557467,0.0006488875659605986,0.65064888756596062,0.64935111243403942,0.64935111243403942,1.6383673166499815,-0.041358365343799712,1.6394010277077622,-0.0010337110577807174,0.74896628894221928,0.75103371105778072,0.74896628894221928,0.00060969135353748898,0.022403630322287885,0,0.00060969135353748898,1.0006096913535374,0.9993903086464625,0.9993903086464625,3,-1,-0.35457961191519027,0.010246059450280422,0.569191721605671,-0.015903647346979716,6.4085840887092278e-05,0.0059024328398260047,-0.3439783613077782,-0.026982668586976167,0.57043293823674157,0.041358365343799712,-0.00060969135353748898,-0.022403630322287885,0.57237695943345701,-0.016132453256453412,-0.57281337361635543,0.01611909988474499,-0.57358373649910976,-0.041755148354536469,-0.57402418727898474,-0.041856830396361705,6.4085840887092278e-05,-0.00060969135353748898,-0.077377795903015148,6.2042089446252786e-05,0.31544070191127727,0.99999999434585729,-0.000105725265261364,5.2164981143918151e-06,-1.0160797782606062e-05,-0.00021145053092125183,1.0432996248446846e-05,-2.0321595603512522e-05,4.6120283035305458e-06,-0.012678716994747074,0.0037703823125266769,0.00077122669423424568,2.6173115598895963e-05,-0.0013249978406602125,0,6.96468940633906e-05,3.4823445462124438e-05,3.4823448601266162e-05,0,-0.001020073355196394,-0.00051003667618311965,-0.00051003667901327438,27.675229491866027,27.674365962360156,-0.00043176474410108393,-0.00043176476176990183,0.11327183296816838,0.1132628498611491,-4.4915535305384776e-06,-4.4915534887479184e-06,0,1.8954358283227802e-07,9.4771790494380867e-08,9.4771792337897149e-08,0,-8.8508874369035402e-07,-4.4254435077784597e-07,-4.4254439291250805e-07,0,-8.0410306744979593e-05,-4.0205151363466092e-05,-4.0205155381513502e-05,0,-0.0010021869774764363,-0.00050109348735043538,-0.00050109349012600096,28.714612508133982,28.715302662457958,0.00034507717436307747,0.00034507714961326666,0.11327183296816838,0.11326200287168264,-4.9150482637981428e-06,-4.9150482219402615e-06,0,2.0119425008896215e-07,1.0059712440819867e-07,1.0059712568076348e-07,0,-8.8508872590960992e-07,-4.4254434188509169e-07,-4.4254438402451823e-07,-0.042965324931902207,9.9570346750680976,-3.1437416313278495,6.856258368672151,1.8954358274145605e-07,1.9999998104564172,0.039896418384842994,9.9601035816151562,-3.2381856295633065,6.761814370436694,2.0119425002681881e-07,1.9999997988057501,1.0200733523662393e-05,0,-0,-0.058914522642879726,0.088617499045921436
4,0.040000000000000022,R43-C__nominal,5Hz,0,0,0,0,2,0.00041360700000000003,6.1288973896012067e-11,6.1289084918314529e-11,1.2063118800325564e-10,1.2063118568729365e-10,1,1,31.060766931720451,32.168341165099093,-0.011157172669780779,0,0,0.0036681262906050633,-0.013161521371673217,-0.0095758297220445536,-0.012742564448464158,-2.4133126983977743e-05,0.00023882409016758748,-0.011159197085254355,-0.0015833673632098021,0.00010734548159180487,0.00013147860857578263,-0.26581079779897243,-0.2659523635322153,0.0032368406822554786,-0.0057067844692875475,-0.0095758297220445241,-2.413312698397839e-05,0.21229919,-1.9591872069991967e-18,-0.26581079779897226,0.003236840682255476,-0.012742564448464154,0.00023882409016759125,-0.21230080999999987,2.2632720350634905e-18,-0.26595236353221513,-0.0057067844692875432,0.0036680944065674167,-0.013161488688252621,-0.97226760482753749,-0.014238957394164857,-0.97199891583533837,-0.00026868899219911757,0.6497313110078009,0.65026868899219914,0.6497313110078009,1.639806362428273,0.022276492293783565,1.6393957458903228,0.0004106165379502702,0.75041061653795027,0.74958938346204973,0.74958938346204973,-0.00014413692980156935,-0.0093623273635787662,0,-0.00014413692980156935,0.99985586307019847,1.0001441369298016,0.99985586307019847,-0.98247800830371101,0.026000273570567552,-0.98339093564557467,0.00091292734186365632,0.65091292734186368,0.64908707265813637,0.64908707265813637,1.6379664787112711,-0.039225489922111473,1.6394010277077622,-0.0014345489964910918,0.74856545100350891,0.75143454899649109,0.74856545100350891,0.0008199660775842951,0.020131133766784267,0,0.0008199660775842951,1.0008199660775843,0.99918003392241572,0.99918003392241572,3,-1,-0.35445280455985484,0.014238957394164857,0.56899389245844989,-0.022276492293783565,0.00014413692980156935,0.0093623273635787662,-0.34424240108368137,-0.026000273570567552,0.57083377617545183,0.039225489922111473,-0.0008199660775842951,-0.020131133766784267,0.57217726370049138,-0.022434883486350546,-0.57261381867773686,0.022421694033979589,-0.57398847927328944,-0.039595532159238389,-0.57443022324247417,-0.039733004473135991,0.00014413692980156935,-0.0008199660775842951,-0.077377778797185562,0.00010647449593861356,0.31544092396088813,0.99999998366440324,-0.00017967917707498626,9.0899035634593615e-06,-1.7434448847761201e-05,-0.00035935835610675031,1.8179807225911392e-05,-3.4868897885390488e-05,-7.7160279929462796e-08,-0.016150183633001459,0.0048778235055405815,0.00077714031250682191,2.0246439006951061e-05,-0.0015290201322044131,0,0.00011340637930631083,5.6703188501389535e-05,5.670319080492129e-05,0,-0.0017760218361632365,-0.00088801091769235934,-0.00088801091847087721,27.675229491866027,27.673787148412401,-0.00072117172102941537,-0.00072117173259606774,0.11327183296816838,0.11325603077216051,-7.901098009406339e-06,-7.9010979984655769e-06,0,1.8842877329148166e-07,9.4214386968163049e-08,9.4214386323318613e-08,0,-1.3960313895318737e-06,-6.9801568085915637e-07,-6.9801570867271732e-07,0,-0.00012342664586713836,-6.1713321721640956e-05,-6.17133241454974e-05,0,-0.00175819446581727,-0.00087909723253755,-0.00087909723327971999,28.714612508133982,28.715881988015251,0.00063473994734044128,0.00063473993392913384,0.11327183296816838,0.11325518378013349,-8.3245940229581912e-06,-8.3245940119286059e-06,0,2.0040231864829018e-07,1.0020115980745998e-07,1.0020115884083019e-07,0,-1.3960311615135659e-06,-6.9801556684737553e-07,-6.9801559466619041e-07,-0.04265060655451805,9.9573493934454813,-3.1437485390241382,6.8562514609758622,1.8842877327695941e-07,1.9999998115712267,0.03942172525081316,9.9605782747491869,-3.2379686158176928,6.7620313841823076,2.0040231876444764e-07,1.9999997995976813,1.7760218353847186e-05,0,-0,-0.11416823440432182,0.16348322746113725
5,0.050000000000000031,R43-C__nominal,5Hz,0,0,0,0,2,0.00041384000000000001,1.6931789303953337e-11,1.6931789303953337e-11,4.5515894023717539e-11,4.5515890242784703e-11,1,1,31.054580432417715,32.144719355482167,-0.011157172669780779,0,0,0.0033337754639939975,-0.015627196966782414,-0.0095760279314191527,-0.012740136566676922,-1.5698302730196757e-05,0.00023992945813703943,-0.011158082249048037,-0.0015820543176288844,0.00011211557770342133,0.00012781388043361811,-0.26577348191087619,-0.26600800239843964,0.0040441917864565292,-0.0054931695654845368,-0.0095760279314190868,-1.5698302730198549e-05,0.21229918999999969,-5.6154049238223841e-18,-0.26577348191087569,0.004044191786456517,-0.01274013656667688,0.00023992945813703742,-0.21230080999999951,8.325486838562518e-18,-0.26600800239843908,-0.0054931695654845212,0.0033337313668950312,-0.01562715204238856,-0.97243147821948028,-0.017739716521141435,-0.97199891583533837,-0.00043256238414191017,0.64956743761585811,0.65043256238414193,0.64956743761585811,1.6400631805363792,0.027832962805432581,1.6393957458903228,0.00066743464605645286,0.75066743464605645,0.74933256535394355,0.74933256535394355,-0.00025790358013277735,-0.012658641562909707,0,-0.00025790358013277735,0.99974209641986722,1.0002579035801327,0.99974209641986722,-0.98222417034234288,0.025062747974882619,-0.98339093564557467,0.0011667653032317871,0.65116676530323181,0.64883323469676824,0.64883323469676824,1.6375840434620481,-0.037760684073125335,1.6394010277077622,-0.0018169842457140817,0.74818301575428592,0.75181698424571408,0.74818301575428592,0.0010129336312048626,0.018884726484937556,0,0.0010129336312048626,1.0010129336312048,0.99898706636879508,0.99898706636879508,3,-1,-0.3542889311679121,0.017739716521141435,0.56873707435034371,-0.027832962805432581,0.00025790358013277735,0.012658641562909707,-0.34449623904504945,-0.025062747974882619,0.57121621142467482,0.037760684073125335,-0.0010129336312048626,-0.018884726484937556,0.57191922605166379,-0.027931095493192466,-0.57235586826480522,0.027925852746091211,-0.57437399735333083,-0.038021689158768829,-0.57481703016654828,-0.038140127268748519,0.00025790358013277735,-0.0010129336312048626,-0.077377787805132311,0.00016128329410418271,0.31544108764002665,0.99999996320819939,-0.00026979462000333005,1.2545064945467719e-05,-2.5240510904981663e-05,-0.00053958924662414693,2.5090130198639137e-05,-5.0481022429059247e-05,-1.1990610934774016e-06,-0.019220195555783245,0.0058671252341234272,0.00063420471919853609,1.4422026579080911e-05,-0.0015717039929380601,0,0.00015311613118709633,7.6558065038702066e-05,7.6558066148394265e-05,0,-0.0025145276730988613,-0.0012572638372635183,-0.001257263835835343,27.675229491866027,27.673221595049359,-0.0010039484056663702,-0.0010039484110015387,0.11327183296816838,0.11324936810840772,-1.1232429869308784e-05,-1.1232429891356472e-05,0,1.9010997281889309e-07,9.5054987008088469e-08,9.5054985810804619e-08,0,-1.8636428937959106e-06,-9.3182144108921679e-07,-9.3182145270669379e-07,0,-0.00016312788562078439,-8.1563942375320578e-05,-8.156394324546381e-05,0,-0.0024973294501561003,-0.0012486647257988015,-0.0012486647243572988,28.714612508133982,28.716448011728737,0.00091775179816450385,0.00091775179659053525,0.11327183296816838,0.11324852111455692,-1.165592679470115e-05,-1.1655926816756228e-05,0,2.0212051707571197e-07,1.0106025915423801e-07,1.0106025792147396e-07,0,-1.8636424365691549e-06,-9.3182121247375177e-07,-9.3182122409540316e-07,-0.042579850708756223,9.9574201492912433,-3.1439643640379393,6.8560356359620602,1.9010997284251215e-07,1.9999998098900271,0.03929994942777449,9.9607000505722247,-3.237592175364759,6.7624078246352415,2.0212051716705153e-07,1.9999997978794828,2.5145276745270367e-05,0,-0,-0.13682175633870844,0.18617831381861738
6,0.060000000000000039,R43-C__nominal,5Hz,0,0,0,0,2,0.000415024,3.32325346882829e-11,3.3232534875000725e-11,5.1478264662958971e-11,5.1478236483093901e-11,1,1,31.04873164742952,32.121606682851763,-0.011157172669780779,0,0,0.0029355476325534152,-0.013902413841939205,-0.0095761428167415764,-0.012738065664953587,-7.5556955204713673e-06,0.00017994903392735056,-0.011157104240847582,-0.0015809614241060052,8.6196669203439597e-05,9.3752364723910964e-05,-0.2657288898292739,-0.26606260777709112,0.0047188653396677696,-0.0054636721253315612,-0.00957614281674171,-7.5556955204720517e-06,0.21229918999999972,-7.7325637754845078e-18,-0.26572888982927345,0.0047188653396677558,-0.012738065664953717,0.00017994903392734953,-0.21230080999999959,7.411538288475128e-18,-0.26606260777709073,-0.0054636721253315474,0.0029354915888284384,-0.013902357031653266,-0.972626872798248,-0.020660677679271187,-0.97199891583533837,-0.00062795696290962599,0.6493720430370904,0.65062795696290965,0.6493720430370904,1.6403700647303965,0.032474207968584773,1.6393957458903228,0.00097431884007370684,0.75097431884007371,0.74902568115992629,0.74902568115992629,-0.00040211450180754102,-0.015538054716280064,0,-0.00040211450180754102,0.99959788549819251,1.0004021145018076,0.99959788549819251,-0.9819760895449916,0.02473064841822855,-0.98339093564557467,0.001414846100583067,0.65141484610058309,0.64858515389941696,0.64858515389941696,1.6372085494061723,-0.037582697643017422,1.6394010277077622,-0.0021924783015898619,0.74780752169841014,0.75219247830158986,0.74780752169841014,0.0012004097576779969,0.018802679136844299,0,0.0012004097576779969,1.0012004097576781,0.99879959024232201,0.99879959024232201,3,-1,-0.35409353658914433,0.020660677679271187,0.56843019015632645,-0.032474207968584773,0.00040211450180754102,0.015538054716280064,-0.34474431984240067,-0.02473064841822855,0.57159170548055049,0.037582697643017422,-0.0012004097576779969,-0.018802679136844299,0.57161168575793686,-0.032519091454313725,-0.57204832137029704,0.032523657052322553,-0.57475132066627876,-0.03771457097521877,-0.57519531486294806,-0.037795158600677163,0.00040211450180754102,-0.0012004097576779969,-0.077377793379248522,0.00022522082724675866,0.31544120063028902,0.99999992939811011,-0.00037401424203936472,1.515133004213393e-05,-3.297814732721264e-05,-0.00074802850168280497,3.0302660797409574e-05,-6.5956296206638349e-05,1.0072227085626678e-07,-0.021873305351858587,0.0067281727686425846,0.00044665762590614385,9.7046236254855251e-06,-0.0015217865272831735,0,0.00019171941404508131,9.5859706950382083e-05,9.5859707094699231e-05,0,-0.0032593179784993409,-0.0016296589907846392,-0.0016296589877147017,27.675229491866027,27.672651061052758,-0.0012892154057487692,-0.0012892154075204809,0.11327183296816838,0.1132426468336884,-1.4593067216639411e-05,-1.4593067263343784e-05,0,1.9272486424755158e-07,9.6362432353920334e-08,9.6362431893631249e-08,0,-2.3198678814404828e-06,-1.1599339406152877e-06,-1.1599339408251952e-06,0,-0.00020199737920183669,-0.00010099868965044122,-0.00010099868955139547,0,-0.0032433403693638888,-0.0016216701862143469,-0.0016216701831495419,28.714612508133982,28.71701901110583,0.0012032514828357666,0.0012032514890120904,0.11327183296816838,0.11324179983848004,-1.5016564820788263e-05,-1.501656486755389e-05,0,2.0456295085684263e-07,1.0228147557198959e-07,1.0228147528485304e-07,0,-2.3198671831859797e-06,-1.1599335914868124e-06,-1.1599335916991673e-06,-0.042697353287905047,9.9573026467120958,-3.1443452319816179,6.8556547680183826,1.927248641943397e-07,1.9999998072751357,0.03943609913123141,9.9605639008687685,-3.2370905455341004,6.7629094544659001,2.0456295075037493e-07,1.9999997954370492,3.2593179815692783e-05,0,-0,-0.13419786945097592,0.17374958427940182
