tick,left_inertia,left_qfrc_bias,left_qfrc_actuator,left_qfrc_passive,left_qfrc_applied,left_qfrc_contact_left,left_qfrc_contact_right,left_qfrc_other_constraint,left_ddq,left_ddxi,right_inertia,right_qfrc_bias,right_qfrc_actuator,right_qfrc_passive,right_qfrc_applied,right_qfrc_contact_left,right_qfrc_contact_right,right_qfrc_other_constraint,right_ddq,right_ddxi,full_residual,contact_reconstruction_residual
0,-8.136588744098045e-05,-8.673617379884035e-19,-1.7898405885383532e-07,0.0,0.0,-8.118690338207142e-05,0.0,-3.0357660829594124e-18,-0.21955222087502937,-0.09876139015159342,-0.000533742344807868,0.0,-1.90399545647433e-07,0.0,0.0,0.0,-0.0005335519452622645,1.3877787807814457e-17,-3.210042767408839,-0.1416514133569956,1.4210854715202004e-14,0.0
1,-9.9630087515059e-06,-2.0712598303163077e-15,-1.501812815081366e-07,2.3972845655926854e-11,0.0,-9.812851444943515e-06,0.0,3.2526065174565133e-18,0.12840922843001962,-0.05493929781605084,-0.00014625072980958495,1.1924922854733566e-13,-1.6107994701817744e-07,1.6500715391467886e-10,0.0,0.0,-0.0001460898147505181,6.841315708383533e-17,-0.912507217321761,-0.05028516967555373,2.4841240175987878e-15,0.0
2,8.629779869668492e-06,2.0740353878778706e-14,-9.561343847923313e-08,2.4130262844968755e-11,0.0,8.725369198592822e-06,0.0,-4.4994390158148434e-17,0.2259895048587942,-0.028797740090681125,2.4606598770380023e-05,4.603374972877994e-13,-1.0561684089315621e-07,2.0144051379870374e-10,0.0,0.0,2.4712014631093513e-05,-9.324138683375338e-18,0.0482530766112313,-0.00193790092664365,2.55351295663786e-15,0.0
3,-1.6145327985780722e-06,8.619754215954956e-14,-4.402726950446552e-08,1.993127620591057e-11,0.0,-1.570525374275985e-06,0.0,5.334274688628682e-17,0.1904280912177248,-0.01365280182115923,9.318525281052436e-05,9.86926686208367e-13,-5.2997774170154615e-08,1.8006449948454908e-10,0.0,0.0,9.323807150705922e-05,-1.3444106938820255e-17,0.38310426833782896,0.024563278356844534,1.4210854715202004e-14,0.0
4,-2.7344749279858164e-05,2.0097031677712707e-13,2.1212236723595177e-09,2.1936876009863913e-11,0.0,-2.73468922394719e-05,0.0,1.1492543028346347e-17,0.08814374704965944,-0.005659531000313037,0.00011997640067694612,1.654849868248931e-12,-5.6597230038405914e-09,1.3666881272471252e-10,0.0,0.0,0.00011998192538591299,1.2793585635328952e-17,0.45971636258215226,0.04063806447222266,2.6645352591003757e-15,0.0
5,-6.178678243105444e-05,3.7414689402215373e-13,4.1042629614999e-08,3.593230173794813e-11,0.0,-6.182786061875375e-05,0.0,2.42861286636753e-17,-0.04694595270684421,-0.0026131347435291025,0.00013626089634278838,2.4220599484370275e-12,3.46127353389848e-08,8.484927795736663e-11,0.0,0.0,0.00013622620118022583,5.811323644522304e-17,0.4651523794413629,0.052363683667659526,7.105427357601002e-15,0.0
6,-0.00010174557412888366,6.2035706432928e-13,7.138494929820844e-08,6.558512194569652e-11,0.0,-0.00010181702404291754,0.0,-4.85722573273506e-17,-0.19910751119481992,-0.0031800963160542872,0.0001564776145827116,3.2542970054838527e-12,6.64502585498947e-08,2.683198277793125e-11,0.0,0.0,0.00015641114074644398,4.90059381963448e-17,0.4849360091641405,0.06269285000588387,3.0531133177191805e-15,0.0
7,-0.000145776868006358,9.562897348991406e-13,9.208806926038669e-08,1.1388346594975609e-10,0.0,-0.0001458690690028428,0.0,1.8648277366750676e-17,-0.3617209249166661,-0.006488780455874213,0.0001855034432847514,4.124456852439007e-12,8.876204188617097e-08,-4.0356901674234476e-11,0.0,0.0,0.00018541472572418524,-1.5178830414797062e-17,0.5479220841093633,0.07277348722637171,1.7763568394002505e-15,0.0
8,-0.00019318194151876725,1.3957853969848166e-12,1.0233345544189938e-07,1.8385118241572458e-10,0.0,-0.00019328445742960564,0.0,-3.209238430557093e-17,-0.5321339553032146,-0.011933510981904788,0.00022341973916069452,5.008909953474472e-12,1.006937841973351e-07,-1.2389763838434663e-10,0.0,0.0,0.0002233191742830546,-7.806255641895632e-17,0.65493331378484,0.08281669692177755,7.105427357601002e-15,0.0
9,-0.00024351678140396849,1.9454047747724523e-12,1.0155164252743161e-07,2.78891941638309e-10,0.0,-0.0002436186099931256,0.0,6.852157730108388e-17,-0.7090670954453682,-0.019080232033447456,0.00026844402531385876,5.883874117096344e-12,1.0164032022835679e-07,-2.2964419173719984e-10,0.0,0.0,0.0002683426205216978,-3.469446951953614e-18,0.7961095555723648,0.09263786156980901,7.105427357601002e-15,0.0
