tick,left_inertia,left_qfrc_bias,left_qfrc_actuator,left_qfrc_passive,left_qfrc_applied,left_qfrc_contact_left,left_qfrc_contact_right,left_qfrc_other_constraint,left_ddq,left_ddxi,right_inertia,right_qfrc_bias,right_qfrc_actuator,right_qfrc_passive,right_qfrc_applied,right_qfrc_contact_left,right_qfrc_contact_right,right_qfrc_other_constraint,right_ddq,right_ddxi,full_residual,contact_reconstruction_residual
10,-0.0002963881974268781,2.602198838352887e-12,8.944680344650345e-08,4.0296250702314193e-10,0.0,-0.0002964780445906664,0.0,1.3010426069826053e-17,-0.8914938409127467,-0.02761302429960845,0.0003184677667739845,6.7233284911649704e-12,9.127248614653356e-08,-3.6315795128497057e-10,0.0,0.0,0.0003183768641692158,-2.6020852139652106e-17,0.9598950865952804,0.10195093868735003,7.105427357601002e-15,0.0
46,-2.033798882656145e-05,-3.738665627084359e-12,1.3290944392912596e-07,3.5261464644734675e-08,0.0,-2.0506163473823016e-05,0.0,2.949029909160572e-17,0.16981497919821112,0.07494353138418064,0.00025188010761875875,-3.828552058715573e-12,4.7088144347474274e-08,-3.7313170209937936e-08,0.0,0.0,0.0002518703288160104,-4.85722573273506e-17,0.5143344384204436,0.022530872754306097,7.105427357601002e-15,0.0
47,8.444711100285198e-06,-3.1998466376581547e-12,1.580834687255546e-07,3.547011998073341e-08,0.0,8.251154311727377e-06,0.0,1.734723475976807e-17,0.24960481513544536,0.07913101644080323,0.00025009187038526584,-3.240123447323384e-12,6.875329469127815e-08,-3.812991423272514e-08,0.0,0.0,0.0002500612437645964,4.683753385137379e-17,0.5142594529267449,0.028569198902428372,1.4210854715202004e-14,0.0
48,3.585287594778258e-05,-2.6769662875292255e-12,1.6716117260192767e-07,3.5608343169731616e-08,0.0,3.5650103755033996e-05,0.0,-3.469446951953614e-18,0.3252919427132435,0.08223513267568983,0.0002512176924846638,-2.736179338658218e-12,7.438307976769589e-08,-3.8952220990109313e-08,0.0,0.0,0.00025118225888975595,3.469446951953614e-18,0.522885391592321,0.0337383271875602,7.105427357601002e-15,0.0
73,0.001692743684316106,1.0563772079308364e-13,-3.1328974469157853e-06,1.1884866463657928e-08,0.0,0.0016958646970021613,0.0,-1.951563910473908e-17,5.16303656536777,0.08100396640432772,0.001736661465939885,6.772638005969611e-13,-3.3069722909403158e-06,-9.898084410072088e-08,0.0,0.0,0.001740067419752155,6.5052130349130266e-18,5.082747095071328,0.053884194724240775,7.105427357601002e-15,0.0
74,0.0018866264398290443,1.0140499551170024e-13,-3.3153155123413477e-06,9.537916528901656e-09,0.0,0.00188993221752624,0.0,4.5536491244391186e-17,5.744404357764602,0.09802826685806343,0.0019260473823512802,6.019976184212794e-13,-3.4927759320061886e-06,-1.0671892658831323e-07,0.0,0.0,0.001929646877811812,-9.540979117872439e-18,5.6449699385652385,0.07080186301827718,1.7763568394002505e-15,0.0
75,0.0021019710147550056,1.0268869088392307e-13,-3.5111026529335853e-06,7.186459742365044e-09,0.0,0.002105474931050888,0.0,3.903127820947816e-17,6.39095621016451,0.11773853011813606,0.002136332650893257,5.197023367209397e-13,-3.6919776039084044e-06,-1.1560323792044378e-07,0.0,0.0,0.0021401402322547636,1.9949319973733282e-17,6.267465255100104,0.09032368027475646,1.2490009027033011e-15,0.0
101,0.030364667555528094,-5.68295410730002e-14,-3.294603039593174e-05,-3.0208278767921124e-06,0.0,0.03040063441374309,0.0,1.3877787807814457e-17,88.16841253599785,2.109905247321686,0.02948739604913631,-4.288236432614667e-14,-3.322347450267705e-05,-4.370493016220174e-06,0.0,0.0,0.029524990016612625,3.469446951953614e-18,79.7972585455313,1.8563832499540744,2.1316282072803006e-14,0.0
106,0.04746833433605132,-4.750172477585579e-12,-0.00023919625111552213,-8.713732889202203e-06,0.0,0.047716244315305155,0.0,-2.0816681711721685e-17,123.34039691540154,1.8082983943012998,0.046967627326894565,6.744105274236745e-12,-0.00023946744703904209,-1.072508677259388e-05,0.0,0.0,0.04721781986744937,1.3877787807814457e-17,119.59511115946344,2.8404492192213304,3.6193270602780103e-14,0.0
109,0.06986612541893553,2.352401606842136e-11,-0.007903666809916306,-1.560122275299916e-05,0.0,0.07778539347512865,0.0,4.163336342344337e-17,199.81421809413774,6.738790730265176,0.054854804619617725,2.8690383402363295e-12,-0.04146128789854639,-1.8567056973749e-05,0.0,0.0,0.09633465957800691,-2.7755575615628914e-17,131.7860359384114,2.654166939786151,1.4210854715202004e-14,0.0
110,0.06754719900732437,4.243178031160255e-11,-0.026698421864779016,-1.931729224060769e-05,0.0,0.09426493820677559,0.0,2.7755575615628914e-17,177.02328337283586,6.0091279666663056,0.05153873646546614,-3.301303674874134e-11,-0.12351645534461231,-2.0579881529223926e-05,0.0,0.0,0.1750757716585949,0.0,135.4448475357222,1.7110959871780018,2.842170943040401e-14,0.0
