candidate,gain,tick,ddxi_left_m_s2,ddxi_right_m_s2,ddxi_common_m_s2,ddxi_differential_m_s2,wheel_qdd_left_rad_s2,wheel_qdd_right_rad_s2,normal_load_left_n,normal_load_right_n,hard,slack,max_torque_nm,max_wrench_error,full_dynamics_residual,contact_reconstruction_residual
0,baseline,0,-0.09876139015159342,-0.1416514133569956,-0.1202064017542945,-0.02144501160270109,-0.21955222087502937,-3.210042767408839,30.97295508475522,31.509650930564625,2.5785554247370612e-12,8.983049787631715e-07,3.2402320309996417,8.983049706756674e-05,1.4210854715202004e-14,0.0
0,baseline,46,0.17759002938350088,0.12527742147307175,0.15143372542828631,-0.026156303955214566,0.31659623669864956,0.6557005037205845,31.029801477602824,32.088837118199024,1.2877217209759408e-11,0.000100272000645015,3.348813277276691,0.01002720006734116,4.690692279041286e-15,0.0
0,baseline,74,0.20488227698428618,0.17811949567028695,0.19150088632728657,-0.013381390656999614,5.896786570615467,5.79249337300936,31.01987953264515,32.08752184243717,6.0675230573355166e-12,0.0001269464514426295,3.4881756297127815,0.012694645149271284,7.105427357601002e-15,0.0
0,baseline,101,2.19412937699226,1.94242871251471,2.068279044753485,-0.12585033223877495,88.28551888355413,79.9068074673205,30.66799209857914,31.772293417298073,6.040729114836774e-11,0.0004337331022572775,3.637870578298597,0.04337331021244591,1.554312234475219e-14,0.0
0,baseline,110,6.009127966555283,1.7110959950605853,3.8601119808079343,-2.149015985747349,177.02328338928996,135.4448477003061,30.153313359872687,35.4179715414647,2.1591407828314146e-10,0.02470329101011172,3.1507272167227383,1.6910423701652775,1.687538997430238e-14,0.0
A,trim,0,1.5630939715523748,1.5188204377050991,1.540957204628737,-0.022136766923637863,39.24219031317405,36.33270580386043,30.81973622252929,31.358564815346554,6.52990078664744e-09,2.040646042202942e-06,3.26435953435704,0.0002040634958362375,4.973799150320701e-14,0.0
A,trim,46,1.8188856395588704,1.752362855707984,1.7856242476334272,-0.033261391925443196,40.09114080519515,39.62178420085267,30.87778568870448,31.934825428366096,1.2987089892000855e-11,0.00010167635951852967,3.3746444232999266,0.010167635954716859,8.881784197001252e-15,0.0
A,trim,74,1.634956107818275,1.565943958101168,1.6004500329597215,-0.034506074858553504,45.63286235110542,43.929561246612316,30.86728692680228,31.93006467439653,2.4381174379764503e-11,0.00012902901968213864,3.517592830674357,0.012902901962857705,2.4424906541753444e-15,0.0
A,trim,101,3.7919629433391666,3.4818051831697616,3.636884063254464,-0.1550788800847025,126.81345048913835,116.00260466217676,30.48628715844363,31.600180186948425,5.847216547755218e-11,0.0004392966725070468,3.6686899461171625,0.043929667237848344,3.952393967665557e-14,0.0
A,trim,110,5.84411564974463,2.154844415624968,3.999480032684799,-1.844635617059831,176.55720089632294,145.02226136765736,29.924291805623675,34.95840693472168,1.0375410114393802e-09,0.03464215500248309,3.082225443920888,2.241225480455178,1.4210854715202004e-14,0.0
B,2.5Hz,0,-0.00976075542458573,-0.05281825030963147,-0.031289502867108604,-0.02152874744252287,-0.09433969603143376,-3.086198995363316,30.973417396745678,31.510128876653773,1.896884198326898e-09,8.486754316294847e-07,3.239371138681706,8.486757757708574e-05,7.105427357601002e-15,0.0
B,2.5Hz,46,0.5246357934335366,-0.5540114046027889,-0.014687805584626124,-0.5393235990181627,6.163769235286631,-5.589066995998868,31.02449506952432,32.09149914365101,9.470519438115055e-10,0.00045751463386651056,3.392070571912016,0.04575146338448266,7.105427357601002e-15,0.0
B,2.5Hz,74,-4.050989456102355,-4.887240326705012,-4.469114891403684,-0.4181254353013282,4.105482053575619,-5.391536057564256,30.999911613723587,32.0560333273072,1.0726080315603959e-08,0.0010117747001718263,3.560637351887795,0.10117747230423865,4.263256414560601e-14,0.0
B,2.5Hz,101,-0.920174482277325,-1.1158776227204736,-1.0180260524988993,-0.09785157022157431,73.15617671861914,66.93160433443956,30.273672819895236,31.154186531048307,8.562759390429164e-09,0.01898300715106519,3.5385521560008377,1.8983007151064193,5.684341886080802e-14,0.0
B,2.5Hz,110,0.7257018485584688,2.3257576384216883,1.5257297434900785,0.8000278949316098,75.46547612137937,129.69258654127756,30.24767780067409,35.44533147213398,3.6843357253957265e-09,0.03733688287024356,3.013153217628805,1.6270902841806723,5.329070518200751e-15,0.0
C,2.5Hz,0,-0.010333090379481427,-0.05339243419703885,-0.03186276228826014,-0.021529671908778712,-0.09496534763560753,-3.0868485357221997,30.973416637890985,31.510127936555318,8.097308379362289e-10,8.813026835514947e-07,3.239377422853265,8.813010291319756e-05,2.1316282072803006e-14,0.0
C,2.5Hz,46,0.839393168885344,-0.6882221148599155,0.07558552701271426,-0.7638076418726297,8.95985197451463,-8.096563808146422,31.02130189861237,32.09533262442867,1.0330975644401441e-08,0.0006062548394842599,3.4097492857917944,0.06062548405184786,7.105427357601002e-15,0.0
C,2.5Hz,74,0.3830945050180279,-0.9172903062196203,-0.2670979006007962,-0.6501924056188241,13.111241357329746,-2.4582572420839477,31.019152300893253,32.082111189619354,7.908299570758004e-10,0.0009707231177724483,3.542809150996979,0.0970723117645732,3.58046925441613e-15,0.0
C,2.5Hz,101,-1.7999488179376577,-4.318396502639432,-3.059172660288545,-1.2592238423508872,43.54403078622793,11.264380859249936,29.023445405145438,29.250553447699822,1.9238237669583214e-09,0.023478119742053927,3.2473040468050227,2.347811974205338,1.4210854715202004e-14,0.0
C,2.5Hz,110,-14.790745617165868,-12.372986104070005,-13.581865860617937,1.2088797565479314,-267.7173400013906,-157.51919654312206,26.904986986058073,25.05459410296911,4.675819106902956e-10,0.15766757920545768,1.716520950537313,14.943206335667227,7.105427357601002e-15,0.0
D,2.5Hz,0,-0.010334156972298654,-0.053394078179406855,-0.03186411757585275,-0.0215299606035541,-0.0949607690963496,-3.08685070114956,30.973417211486783,31.51012856822834,2.5593527297473884e-11,8.765926340188837e-07,3.23937756173171,8.76592588276992e-05,7.105427357601002e-15,0.0
D,2.5Hz,46,1.0698755584445663,-0.8908340116929592,0.08952077337580355,-0.9803547850687627,11.540405443903614,-10.666337793220698,30.997338331998705,32.11771963919415,1.266455840198688e-08,0.0019322974366558607,3.4302390845809327,0.1932297435369942,7.105427357601002e-15,0.0
D,2.5Hz,74,1.1141739325714468,-0.7060344213889735,0.20406975559123663,-0.9101041769802102,15.614238386632966,-6.326241764608517,30.9744374800067,32.072829058478256,1.8846146865314495e-10,0.00454898521492038,3.5548201217651263,0.4548985214893152,7.105427357601002e-15,0.0
D,2.5Hz,101,-1.799948716935118,-4.318396412017478,-3.059172564476298,-1.2592238475411799,43.544033530890616,11.26438336147828,29.02344547200482,29.250553577396865,1.2729329812444234e-08,0.023478119998641106,3.247304072324929,2.347811999863805,5.684341886080802e-14,0.0
D,2.5Hz,110,-14.790745677284445,-12.37298612122295,-13.581865899253698,1.208879778030747,-267.71734108429206,-157.51919641060047,26.904986982722903,25.054594111289713,4.836144817943477e-10,0.15766757965535813,1.7165209475147145,14.943206326410813,7.105427357601002e-15,0.0
B,3.5Hz,0,-0.00976075542458573,-0.05281825030963147,-0.031289502867108604,-0.02152874744252287,-0.09433969603143376,-3.086198995363316,30.973417396745678,31.510128876653773,1.896884198326898e-09,8.486754316294847e-07,3.239371138681706,8.486757757708574e-05,7.105427357601002e-15,0.0
B,3.5Hz,46,0.6749492527657885,-0.7984173433228658,-0.06173404527853865,-0.7366832980443272,8.436564055947413,-7.967806740817699,31.022540771439413,32.09261178817743,9.638356363028677e-10,0.0005950877052356086,3.408549940381014,0.05950877052135423,7.105427357601002e-15,0.0
B,3.5Hz,74,-5.0229943044256125,-6.181468806768648,-5.602231555597131,-0.5792372511715178,4.408628928948387,-8.896775396512474,30.995424247656217,32.04651057326341,9.136515528922152e-11,0.0014854356054587012,3.5829288775421446,0.14854356023136298,5.684341886080802e-14,0.0
B,3.5Hz,101,-0.9201744832487702,-1.1158776249686753,-1.0180260541087227,-0.09785157085995255,73.15617669139444,66.93160429517414,30.273672818749656,31.154186529077442,1.3886007677044176e-08,0.01898300721483041,3.538552155671026,1.8983007214828769,7.105427357601002e-14,0.0
B,3.5Hz,110,0.7257018815876037,2.3257576072799324,1.525729744433768,0.8000278628461643,75.46547674821247,129.692585917035,30.247677799320094,35.44533148041348,5.567323713151495e-09,0.03733688266655355,3.0131532185315497,1.6270902955905733,4.263256414560601e-14,0.0
C,3.5Hz,0,-0.010333090379481427,-0.05339243419703885,-0.03186276228826014,-0.021529671908778712,-0.09496534763560753,-3.0868485357221997,30.973416637890985,31.510127936555318,8.097308379362289e-10,8.813026835514947e-07,3.239377422853265,8.813010291319756e-05,2.1316282072803006e-14,0.0
C,3.5Hz,46,1.1455892561344772,-0.9518063865242982,0.0968914348050895,-1.0486978213293876,12.370589206750255,-11.407444093644763,31.018284137072357,32.09811661844887,8.396377718100645e-09,0.0008018814383714024,3.4328138965065866,0.08018814392144084,1.4210854715202004e-14,0.0
C,3.5Hz,74,0.5016081069016132,-1.3072698160851437,-0.40283085459176526,-0.9044389614933784,16.060232469620797,-5.688388232580623,31.0191111916835,32.08020571698938,7.873145468906273e-10,0.0013663021458830958,3.564204267390658,0.13663021457715985,7.105427357601002e-15,0.0
C,3.5Hz,101,-11.248624800119789,-14.111406355682421,-12.680015577901106,-1.4313907777813162,-174.5335478093345,-195.22418085582606,26.536154154111934,24.97729001551697,2.395200260352226e-09,0.0982939283656017,2.275294639797922,7.763814614736599,3.552713678800501e-14,0.0
C,3.5Hz,110,-19.97029750883117,-16.540562126798886,-18.255429817815028,1.714867691016142,-426.58471548560755,-275.7414250434507,37.729925744005875,31.128054650754542,4.801712708002448e-10,0.24714220049965246,2.889402276429564,9.345070514495049,1.4210854715202004e-14,0.0
D,3.5Hz,0,-0.010334156972298654,-0.053394078179406855,-0.03186411757585275,-0.0215299606035541,-0.0949607690963496,-3.08685070114956,30.973417211486783,31.51012856822834,2.5593527297473884e-11,8.765926340188837e-07,3.23937756173171,8.76592588276992e-05,7.105427357601002e-15,0.0
D,3.5Hz,46,1.469783128791452,-1.230092647968792,0.11984524041133005,-1.349937888380122,15.954617411052574,-14.988083006282078,30.98481559065517,32.129045376496485,1.2650218428333915e-08,0.0027072693044371907,3.461228905169796,0.2707269303155837,1.0031905861573875e-14,0.0
D,3.5Hz,74,1.458876349650154,-1.0702041776354532,0.19433608600735042,-1.2645402636428036,19.620778843478465,-10.956520622968407,30.958741895430094,32.0719235142694,1.855590125998674e-10,0.005929813640568526,3.5824099301705656,0.5929813640541798,7.105427357601002e-15,0.0
D,3.5Hz,101,-11.248625024162795,-14.111405761463303,-12.680015392813049,-1.4313903686502538,-174.53355896381476,-195.22417079656134,26.53615406674885,24.977289991276812,1.725648735018126e-09,0.09829393301840206,2.2752946571020862,7.763814589101834,4.263256414560601e-14,0.0
D,3.5Hz,110,-19.970295814242256,-16.54055520333708,-18.25542550878967,1.7148703054525871,-426.5846704627064,-275.74121836322325,37.72992505508466,31.128053688976067,6.050485668041006e-10,0.24714218508087318,2.889402207885782,9.345069612864158,1.4210854715202004e-14,0.0
B,5Hz,0,-0.00976075542458573,-0.05281825030963147,-0.031289502867108604,-0.02152874744252287,-0.09433969603143376,-3.086198995363316,30.973417396745678,31.510128876653773,1.896884198326898e-09,8.486754316294847e-07,3.239371138681706,8.486757757708574e-05,7.105427357601002e-15,0.0
B,5Hz,46,0.8983195153508539,-1.167139701781228,-0.13441009321518704,-1.032729608566041,11.84344636804712,-11.538262725491698,31.019605069007447,32.09428097421374,1.6404407929271336e-08,0.0008014322809090915,3.4332920105732363,0.08014322850423394,7.105427357601002e-15,0.0
B,5Hz,74,-4.81507983917523,-6.446793530411749,-5.63093668479349,-0.8158568456182596,6.7090601146152125,-12.328484662932226,30.991667125783856,32.0268512841471,6.081415989414802e-11,0.0032440262537111794,3.598067801706094,0.3244026251627511,2.1316282072803006e-14,0.0
B,5Hz,101,-0.9201744814446577,-1.1158776199726717,-1.0180260507086647,-0.09785156926400695,73.15617674655914,66.93160438532541,30.2736728212255,31.15418653341668,1.953481376659738e-09,0.018983007073515534,3.5385521563726465,1.898300707351531,5.684341886080802e-14,0.0
B,5Hz,110,0.725701691906,2.3257576594049034,1.5257296756554517,0.8000279837494517,75.46547274314807,129.69258662993292,30.247677817262296,35.44533145996802,1.0474863199050333e-09,0.03733688409779908,3.013153213666758,1.6270902422653393,1.4210854715202004e-14,0.0
C,5Hz,0,-0.010333090379481427,-0.05339243419703885,-0.03186276228826014,-0.021529671908778712,-0.09496534763560753,-3.0868485357221997,30.973416637890985,31.510127936555318,8.097308379362289e-10,8.813026835514947e-07,3.239377422853265,8.813010291319756e-05,2.1316282072803006e-14,0.0
C,5Hz,46,1.6048833870047075,-1.347182794013066,0.1288502964958207,-1.4760330905088868,17.486695055103237,-16.373764521893428,31.013757494762466,32.10229260948102,5.4944807661994055e-09,0.0010953213366958362,3.4674108125790544,0.10953213372520226,7.105427357601002e-15,0.0
C,5Hz,74,0.679378509714848,-1.8922390809181233,-0.6064302856016377,-1.2858087953164856,20.483719138060128,-10.533584718322865,31.019049527867303,32.077347508042635,7.820412095682627e-10,0.001959670688047426,3.5962969419808943,0.1959670687958761,1.4210854715202004e-14,0.0
C,5Hz,101,-16.17886146468295,-18.39526519234469,-17.28706332851382,-1.108201863830871,-313.6731959073819,-291.0765050969974,29.34780842457127,32.45509530233733,3.84851484014348e-10,0.15790972327986846,3.402464529477643,4.10635123003129,2.842170943040401e-14,0.0
C,5Hz,110,-21.660394720401932,-17.378311386651024,-19.51935305352648,2.141041666875454,-470.27903055316483,-309.96736295469015,41.19454995980708,32.34605612173786,2.791435069204873e-10,0.2709660755142016,3.326894480740701,8.496336558036248,1.4210854715202004e-14,0.0
D,5Hz,0,-0.010334156972298654,-0.053394078179406855,-0.03186411757585275,-0.0215299606035541,-0.0949607690963496,-3.08685070114956,30.973417211486783,31.51012856822834,2.5593527297473884e-11,8.765926340188837e-07,3.23937756173171,8.76592588276992e-05,7.105427357601002e-15,0.0
D,5Hz,46,2.069644571327245,-1.7389805119592123,0.16533202968401628,-1.9043125416432285,22.575936908338996,-21.470699125427302,30.966030695350234,32.14603315043415,1.3734771209250596e-08,0.0038697277440016766,3.5077135085506446,0.38697277425998017,4.924879948298155e-15,0.0
D,5Hz,74,1.9759299710771228,-1.6164588164217786,0.1797355773276721,-1.7961943937494507,25.630589475329124,-17.90193897117806,30.93519854908831,32.07056522704569,1.3703871371006926e-10,0.008001056255677468,3.623794647422503,0.8001056255658536,2.1316282072803006e-14,0.0
D,5Hz,101,-16.17886126356605,-18.395264240966824,-17.287062752266436,-1.108201488700388,-313.6731956941481,-291.07648539127774,29.347808298981022,32.45509524469977,1.8663781631289567e-10,0.15790972366578634,3.4024645573828805,4.106351353339695,1.4210854715202004e-14,0.0
D,5Hz,110,-21.660394710354414,-17.3783113511794,-19.519353030766908,2.1410416795875076,-470.27903105531493,-309.967362136077,41.19454998409181,32.34605612475317,1.4246130941586443e-09,0.2709660758550058,3.3268944813026593,8.496336586291278,1.4210854715202004e-14,0.0
