scenario,episode,tick,physics_begin,physics_end,source_time_ns,receipt_time_ns,core_status,probe_status,dt_s,command_attempted,command_accepted,probe_command_attempted,probe_command_accepted,fault_event,injected_torque_nm,zoh_ctrl_max_difference,contact_left,contact_right,base_position_0,base_position_1,base_position_2,base_quaternion_0,base_quaternion_1,base_quaternion_2,base_quaternion_3,base_linear_velocity_0,base_linear_velocity_1,base_linear_velocity_2,base_angular_velocity_0,base_angular_velocity_1,base_angular_velocity_2,q_0,q_1,q_2,q_3,q_4,q_5,dq_0,dq_1,dq_2,dq_3,dq_4,dq_5,tau_0,tau_1,tau_2,tau_3,tau_4,tau_5,ctrl_0,ctrl_1,ctrl_2,ctrl_3,ctrl_4,ctrl_5,reference_0,reference_1,reference_2,reference_3,reference_4,reference_5,tau_pd_0,tau_pd_1,tau_pd_2,tau_pd_3,tau_pd_4,tau_pd_5,tau_gravity_0,tau_gravity_1,tau_gravity_2,tau_gravity_3,tau_gravity_4,tau_gravity_5,tau_raw_0,tau_raw_1,tau_raw_2,tau_raw_3,tau_raw_4,tau_raw_5,saturated_0,saturated_1,saturated_2,saturated_3,saturated_4,saturated_5,disturbance_0,disturbance_1,disturbance_2,disturbance_3,disturbance_4,disturbance_5
control,0,171,855,860,1710000000,1710000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.088616270688987364,1.7330797091572321e-05,0.56581053255581226,0.99995088033440704,-1.4476833831147609e-05,-0.009911443313519475,-5.5494941040672262e-07,7.9001524918175375e-06,-3.7841806249232029e-05,1.2459883444050502e-06,6.4827681274173192e-05,1.3928920911751829e-05,1.1331110776149249e-05,-1.3294618353408831,2.2068257986801503,1.1884596491840176e-05,-1.2294980778770401,2.2070873572361474,-1.9849402725210157e-05,7.3871117836275241e-05,7.9077894481057354e-05,6.8133647683749645e-06,9.435840444722176e-05,6.0824182921974977e-05,-3.641136274986781e-05,-0.28654709333811806,1.4883917305875694,0.00035443294782326899,-0.11782221615954257,1.6004601755934746,-7.6088756550214844e-05,0.28654709333811806,-1.4883917305875694,-0.00035443294782326899,0.11782221615954257,-1.6004601755934746,7.6088756550214844e-05,-1.3267204090965414,2.208800254273827,0,-1.2267204090965413,2.208800254273827,0,0.032786308255346043,0.023574850282398873,-3.9060471859708013e-06,0.033190487759314616,0.020463528177772576,7.7753889550564386e-06,-0.31933340159346413,1.4648168803051704,0.00035833899500923981,-0.15101270391885718,1.5799966474157021,-8.3864145505271279e-05,-0.28654709333811806,1.4883917305875694,0.00035443294782326899,-0.11782221615954257,1.6004601755934746,-7.6088756550214844e-05,0,0,0,0,0,0,0,0,0,0,0,0
control,0,172,860,865,1720000000,1720000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.088616235936896576,1.693416827305378e-05,0.56581053808041704,0.99995088064362136,-1.4136476626191284e-05,-0.0099114126115446288,-4.9918973211563836e-07,5.9074352313663354e-07,-4.078185545415434e-05,1.0024439852681629e-07,6.9880177799294617e-05,1.0635352117152126e-06,1.2131547072058917e-05,-1.3294611437009638,2.2068265556825,1.1956881779594763e-05,-1.2294971867529816,2.20708791763284,-2.0195090796703092e-05,6.5658072811173229e-05,7.3508608405106881e-05,7.9296078265894905e-06,8.5507013478654749e-05,5.2601389916632043e-05,-3.2869440282228332e-05,-0.28654099854136922,1.4883927661536691,0.00035435515422585262,-0.11781753127331911,1.6004673312145312,-7.6161710289627616e-05,0.28654099854136922,-1.4883927661536691,-0.00035435515422585262,0.11781753127331911,-1.6004673312145312,7.6161710289627616e-05,-1.3267204090965414,2.208800254273827,0,-1.2267204090965413,2.208800254273827,0,0.032790328143851653,0.023574120183316474,-3.9835449252079028e-06,0.033193071357064938,0.020469137606969317,7.7019992531223444e-06,-0.31933132668522085,1.4648186459703527,0.00035833869915106054,-0.15101060263038404,1.579998193607562,-8.386370954274996e-05,-0.28654099854136922,1.4883927661536691,0.00035435515422585262,-0.11781753127331911,1.6004673312145312,-7.6161710289627616e-05,0,0,0,0,0,0,0,0,0,0,0,0
control,0,173,865,870,1730000000,1730000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.088616271555002651,1.6512259133510216e-05,0.56581053257379221,0.99995088033920076,-1.3774356278963626e-05,-0.0099114438368122539,-4.4024774426994645e-07,-6.2543677838704715e-06,-4.3036092100802251e-05,-9.728088282037998e-07,7.3756816923330567e-05,-1.0984917551402879e-05,1.2731323502424766e-05,-1.3294605357304334,2.206827253930308,1.2038962273360028e-05,-1.2294963857635017,2.207088394178943,-2.0507790486725497e-05,5.7166602726622709e-05,6.7412705966760512e-05,8.8744014587996653e-06,7.6355630725839216e-05,4.4101955085183233e-05,-2.9678630148471482e-05,-0.28653369308166277,1.4883951231007053,0.00035428302033679008,-0.11781155626860873,1.6004757226664859,-7.6227060513155183e-05,0.28653369308166277,-1.4883951231007053,-0.00035428302033679008,0.11781155626860873,-1.6004757226664859,7.6227060513155183e-05,-1.3267204090965414,2.208800254273827,0,-1.2267204090965413,2.208800254273827,0,0.032795769702614115,0.023574885063277783,-4.0554087549479912e-06,0.033197186557435913,0.020476168205980215,7.6362686534412234e-06,-0.31932946278427687,1.4648202380374276,0.00035833842909173809,-0.15100874282604465,1.5799995544605057,-8.3863329166596412e-05,-0.28653369308166277,1.4883951231007053,0.00035428302033679008,-0.11781155626860873,1.6004757226664859,-7.6227060513155183e-05,0,0,0,0,0,0,0,0,0,0,0,0
control,0,174,870,875,1740000000,1740000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.088616372566858739,1.6071869777832466e-05,0.56581051681515027,0.99995087946443062,-1.3396312398060076e-05,-0.0099115326113724811,-3.7905775822376284e-07,-1.2581196359946408e-05,-4.4615329672061811e-05,-1.9647052011720291e-06,7.6475981621852043e-05,-2.2121397090896898e-05,1.3134427419526913e-05,-1.32946001351369,2.2068278887959534,1.212917881278087e-05,-1.2294956772311894,2.2070887849043981,-2.0790862194179542e-05,4.8519627642660447e-05,6.0897045629147897e-05,9.6474347273785352e-06,6.7020600780380297e-05,3.5462242473060937e-05,-2.682367560730611e-05,-0.28652534543833791,1.4883986884926541,0.00035421706107967987,-0.11780444381167202,1.6004851644706952,-7.6284564955357483e-05,0.28652534543833791,-1.4883986884926541,-0.00035421706107967987,0.11780444381167202,-1.6004851644706952,7.6284564955357483e-05,-1.3267204090965414,2.208800254273827,0,-1.2267204090965413,2.208800254273827,0,0.032802473564319208,0.023577040166039544,-4.1211253802031875e-06,0.033202686714605578,0.020484439069437178,7.5784424386191685e-06,-0.31932781900265711,1.4648216483266145,0.00035833818645988305,-0.15100713052627759,1.580000725401258,-8.3863007393976646e-05,-0.28652534543833791,1.4883986884926541,0.00035421706107967987,-0.11780444381167202,1.6004851644706952,-7.6284564955357483e-05,0,0,0,0,0,0,0,0,0,0,0,0
control,0,175,875,880,1750000000,1750000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.088616533515191137,1.5619644081540937e-05,0.56581049165912423,0.99995087806679306,-1.3008051153536911e-05,-0.0099116741340338262,-3.1652860448466871e-07,-1.8345598707353959e-05,-4.5538306171425564e-05,-2.8685196869035328e-06,7.8069653175983123e-05,-3.2268183230647489e-05,1.3347104669064365e-05,-1.3294595779410541,2.2068284567086498,1.2225881439869724e-05,-1.2294950623397389,2.2070890891557018,-2.1047506827972556e-05,3.9834012078373232e-05,5.4066680050420579e-05,1.0250491385700384e-05,5.7614273966088051e-05,2.6810576690560668e-05,-2.4288080146535793e-05,-0.28651612605896565,1.4884033421636462,0.00035415768344320206,-0.117796350918868,1.6004954700247676,-7.6334090155422778e-05,0.28651612605896565,-1.4884033421636462,-0.00035415768344320206,0.117796350918868,-1.6004954700247676,7.6334090155422778e-05,-1.3267204090965414,2.208800254273827,0,-1.2267204090965413,2.208800254273827,0,0.032810275116034127,0.023580470762050533,-4.1802890012459358e-06,0.033209417507421936,0.020493765552466448,7.5286560557185566e-06,-0.31932640117499977,1.4648228714015956,0.00035833797244444801,-0.15100576842628993,1.5800017044723011,-8.3862746211141331e-05,-0.28651612605896565,1.4884033421636462,0.00035415768344320206,-0.117796350918868,1.6004954700247676,-7.6334090155422778e-05,0,0,0,0,0,0,0,0,0,0,0,0
control,0,176,880,885,1760000000,1760000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.08861674855986984,1.5161994543770334e-05,0.56581045802042529,0.99995087619711576,-1.2615080691900028e-05,-0.0099118632665685935,-2.535336016322714e-07,-2.3513178826867871e-05,-4.5830992999847612e-05,-3.6788538370435457e-06,7.8582227413959369e-05,-4.1364710767118087e-05,1.3377651133211254e-05,-1.3294592287752427,2.2068289551296094,1.2327448737073417e-05,-1.2294945411809148,2.2070893075097038,-2.1280755111251985e-05,3.121951525546972e-05,4.7023711907747651e-05,1.0687295044316874e-05,4.8243787183166292e-05,1.8266243456216864e-05,-2.2054275817817112e-05,-0.28650620512806196,1.4884089586209375,0.00035410518843538265,-0.11778743673548019,1.6005064539942846,-7.6375606297440448e-05,0.28650620512806196,-1.4884089586209375,-0.00035410518843538265,0.11778743673548019,-1.6005064539942846,7.6375606297440448e-05,-1.3267204090965414,2.208800254273827,0,-1.2267204090965413,2.208800254273827,0,0.032819006871531976,0.023585054162749149,-4.2325993733378688e-06,0.033217219331707168,0.020503961804294077,7.4869403242664516e-06,-0.31932521199959396,1.4648239044581883,0.00035833778780872052,-0.15100465606718735,1.5800024921899904,-8.3862546621706901e-05,-0.28650620512806196,1.4884089586209375,0.00035410518843538265,-0.11778743673548019,1.6005064539942846,-7.6375606297440448e-05,0,0,0,0,0,0,0,0,0,0,0,0
control,0,177,885,890,1770000000,1770000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.088617011574248714,1.4705034373975978e-05,0.56581041685875244,0.99995087390873527,-1.2222652757537109e-05,-0.0099120946184857121,-1.9090154948860768e-07,-2.8059080686120918e-05,-4.5525851805072992e-05,-4.3918035150756046e-06,7.8069241520454868e-05,-4.9367204622605112e-05,1.3236190249542228e-05,-1.3294589647274508,2.2068293825164274,1.2432305589913529e-05,-1.2294941128128192,2.2070894416783995,-2.1493458566289744e-05,2.2777897130372156e-05,3.9866258574967069e-05,1.0963340596014728e-05,3.9009995347570192e-05,9.9386595759799187e-06,-2.0103801089403262e-05,-0.28649575048334452,1.4884154088891151,0.00035405977420181436,-0.11777786043346329,1.6005179345368097,-7.6409181079249299e-05,0.28649575048334452,-1.4884154088891151,-0.00035405977420181436,0.11777786043346329,-1.6005179345368097,7.6409181079249299e-05,-1.3267204090965414,2.208800254273827,0,-1.2267204090965413,2.208800254273827,0,0.032828500725217383,0.023590661700933088,-4.2778587067747947e-06,0.033225929602312618,0.020514843155765922,7.4532276243570865e-06,-0.31932425120856189,1.4648247471881819,0.00035833763290858917,-0.15100379003577591,1.5800030913810437,-8.386240870360639e-05,-0.28649575048334452,1.4884154088891151,0.00035405977420181436,-0.11777786043346329,1.6005179345368097,-7.6409181079249299e-05,0,0,0,0,0,0,0,0,0,0,0,0
control,0,178,890,895,1780000000,1780000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.088617316238799301,1.4254517258146015e-05,0.56581036916412453,0.9999508712566838,-1.1835710904462381e-05,-0.0099123626294240711,-1.2940880195224297e-07,-3.1967677099525659e-05,-4.4661051700754861e-05,-5.00491039070707e-06,7.6596032670758144e-05,-5.6248132669469155e-05,1.2934440126004115e-05,-1.329458783541478,2.206829738277797,1.2538939258948478e-05,-1.2294937753279438,2.207089494406413,-2.1688282251058724e-05,1.4602181165810606e-05,3.2687530989537828e-05,1.1085714917422291e-05,3.0006556092837082e-05,1.9267124755095362e-06,-1.8417484815236734e-05,-0.28648492569572992,1.4884225622774621,0.00035402154019103095,-0.11776777924596805,1.6005297353410857,-7.6434972757390975e-05,0.28648492569572992,-1.4884225622774621,-0.00035402154019103095,0.11776777924596805,-1.6005297353410857,7.6434972757390975e-05,-1.3267204090965414,2.208800254273827,0,-1.2267204090965413,2.208800254273827,0,0.032838590067489522,0.023597160655874867,-4.3159675235556577e-06,0.033235384942690169,0.020526228340254499,7.4273589160794541e-06,-0.31932351576321943,1.4648254016215871,0.00035833750771458659,-0.15100316418865822,1.5800035070008311,-8.3862331673470431e-05,-0.28648492569572992,1.4884225622774621,0.00035402154019103095,-0.11776777924596805,1.6005297353410857,-7.6434972757390975e-05,0,0,0,0,0,0,0,0,0,0,0,0
control,0,179,895,900,1790000000,1790000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.088617656131064454,1.3815785127466581e-05,0.56581031594278663,0.9999508682969056,-1.1458845576753815e-05,-0.0099126616483095151,-6.9772458045618671e-08,-3.5232165522089135e-05,-4.3279659042820463e-05,-5.517098846182558e-06,7.4236349388423018e-05,-6.1995494698293741e-05,1.2485473804504101e-05,-1.3294586820843366,2.2068300227197271,1.2645913673744212e-05,-1.2294935259294708,2.2070894693628489,-2.1867699287311012e-05,6.7760726890671601e-06,2.5575030493433396e-05,1.1062909650132871e-05,2.1319168403592483e-05,-5.6817327150236563e-06,-1.6975633276233362e-05,-0.28647388832608028,1.488430288054098,0.00035399049225256444,-0.11775734665370771,1.600541687467695,-7.6453222507182026e-05,0.28647388832608028,-1.488430288054098,-0.00035399049225256444,0.11775734665370771,-1.600541687467695,7.6453222507182026e-05,-1.3267204090965414,2.208800254273827,0,-1.2267204090965413,2.208800254273827,0,0.032849111744508379,0.023604416103458908,-4.3469195846299068e-06,0.033245423242548221,0.020537941530809633,7.4090914500049713e-06,-0.31932300007058867,1.4648258719506391,0.00035833741183719436,-0.15100276989625594,1.5800037459368854,-8.3862313957186994e-05,-0.28647388832608028,1.488430288054098,0.00035399049225256444,-0.11775734665370771,1.600541687467695,-7.6453222507182026e-05,0,0,0,0,0,0,0,0,0,0,0,0
control,0,180,900,905,1800000000,1800000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.088618024811066676,1.339372413250202e-05,0.56581025820382547,0.99995086508551378,-1.1096256233096347e-05,-0.0099129860085138393,-1.2644693327947983e-08,-3.7854081718730619e-05,-4.142881160000092e-05,-5.9286000371820429e-06,7.107093592753111e-05,-6.6611966815843465e-05,1.1903476103988769e-05,-1.3294586564418116,2.2068302369844455,1.2751881888568321e-05,-1.2294933610142946,2.2070893710291704,-2.2033987192179267e-05,-6.2647018620654952e-07,1.8609865798665062e-05,1.0904628868164268e-05,1.3024963840709572e-05,-1.2810162338660914e-05,-1.5758217460725785e-05,-0.28646278836854622,1.488438457012736,0.00035396654854491391,-0.11774671073511882,1.600553630980416,-7.6464246234698665e-05,0.28646278836854622,-1.488438457012736,-0.00035396654854491391,0.11774671073511882,-1.600553630980416,7.6464246234698665e-05,-1.3267204090965414,2.208800254273827,0,-1.2267204090965413,2.208800254273827,0,0.032859907848521386,0.023612292673880115,-4.3707960099787093e-06,0.033255885567278362,0.020549814179387487,7.3981070306900691e-06,-0.3193226962170676,1.4648261643388558,0.00035833734455489261,-0.15100259630239718,1.5800038168010286,-8.3862353265388734e-05,-0.28646278836854622,1.488438457012736,0.00035396654854491391,-0.11774671073511882,1.600553630980416,-7.6464246234698665e-05,0,0,0,0,0,0,0,0,0,0,0,0
control,0,181,905,910,1810000000,1810000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.088618415901416947,1.2992728910374745e-05,0.56581019694661339,0.99995086167809233,-1.0751720591564983e-05,-0.0099133300983521352,4.1391761885310172e-08,-3.9842742590500493e-05,-3.9158888473198394e-05,-6.2408647706110425e-06,6.7186109156307301e-05,-7.0113921119950603e-05,1.1203500318168667e-05,-1.329458702017462,2.2068303829831932,1.2855596665708457e-05,-1.2294932762612509,2.2070892045847024,-2.2189225997635937e-05,-7.5415170173436878e-06,1.1866189873042498e-05,1.0621594272340576e-05,5.1920480750562104e-06,-1.9393586286123313e-05,-1.4745057730112586e-05,-0.28645176688870455,1.4884469429212588,0.00035394954613110458,-0.11773601269082787,1.6005654163623479,-7.6468425986838618e-05,0.28645176688870455,-1.4884469429212588,-0.00035394954613110458,0.11773601269082787,-1.6005654163623479,7.6468425986838618e-05,-1.3267204090965414,2.208800254273827,0,-1.2267204090965413,2.208800254273827,0,0.032870827326572469,0.023620656202795451,-4.3877587133295663e-06,0.033266617904402516,0.020561686648924514,7.3940206857964103e-06,-0.31932259421527703,1.4648262867184634,0.00035833730484443417,-0.15100263059523039,1.5800037297134235,-8.3862446672635028e-05,-0.28645176688870455,1.4884469429212588,0.00035394954613110458,-0.11773601269082787,1.6005654163623479,-7.6468425986838618e-05,0,0,0,0,0,0,0,0,0,0,0,0
control,0,182,910,915,1820000000,1820000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.088618823161484228,1.2616675122370474e-05,0.56581013314918138,0.99995085812904905,-1.0428570976227637e-05,-0.0099136884263550315,9.1827005968395044e-08,-4.1214629543897903e-05,-3.6522686521842515e-05,-6.456467088754647e-06,6.2672346397858571e-05,-7.2530340697470709e-05,1.0401227863832311e-05,-1.3294588136336236,2.2068304633241058,1.2955919177272199e-05,-1.2294932667230858,2.2070889757912879,-2.2335298117676018e-05,-1.3915304076095883e-05,5.4107568290132365e-06,1.022535044779098e-05,-2.1208128233488545e-06,-2.5378559365577918e-05,-1.391600356505552e-05,-0.28644095485912591,1.488455623840806,0.00035393924813725868,-0.11772538554757934,1.6005769057112624,-7.6466201085535751e-05,0.28644095485912591,-1.488455623840806,-0.00035393924813725868,0.11772538554757934,-1.6005769057112624,7.6466201085535751e-05,-1.3267204090965414,2.208800254273827,0,-1.2267204090965413,2.208800254273827,0,0.032881727401100354,0.023629375261410422,-4.398043275571209e-06,0.033277472737768363,0.020573409629516932,7.396389613555582e-06,-0.31932268226022625,1.4648262485793955,0.00035833729141282987,-0.15100285828534771,1.5800034960817455,-8.386259069909133e-05,-0.28644095485912591,1.488455623840806,0.00035393924813725868,-0.11772538554757934,1.6005769057112624,-7.6466201085535751e-05,0,0,0,0,0,0,0,0,0,0,0,0
control,0,183,915,920,1830000000,1830000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.088619240555098816,1.2268900135928165e-05,0.56581006775760245,0.99995085449102317,-1.0129677658244095e-05,-0.0099140556808527056,1.3822623348705684e-07,-4.1992723817735607e-05,-3.3574613356275716e-05,-6.5790002776399987e-06,5.7622901488699443e-05,-7.3901650032626029e-05,9.5127337470068687e-06,-1.3294589856330381,2.2068304812363602,1.3051825839462259e-05,-1.2294933269207478,2.2070886908785545,-2.2473889901734669e-05,-1.9704238573582164e-05,-6.9740444067341332e-07,9.7280725221872783e-06,-8.8643664713314866e-06,-3.0723061735396496e-05,-1.3251106164058839e-05,-0.28643047219524737,1.4884643833092488,0.00035393535135259962,-0.11771495304699775,1.6005879737144026,-7.6458059114825521e-05,0.28643047219524737,-1.4884643833092488,-0.00035393535135259962,0.11771495304699775,-1.6005879737144026,7.6458059114825521e-05,-1.3267204090965414,2.208800254273827,0,-1.2267204090965413,2.208800254273827,0,0.032892474795820449,0.023638322556262796,-4.4019513779480421e-06,0.033288310440183932,0.020584845335872529,7.4047222787233426e-06,-0.31932294699106784,1.4648260607529859,0.00035833730273054768,-0.15100326348718168,1.5800031283785301,-8.3862781393548869e-05,-0.28643047219524737,1.4884643833092488,0.00035393535135259962,-0.11771495304699775,1.6005879737144026,-7.6458059114825521e-05,0,0,0,0,0,0,0,0,0,0,0,0
control,0,184,920,925,1840000000,1840000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.08861966231137762,1.1952191629044381e-05,0.56581000167645257,0.9999508508143552,-9.8574390017012232e-06,-0.0099144267835071485,1.802309220115961e-07,-4.2205805014799436e-05,-3.0369906167453855e-05,-6.6129670809750883e-06,5.2132464963912799e-05,-7.4278480613020826e-05,8.5542604921389149e-06,-1.3294592119798105,2.206830440491736,1.3142413315541743e-05,-1.2294934509386537,2.2070883564311394,-2.260649479191373e-05,-2.4874777134939987e-05,-6.4072030991277205e-06,9.1423784561237343e-06,-1.4998916263093072e-05,-3.5396248200561318e-05,-1.2730781825094863e-05,-0.28642042698995185,1.4884731113830696,0.00035393749414797121,-0.11770482872021248,1.6005985084041205,-7.6444526887859435e-05,0.28642042698995185,-1.4884731113830696,-0.00035393749414797121,0.11770482872021248,-1.6005985084041205,7.6444526887859435e-05,-1.3267204090965414,2.208800254273827,0,-1.2267204090965413,2.208800254273827,0,0.032902946764931718,0.023647376189739906,-4.3998429174687094e-06,0.033299000479742914,0.020595868484551427,7.4184875288288623e-06,-0.31932337375488357,1.4648257351933296,0.00035833733706543993,-0.15100382919995539,1.580002639919569,-8.3863014416688295e-05,-0.28642042698995185,1.4884731113830696,0.00035393749414797121,-0.11770482872021248,1.6005985084041205,-7.6444526887859435e-05,0,0,0,0,0,0,0,0,0,0,0,0
control,0,185,925,930,1850000000,1850000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.088620082978369319,1.1668783807501495e-05,0.5658099357603954,0.9999508471466162,-9.6137781491133699e-06,-0.0099147969365270417,2.1755898515809973e-07,-4.1887723819497944e-05,-2.6963884807412521e-05,-6.5636658217235499e-06,4.6295882811185716e-05,-7.3720391059627394e-05,7.542002906438277e-06,-1.3294594863584912,2.2068303453246982,1.3226901743418293e-05,-1.2294936325196555,2.2070879792791147,-2.2734417984545148e-05,-2.940318801338391e-05,-1.1675590581414313e-05,8.4811479080158951e-06,-2.0494239658961259e-05,-3.9378077725503139e-05,-1.2335964484174277e-05,-0.28641091494373283,1.4884817055345412,0.00035394526459851393,-0.11769511514786768,1.6006084116991715,-7.6426161503984926e-05,0.28641091494373283,-1.4884817055345412,-0.00035394526459851393,0.11769511514786768,-1.6006084116991715,7.6426161503984926e-05,-1.3267204090965414,2.208800254273827,0,-1.2267204090965413,2.208800254273827,0,0.032913031925417363,0.023656420775417006,-4.3921279184262826e-06,0.033309422436858194,0.020606367053135503,7.4371236195722586e-06,-0.31932394686915017,1.4648252847591241,0.0003583373925169402,-0.15100453758472587,1.5800020446460359,-8.386328512355719e-05,-0.28641091494373283,1.4884817055345412,0.00035394526459851393,-0.11769511514786768,1.6006084116991715,-7.6426161503984926e-05,0,0,0,0,0,0,0,0,0,0,0,0
control,0,186,930,935,1860000000,1860000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.088620497469324128,1.1420360846651088e-05,0.56580987080692136,0.99995084353220254,-9.400145913880362e-06,-0.0099151616633940103,2.5000394918011168e-07,-4.1076659482569348e-05,-2.3411246617451145e-05,-6.4370741137479506e-06,4.0206946663364785e-05,-7.2294560411961123e-05,6.4919057883571073e-06,-1.3294598022701862,2.2068302003520466,1.3304636261791195e-05,-1.2294938651585301,2.2070875663927518,-2.2858782481857971e-05,-3.3275207730808069e-05,-1.6467561701888351e-05,7.7573494736823067e-06,-2.532939221242498e-05,-4.2658834892300203e-05,-1.2048245961614786e-05,-0.28640201898444217,1.488490071402532,0.00035395820869787547,-0.11768590340212431,1.600617599738043,-7.640354160166405e-05,0.28640201898444217,-1.488490071402532,-0.00035395820869787547,0.11768590340212431,-1.600617599738043,7.640354160166405e-05,-1.3267204090965414,2.208800254273827,0,-1.2267204090965413,2.208800254273827,0,0.032922630895333808,0.023665348403917649,-4.379258352221474e-06,0.033319466832183696,0.020616242825240223,7.46004704263813e-06,-0.31932464987977599,1.4648247229986144,0.00035833746705009697,-0.15100537023430802,1.5800013569128026,-8.3863588644302186e-05,-0.28640201898444217,1.488490071402532,0.00035395820869787547,-0.11768590340212431,1.600617599738043,-7.640354160166405e-05,0,0,0,0,0,0,0,0,0,0,0,0
control,0,187,935,940,1870000000,1870000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.088620901101499019,1.1208067100240976e-05,0.56580980755025656,0.99995084001199563,-9.2175294874548357e-06,-0.0099155168430197331,2.7743321951485897e-07,-3.9814372164876589e-05,-1.9765409541938958e-05,-6.2397317394207219e-06,3.3957266657640474e-05,-7.0074472323939177e-05,5.4194763972387508e-06,-1.3294601531246961,2.2068300104931304,1.3375086924478472e-05,-1.2294941421929022,2.2070871247826194,-2.2980536407392466e-05,-3.6485603052011811e-05,-2.0756059394472653e-05,6.9838778157802171e-06,-2.9492407190331056e-05,-4.523855610474996e-05,-1.1850002730182354e-05,-0.28639380906940215,1.4884981233975074,0.00035397583856090585,-0.11767727266607443,1.6006260030138186,-7.6377258903558142e-05,0.28639380906940215,-1.4884981233975074,-0.00035397583856090585,0.11767727266607443,-1.6006260030138186,7.6377258903558142e-05,-1.3267204090965414,2.208800254273827,0,-1.2267204090965413,2.208800254273827,0,0.032931656742434291,0.023674059457450256,-4.3617199681325527e-06,0.033329035767115864,0.020625411728648447,7.4866610587268574e-06,-0.31932546581183646,1.4648240639400572,0.00035833755852903842,-0.15100630843319029,1.5800005912851702,-8.3863919962285001e-05,-0.28639380906940215,1.4884981233975074,0.00035397583856090585,-0.11767727266607443,1.6006260030138186,-7.6377258903558142e-05,0,0,0,0,0,0,0,0,0,0,0,0
control,0,188,940,945,1880000000,1880000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.088621289627502264,1.1032523559284914e-05,0.56580974665644113,0.99995083662308648,-9.0664665178020241e-06,-0.0099158587373392223,2.9978551140095563e-07,-3.8145459643250803e-05,-1.6077909080796201e-05,-5.97862415679524e-06,2.7635236499983482e-05,-6.7138606907007811e-05,4.3396132137516396e-06,-1.329460532327809,2.2068297808915434,1.3437847106796711e-05,-1.2294944568906279,2.207086661405901,-2.3100461448339906e-05,-3.9037649752825165e-05,-2.4521790545506042e-05,6.1734021187721742e-06,-3.2979901443721538e-05,-4.7126373622295783e-05,-1.1724508211501167e-05,-0.28638634216059033,1.4885057851631227,0.00035399764051152218,-0.1176692900236446,1.6006335663215367,-7.6347910143717573e-05,0.28638634216059033,-1.4885057851631227,-0.00035399764051152218,0.1176692900236446,-1.6006335663215367,7.6347910143717573e-05,-1.3267204090965414,2.208800254273827,0,-1.2267204090965413,2.208800254273827,0,0.032940035249840433,0.02368246327322172,-4.3400242379776222e-06,0.03333804338120383,0.020633803975544717,7.5163638450770298e-06,-0.31932637741043074,1.4648233218899009,0.00035833766474949983,-0.15100733340484843,1.579999762345992,-8.3864273988794606e-05,-0.28638634216059033,1.4885057851631227,0.00035399764051152218,-0.1176692900236446,1.6006335663215367,-7.6347910143717573e-05,0,0,0,0,0,0,0,0,0,0,0,0
control,0,189,945,950,1890000000,1890000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.088621659259275939,1.0893849994450341e-05,0.56580968871955994,0.99995083339856339,-8.9470640731264153e-06,-0.0099161840124256159,3.1706752503898187e-07,-3.611662720474706e-05,-1.2397853631770459e-05,-5.6610680766527987e-06,2.1325098555845546e-05,-6.3569155736333918e-05,3.2664522292973046e-06,-1.3294609333629783,2.206829516839139,1.3492630519262353e-05,-1.2294948025327588,2.2070861830796713,-2.3219182281382482e-05,-4.0942540356933408e-05,-2.77529604100237e-05,5.3382268897988677e-06,-3.5796598926109649e-05,-4.8339790255678013e-05,-1.1656030064066415e-05,-0.28637966236157864,1.4885129898975049,0.00035402308296980889,-0.11766201041119523,1.6006402485301665,-7.6316089446044015e-05,0.28637966236157864,-1.4885129898975049,-0.00035402308296980889,0.11766201041119523,-1.6006402485301665,7.6316089446044015e-05,-1.3267204090965414,2.208800254273827,0,-1.2267204090965413,2.208800254273827,0,0.032947705007778133,0.023690478656871131,-4.3147005002686493e-06,0.033346416132998408,0.020641364015251618,7.5485561876180651e-06,-0.31932736736935674,1.4648225112406337,0.00035833778347007752,-0.15100842654419364,1.5799988845149149,-8.3864645633662075e-05,-0.28637966236157864,1.4885129898975049,0.00035402308296980889,-0.11766201041119523,1.6006402485301665,-7.6316089446044015e-05,0,0,0,0,0,0,0,0,0,0,0,0
