scenario,episode,tick,physics_begin,physics_end,source_time_ns,receipt_time_ns,core_status,probe_status,dt_s,command_attempted,command_accepted,probe_command_attempted,probe_command_accepted,fault_event,injected_torque_nm,zoh_ctrl_max_difference,contact_left,contact_right,base_position_0,base_position_1,base_position_2,base_quaternion_0,base_quaternion_1,base_quaternion_2,base_quaternion_3,base_linear_velocity_0,base_linear_velocity_1,base_linear_velocity_2,base_angular_velocity_0,base_angular_velocity_1,base_angular_velocity_2,q_0,q_1,q_2,q_3,q_4,q_5,dq_0,dq_1,dq_2,dq_3,dq_4,dq_5,tau_0,tau_1,tau_2,tau_3,tau_4,tau_5,ctrl_0,ctrl_1,ctrl_2,ctrl_3,ctrl_4,ctrl_5,reference_0,reference_1,reference_2,reference_3,reference_4,reference_5,tau_pd_0,tau_pd_1,tau_pd_2,tau_pd_3,tau_pd_4,tau_pd_5,tau_gravity_0,tau_gravity_1,tau_gravity_2,tau_gravity_3,tau_gravity_4,tau_gravity_5,tau_raw_0,tau_raw_1,tau_raw_2,tau_raw_3,tau_raw_4,tau_raw_5,saturated_0,saturated_1,saturated_2,saturated_3,saturated_4,saturated_5,disturbance_0,disturbance_1,disturbance_2,disturbance_3,disturbance_4,disturbance_5
control,0,168,840,845,1680000000,1680000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.089279234360644985,1.8734997686113985e-05,0.56570635573601857,0.99994490294742655,-1.5671604146384985e-05,-0.010497181678176006,-8.2297541529762956e-07,0.00061135680823232446,-1.8588723697983719e-06,9.65953944555741e-05,3.4135417964155108e-06,0.0010764572063579401,-1.0688817953647226e-06,-1.4296062479621972,2.2064068686413654,-1.4174448927128961e-05,-1.3296735753757496,2.2066650123186022,-4.4043671074318407e-05,0.0011666556870820351,0.0013550150611587048,5.9375402961994183e-05,0.0012139766830257298,0.0012510773181776604,1.4168953598230738e-05,-0.45198148034525115,1.3617390343708411,0.00037734533829303807,-0.28599006904732144,1.4887670089837153,-0.00011053753014985316,0.45198148034525115,-1.3617390343708411,-0.00037734533829303807,0.28599006904732144,-1.4887670089837153,0.00011053753014985316,-1.4267204090965415,2.208800254273827,0,-1.3267204090965414,2.208800254273827,0,0.03288008285724453,0.026688104997801249,1.2835645300389785e-06,0.03361703032595937,0.023746287485430419,1.2504653642383984e-05,-0.48486156320249568,1.3350509293730399,0.00037606177376299911,-0.3196070993732808,1.4650207214982849,-0.00012304218379223715,-0.45198148034525115,1.3617390343708411,0.00037734533829303807,-0.28599006904732144,1.4887670089837153,-0.00011053753014985316,0,0,0,0,0,0,0,0,0,0,0,0
control,0,169,845,850,1690000000,1690000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.089273695594320857,1.867380868885676e-05,0.56570723090310016,0.99994495412451101,-1.5618122368765659e-05,-0.010492305577338197,-8.218195217088428e-07,0.0005153441743752788,-8.8914775882035225e-06,8.1428232906936366e-05,1.5430525434517754e-05,0.00090744909790607653,1.2516799892413808e-06,-1.4295947924058328,2.2064201637910066,-1.3472148654195987e-05,-1.3296616667374304,2.2066772835746558,-4.3777773223115057e-05,0.0011311494077686152,0.0013127596267724303,7.719536207211759e-05,0.0011755029020761568,0.0012110865921679842,3.4520379342173262e-05,-0.4520289802424271,1.3616765300534304,0.0003762396398366156,-0.28604047710014147,1.4887092054729139,-0.00011162548795625948,0.4520289802424271,-1.3616765300534304,-0.0003762396398366156,0.28604047710014147,-1.4887092054729139,0.00011162548795625948,-1.4267204090965415,2.208800254273827,0,-1.3267204090965414,2.208800254273827,0,0.032795875599841956,0.026591946353686106,1.8187649265291562e-07,0.033531837337552897,0.023659018501802697,1.1407312999825854e-05,-0.48482485584226903,1.3350845836997443,0.0003760577633439627,-0.31957231443769435,1.4650501869711112,-0.00012303280095608533,-0.4520289802424271,1.3616765300534304,0.0003762396398366156,-0.28604047710014147,1.4887092054729139,-0.00011162548795625948,0,0,0,0,0,0,0,0,0,0,0,0
control,0,170,850,855,1700000000,1700000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.089269118627984687,1.8545397258091707e-05,0.56570795414345065,0.99994499640056866,-1.5507102258935642e-05,-0.010488275946985322,-8.1012180934970052e-07,0.0004192570489346631,-1.5399203745330323e-05,6.6251339042953001e-05,2.6548096880414238e-05,0.00073830678610422131,3.4173248951673954e-06,-1.429583759482512,2.2064329610643667,-1.2607789994924356e-05,-1.3296502104330257,2.2066890840605087,-4.3325823706098775e-05,0.001083971394017657,0.001257523325961959,9.3523188145186367e-05,0.0011252609003485398,0.0011589636947150856,5.3141291289090747e-05,-0.45205526580051814,1.3616382191025804,0.00037516004978611672,-0.28606913225065833,1.48867412383977,-0.00011268301839937048,0.45205526580051814,-1.3616382191025804,-0.00037516004978611672,0.28606913225065833,-1.48867412383977,0.00011268301839937048,-1.4267204090965415,2.208800254273827,0,-1.3267204090965414,2.208800254273827,0,0.032734247540619758,0.02652123352458036,-8.9382240878201194e-07,0.033469724687288059,0.023595597017747008,1.0340682547375094e-05,-0.4847895133411379,1.3351169855780001,0.00037605387219489871,-0.31953885693794637,1.465078526822023,-0.00012302370094674557,-0.45205526580051814,1.3616382191025804,0.00037516004978611672,-0.28606913225065833,1.48867412383977,-0.00011268301839937048,0,0,0,0,0,0,0,0,0,0,0,0
control,0,171,855,860,1710000000,1710000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.089265497112794648,1.8355335342012527e-05,0.56570852647714831,0.99994502984416878,-1.5343324939848414e-05,-0.010485087214920237,-7.8866377193991238e-07,0.00032426468468408297,-2.1329592332720723e-05,5.1248874503357459e-05,3.6676779934361295e-05,0.00057108859915882366,5.4095392203871271e-06,-1.4295732580673204,2.2064451393977187,-1.1596590250319824e-05,-1.3296393161837927,2.2067003007854131,-4.2705299078999778e-05,0.0010264641217404646,0.0011907933880618191,0.00010822124970902762,0.0010646152071041998,0.0010961226434878096,6.9917216901072557e-05,-0.45206138582749983,1.3616230108911764,0.00037411805355944458,-0.28607708497044043,1.4886607276586155,-0.0001136992470834494,0.45206138582749983,-1.3616230108911764,-0.00037411805355944458,0.28607708497044043,-1.4886607276586155,0.0001136992470834494,-1.4267204090965415,2.208800254273827,0,-1.3267204090965414,2.208800254273827,0,0.032694491466735684,0.026475188431206734,-1.932085410355434e-06,0.033429962236359155,0.023555257895734517,9.3157288786463051e-06,-0.48475587729423553,1.3351478224599698,0.00037605013896980003,-0.31950704720679957,1.4651054697628809,-0.00012301497596209571,-0.45206138582749983,1.3616230108911764,0.00037411805355944458,-0.28607708497044043,1.4886607276586155,-0.0001136992470834494,0,0,0,0,0,0,0,0,0,0,0,0
control,0,172,860,865,1720000000,1720000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.089262813528984727,1.8109656910864324e-05,0.56570895068341853,0.99994505462473893,-1.5131966246318325e-05,-0.010482723976897425,-7.583053552825874e-07,0.00023144791908111974,-2.6640609925971049e-05,3.6591020583716951e-05,4.5744927901680162e-05,0.00040769724969071233,7.213133309796532e-06,-1.4295633833991723,2.206456592850921,-1.0454911584164894e-05,-1.3296290798535362,2.2067108351213713,-4.1934595322386292e-05,0.0009600076023256513,0.0011141017869945105,0.00012118272254355486,0.0009949689172631497,0.0010240165044569935,8.4763493962824625e-05,-0.45204856631448931,1.3616296053181765,0.00037312393532657563,-0.28606556927605536,1.4886677839873554,-0.00011466450382491057,0.45204856631448931,-1.3616296053181765,-0.00037312393532657563,0.28606556927605536,-1.4886677839873554,0.00011466450382491057,-1.4267204090965415,2.208800254273827,0,-1.3267204090965414,2.208800254273827,0,0.032675680228081212,0.026452784394380053,-2.9226626519282754e-06,0.033411595708042238,0.023537005072782197,8.3422038985746558e-06,-0.48472424654257051,1.3351768209237964,0.0003760465979785039,-0.31947716498409762,1.4651307789145733,-0.00012300670772348522,-0.45204856631448931,1.3616296053181765,0.00037312393532657563,-0.28606556927605536,1.4886677839873554,-0.00011466450382491057,0,0,0,0,0,0,0,0,0,0,0,0
control,0,173,865,870,1730000000,1730000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.08926104011613438,1.7814754028651332e-05,0.5657092311537304,0.99994507100395946,-1.4878507691927409e-05,-0.010481161815229147,-7.1996926471324514e-07,0.00014179175913318115,-3.1300576718481682e-05,2.2432837416543791e-05,5.3698599074877955e-05,0.00024986678537942741,8.8162372740615351e-06,-1.4295542168162019,2.2064672309290501,-9.1999678942329144e-06,-1.3296195831758637,2.2067206030753441,-4.1032744954557578e-05,0.00088600031838931715,0.0010290036945101114,0.00013233076277954458,0.00091774417169975214,0.00094411721867884485,9.762436784420304e-05,-0.45201818415251255,1.3616565220584984,0.00037218673127526603,-0.28603597594218033,1.4886938910168268,-0.00011557036206316225,0.45201818415251255,-1.3616565220584984,-0.00037218673127526603,0.28603597594218033,-1.4886938910168268,0.00011557036206316225,-1.4267204090965415,2.208800254273827,0,-1.3267204090965414,2.208800254273827,0,0.032676692158340258,0.026452774595557858,-3.8565477707073552e-06,0.033413472694317672,0.023539638553776016,7.4286050941571216e-06,-0.48469487631085278,1.3352037474629406,0.0003760432790459734,-0.31944944863649799,1.4651542524630508,-0.00012299896715731938,-0.45201818415251255,1.3616565220584984,0.00037218673127526603,-0.28603597594218033,1.4886938910168268,-0.00011557036206316225,0,0,0,0,0,0,0,0,0,0,0,0
control,0,174,870,875,1740000000,1740000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.089260139867748764,1.7477274414288675e-05,0.56570937373500951,0.99994507932668641,-1.4588648722195006e-05,-0.010480368173978091,-6.7462540823585825e-07,5.6179603723970771e-05,-3.528796720055702e-05,8.9133771470627451e-06,6.0501213712507105e-05,9.9152420814836348e-05,1.0210254542963801e-05,-1.4295458256759679,2.2064769786952447,-7.8495415732486159e-06,-1.3296108936705933,2.2067295353661227,-4.0019144748735639e-05,0.00080584114845018504,0.00093705705749410814,0.00014161737681913573,0.00083436365962054489,0.00085789650774226504,0.00010847179483676592,-0.45197174069913143,1.361702130097344,0.00037131420106618397,-0.28598982553081176,1.4887375059779835,-0.00011640966054551152,0.45197174069913143,-1.361702130097344,-0.00037131420106618397,0.28598982553081176,-1.4887375059779835,0.00011640966054551152,-1.4267204090965415,2.208800254273827,0,-1.3267204090965414,2.208800254273827,0,0.032696237230441107,0.026473721356745854,-4.726006368982202e-06,0.033434269399191176,0.023561782130837868,6.5821536827823956e-06,-0.48466797792957256,1.3352284087405981,0.00037604020743516617,-0.31942409493000296,1.4651757238471457,-0.00012299181422829392,-0.45197174069913143,1.361702130097344,0.00037131420106618397,-0.28598982553081176,1.4887375059779835,-0.00011640966054551152,0,0,0,0,0,0,0,0,0,0,0,0
control,0,175,875,880,1750000000,1750000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.089260067573966775,1.710402171157155e-05,0.56570938556547767,0.99994508001152793,-1.4268221297980049e-05,-0.010480303276500992,-6.2327566596904408e-07,-2.4610931747130507e-05,-3.8591092975023544e-05,-3.8449550554220271e-06,6.6133009585896745e-05,-4.3076811449524245e-05,1.1389776389738595e-05,-1.4295382634496621,2.2064857766870065,-6.4217128848761349e-06,-1.3296030647381636,2.2067375773175963,-3.8913296683603098e-05,0.00072091243998121215,0.00083980347193830871,0.00014902202156506672,0.0007462333043560548,0.00076680801891385443,0.00011730398587942067,-0.45191083552940264,1.3617646771748158,0.00037051281661759427,-0.28592874157926418,1.4887969729527881,-0.00011717650820542753,0.45191083552940264,-1.3617646771748158,-0.00037051281661759427,0.28592874157926418,-1.4887969729527881,0.00011717650820542753,-1.4267204090965415,2.208800254273827,0,-1.3267204090965414,2.208800254273827,0,0.032732883577474677,0.026514025833938089,-5.5245872127904962e-06,0.033472517742931793,0.023601911446396846,5.8087897111098947e-06,-0.48464371910687731,1.3352506513408777,0.00037603740383038479,-0.31940125932219599,1.4651950615063913,-0.00012298529791653743,-0.45191083552940264,1.3617646771748158,0.00037051281661759427,-0.28592874157926418,1.4887969729527881,-0.00011717650820542753,0,0,0,0,0,0,0,0,0,0,0,0
control,0,176,880,885,1760000000,1760000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.0892607708966702,1.6701859581988801e-05,0.56570927490554501,0.99994507354120077,-1.3923107762904107e-05,-0.010480921071508609,-5.6693916044346494e-07,-9.9910640449402046e-05,-4.1207678612641558e-05,-1.5736800731359283e-05,7.0590314779346808e-05,-0.00017564268241675911,1.2352461000189077e-05,-1.4295315699780693,2.2064935806497594,-4.9346043434458632e-06,-1.3295961359194488,2.206744688581594,-3.7734564410745505e-05,0.00063256436441518277,0.00073875049949737243,0.00015454997065057646,0.00065472626700084039,0.00067227084593943491,0.0001241437272387858,-0.45183714067966868,1.3618423187919699,0.00036978776714796917,-0.28585442426257879,1.4888705502583925,-0.0001178662733683856,0.45183714067966868,-1.3618423187919699,-0.00036978776714796917,0.28585442426257879,-1.4888705502583925,0.0001178662733683856,-1.4267204090965415,2.208800254273827,0,-1.3267204090965414,2.208800254273827,0,0.032785084031710522,0.026571957739564622,-6.2471172294950649e-06,0.033526632474387252,0.023658382037886543,5.1131829612843599e-06,-0.48462222471137922,1.3352703610524053,0.00037603488437746424,-0.31938105673696604,1.4652121682205059,-0.00012297945632966996,-0.45183714067966868,1.3618423187919699,0.00036978776714796917,-0.28585442426257879,1.4888705502583925,-0.0001178662733683856,0,0,0,0,0,0,0,0,0,0,0,0
control,0,177,885,890,1770000000,1770000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.089262191461884036,1.6277620619163926e-05,0.56570905096608592,0.99994506045277709,-1.3559162849202951e-05,-0.010482170194349737,-5.0663818614395132e-07,-0.00016915986728889397,-4.3144342411929755e-05,-2.6674019411999544e-05,7.3884658077821117e-05,-0.00029755978033385258,1.3098880450072757e-05,-1.4295257718758214,2.2065003611027927,-3.406142165281817e-06,-1.3295901333071591,2.2067508427047153,-3.650194720280854e-05,0.00054210066617581937,0.00063535554647328849,0.00015823047658175402,0.00056116838124163388,0.00057565453690398372,0.00012903650737653921,-0.45175237567122428,1.3619331464561064,0.00036914297959717517,-0.28576862482545617,1.4889564370991173,-0.00011847555814769841,0.45175237567122428,-1.3619331464561064,-0.00036914297959717517,0.28576862482545617,-1.4889564370991173,0.00011847555814769841,-1.4267204090965415,2.208800254273827,0,-1.3267204090965414,2.208800254273827,0,0.03285120235209503,0.026645684732701611,-6.8896811795031569e-06,0.033594937955550047,0.023729457023983797,4.4987587920156011e-06,-0.48460357802331933,1.3352874617234047,0.00037603266077667832,-0.31936356278100625,1.4652269800751334,-0.00012297431693971401,-0.45175237567122428,1.3619331464561064,0.00036914297959717517,-0.28576862482545617,1.4889564370991173,-0.00011847555814769841,0,0,0,0,0,0,0,0,0,0,0,0
control,0,178,890,895,1780000000,1780000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.089264265955126376,1.58380209651874e-05,0.56570872373630998,0.99994504132793316,-1.3182140576258252e-05,-0.0104839949309037,-4.4338493759802057e-07,-0.00023190825152635244,-4.4415993876542393e-05,-3.6585644098202138e-05,7.6041736897140583e-05,-0.00040803506095103085,1.3632339997038647e-05,-1.4295208830695265,2.206506102753742,-1.8538365365499081e-06,-1.3295850700940399,2.2067560265545003,-3.5233873007201272e-05,0.00045076588808788676,0.00053101139947115794,0.00016011476826634994,0.00046682510303940522,0.00047826567348069831,0.00013204849229045621,-0.45165828356490284,1.3620352148717541,0.00036858115297151711,-0.28567312104326475,1.4890527992123699,-0.0001190021596462902,0.45165828356490284,-1.3620352148717541,-0.00036858115297151711,0.28567312104326475,-1.4890527992123699,0.0001190021596462902,-1.4267204090965415,2.208800254273827,0,-1.3267204090965414,2.208800254273827,0,0.032929538843688121,0.026733301141812563,-7.4495874523525262e-06,0.033675694315422791,0.023813334121698913,3.9677372876375706e-06,-0.48458782240859094,1.3353019137299416,0.00037603074042386964,-0.31934881535868753,1.465239465090671,-0.00012296989693392777,-0.45165828356490284,1.3620352148717541,0.00036858115297151711,-0.28567312104326475,1.4890527992123699,-0.0001190021596462902,0,0,0,0,0,0,0,0,0,0,0,0
control,0,179,895,900,1790000000,1790000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.089266927206243102,1.5389581385991393e-05,0.56570830381330128,0.99994501678330328,-1.2797626689294078e-05,-0.010486336172237732,-3.781691572979051e-07,-0.00028781316106080336,-4.5045160621575786e-05,-4.5417634984020059e-05,7.7100264848747416e-05,-0.00050646509550920395,1.3958673197084963e-05,-1.4295169054546595,2.2065108037785532,-2.9458204679002376e-07,-1.329580947242383,2.206760239621016,-3.3948011848101087e-05,0.00035973413591053007,0.00042703348282821144,0.0001602739209224418,0.00037289003614357448,0.00038133608396687861,0.00013326438261484052,-0.45155660827442579,1.3621465678200009,0.00036810380516290206,-0.28556969394401188,1.4891577932604743,-0.00011944501924424162,0.45155660827442579,-1.3621465678200009,-0.00036810380516290206,0.28556969394401188,-1.4891577932604743,0.00011944501924424162,-1.4267204090965415,2.208800254273827,0,-1.3267204090965414,2.208800254273827,0,0.033018355093549744,0.02683285571904253,-7.9253214320850836e-06,0.033767122695882987,0.023908171707781759,3.5211844236882992e-06,-0.48457496336797551,1.3353137121009584,0.00037602912659498715,-0.31933681663989488,1.4652496215526924,-0.00012296620366792992,-0.45155660827442579,1.3621465678200009,0.00036810380516290206,-0.28556969394401188,1.4891577932604743,-0.00011944501924424162,0,0,0,0,0,0,0,0,0,0,0,0
control,0,180,900,905,1800000000,1800000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.089270105251252924,1.4938555435144105e-05,0.5657078022351546,0.99994498746102778,-1.2410977176515292e-05,-0.010489132349054941,-3.1194680623183e-07,-0.00033663692176462,-4.5061257396711036e-05,-5.3132447094221331e-05,7.7110720473969369e-05,-0.00059243119849038692,1.4086016996587948e-05,-1.4295138296555994,2.2065144749843633,1.2555206592220234e-06,-1.3295777542588694,2.2067634932103655,-3.2661110499297671e-05,0.00027009942191102932,0.00032464887532948329,0.00015879663061165426,0.00028047507402387153,0.00028601271818895089,0.00013278519058399562,-0.45144907333667439,1.3622652625055975,0.00036771133094064756,-0.28546010599721694,1.4892695897677841,-0.00011980416158841332,0.45144907333667439,-1.3622652625055975,-0.00036771133094064756,0.28546010599721694,-1.4892695897677841,0.00011980416158841332,-1.4267204090965415,2.208800254273827,0,-1.3267204090965414,2.208800254273827,0,0.033115897575827613,0.026942378160570397,-8.3164877283493201e-06,0.033867429336899471,0.024012113684254717,3.1590736205895192e-06,-0.484564970912502,1.3353228843450271,0.00037602781866899688,-0.3193275353341164,1.4652574760835293,-0.00012296323520900285,-0.45144907333667439,1.3622652625055975,0.00036771133094064756,-0.28546010599721694,1.4892695897677841,-0.00011980416158841332,0,0,0,0,0,0,0,0,0,0,0,0
control,0,181,905,910,1810000000,1810000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.089273728359814758,1.4490865208886268e-05,0.56570723031946379,0.99994495401959682,-1.2027263294698164e-05,-0.010492320335911865,-2.4562984011449033e-07,-0.00037824295288630685,-4.4499809896516356e-05,-5.9708428787818923e-05,7.6134018789750327e-05,-0.00066569263031302493,1.4024570987474953e-05,-1.4295116358729583,2.2065171388729463,2.7813213512058523e-06,-1.3295754700585389,2.2067658095468241,-3.1388849002834654e-05,0.00018286759953548942,0.00022498710157189004,0.00015578693171295455,0.00019060216804142152,0.00019334920416526222,0.00013072596347783112,-0.45133736229749621,1.3623893921825183,0.00036740306939297301,-0.28534608093158792,1.4893863944128243,-0.00012008062443020159,0.45133736229749621,-1.3623893921825183,-0.00036740306939297301,0.28534608093158792,-1.4893863944128243,0.00012008062443020159,-1.4267204090965415,2.208800254273827,0,-1.3267204090965414,2.208800254273827,0,0.033220419917697697,0.027059904158210135,-8.623742991009485e-06,0.033974828291907892,0.024123312917786559,2.8803565269588392e-06,-0.48455778221519391,1.3353294880243083,0.00037602681238398247,-0.31932090922349582,1.4652630814950378,-0.00012296098095716042,-0.45133736229749621,1.3623893921825183,0.00036740306939297301,-0.28534608093158792,1.4893863944128243,-0.00012008062443020159,0,0,0,0,0,0,0,0,0,0,0,0
control,0,182,910,915,1820000000,1820000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.089277724018071825,1.4052045069337065e-05,0.5657065995087569,0.99994491712505884,-1.1651223425516506e-05,-0.010495836316192627,-1.8007715530997815e-07,-0.00041259092562240501,-4.3401645857023373e-05,-6.5139068382033042e-05,7.4240127064139559e-05,-0.00072617808092628364,1.3786344736490461e-05,-1.429510294802314,2.2065188286225244,4.2687542979494361e-06,-1.3295740639016265,2.2067672208004119,-3.0145719430026227e-05,9.8949887053784855e-05,0.00012907270634757178,0.00015136186516423146,0.00010419672305650535,0.00010429908331771796,0.0001272134749867712,-0.45122310085055595,1.362517106877517,0.00036717738057358734,-0.28522928533094044,1.4895064675187335,-0.0001202763802517629,0.45122310085055595,-1.362517106877517,-0.00036717738057358734,0.28522928533094044,-1.4895064675187335,0.0001202763802517629,-1.4267204090965415,2.208800254273827,0,-1.3267204090965414,2.208800254273827,0,0.033330203638688514,0.027183498756110161,-8.8487195475964047e-06,0.034087562576435693,0.02423995305600465,2.6830420796693079e-06,-0.48455330448924444,1.3353336081214069,0.00037602610012118376,-0.31931684790737613,1.4652665144627288,-0.00012295942233143221,-0.45122310085055595,1.362517106877517,0.00036717738057358734,-0.28522928533094044,1.4895064675187335,-0.0001202763802517629,0,0,0,0,0,0,0,0,0,0,0,0
control,0,183,915,920,1830000000,1830000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.089282019857829173,1.3627193589303672e-05,0.56570592122428032,0.99994487744267269,-1.1287221978800106e-05,-0.010499616599881188,-1.1608675002067971e-07,-0.000439731066190338,-4.1812065670328115e-05,-6.9432107636586109e-05,7.1506645753208084e-05,-0.00077397564762374227,1.3384897121308077e-05,-1.4295097686085994,2.2065195870055732,5.7049498301768596e-06,-1.3295734963871708,2.2067677680565092,-2.8944926897127667e-05,1.9157956864225404e-05,3.7819579610765658e-05,0.00014564915443522573,2.2082591774496782e-05,1.9710695337284946e-05,0.00012238393255882744,-0.45110784083373578,1.3626466320940009,0.00036703172854088851,-0.28511131211151336,1.4896281416257635,-0.00012039425206761027,0.45110784083373578,-1.3626466320940009,-0.00036703172854088851,0.28511131211151336,-1.4896281416257635,0.00012039425206761027,-1.4267204090965415,2.208800254273827,0,-1.3267204090965414,2.208800254273827,0,0.033443577209397647,0.027311277849629716,-8.9939426708143446e-06,0.034203923599890884,0.024360268564807372,2.5642814411969268e-06,-0.48455141804313345,1.3353353542443713,0.00037602567121170286,-0.31931523571140424,1.4652678730609561,-0.0001229585335088072,-0.45110784083373578,1.3626466320940009,0.00036703172854088851,-0.28511131211151336,1.4896281416257635,-0.00012039425206761027,0,0,0,0,0,0,0,0,0,0,0,0
control,0,184,920,925,1840000000,1840000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.089286544524250985,1.3220933852600338e-05,0.56570520672935531,0.99994483562907155,-1.093921545656148e-05,-0.010503598387255083,-5.4389128309907656e-08,-0.000459797727439392,-3.9780004267020001e-05,-7.2608540589511273e-05,6.801737469791428e-05,-0.0008093215251484049,1.2835071387214943e-05,-1.4295100119407307,2.2065194652598419,7.0783235732462277e-06,-1.3295737204876539,2.2067675002437253,-2.7798312561057725e-05,-5.5799449678780153e-05,-4.797301527196972e-05,0.00013878490671386041,-5.5021372777887362e-05,-5.9676334661725214e-05,0.00011638071852208038,-0.45099304615953478,1.3627762854047722,0.000366962769852996,-0.28499366596283104,1.4897498370611395,-0.0001204378243612405,0.45099304615953478,-1.3627762854047722,-0.000366962769852996,0.28499366596283104,-1.4897498370611395,0.0001204378243612405,-1.4267204090965415,2.208800254273827,0,-1.3267204090965414,2.208800254273827,0,0.033558933304788152,0.027441427690729107,-9.0627424076668884e-06,0.034322268752516177,0.024482562863213281,2.5204578422132982e-06,-0.48455197946432293,1.3353348577140431,0.00037602551226066286,-0.31931593471534725,1.4652672741979262,-0.0001229582822034538,-0.45099304615953478,1.3627762854047722,0.000366962769852996,-0.28499366596283104,1.4897498370611395,-0.0001204378243612405,0,0,0,0,0,0,0,0,0,0,0,0
control,0,185,925,930,1850000000,1850000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.089291228475512185,1.2837382129606928e-05,0.5657044670033391,0.99994479232499656,-1.0610725693817464e-05,-0.010507720472720547,4.3580428221248394e-09,-0.00047300235389162822,-3.7357195446630155e-05,-7.4701516738684735e-05,6.3860883692696304e-05,-0.00083258762773931038,1.2152729561779492e-05,-1.4295109729715705,2.2065185219292487,8.3786437580639529e-06,-1.3295746826094521,2.2067664730356875,-2.6716298099795621e-05,-0.00012531844118464467,-0.0001276227708264125,0.00013091136582115377,-0.00012650326743162668,-0.00013323306657729361,0.00010935219158019746,-0.45088008072262359,1.3629044908676897,0.00036696644606525768,-0.28487775079924643,1.4898700754455227,-0.00012041135062322812,0.45088008072262359,-1.3629044908676897,-0.00036696644606525768,0.28487775079924643,-1.4898700754455227,0.00012041135062322812,-1.4267204090965415,2.208800254273827,0,-1.3267204090965414,2.208800254273827,0,0.033674744162124508,0.027572222291179112,-9.0591614184768745e-06,0.034441037056075562,0.024605224457539519,2.5472798509288128e-06,-0.4845548248847481,1.3353322685765106,0.00037602560748373453,-0.31931878785532197,1.4652648509879833,-0.00012295863047415693,-0.45088008072262359,1.3629044908676897,0.00036696644606525768,-0.28487775079924643,1.4898700754455227,-0.00012041135062322812,0,0,0,0,0,0,0,0,0,0,0,0
control,0,186,930,935,1860000000,1860000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.089296004709083721,1.2480124839983751e-05,0.56570371262703356,0.99994474814864776,-1.0304820199887734e-05,-0.010511923884105224,5.9574029598156907e-08,-0.0004796259644532787,-3.4597349157685662e-05,-7.5755167501580771e-05,5.9129105384198746e-05,-0.00084426836161646693,1.1354489625142656e-05,-1.4295125944489877,2.2065168216906197,9.5970772542628994e-06,-1.3295763236645644,2.2067647477417225,-2.570785095318636e-05,-0.00018890050046937805,-0.00020056510043953767,0.00012217473994201433,-0.00019185866528405177,-0.00020044174906036908,0.0001014495705998229,-0.45077019830331916,1.363029791230697,0.00036703807887774204,-0.28476485924391176,1.4899874911057751,-0.00012031965879238883,0.45077019830331916,-1.363029791230697,-0.00036703807887774204,0.28476485924391176,-1.4899874911057751,0.00012031965879238883,-1.4267204090965415,2.208800254273827,0,-1.3267204090965414,2.208800254273827,0,0.033789574980058301,0.027702038649146787,-8.987860173379587e-06,0.034558762814201137,0.024726741008844456,2.6398767559647633e-06,-0.48455977328337746,1.3353277525815501,0.00037602593905112163,-0.31932362205811288,1.4652607500969306,-0.00012295953554835359,-0.45077019830331916,1.363029791230697,0.00036703807887774204,-0.28476485924391176,1.4899874911057751,-0.00012031965879238883,0,0,0,0,0,0,0,0,0,0,0,0
