scenario,episode,tick,time_s,status,safety_latched,command_accepted,contact_left,contact_right,x_m,vx_m_s,pitch_rad,wy_rad_s,roll_rad,wx_rad_s,yaw_rad,wz_rad_s,y_m,height_m,vy_m_s,vz_m_s,zoh_ctrl_max_difference,q0,q1,q2,q3,q4,q5,dq0,dq1,dq2,dq3,dq4,dq5,support0,support1,support2,support3,support4,support5,pd0,pd1,pd2,pd3,pd4,pd5,raw0,raw1,raw2,raw3,raw4,raw5,tau0,tau1,tau2,tau3,tau4,tau5,ctrl0,ctrl1,ctrl2,ctrl3,ctrl4,ctrl5,u0,u1,u2
hold,0,0,0.01,0,0,1,2,2,0,0,0,0,0,0,0,0.0050000000000000001,8.0999999999999997e-07,0.31543998403249462,-0.00038689076000000003,0,0,-0.97199891583533837,1.6393957458903228,0,-0.98339093564557467,1.6394010277077622,0,-0,-0,-0,-0,-0,-0,-0.044217794267602542,-3.1325438643315864,0,0.041124284318536736,-3.2506637741279025,0,0,0,0,0,0,0,-0.044213873233435008,-3.1326463640675573,0.00043090583993471361,0.041120422871435004,-3.2505646177177918,-0.00056247135060059233,-0.044213873233435008,-3.1326463640675573,0.00043090583993471361,0.041120422871435004,-3.2505646177177918,-0.00056247135060059233,0.044213873233435008,3.1326463640675573,-0.00043090583993471361,-0.041120422871435004,3.2505646177177918,0.00056247135060059233,-6.5782755332939371e-05,0.0001427181657071265,0.000496688595267653
hold,0,1,0.020000000000000004,0,0,1,2,2,-8.3440132164769309e-09,-1.4025322632770513e-06,-2.4548450458793302e-08,-4.1116067882898185e-06,5.75608960158358e-06,0.00082870224051892114,4.4344050534748709e-05,0.0040788778997723979,-2.9060459495666425e-06,0.3154399791799084,-0.00036316335250580846,-8.0725495295926126e-07,0,-0.97199414194198419,1.6393864955833366,9.3331594010556446e-05,-0.98339408099364733,1.6394100728019816,-9.8916645980778823e-05,0.00060981770257937491,-0.0013371623764085743,0.013557275268627586,-0.00034761015957636443,0.0013141641549683052,-0.014595430351610395,-0.044217794267602542,-3.1325438643315864,0,0.041124284318536736,-3.2506637741279025,0,-0.00064800884941282994,0.0014111648322979735,0,0.00037277294415767625,-0.0013865249087234681,0,-0.044861729781396645,-3.1312391805467876,0.00045140255899643405,0.041493045828632051,-3.2519472911769967,-0.00052982868100275287,-0.044861729781396645,-3.1312391805467876,0.00045140255899643405,0.041493045828632051,-3.2519472911769967,-0.00052982868100275287,0.044861729781396645,3.1312391805467876,-0.00045140255899643405,-0.041493045828632051,3.2519472911769967,0.00052982868100275287,-3.9213061003159391e-05,0.00014826164806932453,0.00049061561999959346
hold,0,2,0.030000000000000013,0,0,1,2,2,-5.5248803448870731e-09,1.3756119286876621e-06,-1.6383222981936064e-06,-0.00026624577246568693,1.5017430987292176e-05,0.00094991936313792243,7.9946211634421288e-05,0.0032355698110458336,-6.2580902256271642e-06,0.31543994976539486,-0.00031701239126588913,-4.3664442663769141e-06,0,-0.97199220886612059,1.6393715264940161,0.00026340636437279647,-0.98339581093596939,1.6394252217994283,-0.00028538606182917014,-0.00014017666120471212,-0.0015407279981763955,0.018746489252015046,-1.499108691622482e-06,0.0015896052415229019,-0.020831437101111541,-0.044217794267602542,-3.1325438643315864,0,0.041124284318536736,-3.2506637741279025,0,8.6520907462435523e-05,0.0017344831686300088,0,4.0501431849410992e-05,-0.0017831579748516743,0,-0.044126963432641962,-3.1309220469576773,0.00066522421001221667,0.041160541319877432,-3.2523379412293529,-0.00029526905081772651,-0.044126963432641962,-3.1309220469576773,0.00066522421001221667,0.041160541319877432,-3.2523379412293529,-0.00029526905081772651,0.044126963432641962,3.1309220469576773,-0.00066522421001221667,-0.041160541319877432,3.2523379412293529,0.00029526905081772651,0.00018497757959724505,0.00015687314126438466,0.00048024663041497156
hold,0,3,0.040000000000000022,0,0,1,2,2,1.6311338391084007e-08,2.6851307861301898e-06,-3.5175517357882424e-06,-0.00013572389184589591,2.4172948027731789e-05,0.00087905614689537642,0.00010860283194631539,0.0026339350339203301,-9.1502580473045992e-06,0.31543993074421034,-0.0002706910493964857,-2.6487326609818145e-07,0,-0.97199709400298739,1.6393561731208601,0.00047229030791524072,-0.98339133658622468,1.6394407255622439,-0.00051056914159576679,-0.00074176821505013305,-0.0015109980901302405,0.022195269686352926,0.00077095500205747803,0.0015060463626801813,-0.023570057251373375,-0.044217794267602542,-3.1325438643315864,0,0.041124284318536736,-3.2506637741279025,0,0.000727193556242302,0.0018275802458314243,0,-0.00076774747685736733,-0.0018236291985334397,0,-0.043486191581982282,-3.1308315431163556,0.00059703363767293189,0.040352194716839283,-3.2523759038030571,-0.000366153271470913,-0.043486191581982282,-3.1308315431163556,0.00059703363767293189,0.040352194716839283,-3.2523759038030571,-0.000366153271470913,0.043486191581982282,3.1308315431163556,-0.00059703363767293189,-0.040352194716839283,3.2523759038030571,0.000366153271470913,0.00011544018310100947,0.00016048390049703374,0.00048159345457192247
hold,0,4,0.050000000000000031,0,0,1,2,2,5.4725216816486899e-08,4.5784187698400651e-06,-5.0696680865851409e-06,-0.00016822685996338162,3.2348497849264414e-05,0.00077182796881563719,0.00013260098606038728,0.002252629814434861,-1.1615435844680935e-05,0.31543993246000407,-0.00023036064912187139,4.5864706802858233e-07,0,-0.97200843555700156,1.63934173811387,0.00070830739349755445,-0.98338011389848645,1.6394551730518865,-0.00076123395849634387,-0.0014101009336602319,-0.0013916473488170191,0.024572264809400196,0.0013740645154466326,0.0013978589182325547,-0.026122380323571552,-0.044217794267602542,-3.1325438643315864,0,0.041124284318536736,-3.2506637741279025,0,0.0014862587069657282,0.0018237095604395272,0,-0.0014606384921523831,-0.0018310216712268752,0,-0.042726880732637036,-3.1308418366082797,0.00065421367669054264,0.039659061736748602,-3.2523770829676617,-0.00033465571334884728,-0.042726880732637036,-3.1308418366082797,0.00065421367669054264,0.039659061736748602,-3.2523770829676617,-0.00033465571334884728,0.042726880732637036,3.1308418366082797,-0.00065421367669054264,-0.039659061736748602,3.2523770829676617,0.00033465571334884728,0.00015977898167084771,0.00016942686174772616,0.00049443469501969498
hold,0,5,0.060000000000000039,0,0,1,2,2,1.095912679216493e-07,6.0565181846531897e-06,-6.5605416186593306e-06,-0.00013635857611616123,3.9481471701384357e-05,0.0006722771186441546,0.00015390148656944916,0.0020521172007740198,-1.3718568172042915e-05,0.31543994899053129,-0.00019689335175199186,2.4451596264628673e-06,0,-0.97202571754121547,1.6393283914730268,0.00096908307839055189,-0.98336290855478559,1.6394684943304454,-0.0010370786890495766,-0.001955426896507035,-0.0012939116177429506,0.027162667381831762,0.0019702789665600414,0.0012863880171033542,-0.028668854354502192,-0.044217794267602542,-3.1325438643315864,0,0.041124284318536736,-3.2506637741279025,0,0.0021698405435238328,0.0018327469561109106,0,-0.0021944956928727174,-0.0018261209985689446,0,-0.042042990311643678,-3.1308408659168978,0.0006737998097536992,0.038924900641080604,-3.2523643787096463,-0.00036721971285615833,-0.042042990311643678,-3.1308408659168978,0.0006737998097536992,0.038924900641080604,-3.2523643787096463,-0.00036721971285615833,0.042042990311643678,3.1308408659168978,-0.0006737998097536992,-0.038924900641080604,3.2523643787096463,0.00036721971285615833,0.00015329004844877046,0.00018065874667484743,0.00052050976130492877
hold,0,6,0.070000000000000048,0,0,1,2,2,1.8030733890672668e-07,7.7115909673711893e-06,-8.0244852223896775e-06,-0.00015312844789892936,4.5735591664773614e-05,0.00059306321398517789,0.00017406790228089382,0.0019927021331682736,-1.5528853104154045e-05,0.31543998017467678,-0.00017041905848219621,3.5636059304620961e-06,0,-0.97204841823531196,1.639315886333597,0.0012575437406880912,-0.98334016134191327,1.6394809158301835,-0.001341611328905302,-0.0024978396986967306,-0.001220474965584995,0.030073246429588675,0.0024992746553919964,0.0012121709476367248,-0.031773566880943772,-0.044217794267602542,-3.1325438643315864,0,0.041124284318536736,-3.2506637741279025,0,0.0028938588984854414,0.0018593514193908872,0,-0.0029054690846832365,-0.0018512759270073109,0,-0.041318535055098124,-3.1308256824958955,0.00074019739198891144,0.038213496987180288,-3.252378485126191,-0.00037857186529481862,-0.041318535055098124,-3.1308256824958955,0.00074019739198891144,0.038213496987180288,-3.252378485126191,-0.00037857186529481862,0.041318535055098124,3.1308256824958955,-0.00074019739198891144,-0.038213496987180288,3.252378485126191,0.00037857186529481862,0.00018081276334704641,0.00019656113109471057,0.00055938462864186503
hold,0,7,0.080000000000000057,0,0,1,2,2,2.6728935001441023e-07,9.3160955763421747e-06,-9.5772757549736683e-06,-0.00015677044683804219,5.1336127441344449e-05,0.0005371619177913995,0.00019434996828957297,0.0020481644906416799,-1.711543125747024e-05,0.31544002466047188,-0.00015078950739126599,5.0348947802299906e-06,0,-0.9720764221347522,1.6393038643996751,0.0015790166468244347,-0.98331208663067193,1.6394927869713196,-0.0016806579898833284,-0.0030234338433409759,-0.0011894670530103759,0.033647972455738952,0.0030381671126812923,0.0011706148423176977,-0.035473093497767075,-0.044217794267602542,-3.1325438643315864,0,0.041124284318536736,-3.2506637741279025,0,0.0036434842386516321,0.0019245189781915719,0,-0.0036689592319031935,-0.0019046889507770793,0,-0.040568359722195399,-3.1307748922946672,0.00081009066480398624,0.037449465205338511,-3.2524179897515606,-0.00041348929060224145,-0.040568359722195399,-3.1307748922946672,0.00081009066480398624,0.037449465205338511,-3.2524179897515606,-0.00041348929060224145,0.040568359722195399,3.1307748922946672,-0.00081009066480398624,-0.037449465205338511,3.2524179897515606,0.00041348929060224145,0.0001983006871008724,0.00021657981778729383,0.00061178997770311384
hold,0,8,0.090000000000000066,0,0,1,2,2,3.7090192614441797e-07,1.1014881934739477e-05,-1.1243932558699962e-05,-0.0001733369130301365,5.6522912568374117e-05,0.00050547407822928276,0.00021578766517875618,0.0022008110831850183,-1.8546814783822322e-05,0.31544008271749452,-0.00013801087866305897,6.316102740276379e-06,0,-0.97210985556417384,1.6392919052129811,0.001940693723374189,-0.98327854492296363,1.6395044902553311,-0.0020613936102396035,-0.0035816140009300385,-0.0012000197169022768,0.037978866231313427,0.0035940708611750015,0.0011706869732545221,-0.039971004084702839,-0.044217794267602542,-3.1325438643315864,0,0.041124284318536736,-3.2506637741279025,0,0.0044691318316137868,0.0020307451356359123,0,-0.0044931966420633561,-0.0019983873538055438,0,-0.03974202463800542,-3.130686637842218,0.00090398812370808435,0.036624550751598588,-3.252494302648822,-0.00045259585797878023,-0.03974202463800542,-3.130686637842218,0.00090398812370808435,0.036624550751598588,-3.252494302648822,-0.00045259585797878023,0.03974202463800542,3.130686637842218,-0.00090398812370808435,-0.036624550751598588,3.252494302648822,0.00045259585797878023,0.00022569613286465204,0.0002416031873326249,0.00067829199084343229
hold,0,9,0.10000000000000007,0,0,1,2,2,4.9178137799532617e-07,1.2756053988118954e-05,-1.3063993758096897e-05,-0.00018787839678999663,6.1541228536714454e-05,0.00049840624311962779,0.00023929521350825518,0.0024412363856258371,-1.9891992580287439e-05,0.3154401539659944,-0.00013214952407403029,7.6606370692543205e-06,0,-0.97214911809291604,1.6392795589917584,0.0023511518460182577,-0.98323915818161045,1.6395164455025184,-0.002492404152167105,-0.0041850392712593559,-0.0012576539755048081,0.043236465001201138,0.0042021983413552139,0.0012128424811285172,-0.045370791509433316,-0.044217794267602542,-3.1325438643315864,0,0.041124284318536736,-3.2506637741279025,0,0.0053866573318807126,0.0021871491640200694,0,-0.0054164180530689738,-0.0021361848391782119,0,-0.038823667302421552,-3.1305519788169924,0.0010126001565255139,0.035700510146488437,-3.2526110644073158,-0.00050744083005719426,-0.038823667302421552,-3.1305519788169924,0.0010126001565255139,0.035700510146488437,-3.2526110644073158,-0.00050744083005719426,0.038823667302421552,3.1305519788169924,-0.0010126001565255139,-0.035700510146488437,3.2526110644073158,0.00050744083005719426,0.00025257966323415982,0.00027188040643662584,0.00076002049329135409
