scenario,episode,control_tick,physics_substep,time_s,disturbance,force_x,force_y,force_z,moment_x,moment_y,moment_z,left_normal_load_n,right_normal_load_n,penetration_m,rolling_slip_m_s,lateral_slip_m_s,closure_residual_m,qpos0,qpos1,qpos2,qpos3,qpos4,qpos5,qpos6,qpos7,qpos8,qpos9,qpos10,qpos11,qpos12,qpos13,qpos14,qpos15,qpos16,qvel0,qvel1,qvel2,qvel3,qvel4,qvel5,qvel6,qvel7,qvel8,qvel9,qvel10,qvel11,qvel12,qvel13,qvel14,qvel15,ctrl0,ctrl1,ctrl2,ctrl3,ctrl4,ctrl5
hold,0,983,0,9.8319999999999528,0,0,0,0,0,0,0,31.260066851940792,31.537200589957074,0.00048779689667331066,0.0034250881574695653,0.00011130576925435725,0.00018241716777375985,-9.2591691772418776e-05,0.00050993315145952327,0.34766151085705216,0.99995861027349475,0.0014416967876349743,1.6642560653713494e-08,0.0089832761437145959,-0.33597955404202856,0.56572779231509474,0.028077651169994135,-0.56885045823595282,-0.56929386406239924,-0.35761097819020765,0.57396102143387684,-0.078403160822839019,0.5771499144616149,-0.57759083884683782,-3.0116386741136143e-05,0.00036963795280937645,4.3773387884139205e-05,-0.0018943629516694135,0.00011354264275293561,-0.0018421090952557831,0.0099038531850971258,0.011170458898032335,-0.13321168081808638,-0.0093341833957358705,-0.0097530429536438999,-0.0096344884037927025,0.0032711136281626638,0.063791566327546512,0.0048117165810733819,-0.0042036815413201015,0.031777136791457834,3.2034215894042335,-0.0048848127004804892,-0.02890058385022274,3.1878741061243798,0.039908778427235031
hold,0,983,1,9.8339999999999534,0,0,0,0,0,0,0,31.287564992658691,31.548427288089989,0.00048899893608812806,0.0039772435799447252,0.00011535627221228537,0.00018244823504903195,-9.2685366313232227e-05,0.00051094253086241665,0.34766158390239482,0.99995864576914673,0.0014389233358634071,1.1044531873873904e-07,0.0089797689923699891,-0.33595490179931498,0.56575498500872723,0.027740950534112949,-0.56887361090989441,-0.56931793012995269,-0.35764751062383593,0.57396811657856361,-0.078145770884302093,0.57716112104658768,-0.57760051099628118,-4.6837270406723684e-05,0.00050468970144670932,3.6522671334336965e-05,-0.002772545438686558,0.00011365730933215662,-0.0035074603331187093,0.012326121356796369,0.013596346816258219,-0.16835031794059305,-0.011576336970806896,-0.012033033776730741,-0.018266216814138779,0.0035475723433821367,0.12869496926846213,0.00560329248636469,-0.0048360747217090876,0.031777136791457834,3.2034215894042335,-0.0048848127004804892,-0.02890058385022274,3.1878741061243798,0.039908778427235031
hold,0,983,2,9.8359999999999541,0,0,0,0,0,0,0,31.309857469623743,31.557787483908211,0.00049023505268709633,0.0045262268297271389,0.00011507960520981359,0.00018249811072241449,-9.2813106724151916e-05,0.0005122258690569443,0.3476616420708768,0.99995869695588113,0.001435293254163261,1.9816749053744231e-07,0.0089746484907386268,-0.33592502775729943,0.56578676121281324,0.027333312460135203,-0.5689010894063643,-0.56934638175430896,-0.35770114265511094,0.57397511590746297,-0.077757982325298389,0.57717304330672559,-0.57761066303947273,-6.3870205459845179e-05,0.00064166909726380214,2.9084240985286564e-05,-0.0036292169443463526,0.00011294782426521546,-0.0051208761484453228,0.01493702100776451,0.015888102042986279,-0.20381903698887374,-0.013739248234948556,-0.014225812178156477,-0.026816015637509523,0.0034996644496828352,0.19389427950184951,0.0059611300689530215,-0.0050760215957634412,0.031777136791457834,3.2034215894042335,-0.0048848127004804892,-0.02890058385022274,3.1878741061243798,0.039908778427235031
hold,0,983,3,9.8379999999999548,0,0,0,0,0,0,0,31.926496228111773,31.761540846203992,0.00049320934726534982,0.0017520983465627339,0.00014929675725166452,0.00018256458208253679,-9.2983992064724763e-05,0.00051326899416013756,0.34766167035339751,0.99995873078158726,0.0014326481868991705,2.6376619785093666e-07,0.0089713016213130593,-0.33590415954340574,0.56580374248091947,0.027076304574194656,-0.56891667437127236,-0.56936234605616687,-0.35774257507832874,0.57397648823299574,-0.077449669700000445,0.57717734635416929,-0.5776139874598698,-8.5442670286422625e-05,0.00052156255159664839,1.4141260366861594e-05,-0.0026444171759961339,8.4530801004781118e-05,-0.003347129441054128,0.010434106946846952,0.0084906340531418229,-0.12850394297027395,-0.0077924824540024648,-0.0079821509289563497,-0.02071621160888721,0.00068616276637374759,0.1541563126489684,0.0021515237218235339,-0.0016622101985396352,0.031777136791457834,3.2034215894042335,-0.0048848127004804892,-0.02890058385022274,3.1878741061243798,0.039908778427235031
hold,0,983,4,9.8399999999999554,0,0,0,0,0,0,0,31.866202539835925,31.692137795287202,0.00049449946206692186,0.0024386271414932443,0.00013894090209592383,0.00018261128875303448,-9.3194938770329948e-05,0.00051404976360079114,0.3476616712224409,0.9999587481603941,0.0014309593570805484,3.1099700101955301e-07,0.0089696339233889585,-0.33589340435305542,0.56580813261719054,0.026964320797335243,-0.56892193154367754,-0.56936748396388315,-0.35777286220902488,0.57397391310497725,-0.07721895412883345,0.57717607173795515,-0.57761234556888252,-0.00010547335280259265,0.000390384720326765,4.3452170450451886e-07,-0.0016883608579898865,5.9990626689067827e-05,-0.0016678531206112612,0.005377595175167357,0.0021950681355374212,-0.055991888429706746,-0.0026285862025701686,-0.0025689538581493039,-0.015143565348070282,-0.0012875640092695809,0.11535778558350068,-0.00063730810704020402,0.00082094549365286382,0.031777136791457834,3.2034215894042335,-0.0048848127004804892,-0.02890058385022274,3.1878741061243798,0.039908778427235031
hold,0,984,0,9.8419999999999561,0,0,0,0,0,0,0,31.828564815350084,31.649268007911637,0.00049438102297234832,0.0028894072895592786,0.00011790647049166232,0.00018263815089818538,-9.3402499354952134e-05,0.00051452711108862623,0.34766165847960429,0.99995875079207408,0.0014302108681840072,3.2752598481420863e-07,0.0089694599124068644,-0.33589268776756315,0.56580192354454284,0.026985393284419269,-0.56891825887604031,-0.56936330287549852,-0.35779060004761937,0.57396917805774939,-0.077079642145195845,0.57717121131887805,-0.57760763597713372,-0.0001037802923110932,0.00023867374391752134,-6.3714183012536769e-06,-0.00074831347277373522,2.2992969879859218e-05,-0.00017405129410795711,0.00035829274614505684,-0.0031045363238237185,0.01053624354201288,0.0018363338186209582,0.0020905441923080694,-0.0088689192972320474,-0.0023675236139054142,0.06965599181880118,-0.0024302095385643516,0.0023547958743873241,0.034736818353628629,3.2028701061047622,-0.012051088274160911,-0.03145022228917263,3.1859972047847411,0.035983579620319971
hold,0,984,1,9.8439999999999568,0,0,0,0,0,0,0,31.784100995511896,31.599191224111511,0.00049313355252918883,0.0034453866935784789,8.2499548263753446e-05,0.00018264595647121939,-9.3604637494868397e-05,0.00051467417039688422,0.34766163377651504,0.99995873943770719,0.0014303976152051159,3.1569083727736465e-07,0.0089706958879889904,-0.33590277850188821,0.56578666437865821,0.027135595038753395,-0.56890678632846559,-0.56935100065773769,-0.35779662224513992,0.57396354590517362,-0.077030066473855019,0.57716431813025348,-0.57760128349606543,-0.00010106906995813326,7.3529654129012858e-05,-1.2351544615943009e-05,0.00018664899738552452,-1.1741969836766236e-05,0.001236043429571483,-0.0050453671625333854,-0.0076295829423094191,0.075100877167063526,0.0057362737873418567,0.0061511088803895162,-0.0030110987602633664,-0.0028160762878785355,0.024787835670411429,-0.0034465943122868798,0.0031762405341306289,0.034736818353628629,3.2028701061047622,-0.012051088274160911,-0.03145022228917263,3.1859972047847411,0.035983579620319971
hold,0,984,2,9.8459999999999575,0,0,0,0,0,0,0,31.746145063742389,31.556859555282315,0.00049098269722298166,0.003968101174058148,6.7587895193519141e-05,0.00018263657647184096,-9.379972008505044e-05,0.00051446242414185243,0.34766159844439537,0.99995871480626786,0.0014315226403166781,2.7728073005666937e-07,0.0089732617174840563,-0.33592431335600431,0.56576364504051369,0.027411600119550315,-0.56888846135219595,-0.56933158421316288,-0.3577916516160034,0.57395811068824953,-0.077068804814330358,0.5771567330350883,-0.57759452634212749,-9.7541295091018481e-05,-0.0001058731275159119,-1.7666059841466055e-05,0.001124668549747057,-4.483061637362391e-05,0.0025659998855367128,-0.01076742705805608,-0.011509669072269961,0.13800254039845949,0.0091624881348091533,0.0097082222874012129,0.0024853145682631975,-0.0027176084620364411,-0.019369170237672595,-0.0037925475826098213,0.0033785769689948296,0.034736818353628629,3.2028701061047622,-0.012051088274160911,-0.03145022228917263,3.1859972047847411,0.035983579620319971
hold,0,984,3,9.8479999999999581,0,0,0,0,0,0,0,31.7138789981367,31.521180858182632,0.00048811795679479242,0.0044653101809056898,9.1020205897703461e-05,0.00018261225544195355,-9.3986479987364177e-05,0.0005138620225377461,0.34766155354707678,0.99995867755956747,0.0014335955958090184,2.1358425652512434e-07,0.0089770806470152557,-0.33595782027604137,0.56573393248582382,0.027810614092185271,-0.56886407312845089,-0.56930589443041324,-0.35777631088228018,0.57395381899088982,-0.077194651491172842,0.57714961134679899,-0.57758843821094674,-9.3379951156865551e-05,-0.0003002008020531661,-2.2448659303690614e-05,0.0020723506054296592,-7.6828121558525565e-05,0.0038191978480909519,-0.016753460018541229,-0.014856277344918385,0.19950698631747849,0.012194111872505367,0.012844891374835606,0.0076703668615982559,-0.0021458486798515684,-0.062923338421243175,-0.0035608441446802527,0.0030440655903736314,0.034736818353628629,3.2028701061047622,-0.012051088274160911,-0.03145022228917263,3.1859972047847411,0.035983579620319971
hold,0,984,4,9.8499999999999588,0,0,0,0,0,0,0,31.707415659285779,31.412029128923258,0.00048497454954476299,0.0025893924714957281,0.00010902883229429742,0.00018257537476643827,-9.4118573844120289e-05,0.00051320604065391707,0.34766151353297658,0.99995864179867167,0.0014356624920837801,1.9346275341539985e-07,0.0089807330061171461,-0.33598474789466931,0.56571183318648077,0.028123695307004929,-0.56884522767215606,-0.56928620380174533,-0.35774761192292537,0.57394876881774415,-0.077405256784980489,0.57714143142010566,-0.57758142250416133,-6.604692837805695e-05,-0.00032799094191452463,-2.0007050106099886e-05,0.0020666807197897395,-3.3439352627014031e-05,0.0036525584935091929,-0.013463809313963408,-0.01104964967154206,0.15654060740982928,0.0094227281474189555,0.0098453143339805177,0.014349479677399329,-0.0025250865728451638,-0.10530264690382454,-0.0040899633466620431,0.0035078533927094444,0.034736818353628629,3.2028701061047622,-0.012051088274160911,-0.03145022228917263,3.1859972047847411,0.035983579620319971
