mass,0,0,6.4344000000000001
mass,0,1,0
mass,0,2,0
mass,0,3,-7.8623140071181389e-19
mass,0,4,-0.47025494222325348
mass,0,5,-0.00059444680958703879
mass,0,6,0.25897202685617787
mass,0,7,0.15263934321554515
mass,0,8,-1.177980908913564e-05
mass,0,9,0.25850778296112759
mass,0,10,0.15393355278707743
mass,0,11,3.5425781351113151e-05
mass,1,0,0
mass,1,1,6.4344000000000001
mass,1,2,0
mass,1,3,0.47025494222324127
mass,1,4,-2.0158726997446637e-30
mass,1,5,-0.071938441260118016
mass,1,6,7.6124680420739214e-18
mass,1,7,-2.6677122553639602e-17
mass,1,8,-8.8504299823551452e-21
mass,1,9,8.2570076895186389e-18
mass,1,10,-2.6089714668371086e-17
mass,1,11,4.6211400852157622e-21
mass,2,0,0
mass,2,1,0
mass,2,2,6.4344000000000001
mass,2,3,0.00059444680958703955
mass,2,4,0.071938441260132865
mass,2,5,1.0689018347936494e-18
mass,2,6,-0.034283508237653922
mass,2,7,0.12014307919188837
mass,2,8,3.9858793170603297e-05
mass,2,9,-0.037186256753717228
mass,2,10,0.11848036714422427
mass,2,11,-2.0811764765804569e-05
mass,3,0,-7.8623140071181389e-19
mass,3,1,0.47025494222324127
mass,3,2,0.00059444680958703955
mass,3,3,0.2368513620125981
mass,3,4,-0.0005202521265539055
mass,3,5,-0.010780190554407583
mass,3,6,-0.0061457816926313268
mass,3,7,0.022290829260408266
mass,3,8,8.757548049684432e-06
mass,3,9,0.0066676878103475801
mass,3,10,-0.021903723049396504
mass,3,11,4.5726766737623202e-06
mass,4,0,-0.47025494222325348
mass,4,1,-2.0158726997446637e-30
mass,4,2,0.071938441260132865
mass,4,3,-0.0005202521265539055
mass,4,4,0.13990808171892277
mass,4,5,0.00022630367676268034
mass,4,6,-0.067779320546212413
mass,4,7,-0.037927914845762203
mass,4,8,-0.00042022912931870271
mass,4,9,-0.067747343884224487
mass,4,10,-0.037893203491724134
mass,4,11,-0.00043342185721701555
mass,5,0,-0.00059444680958703879
mass,5,1,-0.071938441260118016
mass,5,2,1.0689018347936494e-18
mass,5,3,-0.010780190554407583
mass,5,4,0.00022630367676268034
mass,5,5,0.12849282226509504
mass,5,6,-0.047880971481122615
mass,5,7,-0.028309033462247279
mass,5,8,2.5881928655656184e-06
mass,5,9,0.04765116147467776
mass,5,10,0.028464920373696263
mass,5,11,7.7836092160816208e-06
mass,6,0,0.25897202685617787
mass,6,1,7.6124680420739214e-18
mass,6,2,-0.034283508237653922
mass,6,3,-0.0061457816926313268
mass,6,4,-0.067779320546212413
mass,6,5,-0.047880971481122615
mass,6,6,0.070954718843992237
mass,6,7,0.039816611051086213
mass,6,8,0.00042008935730647549
mass,6,9,-3.1639485647498978e-32
mass,6,10,3.3686510956910295e-20
mass,6,11,0
mass,7,0,0.15263934321554515
mass,7,1,-2.6677122553639602e-17
mass,7,2,0.12014307919188837
mass,7,3,0.022290829260408266
mass,7,4,-0.037927914845762203
mass,7,5,-0.028309033462247279
mass,7,6,0.039816611051086213
mass,7,7,0.042102087421075247
mass,7,8,0.00042721101085698744
mass,7,9,-4.1027477531061283e-32
mass,7,10,4.363903372001534e-20
mass,7,11,0
mass,8,0,-1.177980908913564e-05
mass,8,1,-8.8504299823551452e-21
mass,8,2,3.9858793170603297e-05
mass,8,3,8.757548049684432e-06
mass,8,4,-0.00042022912931870271
mass,8,5,2.5881928655656184e-06
mass,8,6,0.00042008935730647549
mass,8,7,0.00042721101085698744
mass,8,8,0.00042374262734327516
mass,8,9,0
mass,8,10,0
mass,8,11,0
mass,9,0,0.25850778296112759
mass,9,1,8.2570076895186389e-18
mass,9,2,-0.037186256753717228
mass,9,3,0.0066676878103475801
mass,9,4,-0.067747343884224487
mass,9,5,0.04765116147467776
mass,9,6,-3.1639485647499028e-32
mass,9,7,-4.1027477531061333e-32
mass,9,8,0
mass,9,9,0.07091668864991775
mass,9,10,0.039797586989882762
mass,9,11,0.00043385426775228129
mass,10,0,0.15393355278707743
mass,10,1,-2.6089714668371086e-17
mass,10,2,0.11848036714422427
mass,10,3,-0.021903723049396504
mass,10,4,-0.037893203491724141
mass,10,5,0.028464920373696259
mass,10,6,3.3686510956910307e-20
mass,10,7,4.363903372001534e-20
mass,10,8,0
mass,10,9,0.039797586989882762
mass,10,10,0.042102069499635054
mass,10,11,0.0004272019236276797
mass,11,0,3.5425781351113151e-05
mass,11,1,4.6211400852157622e-21
mass,11,2,-2.0811764765804569e-05
mass,11,3,4.5726766737623202e-06
mass,11,4,-0.00043342185721701555
mass,11,5,7.7836092160816208e-06
mass,11,6,0
mass,11,7,0
mass,11,8,0
mass,11,9,0.00043385426775228129
mass,11,10,0.0004272019236276797
mass,11,11,0.00042374250957093532
bias,0,0,0
bias,1,0,0
bias,2,0,63.121464000000003
bias,3,0,0.0058315232020490831
bias,4,0,0.70571610876190327
bias,5,0,1.0485926999325698e-17
bias,6,0,-0.33632121581138497
bias,7,0,1.1786036068724248
bias,8,0,0.00039101476100361838
bias,9,0,-0.364797178753966
bias,10,0,1.1622924016848404
bias,11,0,-0.00020416341235254283
actuation,0,0,-0
actuation,0,1,-0
actuation,0,2,-0
actuation,0,3,-0
actuation,0,4,-0
actuation,0,5,-0
actuation,1,0,-0
actuation,1,1,-0
actuation,1,2,-0
actuation,1,3,-0
actuation,1,4,-0
actuation,1,5,-0
actuation,2,0,-0
actuation,2,1,-0
actuation,2,2,-0
actuation,2,3,-0
actuation,2,4,-0
actuation,2,5,-0
actuation,3,0,-0
actuation,3,1,-0
actuation,3,2,-0
actuation,3,3,-0
actuation,3,4,-0
actuation,3,5,-0
actuation,4,0,-0
actuation,4,1,-0
actuation,4,2,-0
actuation,4,3,-0
actuation,4,4,-0
actuation,4,5,-0
actuation,5,0,-0
actuation,5,1,-0
actuation,5,2,-0
actuation,5,3,-0
actuation,5,4,-0
actuation,5,5,-0
actuation,6,0,1
actuation,6,1,-0
actuation,6,2,-0
actuation,6,3,-0
actuation,6,4,-0
actuation,6,5,-0
actuation,7,0,-0
actuation,7,1,1
actuation,7,2,-0
actuation,7,3,-0
actuation,7,4,-0
actuation,7,5,-0
actuation,8,0,-0
actuation,8,1,-0
actuation,8,2,1
actuation,8,3,-0
actuation,8,4,-0
actuation,8,5,-0
actuation,9,0,-0
actuation,9,1,-0
actuation,9,2,-0
actuation,9,3,1
actuation,9,4,-0
actuation,9,5,-0
actuation,10,0,-0
actuation,10,1,-0
actuation,10,2,-0
actuation,10,3,-0
actuation,10,4,1
actuation,10,5,-0
actuation,11,0,-0
actuation,11,1,-0
actuation,11,2,-0
actuation,11,3,-0
actuation,11,4,-0
actuation,11,5,1
wrench_map_0,0,0,1
wrench_map_0,0,1,0
wrench_map_0,0,2,0
wrench_map_0,0,3,0
wrench_map_0,0,4,0
wrench_map_0,0,5,0
wrench_map_0,1,0,0
wrench_map_0,1,1,1
wrench_map_0,1,2,0
wrench_map_0,1,3,0
wrench_map_0,1,4,0
wrench_map_0,1,5,0
wrench_map_0,2,0,0
wrench_map_0,2,1,0
wrench_map_0,2,2,1
wrench_map_0,2,3,0
wrench_map_0,2,4,0
wrench_map_0,2,5,0
wrench_map_0,3,0,0
wrench_map_0,3,1,0.31583618156910948
wrench_map_0,3,2,0.2197991905914769
wrench_map_0,3,3,1
wrench_map_0,3,4,0
wrench_map_0,3,5,0
wrench_map_0,4,0,-0.31583618156910948
wrench_map_0,4,1,0
wrench_map_0,4,2,0.0094574769711073814
wrench_map_0,4,3,0
wrench_map_0,4,4,1
wrench_map_0,4,5,0
wrench_map_0,5,0,-0.2197991905914769
wrench_map_0,5,1,-0.0094574769711073814
wrench_map_0,5,2,0
wrench_map_0,5,3,0
wrench_map_0,5,4,0
